Datetime,ms,Level(m),Temp(C)
2022-12-04 14:15:24,0,0.18,3.1
2022-12-04 14:30:24,0,0.175,3.1
2022-12-04 14:45:24,0,0.174,3.3
2022-12-04 15:00:24,0,0.17,3.4
2022-12-04 15:15:24,0,0.169,3.5
2022-12-05 14:15:24,0,0.18,3.1
2022-12-05 14:30:24,0,0.175,3.1
2022-12-05 14:45:24,0,0.174,3.3
2022-12-05 15:00:24,0,0.17,3.4
2022-12-05 15:15:24,0,0.169,3.5
2022-12-05 15:30:24,0,0.17,3.5
2022-12-05 15:45:24,0,0.171,3.6
2022-12-05 16:00:24,0,0.169,3.6
2022-12-05 16:15:24,0,0.171,3.6
2022-12-05 16:30:24,0,0.17,3.6
2022-12-05 16:45:24,0,0.17,3.6
2022-12-05 17:00:24,0,0.169,3.6
2022-12-05 17:15:24,0,0.17,3.6
2022-12-05 17:30:24,0,0.169,3.6
2022-12-05 17:45:24,0,0.171,3.6
2022-12-05 18:00:24,0,0.17,3.6
2022-12-05 18:15:24,0,0.169,3.6
2022-12-05 18:30:24,0,0.17,3.6
2022-12-05 18:45:24,0,0.17,3.6
2022-12-05 19:00:24,0,0.17,3.6
2022-12-05 19:15:24,0,0.17,3.6
2022-12-05 19:30:24,0,0.172,3.3
2022-12-05 19:45:24,0,0.172,3.1
2022-12-05 20:00:24,0,0.171,3.0
2022-12-05 20:15:24,0,0.171,3.0
2022-12-05 20:30:24,0,0.172,3.1
2022-12-05 20:45:24,0,0.172,3.1
2022-12-05 21:00:24,0,0.17,3.0
2022-12-05 21:15:24,0,0.171,3.0
2022-12-05 21:30:24,0,0.17,2.9
2022-12-05 21:45:24,0,0.17,2.9
2022-12-05 22:00:24,0,0.171,2.9
2022-12-05 22:15:24,0,0.17,3.0
2022-12-05 22:30:24,0,0.169,3.0
2022-12-05 22:45:24,0,0.167,3.0
2022-12-05 23:00:24,0,0.169,3.1
2022-12-05 23:15:24,0,0.169,3.2
2022-12-05 23:30:24,0,0.168,3.2
2022-12-05 23:45:24,0,0.169,3.3
2022-12-06 00:00:24,0,0.17,3.3
2022-12-06 00:15:24,0,0.169,3.3
2022-12-06 00:30:24,0,0.17,3.2
2022-12-06 00:45:24,0,0.169,3.1
2022-12-06 01:00:24,0,0.17,3.1
2022-12-06 01:15:24,0,0.168,3.1
2022-12-06 01:30:24,0,0.171,3.2
2022-12-06 01:45:24,0,0.168,3.2
2022-12-06 02:00:24,0,0.169,3.3
2022-12-06 02:15:24,0,0.171,3.4
2022-12-06 02:30:24,0,0.172,3.3
2022-12-06 02:45:24,0,0.168,3.2
2022-12-06 03:00:24,0,0.17,3.2
2022-12-06 03:15:24,0,0.171,3.1
2022-12-06 03:30:24,0,0.169,3.1
2022-12-06 03:45:24,0,0.169,3.0
2022-12-06 04:00:24,0,0.17,3.0
2022-12-06 04:15:24,0,0.17,3.0
2022-12-06 04:30:24,0,0.17,3.0
2022-12-06 04:45:24,0,0.171,3.1
2022-12-06 05:00:24,0,0.172,3.1
2022-12-06 05:15:24,0,0.171,3.1
2022-12-06 05:30:24,0,0.171,3.0
2022-12-06 05:45:24,0,0.173,3.0
2022-12-06 06:00:24,0,0.171,3.0
2022-12-06 06:15:24,0,0.172,3.0
2022-12-06 06:30:24,0,0.171,3.1
2022-12-06 06:45:24,0,0.172,3.1
2022-12-06 07:00:24,0,0.172,3.1
2022-12-06 07:15:24,0,0.17,3.1
2022-12-06 07:30:24,0,0.171,3.1
2022-12-06 07:45:24,0,0.172,3.2
2022-12-06 08:00:24,0,0.171,3.2
2022-12-06 08:15:24,0,0.171,3.2
2022-12-06 08:30:24,0,0.17,3.3
2022-12-06 08:45:24,0,0.17,3.3
2022-12-06 09:00:24,0,0.17,3.3
2022-12-06 09:15:24,0,0.168,3.3
2022-12-06 09:30:24,0,0.17,3.4
2022-12-06 09:45:24,0,0.17,3.4
2022-12-06 10:00:24,0,0.168,3.4
2022-12-06 10:15:24,0,0.169,3.5
2022-12-06 10:30:24,0,0.168,3.5
2022-12-06 10:45:24,0,0.168,3.5
2022-12-06 11:00:24,0,0.167,3.6
2022-12-06 11:15:24,0,0.166,3.6
2022-12-06 11:30:24,0,0.166,3.6
2022-12-06 11:45:24,0,0.167,3.7
2022-12-06 12:00:24,0,0.169,3.7
2022-12-06 12:15:24,0,0.166,3.7
2022-12-06 12:30:24,0,0.169,3.8
2022-12-06 12:45:24,0,0.169,3.8
2022-12-06 13:00:24,0,0.168,3.8
2022-12-06 13:15:24,0,0.168,3.9
2022-12-06 13:30:24,0,0.166,3.9
2022-12-06 13:45:24,0,0.169,4.0
2022-12-06 14:00:24,0,0.165,4.0
