Serial_number:
2036213
Project ID:
ACRE Wetland
Location:
Inlet A
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/31/2023,03:15:07 pm,0,10.137,8.80
3/31/2023,03:30:07 pm,0,10.128,7.80
3/31/2023,03:45:07 pm,0,10.131,7.80
3/31/2023,04:00:07 pm,0,10.131,7.80
3/31/2023,04:15:07 pm,0,10.122,7.80
3/31/2023,04:30:07 pm,0,10.119,7.70
3/31/2023,04:45:07 pm,0,10.119,7.70
3/31/2023,05:00:07 pm,0,10.116,7.70
3/31/2023,05:15:07 pm,0,10.107,7.70
3/31/2023,05:30:07 pm,0,10.101,7.70
3/31/2023,05:45:07 pm,0,10.098,7.70
3/31/2023,06:00:07 pm,0,10.098,7.70
3/31/2023,06:15:07 pm,0,10.098,7.70
3/31/2023,06:30:07 pm,0,10.098,7.70
3/31/2023,06:45:07 pm,0,10.098,7.70
3/31/2023,07:00:07 pm,0,10.092,7.70
3/31/2023,07:15:07 pm,0,10.089,7.70
3/31/2023,07:30:07 pm,0,10.086,7.70
3/31/2023,07:45:07 pm,0,10.080,7.70
3/31/2023,08:00:07 pm,0,10.074,7.70
3/31/2023,08:15:07 pm,0,10.074,7.70
3/31/2023,08:30:07 pm,0,10.068,7.70
3/31/2023,08:45:07 pm,0,10.062,7.70
3/31/2023,09:00:07 pm,0,10.083,7.70
3/31/2023,09:15:07 pm,0,10.080,7.70
3/31/2023,09:30:07 pm,0,10.080,7.70
3/31/2023,09:45:07 pm,0,10.080,7.70
3/31/2023,10:00:07 pm,0,10.095,7.70
3/31/2023,10:15:07 pm,0,10.101,7.70
3/31/2023,10:30:07 pm,0,10.095,7.80
3/31/2023,10:45:07 pm,0,10.104,7.80
3/31/2023,11:00:07 pm,0,10.137,7.60
3/31/2023,11:15:07 pm,0,10.158,7.60
3/31/2023,11:30:07 pm,0,10.164,7.60
3/31/2023,11:45:07 pm,0,10.170,7.60
4/1/2023,12:00:07 am,0,10.182,7.60
4/1/2023,12:15:07 am,0,10.179,7.50
4/1/2023,12:30:07 am,0,10.179,7.50
4/1/2023,12:45:07 am,0,10.179,7.50
4/1/2023,01:00:07 am,0,10.173,7.40
4/1/2023,01:15:07 am,0,10.173,7.40
4/1/2023,01:30:07 am,0,10.170,7.40
4/1/2023,01:45:07 am,0,10.167,7.40
4/1/2023,02:00:07 am,0,10.167,7.30
4/1/2023,02:15:07 am,0,10.161,7.30
4/1/2023,02:30:07 am,0,10.158,7.30
4/1/2023,02:45:07 am,0,10.155,7.30
4/1/2023,03:00:07 am,0,10.152,7.30
4/1/2023,03:15:07 am,0,10.152,7.30
4/1/2023,03:30:07 am,0,10.149,7.30
4/1/2023,03:45:07 am,0,10.146,7.20
4/1/2023,04:00:07 am,0,10.140,7.20
4/1/2023,04:15:07 am,0,10.137,7.20
4/1/2023,04:30:07 am,0,10.128,7.20
4/1/2023,04:45:07 am,0,10.122,7.20
4/1/2023,05:00:07 am,0,10.119,7.20
4/1/2023,05:15:07 am,0,10.116,7.20
4/1/2023,05:30:07 am,0,10.110,7.20
4/1/2023,05:45:07 am,0,10.107,7.20
4/1/2023,06:00:07 am,0,10.107,7.20
4/1/2023,06:15:07 am,0,10.113,7.20
4/1/2023,06:30:07 am,0,10.116,7.20
4/1/2023,06:45:07 am,0,10.128,7.20
4/1/2023,07:00:07 am,0,10.131,7.20
4/1/2023,07:15:07 am,0,10.137,7.20
4/1/2023,07:30:07 am,0,10.140,7.20
4/1/2023,07:45:07 am,0,10.140,7.20
4/1/2023,08:00:07 am,0,10.143,7.20
4/1/2023,08:15:07 am,0,10.146,7.20
4/1/2023,08:30:07 am,0,10.152,7.20
4/1/2023,08:45:07 am,0,10.155,7.20
4/1/2023,09:00:07 am,0,10.158,7.20
4/1/2023,09:15:07 am,0,10.164,7.20
4/1/2023,09:30:07 am,0,10.170,7.20
4/1/2023,09:45:07 am,0,10.170,7.20
4/1/2023,10:00:07 am,0,10.173,7.20
4/1/2023,10:15:07 am,0,10.176,7.20
4/1/2023,10:30:07 am,0,10.179,7.10
4/1/2023,10:45:07 am,0,10.182,7.10
4/1/2023,11:00:07 am,0,10.182,7.10
4/1/2023,11:15:07 am,0,10.185,7.10
4/1/2023,11:30:07 am,0,10.188,7.10
4/1/2023,11:45:07 am,0,10.191,7.10
4/1/2023,12:00:07 pm,0,10.197,7.10
4/1/2023,12:15:07 pm,0,10.197,7.10
4/1/2023,12:30:07 pm,0,10.200,7.10
4/1/2023,12:45:07 pm,0,10.203,7.10
4/1/2023,01:00:07 pm,0,10.206,7.10
4/1/2023,01:15:07 pm,0,10.209,7.10
4/1/2023,01:30:07 pm,0,10.212,7.10
4/1/2023,01:45:07 pm,0,10.215,7.10
4/1/2023,02:00:07 pm,0,10.218,7.10
4/1/2023,02:15:07 pm,0,10.221,7.10
4/1/2023,02:30:07 pm,0,10.227,7.10
4/1/2023,02:45:07 pm,0,10.230,7.10
4/1/2023,03:00:07 pm,0,10.236,7.20
4/1/2023,03:15:07 pm,0,10.242,7.20
4/1/2023,03:30:07 pm,0,10.245,7.20
4/1/2023,03:45:07 pm,0,10.248,7.20
4/1/2023,04:00:07 pm,0,10.248,7.20
4/1/2023,04:15:07 pm,0,10.254,7.20
4/1/2023,04:30:07 pm,0,10.257,7.20
4/1/2023,04:45:07 pm,0,10.263,7.20
4/1/2023,05:00:07 pm,0,10.266,7.20
4/1/2023,05:15:07 pm,0,10.272,7.20
4/1/2023,05:30:07 pm,0,10.275,7.20
4/1/2023,05:45:07 pm,0,10.278,7.20
4/1/2023,06:00:07 pm,0,10.281,7.20
4/1/2023,06:15:07 pm,0,10.284,7.20
4/1/2023,06:30:07 pm,0,10.287,7.20
4/1/2023,06:45:07 pm,0,10.290,7.20
4/1/2023,07:00:07 pm,0,10.296,7.20
4/1/2023,07:15:07 pm,0,10.296,7.10
4/1/2023,07:30:07 pm,0,10.296,7.10
4/1/2023,07:45:07 pm,0,10.299,7.10
4/1/2023,08:00:07 pm,0,10.299,7.10
4/1/2023,08:15:07 pm,0,10.305,7.10
4/1/2023,08:30:07 pm,0,10.305,7.10
4/1/2023,08:45:07 pm,0,10.311,7.10
4/1/2023,09:00:07 pm,0,10.311,7.10
4/1/2023,09:15:07 pm,0,10.311,7.10
4/1/2023,09:30:07 pm,0,10.314,7.10
4/1/2023,09:45:07 pm,0,10.320,7.10
4/1/2023,10:00:07 pm,0,10.320,7.10
4/1/2023,10:15:07 pm,0,10.323,7.10
4/1/2023,10:30:07 pm,0,10.326,7.10
4/1/2023,10:45:07 pm,0,10.323,7.10
4/1/2023,11:00:07 pm,0,10.320,7.00
4/1/2023,11:15:07 pm,0,10.320,7.00
4/1/2023,11:30:07 pm,0,10.323,7.00
4/1/2023,11:45:07 pm,0,10.320,7.00
4/2/2023,12:00:07 am,0,10.323,7.00
4/2/2023,12:15:07 am,0,10.323,7.00
4/2/2023,12:30:07 am,0,10.323,7.00
4/2/2023,12:45:07 am,0,10.323,7.00
4/2/2023,01:00:07 am,0,10.326,7.00
4/2/2023,01:15:07 am,0,10.326,7.00
4/2/2023,01:30:07 am,0,10.323,7.00
4/2/2023,01:45:07 am,0,10.323,7.00
