Serial_number:
2036199
Project ID:
ACRE Wetland
Location:
Inlet B
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
12/13/2022,04:45:00 pm,0,0.2,7.60
12/13/2022,05:00:00 pm,0,0.1,6.20
12/13/2022,05:15:00 pm,0,-0.2,5.60
12/13/2022,05:30:00 pm,0,-0.3,5.20
12/13/2022,05:45:00 pm,0,-0.3,5.00
12/13/2022,06:00:00 pm,0,-0.3,4.80
12/13/2022,06:15:00 pm,0,-0.4,4.70
12/13/2022,06:30:00 pm,0,-0.4,4.60
12/13/2022,06:45:00 pm,0,-0.4,4.60
12/13/2022,07:00:00 pm,0,-0.4,4.60
12/13/2022,07:15:00 pm,0,-0.3,4.60
12/13/2022,07:30:00 pm,0,-0.5,4.60
12/13/2022,07:45:00 pm,0,-0.4,4.60
12/13/2022,08:00:00 pm,0,-0.5,4.60
12/13/2022,08:15:00 pm,0,-0.5,4.60
12/13/2022,08:30:00 pm,0,-0.4,4.60
12/13/2022,08:45:00 pm,0,-0.2,4.60
12/13/2022,09:00:00 pm,0,-0.3,4.60
12/13/2022,09:15:00 pm,0,-0.3,4.60
12/13/2022,09:30:00 pm,0,-0.3,4.60
12/13/2022,09:45:00 pm,0,-0.4,4.60
12/13/2022,10:00:00 pm,0,-0.5,4.70
12/13/2022,10:15:00 pm,0,-0.5,4.70
12/13/2022,10:30:00 pm,0,-0.5,4.70
12/13/2022,10:45:00 pm,0,-0.6,4.70
12/13/2022,11:00:00 pm,0,-0.5,4.70
12/13/2022,11:15:00 pm,0,-0.4,4.70
12/13/2022,11:30:00 pm,0,-0.5,4.70
12/13/2022,11:45:00 pm,0,-0.6,4.80
12/14/2022,12:00:00 am,0,-0.5,4.80
12/14/2022,12:15:00 am,0,-0.5,4.80
12/14/2022,12:30:00 am,0,-0.5,4.80
12/14/2022,12:45:00 am,0,-0.5,4.80
12/14/2022,01:00:00 am,0,-0.6,4.80
12/14/2022,01:15:00 am,0,-0.6,4.80
12/14/2022,01:30:00 am,0,-0.5,4.90
12/14/2022,01:45:00 am,0,-0.4,4.90
12/14/2022,02:00:00 am,0,-0.4,4.80
12/14/2022,02:15:00 am,0,-0.4,4.70
12/14/2022,02:30:00 am,0,-0.4,4.70
12/14/2022,02:45:00 am,0,-0.2,4.70
12/14/2022,03:00:00 am,0,-0.4,4.70
12/14/2022,03:15:00 am,0,-0.5,4.60
12/14/2022,03:30:00 am,0,-0.5,4.60
12/14/2022,03:45:00 am,0,-0.3,4.70
12/14/2022,04:00:00 am,0,-0.4,4.80
12/14/2022,04:15:00 am,0,-0.4,4.80
12/14/2022,04:30:00 am,0,-0.3,4.90
12/14/2022,04:45:00 am,0,-0.6,4.90
12/14/2022,05:00:00 am,0,-0.5,5.00
12/14/2022,05:15:00 am,0,-0.3,5.00
12/14/2022,05:30:00 am,0,-0.6,5.00
12/14/2022,05:45:00 am,0,-0.6,5.00
12/14/2022,06:00:00 am,0,-0.3,5.10
12/14/2022,06:15:00 am,0,-0.3,5.10
12/14/2022,06:30:00 am,0,-0.4,5.10
12/14/2022,06:45:00 am,0,-0.3,5.10
12/14/2022,07:00:00 am,0,-0.6,5.10
12/14/2022,07:15:00 am,0,-0.6,5.20
12/14/2022,07:30:00 am,0,-0.6,5.20
12/14/2022,07:45:00 am,0,-0.4,5.30
12/14/2022,08:00:00 am,0,-0.6,5.30
12/14/2022,08:15:00 am,0,-0.3,5.40
12/14/2022,08:30:00 am,0,-0.5,5.40
12/14/2022,08:45:00 am,0,-0.4,5.40
12/14/2022,09:00:00 am,0,-0.5,5.50
12/14/2022,09:15:00 am,0,-0.3,5.50
12/14/2022,09:30:00 am,0,-0.4,5.50
12/14/2022,09:45:00 am,0,-0.5,5.60
12/14/2022,10:00:00 am,0,-0.3,5.60
12/14/2022,10:15:00 am,0,-0.4,5.60
12/14/2022,10:30:00 am,0,-0.3,5.70
12/14/2022,10:45:00 am,0,-0.5,5.70
12/14/2022,11:00:00 am,0,-0.4,5.70
12/14/2022,11:15:00 am,0,-0.4,5.80
12/14/2022,11:30:00 am,0,-0.4,5.80
12/14/2022,11:45:00 am,0,-0.2,5.80
12/14/2022,12:00:00 pm,0,-0.1,5.90
12/14/2022,12:15:00 pm,0,-0.1,5.90
12/14/2022,12:30:00 pm,0,-0.3,5.90
12/14/2022,12:45:00 pm,0,-0.2,6.00
12/14/2022,01:00:00 pm,0,-0.2,6.00
12/14/2022,01:15:00 pm,0,-0.2,6.10
12/14/2022,01:30:00 pm,0,-0.2,6.10
12/14/2022,01:45:00 pm,0,0.0,6.10
12/14/2022,02:00:00 pm,0,0.0,6.20
12/14/2022,02:15:00 pm,0,0.0,6.20
12/14/2022,02:30:00 pm,0,-0.0,6.20
12/14/2022,02:45:00 pm,0,0.2,6.30
12/14/2022,03:00:00 pm,0,0.1,6.30
12/14/2022,03:15:00 pm,0,0.0,6.30
12/14/2022,03:30:00 pm,0,0.2,6.40
12/14/2022,03:45:00 pm,0,0.0,6.40
12/14/2022,04:00:00 pm,0,-0.2,6.40
12/14/2022,04:15:00 pm,0,0.1,6.50
12/14/2022,04:30:00 pm,0,-0.1,6.50
12/14/2022,04:45:00 pm,0,0.1,6.50
12/14/2022,05:00:00 pm,0,0.1,6.60
12/14/2022,05:15:00 pm,0,0.1,6.60
12/14/2022,05:30:00 pm,0,0.3,6.60
12/14/2022,05:45:00 pm,0,0.2,6.60
12/14/2022,06:00:00 pm,0,0.2,6.60
12/14/2022,06:15:00 pm,0,0.3,6.70
12/14/2022,06:30:00 pm,0,0.1,6.70
12/14/2022,06:45:00 pm,0,0.1,6.70
12/14/2022,07:00:00 pm,0,0.1,6.70
12/14/2022,07:15:00 pm,0,0.2,6.70
12/14/2022,07:30:00 pm,0,0.3,6.70
12/14/2022,07:45:00 pm,0,0.4,6.80
12/14/2022,08:00:00 pm,0,2.8,6.90
12/14/2022,08:15:00 pm,0,6.0,6.90
12/14/2022,08:30:00 pm,0,9.8,6.90
12/14/2022,08:45:00 pm,0,14.7,7.00
12/14/2022,09:00:00 pm,0,19.3,7.00
12/14/2022,09:15:00 pm,0,21.8,7.00
12/14/2022,09:30:00 pm,0,22.8,7.00
12/14/2022,09:45:00 pm,0,23.1,7.00
12/14/2022,10:00:00 pm,0,23.1,6.90
12/14/2022,10:15:00 pm,0,23.0,6.90
12/14/2022,10:30:00 pm,0,22.7,6.90
12/14/2022,10:45:00 pm,0,22.7,6.90
12/14/2022,11:00:00 pm,0,22.8,6.90
12/14/2022,11:15:00 pm,0,23.2,6.90
12/14/2022,11:30:00 pm,0,23.7,6.90
12/14/2022,11:45:00 pm,0,24.7,6.90
12/15/2022,12:00:00 am,0,25.5,6.90
12/15/2022,12:15:00 am,0,25.7,6.90
12/15/2022,12:30:00 am,0,26.2,6.90
12/15/2022,12:45:00 am,0,26.3,7.00
12/15/2022,01:00:00 am,0,26.3,7.00
12/15/2022,01:15:00 am,0,26.8,7.00
12/15/2022,01:30:00 am,0,26.5,7.00
12/15/2022,01:45:00 am,0,26.3,7.00
12/15/2022,02:00:00 am,0,26.1,7.00
12/15/2022,02:15:00 am,0,25.6,7.00
12/15/2022,02:30:00 am,0,25.2,7.00
12/15/2022,02:45:00 am,0,24.6,7.00
12/15/2022,03:00:00 am,0,24.2,7.00
12/15/2022,03:15:00 am,0,23.8,7.00
12/15/2022,03:30:00 am,0,23.2,7.10
12/15/2022,03:45:00 am,0,22.6,7.10
12/15/2022,04:00:00 am,0,22.3,7.10
12/15/2022,04:15:00 am,0,22.1,7.10
12/15/2022,04:30:00 am,0,21.8,7.10
12/15/2022,04:45:00 am,0,21.8,7.10
12/15/2022,05:00:00 am,0,21.5,7.10
12/15/2022,05:15:00 am,0,21.7,7.10
12/15/2022,05:30:00 am,0,21.4,7.10
12/15/2022,05:45:00 am,0,21.6,7.10
12/15/2022,06:00:00 am,0,21.3,7.10
12/15/2022,06:15:00 am,0,21.4,7.10
12/15/2022,06:30:00 am,0,21.2,7.10
12/15/2022,06:45:00 am,0,21.4,7.10
12/15/2022,07:00:00 am,0,21.3,7.10
12/15/2022,07:15:00 am,0,21.0,7.10
12/15/2022,07:30:00 am,0,21.2,7.10
12/15/2022,07:45:00 am,0,21.1,7.10
12/15/2022,08:00:00 am,0,21.0,7.10
12/15/2022,08:15:00 am,0,21.0,7.10
12/15/2022,08:30:00 am,0,21.0,7.10
12/15/2022,08:45:00 am,0,20.6,7.00
12/15/2022,09:00:00 am,0,20.6,7.00
12/15/2022,09:15:00 am,0,20.8,7.00
12/15/2022,09:30:00 am,0,20.7,7.00
12/15/2022,09:45:00 am,0,20.4,7.00
12/15/2022,10:00:00 am,0,20.4,7.00
12/15/2022,10:15:00 am,0,20.5,7.00
12/15/2022,10:30:00 am,0,20.6,7.00
12/15/2022,10:45:00 am,0,20.3,6.90
12/15/2022,11:00:00 am,0,20.3,6.90
12/15/2022,11:15:00 am,0,20.3,6.90
12/15/2022,11:30:00 am,0,20.1,6.90
12/15/2022,11:45:00 am,0,20.2,6.90
12/15/2022,12:00:00 pm,0,20.2,6.90
12/15/2022,12:15:00 pm,0,20.1,6.90
12/15/2022,12:30:00 pm,0,20.1,6.90
12/15/2022,12:45:00 pm,0,20.3,6.90
12/15/2022,01:00:00 pm,0,20.2,6.90
12/15/2022,01:15:00 pm,0,20.4,6.90
12/15/2022,01:30:00 pm,0,20.3,6.90
12/15/2022,01:45:00 pm,0,20.2,6.90
12/15/2022,02:00:00 pm,0,20.2,6.90
12/15/2022,02:15:00 pm,0,20.1,6.80
12/15/2022,02:30:00 pm,0,20.2,6.80
12/15/2022,02:45:00 pm,0,20.0,6.80
12/15/2022,03:00:00 pm,0,20.1,6.80
12/15/2022,03:15:00 pm,0,20.1,6.80
12/15/2022,03:30:00 pm,0,20.0,6.80
12/15/2022,03:45:00 pm,0,20.2,6.80
12/15/2022,04:00:00 pm,0,20.1,6.80
12/15/2022,04:15:00 pm,0,20.1,6.80
12/15/2022,04:30:00 pm,0,20.0,6.80
12/15/2022,04:45:00 pm,0,20.0,6.70
12/15/2022,05:00:00 pm,0,19.9,6.70
12/15/2022,05:15:00 pm,0,19.9,6.70
12/15/2022,05:30:00 pm,0,20.0,6.70
12/15/2022,05:45:00 pm,0,20.0,6.70
12/15/2022,06:00:00 pm,0,20.0,6.70
12/15/2022,06:15:00 pm,0,20.0,6.70
12/15/2022,06:30:00 pm,0,19.9,6.70
12/15/2022,06:45:00 pm,0,19.9,6.70
12/15/2022,07:00:00 pm,0,19.8,6.60
12/15/2022,07:15:00 pm,0,19.8,6.60
12/15/2022,07:30:00 pm,0,19.7,6.60
12/15/2022,07:45:00 pm,0,19.6,6.60
12/15/2022,08:00:00 pm,0,19.7,6.60
12/15/2022,08:15:00 pm,0,19.5,6.60
12/15/2022,08:30:00 pm,0,19.7,6.50
12/15/2022,08:45:00 pm,0,19.7,6.50
12/15/2022,09:00:00 pm,0,19.6,6.40
12/15/2022,09:15:00 pm,0,19.6,6.40
12/15/2022,09:30:00 pm,0,19.7,6.40
12/15/2022,09:45:00 pm,0,19.7,6.40
12/15/2022,10:00:00 pm,0,19.5,6.40
12/15/2022,10:15:00 pm,0,19.5,6.30
12/15/2022,10:30:00 pm,0,19.4,6.30
12/15/2022,10:45:00 pm,0,19.4,6.30
12/15/2022,11:00:00 pm,0,19.4,6.30
12/15/2022,11:15:00 pm,0,19.4,6.30
12/15/2022,11:30:00 pm,0,19.4,6.30
12/15/2022,11:45:00 pm,0,19.4,6.20
12/16/2022,12:00:00 am,0,19.3,6.20
12/16/2022,12:15:00 am,0,19.5,6.20
12/16/2022,12:30:00 am,0,19.3,6.20
12/16/2022,12:45:00 am,0,19.3,6.20
12/16/2022,01:00:00 am,0,19.4,6.10
12/16/2022,01:15:00 am,0,19.3,6.10
12/16/2022,01:30:00 am,0,19.4,6.10
12/16/2022,01:45:00 am,0,19.4,6.10
12/16/2022,02:00:00 am,0,19.3,6.00
12/16/2022,02:15:00 am,0,19.2,6.00
12/16/2022,02:30:00 am,0,19.3,6.00
12/16/2022,02:45:00 am,0,19.2,6.00
12/16/2022,03:00:00 am,0,19.1,6.00
12/16/2022,03:15:00 am,0,19.1,6.00
12/16/2022,03:30:00 am,0,19.1,6.00
12/16/2022,03:45:00 am,0,19.3,6.00
12/16/2022,04:00:00 am,0,19.2,5.90
12/16/2022,04:15:00 am,0,19.1,5.90
12/16/2022,04:30:00 am,0,19.2,5.90
12/16/2022,04:45:00 am,0,19.0,5.90
12/16/2022,05:00:00 am,0,19.0,5.90
12/16/2022,05:15:00 am,0,19.1,5.90
12/16/2022,05:30:00 am,0,19.1,5.90
12/16/2022,05:45:00 am,0,19.2,5.90
12/16/2022,06:00:00 am,0,19.0,5.90
12/16/2022,06:15:00 am,0,19.1,5.80
12/16/2022,06:30:00 am,0,19.0,5.80
12/16/2022,06:45:00 am,0,19.0,5.80
12/16/2022,07:00:00 am,0,19.0,5.80
12/16/2022,07:15:00 am,0,18.9,5.80
12/16/2022,07:30:00 am,0,18.9,5.80
12/16/2022,07:45:00 am,0,19.1,5.80
12/16/2022,08:00:00 am,0,19.0,5.80
12/16/2022,08:15:00 am,0,19.1,5.80
12/16/2022,08:30:00 am,0,19.1,5.80
12/16/2022,08:45:00 am,0,19.1,5.80
12/16/2022,09:00:00 am,0,19.1,5.80
12/16/2022,09:15:00 am,0,19.0,5.80
12/16/2022,09:30:00 am,0,18.9,5.80
12/16/2022,09:45:00 am,0,19.0,5.80
12/16/2022,10:00:00 am,0,18.8,5.80
