Serial_number:
2036204
Project ID:
ACRE Wetland
Location:
Outlet
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/10/2023,05:45:00 pm,0,0.249,5.80
3/10/2023,06:00:00 pm,0,0.250,5.70
3/10/2023,06:15:00 pm,0,0.247,5.60
3/10/2023,06:30:00 pm,0,0.248,5.50
3/10/2023,06:45:00 pm,0,0.248,5.50
3/10/2023,07:00:00 pm,0,0.246,5.40
3/10/2023,07:15:00 pm,0,0.248,5.40
3/10/2023,07:30:00 pm,0,0.247,5.30
3/10/2023,07:45:00 pm,0,0.249,5.30
3/10/2023,08:00:00 pm,0,0.247,5.20
3/10/2023,08:15:00 pm,0,0.245,5.20
3/10/2023,08:30:00 pm,0,0.246,5.20
3/10/2023,08:45:00 pm,0,0.247,5.10
3/10/2023,09:00:00 pm,0,0.246,5.10
3/10/2023,09:15:00 pm,0,0.247,5.10
3/10/2023,09:30:00 pm,0,0.245,5.00
3/10/2023,09:45:00 pm,0,0.245,5.00
3/10/2023,10:00:00 pm,0,0.246,5.00
3/10/2023,10:15:00 pm,0,0.244,5.00
3/10/2023,10:30:00 pm,0,0.244,4.90
3/10/2023,10:45:00 pm,0,0.245,4.90
3/10/2023,11:00:00 pm,0,0.244,4.90
3/10/2023,11:15:00 pm,0,0.243,4.90
3/10/2023,11:30:00 pm,0,0.245,4.90
3/10/2023,11:45:00 pm,0,0.242,4.80
3/11/2023,12:00:00 am,0,0.243,4.80
3/11/2023,12:15:00 am,0,0.245,4.80
3/11/2023,12:30:00 am,0,0.246,4.80
3/11/2023,12:45:00 am,0,0.243,4.70
3/11/2023,01:00:00 am,0,0.241,4.70
3/11/2023,01:15:00 am,0,0.241,4.60
3/11/2023,01:30:00 am,0,0.240,4.60
3/11/2023,01:45:00 am,0,0.238,4.40
3/11/2023,02:00:00 am,0,0.239,4.30
3/11/2023,02:15:00 am,0,0.238,4.20
3/11/2023,02:30:00 am,0,0.241,4.10
3/11/2023,02:45:00 am,0,0.239,4.00
3/11/2023,03:00:00 am,0,0.238,3.90
3/11/2023,03:15:00 am,0,0.239,3.80
