Serial_number:
2141634
Project ID:

Location:

LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/26/2023,12:45:00 pm,0,98.8089,19.842
3/26/2023,12:50:00 pm,0,98.8016,19.039
3/26/2023,12:55:00 pm,0,98.7836,18.426
3/26/2023,01:00:00 pm,0,98.7781,17.974
3/26/2023,01:05:00 pm,0,98.7776,17.738
3/26/2023,01:10:00 pm,0,98.7732,17.609
3/26/2023,01:15:00 pm,0,98.7623,17.548
3/26/2023,01:20:00 pm,0,98.7568,17.457
3/26/2023,01:25:00 pm,0,98.7479,17.493
3/26/2023,01:30:00 pm,0,98.7540,17.415
3/26/2023,01:35:00 pm,0,98.7519,17.334
3/26/2023,01:40:00 pm,0,98.7456,17.331
3/26/2023,01:45:00 pm,0,98.7523,17.457
3/26/2023,01:50:00 pm,0,98.7438,17.459
3/26/2023,01:55:00 pm,0,98.7392,17.638
3/26/2023,02:00:00 pm,0,98.7369,18.138
3/26/2023,02:05:00 pm,0,98.7455,18.218
3/26/2023,02:10:00 pm,0,98.7370,17.885
3/26/2023,02:15:00 pm,0,98.7237,17.687
3/26/2023,02:20:00 pm,0,98.7252,17.833
3/26/2023,02:25:00 pm,0,98.7288,18.113
3/26/2023,02:30:00 pm,0,98.7241,18.101
3/26/2023,02:35:00 pm,0,98.7172,17.855
3/26/2023,02:40:00 pm,0,98.7050,17.549
3/26/2023,02:45:00 pm,0,98.6970,17.485
3/26/2023,02:50:00 pm,0,98.6938,17.582
3/26/2023,02:55:00 pm,0,98.6896,17.885
3/26/2023,03:00:00 pm,0,98.6875,18.257
3/26/2023,03:05:00 pm,0,98.6835,18.473
3/26/2023,03:10:00 pm,0,98.6794,18.466
3/26/2023,03:15:00 pm,0,98.6758,18.400
3/26/2023,03:20:00 pm,0,98.6734,18.419
3/26/2023,03:25:00 pm,0,98.6725,18.146
3/26/2023,03:30:00 pm,0,98.6560,17.690
3/26/2023,03:35:00 pm,0,98.6507,17.281
3/26/2023,03:40:00 pm,0,98.6413,17.161
3/26/2023,03:45:00 pm,0,98.6424,17.556
3/26/2023,03:50:00 pm,0,98.6542,18.122
3/26/2023,03:55:00 pm,0,98.6503,18.523
3/26/2023,04:00:00 pm,0,98.6454,18.827
3/26/2023,04:05:00 pm,0,98.6430,18.761
3/26/2023,04:10:00 pm,0,98.6332,18.366
3/26/2023,04:15:00 pm,0,98.6074,17.861
3/26/2023,04:20:00 pm,0,98.5929,17.562
3/26/2023,04:25:00 pm,0,98.5889,17.369
3/26/2023,04:30:00 pm,0,98.5839,17.375
3/26/2023,04:35:00 pm,0,98.5814,17.400
3/26/2023,04:40:00 pm,0,98.5757,17.481
3/26/2023,04:45:00 pm,0,98.5703,17.587
3/26/2023,04:50:00 pm,0,98.5692,17.278
3/26/2023,04:55:00 pm,0,98.5626,16.963
3/26/2023,05:00:00 pm,0,98.5624,16.667
3/26/2023,05:05:00 pm,0,98.5544,16.635
3/26/2023,05:10:00 pm,0,98.5487,16.626
3/26/2023,05:15:00 pm,0,98.5403,16.622
3/26/2023,05:20:00 pm,0,98.5379,16.637
3/26/2023,05:25:00 pm,0,98.5355,16.550
3/26/2023,05:30:00 pm,0,98.5323,16.464
3/26/2023,05:35:00 pm,0,98.5252,16.374
3/26/2023,05:40:00 pm,0,98.5123,16.218
3/26/2023,05:45:00 pm,0,98.5129,16.073
3/26/2023,05:50:00 pm,0,98.5092,15.902
3/26/2023,05:55:00 pm,0,98.5066,15.754
3/26/2023,06:00:00 pm,0,98.5054,15.713
3/26/2023,06:05:00 pm,0,98.5048,15.678
3/26/2023,06:10:00 pm,0,98.4966,15.555
3/26/2023,06:15:00 pm,0,98.4989,15.414
3/26/2023,06:20:00 pm,0,98.4950,15.275
3/26/2023,06:25:00 pm,0,98.4972,15.093
3/26/2023,06:30:00 pm,0,98.4967,14.884
3/26/2023,06:35:00 pm,0,98.4996,14.647
3/26/2023,06:40:00 pm,0,98.5025,14.413
3/26/2023,06:45:00 pm,0,98.4979,14.174
3/26/2023,06:50:00 pm,0,98.4943,13.940
3/26/2023,06:55:00 pm,0,98.4965,13.699
3/26/2023,07:00:00 pm,0,98.5028,13.386
3/26/2023,07:05:00 pm,0,98.5084,13.073
3/26/2023,07:10:00 pm,0,98.5071,12.791
3/26/2023,07:15:00 pm,0,98.4958,12.549
3/26/2023,07:20:00 pm,0,98.5007,12.351
3/26/2023,07:25:00 pm,0,98.5049,12.024
3/26/2023,07:30:00 pm,0,98.5161,11.625
3/26/2023,07:35:00 pm,0,98.5198,11.214
3/26/2023,07:40:00 pm,0,98.5140,10.810
3/26/2023,07:45:00 pm,0,98.5085,10.458
3/26/2023,07:50:00 pm,0,98.4919,10.195
3/26/2023,07:55:00 pm,0,98.4660,10.015
3/26/2023,08:00:00 pm,0,98.4562,9.911
3/26/2023,08:05:00 pm,0,98.4681,9.860
3/26/2023,08:10:00 pm,0,98.5158,10.019
3/26/2023,08:15:00 pm,0,98.5202,10.408
3/26/2023,08:20:00 pm,0,98.5371,10.762
3/26/2023,08:25:00 pm,0,98.5491,11.101
3/26/2023,08:30:00 pm,0,98.5184,11.382
3/26/2023,08:35:00 pm,0,98.5358,11.503
3/26/2023,08:40:00 pm,0,98.5346,11.561
3/26/2023,08:45:00 pm,0,98.5758,11.584
3/26/2023,08:50:00 pm,0,98.6347,11.648
3/26/2023,08:55:00 pm,0,98.6181,11.674
3/26/2023,09:00:00 pm,0,98.6219,11.626
3/26/2023,09:05:00 pm,0,98.6231,11.598
3/26/2023,09:10:00 pm,0,98.6295,11.596
3/26/2023,09:15:00 pm,0,98.6576,11.651
3/26/2023,09:20:00 pm,0,98.6686,11.694
3/26/2023,09:25:00 pm,0,98.6782,11.719
3/26/2023,09:30:00 pm,0,98.6913,11.718
3/26/2023,09:35:00 pm,0,98.7050,11.651
3/26/2023,09:40:00 pm,0,98.6992,11.531
3/26/2023,09:45:00 pm,0,98.7069,11.355
3/26/2023,09:50:00 pm,0,98.7169,11.202
3/26/2023,09:55:00 pm,0,98.7200,11.061
3/26/2023,10:00:00 pm,0,98.7002,10.896
3/26/2023,10:05:00 pm,0,98.7050,10.703
3/26/2023,10:10:00 pm,0,98.7116,10.504
3/26/2023,10:15:00 pm,0,98.7178,10.290
3/26/2023,10:20:00 pm,0,98.7241,10.090
3/26/2023,10:25:00 pm,0,98.7290,9.894
3/26/2023,10:30:00 pm,0,98.7386,9.683
3/26/2023,10:35:00 pm,0,98.7427,9.487
3/26/2023,10:40:00 pm,0,98.7460,9.290
3/26/2023,10:45:00 pm,0,98.7592,9.107
3/26/2023,10:50:00 pm,0,98.7711,8.944
3/26/2023,10:55:00 pm,0,98.7702,8.815
3/26/2023,11:00:00 pm,0,98.7738,8.736
3/26/2023,11:05:00 pm,0,98.7648,8.666
3/26/2023,11:10:00 pm,0,98.7617,8.599
3/26/2023,11:15:00 pm,0,98.7653,8.549
3/26/2023,11:20:00 pm,0,98.7641,8.510
3/26/2023,11:25:00 pm,0,98.7712,8.453
3/26/2023,11:30:00 pm,0,98.7764,8.375
3/26/2023,11:35:00 pm,0,98.7751,8.283
3/26/2023,11:40:00 pm,0,98.7676,8.168
3/26/2023,11:45:00 pm,0,98.7776,8.037
3/26/2023,11:50:00 pm,0,98.7755,7.957
3/26/2023,11:55:00 pm,0,98.7749,7.892
3/27/2023,12:00:00 am,0,98.7855,7.806
3/27/2023,12:05:00 am,0,98.8062,7.737
3/27/2023,12:10:00 am,0,98.8356,7.695
3/27/2023,12:15:00 am,0,98.8519,7.693
3/27/2023,12:20:00 am,0,98.8420,7.700
3/27/2023,12:25:00 am,0,98.8232,7.679
3/27/2023,12:30:00 am,0,98.8169,7.633
3/27/2023,12:35:00 am,0,98.8194,7.582
3/27/2023,12:40:00 am,0,98.8183,7.542
3/27/2023,12:45:00 am,0,98.8116,7.518
3/27/2023,12:50:00 am,0,98.8119,7.494
3/27/2023,12:55:00 am,0,98.8240,7.468
3/27/2023,01:00:00 am,0,98.8822,7.424
3/27/2023,01:05:00 am,0,98.9104,7.291
3/27/2023,01:10:00 am,0,98.8933,7.101
3/27/2023,01:15:00 am,0,98.8916,6.892
3/27/2023,01:20:00 am,0,98.8694,6.659
3/27/2023,01:25:00 am,0,98.8623,6.454
3/27/2023,01:30:00 am,0,98.8505,6.281
3/27/2023,01:35:00 am,0,98.8502,6.126
3/27/2023,01:40:00 am,0,98.8603,6.005
3/27/2023,01:45:00 am,0,98.8626,5.904
3/27/2023,01:50:00 am,0,98.8720,5.799
3/27/2023,01:55:00 am,0,98.8781,5.718
3/27/2023,02:00:00 am,0,98.8656,5.661
3/27/2023,02:05:00 am,0,98.8571,5.629
3/27/2023,02:10:00 am,0,98.8693,5.602
3/27/2023,02:15:00 am,0,98.8909,5.581
3/27/2023,02:20:00 am,0,98.9021,5.563
3/27/2023,02:25:00 am,0,98.9128,5.538
3/27/2023,02:30:00 am,0,98.9107,5.509
3/27/2023,02:35:00 am,0,98.8957,5.471
3/27/2023,02:40:00 am,0,98.8973,5.430
3/27/2023,02:45:00 am,0,98.8856,5.362
3/27/2023,02:50:00 am,0,98.8848,5.299
3/27/2023,02:55:00 am,0,98.8645,5.240
3/27/2023,03:00:00 am,0,98.8417,5.156
3/27/2023,03:05:00 am,0,98.8419,5.072
3/27/2023,03:10:00 am,0,98.8377,4.992
3/27/2023,03:15:00 am,0,98.8214,4.931
3/27/2023,03:20:00 am,0,98.8477,4.872
3/27/2023,03:25:00 am,0,98.8447,4.805
3/27/2023,03:30:00 am,0,98.8466,4.765
3/27/2023,03:35:00 am,0,98.8573,4.735
3/27/2023,03:40:00 am,0,98.8527,4.717
3/27/2023,03:45:00 am,0,98.8278,4.699
3/27/2023,03:50:00 am,0,98.8152,4.679
3/27/2023,03:55:00 am,0,98.8326,4.642
3/27/2023,04:00:00 am,0,98.8471,4.614
3/27/2023,04:05:00 am,0,98.8625,4.591
3/27/2023,04:10:00 am,0,98.8848,4.566
3/27/2023,04:15:00 am,0,98.9117,4.532
3/27/2023,04:20:00 am,0,98.8991,4.506
3/27/2023,04:25:00 am,0,98.9110,4.458
3/27/2023,04:30:00 am,0,98.9085,4.420
3/27/2023,04:35:00 am,0,98.9156,4.385
3/27/2023,04:40:00 am,0,98.9069,4.357
3/27/2023,04:45:00 am,0,98.9184,4.320
3/27/2023,04:50:00 am,0,98.9181,4.279
3/27/2023,04:55:00 am,0,98.9099,4.240
3/27/2023,05:00:00 am,0,98.9177,4.198
3/27/2023,05:05:00 am,0,98.9334,4.161
3/27/2023,05:10:00 am,0,98.8946,4.131
3/27/2023,05:15:00 am,0,98.9249,4.100
3/27/2023,05:20:00 am,0,98.9787,4.073
3/27/2023,05:25:00 am,0,99.0019,4.063
3/27/2023,05:30:00 am,0,99.0025,4.060
3/27/2023,05:35:00 am,0,98.9743,4.056
3/27/2023,05:40:00 am,0,98.9745,4.047
3/27/2023,05:45:00 am,0,98.9710,4.031
3/27/2023,05:50:00 am,0,98.9647,4.016
3/27/2023,05:55:00 am,0,98.9579,3.992
3/27/2023,06:00:00 am,0,98.9647,3.973
3/27/2023,06:05:00 am,0,98.9799,3.958
3/27/2023,06:10:00 am,0,98.9906,3.927
3/27/2023,06:15:00 am,0,98.9956,3.908
