Serial_number:
2035083
Project ID:
ACRE Wetland
Location:
Center
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/26/2023,12:45:00 pm,0,24.4,7.10
3/26/2023,01:00:00 pm,0,24.7,7.10
3/26/2023,01:15:00 pm,0,24.6,7.10
3/26/2023,01:30:00 pm,0,24.7,7.10
3/26/2023,01:45:00 pm,0,24.7,7.10
3/26/2023,02:00:00 pm,0,24.6,7.10
3/26/2023,02:15:00 pm,0,24.7,7.10
3/26/2023,02:30:00 pm,0,24.4,7.10
3/26/2023,02:45:00 pm,0,24.7,7.10
3/26/2023,03:00:00 pm,0,24.5,7.20
3/26/2023,03:15:00 pm,0,24.6,7.20
3/26/2023,03:30:00 pm,0,24.8,7.20
3/26/2023,03:45:00 pm,0,24.6,7.30
3/26/2023,04:00:00 pm,0,24.3,7.30
3/26/2023,04:15:00 pm,0,24.4,7.30
3/26/2023,04:30:00 pm,0,24.6,7.30
3/26/2023,04:45:00 pm,0,24.8,7.40
3/26/2023,05:00:00 pm,0,24.5,7.40
3/26/2023,05:15:00 pm,0,24.8,7.40
3/26/2023,05:30:00 pm,0,24.6,7.40
3/26/2023,05:45:00 pm,0,24.7,7.40
3/26/2023,06:00:00 pm,0,24.8,7.50
3/26/2023,06:15:00 pm,0,24.6,7.50
3/26/2023,06:30:00 pm,0,24.6,7.50
3/26/2023,06:45:00 pm,0,24.6,7.50
3/26/2023,07:00:00 pm,0,24.6,7.50
3/26/2023,07:15:00 pm,0,24.6,7.50
3/26/2023,07:30:00 pm,0,24.4,7.50
3/26/2023,07:45:00 pm,0,24.5,7.50
3/26/2023,08:00:00 pm,0,24.4,7.50
3/26/2023,08:15:00 pm,0,24.4,7.50
3/26/2023,08:30:00 pm,0,24.1,7.50
3/26/2023,08:45:00 pm,0,24.1,7.50
3/26/2023,09:00:00 pm,0,24.2,7.50
3/26/2023,09:15:00 pm,0,24.2,7.50
3/26/2023,09:30:00 pm,0,24.1,7.40
3/26/2023,09:45:00 pm,0,24.0,7.40
3/26/2023,10:00:00 pm,0,24.0,7.40
3/26/2023,10:15:00 pm,0,24.2,7.40
3/26/2023,10:30:00 pm,0,24.2,7.40
3/26/2023,10:45:00 pm,0,24.3,7.40
3/26/2023,11:00:00 pm,0,24.2,7.40
3/26/2023,11:15:00 pm,0,24.0,7.30
3/26/2023,11:30:00 pm,0,24.2,7.30
3/26/2023,11:45:00 pm,0,24.1,7.30
3/27/2023,12:00:00 am,0,24.1,7.30
3/27/2023,12:15:00 am,0,24.0,7.20
3/27/2023,12:30:00 am,0,24.0,7.20
3/27/2023,12:45:00 am,0,24.1,7.20
3/27/2023,01:00:00 am,0,24.0,7.20
3/27/2023,01:15:00 am,0,23.9,7.20
3/27/2023,01:30:00 am,0,24.0,7.20
3/27/2023,01:45:00 am,0,23.9,7.10
3/27/2023,02:00:00 am,0,23.9,7.10
3/27/2023,02:15:00 am,0,23.9,7.10
3/27/2023,02:30:00 am,0,24.0,7.10
3/27/2023,02:45:00 am,0,23.9,7.10
3/27/2023,03:00:00 am,0,23.8,7.10
3/27/2023,03:15:00 am,0,23.7,7.00
3/27/2023,03:30:00 am,0,23.7,7.00
3/27/2023,03:45:00 am,0,23.6,7.00
3/27/2023,04:00:00 am,0,23.7,7.00
3/27/2023,04:15:00 am,0,23.7,7.00
3/27/2023,04:30:00 am,0,23.7,7.00
3/27/2023,04:45:00 am,0,23.9,7.00
3/27/2023,05:00:00 am,0,23.6,7.00
3/27/2023,05:15:00 am,0,23.5,6.90
