Serial_number:
2074981
Project ID:
Field 63
Location:
ACRE
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/26/2023,11:00:00 am,0,0.271,6.90
3/26/2023,11:05:00 am,0,0.271,6.60
3/26/2023,11:10:00 am,0,0.271,6.40
3/26/2023,11:15:00 am,0,0.270,6.30
3/26/2023,11:20:00 am,0,0.271,6.30
3/26/2023,11:25:00 am,0,0.271,6.30
3/26/2023,11:30:00 am,0,0.271,6.20
3/26/2023,11:35:00 am,0,0.270,6.20
3/26/2023,11:40:00 am,0,0.271,6.20
3/26/2023,11:45:00 am,0,0.270,6.20
3/26/2023,11:50:00 am,0,0.269,6.20
3/26/2023,11:55:00 am,0,0.269,6.20
3/26/2023,12:00:00 pm,0,0.268,6.20
3/26/2023,12:05:00 pm,0,0.267,6.20
3/26/2023,12:10:00 pm,0,0.268,6.20
3/26/2023,12:15:00 pm,0,0.266,6.10
3/26/2023,12:20:00 pm,0,0.268,6.10
3/26/2023,12:25:00 pm,0,0.267,6.10
3/26/2023,12:30:00 pm,0,0.266,6.10
3/26/2023,12:35:00 pm,0,0.267,6.10
3/26/2023,12:40:00 pm,0,0.267,6.10
3/26/2023,12:45:00 pm,0,0.267,6.10
3/26/2023,12:50:00 pm,0,0.266,6.10
3/26/2023,12:55:00 pm,0,0.267,6.10
3/26/2023,01:00:00 pm,0,0.267,6.10
3/26/2023,01:05:00 pm,0,0.267,6.10
3/26/2023,01:10:00 pm,0,0.266,6.10
3/26/2023,01:15:00 pm,0,0.266,6.10
3/26/2023,01:20:00 pm,0,0.265,6.10
3/26/2023,01:25:00 pm,0,0.265,6.10
3/26/2023,01:30:00 pm,0,0.265,6.10
3/26/2023,01:35:00 pm,0,0.264,6.10
3/26/2023,01:40:00 pm,0,0.263,6.10
3/26/2023,01:45:00 pm,0,0.262,6.10
3/26/2023,01:50:00 pm,0,0.262,6.10
3/26/2023,01:55:00 pm,0,0.260,6.10
3/26/2023,02:00:00 pm,0,0.260,6.10
3/26/2023,02:05:00 pm,0,0.259,6.10
3/26/2023,02:10:00 pm,0,0.258,6.10
3/26/2023,02:15:00 pm,0,0.258,6.10
3/26/2023,02:20:00 pm,0,0.258,6.10
3/26/2023,02:25:00 pm,0,0.255,6.10
3/26/2023,02:30:00 pm,0,0.256,6.10
3/26/2023,02:35:00 pm,0,0.256,6.10
3/26/2023,02:40:00 pm,0,0.257,6.10
3/26/2023,02:45:00 pm,0,0.255,6.10
3/26/2023,02:50:00 pm,0,0.255,6.10
3/26/2023,02:55:00 pm,0,0.253,6.10
3/26/2023,03:00:00 pm,0,0.253,6.10
3/26/2023,03:05:00 pm,0,0.251,6.10
3/26/2023,03:10:00 pm,0,0.251,6.10
3/26/2023,03:15:00 pm,0,0.251,6.10
3/26/2023,03:20:00 pm,0,0.249,6.10
3/26/2023,03:25:00 pm,0,0.249,6.10
3/26/2023,03:30:00 pm,0,0.251,6.10
3/26/2023,03:35:00 pm,0,0.250,6.10
3/26/2023,03:40:00 pm,0,0.249,6.10
3/26/2023,03:45:00 pm,0,0.249,6.10
3/26/2023,03:50:00 pm,0,0.248,6.10
3/26/2023,03:55:00 pm,0,0.245,6.10
3/26/2023,04:00:00 pm,0,0.245,6.10
3/26/2023,04:05:00 pm,0,0.245,6.10
3/26/2023,04:10:00 pm,0,0.244,6.10
3/26/2023,04:15:00 pm,0,0.246,6.10
3/26/2023,04:20:00 pm,0,0.245,6.10
3/26/2023,04:25:00 pm,0,0.245,6.10
3/26/2023,04:30:00 pm,0,0.243,6.10
3/26/2023,04:35:00 pm,0,0.243,6.10
3/26/2023,04:40:00 pm,0,0.243,6.10
3/26/2023,04:45:00 pm,0,0.244,6.10
