Datetime,ms,Pressure(kPa),Temp(C)
2023-02-15 16:39:57,0,98.7825,13.177
2023-02-15 16:44:57,0,98.7801,12.833
2023-02-15 16:49:57,0,98.7746,12.368
2023-02-15 16:54:57,0,98.7747,12.026
2023-02-15 16:59:57,0,98.7841,11.729
2023-02-15 17:04:57,0,98.7929,11.45
2023-02-15 17:09:57,0,98.8011,11.146
2023-02-15 17:14:57,0,98.8093,10.838
2023-02-15 17:19:57,0,98.8072,10.622
2023-02-15 17:24:57,0,98.8019,10.456
2023-02-15 17:29:57,0,98.8089,10.231
2023-02-15 17:34:57,0,98.8122,9.936
2023-02-15 17:39:57,0,98.8207,9.604
2023-02-15 17:44:57,0,98.8184,9.318
2023-02-15 17:49:57,0,98.8291,9.025
2023-02-15 17:54:57,0,98.8327,8.73
2023-02-15 17:59:57,0,98.8445,8.444
2023-02-15 18:04:57,0,98.8408,8.159
2023-02-15 18:09:57,0,98.8573,7.874
2023-02-15 18:14:57,0,98.8617,7.598
2023-02-15 18:19:57,0,98.8675,7.309
2023-02-15 18:24:57,0,98.8733,7.013
2023-02-15 18:29:57,0,98.8839,6.735
2023-02-15 18:34:57,0,98.8848,6.465
2023-02-15 18:39:57,0,98.9002,6.244
2023-02-15 18:44:57,0,98.9118,6.063
2023-02-15 18:49:57,0,98.913,5.887
2023-02-15 18:54:57,0,98.9217,5.707
2023-02-15 18:59:57,0,98.9342,5.503
2023-02-15 19:04:57,0,98.9408,5.273
2023-02-15 19:09:57,0,98.957,5.054
2023-02-15 19:14:57,0,98.9654,4.843
2023-02-15 19:19:57,0,98.9659,4.634
2023-02-15 19:24:57,0,98.9693,4.438
2023-02-15 19:29:57,0,98.9779,4.292
2023-02-15 19:34:57,0,98.9916,4.154
2023-02-15 19:39:57,0,98.9944,3.971
2023-02-15 19:44:57,0,98.9962,3.785
2023-02-15 19:49:57,0,99.0026,3.618
2023-02-15 19:54:57,0,99.005,3.462
2023-02-15 19:59:57,0,99.0079,3.298
2023-02-15 20:04:57,0,99.0137,3.133
2023-02-15 20:09:57,0,99.0155,2.965
2023-02-15 20:14:57,0,99.03,2.802
2023-02-15 20:19:57,0,99.0391,2.651
2023-02-15 20:24:57,0,99.0408,2.509
2023-02-15 20:29:57,0,99.0466,2.38
2023-02-15 20:34:57,0,99.0572,2.26
2023-02-15 20:39:57,0,99.061,2.143
2023-02-15 20:44:57,0,99.0662,2.032
2023-02-15 20:49:57,0,99.0776,1.932
2023-02-15 20:54:57,0,99.0845,1.832
2023-02-15 20:59:57,0,99.0938,1.728
2023-02-15 21:04:57,0,99.0935,1.631
2023-02-15 21:09:57,0,99.1024,1.54
2023-02-15 21:14:57,0,99.1138,1.444
2023-02-15 21:19:57,0,99.1144,1.366
2023-02-15 21:24:57,0,99.1278,1.295
2023-02-15 21:29:57,0,99.1406,1.206
2023-02-15 21:34:57,0,99.1426,1.119
2023-02-15 21:39:57,0,99.1372,1.039
2023-02-15 21:44:57,0,99.1308,0.939
2023-02-15 21:49:57,0,99.1298,0.85
2023-02-15 21:54:57,0,99.1278,0.783
2023-02-15 21:59:57,0,99.134,0.747
2023-02-15 22:04:57,0,99.1462,0.693
2023-02-15 22:09:57,0,99.1517,0.616
2023-02-15 22:14:57,0,99.1537,0.537
2023-02-15 22:19:57,0,99.1525,0.451
2023-02-15 22:24:57,0,99.1385,0.368
2023-02-15 22:29:57,0,99.1321,0.286
2023-02-15 22:34:57,0,99.1349,0.196
2023-02-15 22:39:57,0,99.1377,0.127
2023-02-15 22:44:57,0,99.1282,0.052
2023-02-15 22:49:57,0,99.1172,-0.004
2023-02-15 22:54:57,0,99.1279,-0.033
2023-02-15 22:59:57,0,99.131,-0.044
2023-02-15 23:04:57,0,99.1412,-0.004
2023-02-15 23:09:57,0,99.1515,0.058
2023-02-15 23:14:57,0,99.1677,0.166
2023-02-15 23:19:57,0,99.1697,0.333
2023-02-15 23:24:57,0,99.1745,0.528
2023-02-15 23:29:57,0,99.1953,0.689
2023-02-15 23:34:57,0,99.2033,0.794
2023-02-15 23:39:57,0,99.208,0.875
2023-02-15 23:44:57,0,99.2013,0.921
2023-02-15 23:49:57,0,99.1939,0.922
2023-02-15 23:54:57,0,99.185,0.902
2023-02-15 23:59:57,0,99.1802,0.911
2023-02-16 00:04:57,0,99.1857,0.928
2023-02-16 00:09:57,0,99.1739,0.948
2023-02-16 00:14:57,0,99.1501,0.962
2023-02-16 00:19:57,0,99.1495,0.943
2023-02-16 00:24:57,0,99.1474,0.885
2023-02-16 00:29:57,0,99.1296,0.799
2023-02-16 00:34:57,0,99.1266,0.699
2023-02-16 00:39:57,0,99.1242,0.626
2023-02-16 00:44:57,0,99.1349,0.55
2023-02-16 00:49:57,0,99.1167,0.454
2023-02-16 00:54:57,0,99.1124,0.392
2023-02-16 00:59:57,0,99.1151,0.357
2023-02-16 01:04:57,0,99.1086,0.309
2023-02-16 01:09:57,0,99.1139,0.245
2023-02-16 01:14:57,0,99.1124,0.221
2023-02-16 01:19:57,0,99.1093,0.242
2023-02-16 01:24:57,0,99.1072,0.277
2023-02-16 01:29:57,0,99.0798,0.28
2023-02-16 01:34:57,0,99.0852,0.325
2023-02-16 01:39:57,0,99.083,0.436
2023-02-16 01:44:57,0,99.0775,0.569
2023-02-16 01:49:57,0,99.071,0.669
2023-02-16 01:54:57,0,99.067,0.744
2023-02-16 01:59:57,0,99.0828,0.85
2023-02-16 02:04:57,0,99.0755,0.994
2023-02-16 02:09:57,0,99.0651,1.149
2023-02-16 02:14:57,0,99.0502,1.306
2023-02-16 02:19:57,0,99.0665,1.45
2023-02-16 02:24:57,0,99.0665,1.596
2023-02-16 02:29:57,0,99.05,1.743
2023-02-16 02:34:57,0,99.0368,1.878
2023-02-16 02:39:57,0,99.0308,1.996
2023-02-16 02:44:57,0,99.0349,2.055
2023-02-16 02:49:57,0,99.0517,2.061
2023-02-16 02:54:57,0,99.0264,2.044
2023-02-16 02:59:57,0,99.021,2.027
2023-02-16 03:04:57,0,99.043,2.015
2023-02-16 03:09:57,0,99.0224,2.029
2023-02-16 03:14:57,0,99.0115,2.05
2023-02-16 03:19:57,0,99.0036,2.068
2023-02-16 03:24:57,0,98.994,2.1
2023-02-16 03:29:57,0,98.9637,2.133
2023-02-16 03:34:57,0,98.9523,2.142
2023-02-16 03:39:57,0,98.9351,2.135
2023-02-16 03:44:57,0,98.935,2.109
2023-02-16 03:49:57,0,98.9128,2.075
2023-02-16 03:54:57,0,98.9277,2.019
2023-02-16 03:59:57,0,98.9614,1.95
2023-02-16 04:04:57,0,98.9516,1.891
2023-02-16 04:09:57,0,98.9274,1.838
2023-02-16 04:14:57,0,98.9311,1.807
