Datetime,ms,Level(m),Temp(C)
2023-02-25 14:15:00,0,24.8,6.2
2023-02-25 14:30:00,0,24.8,6.2
2023-02-25 14:45:00,0,24.5,6.2
2023-02-25 15:00:00,0,24.7,6.2
2023-02-25 15:15:00,0,24.6,6.2
2023-02-25 15:30:00,0,24.7,6.2
2023-02-25 15:45:00,0,24.5,6.2
2023-02-25 16:00:00,0,24.5,6.2
2023-02-25 16:15:00,0,24.4,6.2
2023-02-25 16:30:00,0,24.6,6.2
2023-02-25 16:45:00,0,24.5,6.3
2023-02-25 17:00:00,0,24.7,6.3
2023-02-25 17:15:00,0,24.4,6.3
2023-02-25 17:30:00,0,24.6,6.3
2023-02-25 17:45:00,0,24.5,6.3
2023-02-25 18:00:00,0,24.5,6.3
2023-02-25 18:15:00,0,24.3,6.3
2023-02-25 18:30:00,0,24.3,6.2
2023-02-25 18:45:00,0,24.3,6.2
2023-02-25 19:00:00,0,24.1,6.2
2023-02-25 19:15:00,0,24.0,6.1
2023-02-25 19:30:00,0,24.0,6.1
2023-02-25 19:45:00,0,24.0,6.1
2023-02-25 20:00:00,0,23.8,6.0
2023-02-25 20:15:00,0,23.7,6.0
2023-02-25 20:30:00,0,23.7,6.0
2023-02-25 20:45:00,0,23.7,5.9
2023-02-25 21:00:00,0,23.7,5.9
2023-02-25 21:15:00,0,23.5,5.9
2023-02-25 21:30:00,0,23.5,5.9
2023-02-25 21:45:00,0,23.7,5.9
2023-02-25 22:00:00,0,23.5,5.8
2023-02-25 22:15:00,0,23.6,5.8
2023-02-25 22:30:00,0,23.5,5.8
2023-02-25 22:45:00,0,23.6,5.8
2023-02-25 23:00:00,0,23.5,5.8
2023-02-25 23:15:00,0,23.5,5.8
2023-02-25 23:30:00,0,23.6,5.8
2023-02-25 23:45:00,0,23.6,5.8
2023-02-26 00:00:00,0,23.5,5.7
2023-02-26 00:15:00,0,23.4,5.7
2023-02-26 00:30:00,0,23.5,5.7
2023-02-26 00:45:00,0,23.5,5.7
2023-02-26 01:00:00,0,23.5,5.7
2023-02-26 01:15:00,0,23.4,5.7
2023-02-26 01:30:00,0,23.3,5.7
2023-02-26 01:45:00,0,23.3,5.7
2023-02-26 02:00:00,0,23.4,5.7
2023-02-26 02:15:00,0,23.4,5.6
2023-02-26 02:30:00,0,23.1,5.6
2023-02-26 02:45:00,0,23.3,5.6
2023-02-26 03:00:00,0,23.1,5.6
2023-02-26 03:15:00,0,23.2,5.5
2023-02-26 03:30:00,0,23.3,5.5
2023-02-26 03:45:00,0,23.0,5.5
2023-02-26 04:00:00,0,23.2,5.6
2023-02-26 04:15:00,0,23.1,5.5
2023-02-26 04:30:00,0,23.2,5.5
2023-02-26 04:45:00,0,23.3,5.6
2023-02-26 05:00:00,0,23.0,5.5
2023-02-26 05:15:00,0,23.0,5.5
2023-02-26 05:30:00,0,23.2,5.5
2023-02-26 05:45:00,0,23.0,5.5
2023-02-26 06:00:00,0,23.1,5.5
