Datetime,ms,Level(m),Temp(C)
2023-02-25 13:15:00,0,0.278,7.5
2023-02-25 13:30:00,0,0.284,7.5
2023-02-25 13:45:00,0,0.284,7.4
2023-02-25 14:00:00,0,0.287,7.3
2023-02-25 14:15:00,0,0.29,7.2
2023-02-25 14:30:00,0,0.29,7.2
2023-02-25 14:45:00,0,0.29,7.2
2023-02-25 15:00:00,0,0.289,7.2
2023-02-25 15:15:00,0,0.288,7.1
2023-02-25 15:30:00,0,0.289,7.1
2023-02-25 15:45:00,0,0.287,7.0
2023-02-25 16:00:00,0,0.287,6.9
2023-02-25 16:15:00,0,0.286,6.8
2023-02-25 16:30:00,0,0.288,6.8
2023-02-25 16:45:00,0,0.287,6.7
2023-02-25 17:00:00,0,0.289,6.6
2023-02-25 17:15:00,0,0.286,6.5
2023-02-25 17:30:00,0,0.285,6.5
2023-02-25 17:45:00,0,0.287,6.4
2023-02-25 18:00:00,0,0.287,6.3
2023-02-25 18:15:00,0,0.285,6.1
2023-02-25 18:30:00,0,0.285,6.0
2023-02-25 18:45:00,0,0.285,5.8
2023-02-25 19:00:00,0,0.283,5.6
2023-02-25 19:15:00,0,0.282,5.4
2023-02-25 19:30:00,0,0.279,5.3
2023-02-25 19:45:00,0,0.282,5.2
2023-02-25 20:00:00,0,0.28,5.0
2023-02-25 20:15:00,0,0.279,4.9
2023-02-25 20:30:00,0,0.279,4.8
2023-02-25 20:45:00,0,0.279,4.7
2023-02-25 21:00:00,0,0.276,4.6
2023-02-25 21:15:00,0,0.277,4.6
2023-02-25 21:30:00,0,0.277,4.5
2023-02-25 21:45:00,0,0.276,4.4
2023-02-25 22:00:00,0,0.277,4.4
2023-02-25 22:15:00,0,0.275,4.4
2023-02-25 22:30:00,0,0.274,4.4
2023-02-25 22:45:00,0,0.275,4.4
2023-02-25 23:00:00,0,0.274,4.4
2023-02-25 23:15:00,0,0.274,4.3
2023-02-25 23:30:00,0,0.275,4.3
2023-02-25 23:45:00,0,0.272,4.2
2023-02-26 00:00:00,0,0.274,4.1
2023-02-26 00:15:00,0,0.273,4.1
2023-02-26 00:30:00,0,0.271,4.0
2023-02-26 00:45:00,0,0.271,4.0
2023-02-26 01:00:00,0,0.271,4.0
2023-02-26 01:15:00,0,0.27,3.9
2023-02-26 01:30:00,0,0.269,3.9
2023-02-26 01:45:00,0,0.272,3.9
2023-02-26 02:00:00,0,0.27,3.9
2023-02-26 02:15:00,0,0.27,3.9
2023-02-26 02:30:00,0,0.27,3.8
2023-02-26 02:45:00,0,0.269,3.8
2023-02-26 03:00:00,0,0.27,3.8
2023-02-26 03:15:00,0,0.268,3.8
2023-02-26 03:30:00,0,0.269,3.7
2023-02-26 03:45:00,0,0.266,3.7
2023-02-26 04:00:00,0,0.268,3.7
2023-02-26 04:15:00,0,0.267,3.7
2023-02-26 04:30:00,0,0.268,3.6
2023-02-26 04:45:00,0,0.266,3.6
2023-02-26 05:00:00,0,0.266,3.6
2023-02-26 05:15:00,0,0.266,3.6
2023-02-26 05:30:00,0,0.265,3.5
2023-02-26 05:45:00,0,0.263,3.5
2023-02-26 06:00:00,0,0.267,3.5
2023-02-26 06:15:00,0,0.263,3.4
2023-02-26 06:30:00,0,0.264,3.4
2023-02-26 06:45:00,0,0.266,3.4
2023-02-26 07:00:00,0,0.263,3.4
2023-02-26 07:15:00,0,0.262,3.3
2023-02-26 07:30:00,0,0.264,3.3
2023-02-26 07:45:00,0,0.263,3.3
2023-02-26 08:00:00,0,0.263,3.3
2023-02-26 08:15:00,0,0.262,3.3
2023-02-26 08:30:00,0,0.26,3.3
2023-02-26 08:45:00,0,0.262,3.4
2023-02-26 09:00:00,0,0.262,3.5
2023-02-26 09:15:00,0,0.263,3.6
2023-02-26 09:30:00,0,0.262,3.7
2023-02-26 09:45:00,0,0.264,4.0
2023-02-26 10:00:00,0,0.263,4.2
2023-02-26 10:15:00,0,0.263,4.5
2023-02-26 10:30:00,0,0.262,4.8
2023-02-26 10:45:00,0,0.265,5.2
2023-02-26 11:00:00,0,0.263,5.5
2023-02-26 11:15:00,0,0.263,5.9
2023-02-26 11:30:00,0,0.266,6.3
2023-02-26 11:45:00,0,0.264,6.6
2023-02-26 12:00:00,0,0.264,7.0
2023-02-26 12:15:00,0,0.262,7.4
2023-02-26 12:30:00,0,0.265,7.8
2023-02-26 12:45:00,0,0.261,8.2
2023-02-26 13:00:00,0,0.263,8.7
2023-02-26 13:15:00,0,0.263,9.2
2023-02-26 13:30:00,0,0.262,9.7
2023-02-26 13:45:00,0,0.262,10.1
2023-02-26 14:00:00,0,0.262,10.5
