Serial_number:
2141634
Project ID:

Location:


UNIT: m

UNIT: m
Date,Time,ms,,
11/4/2021,09:30:00 am,0,100.248,7.136
11/4/2021,09:30:00 am,125,100.271,4.287
11/4/2021,09:30:00 am,250,100.268,3.657
11/4/2021,09:30:00 am,375,100.262,3.658
11/4/2021,09:30:00 am,500,100.270,4.185
11/4/2021,09:30:00 am,625,100.265,5.979
11/4/2021,09:30:00 am,750,100.260,8.732
11/4/2021,09:30:00 am,875,100.279,9.933
11/4/2021,09:30:01 am,0,100.278,9.922
11/4/2021,09:30:01 am,125,100.258,10.868
11/4/2021,09:30:01 am,250,100.232,12.492
11/4/2021,09:30:01 am,375,100.210,13.898
11/4/2021,09:30:01 am,500,100.202,14.215
11/4/2021,09:30:01 am,625,100.193,14.260
11/4/2021,09:30:01 am,750,100.178,13.065
11/4/2021,09:30:01 am,875,100.150,11.419
11/4/2021,09:30:02 am,0,100.124,10.691
11/4/2021,09:30:02 am,125,100.105,10.387
11/4/2021,09:30:02 am,250,100.101,10.207
11/4/2021,09:30:02 am,375,100.100,10.136
11/4/2021,09:30:02 am,500,100.096,10.158
11/4/2021,09:30:02 am,625,100.105,13.001
11/4/2021,09:30:02 am,750,100.104,14.044
11/4/2021,09:30:02 am,875,100.100,13.991
11/4/2021,09:30:03 am,0,100.096,13.587
11/4/2021,09:30:03 am,125,100.072,11.689
11/4/2021,09:30:03 am,250,100.054,11.242
11/4/2021,09:30:03 am,375,100.063,9.758
11/4/2021,09:30:03 am,500,100.064,8.091
11/4/2021,09:30:03 am,625,100.063,7.009
11/4/2021,09:30:03 am,750,100.062,6.392
11/4/2021,09:30:03 am,875,100.078,5.655
11/4/2021,09:30:04 am,0,100.084,4.933
11/4/2021,09:30:04 am,125,100.098,4.276
11/4/2021,09:30:04 am,250,100.101,3.727
11/4/2021,09:30:04 am,375,100.113,3.255
11/4/2021,09:30:04 am,500,100.112,2.882
11/4/2021,09:30:04 am,625,100.119,2.538
11/4/2021,09:30:04 am,750,100.133,2.208
11/4/2021,09:30:04 am,875,100.137,1.897
11/4/2021,09:30:05 am,0,100.142,1.787
11/4/2021,09:30:05 am,125,100.150,1.455
11/4/2021,09:30:05 am,250,100.141,1.243
11/4/2021,09:30:05 am,375,100.142,1.076
11/4/2021,09:30:05 am,500,100.146,0.865
11/4/2021,09:30:05 am,625,100.161,0.704
11/4/2021,09:30:05 am,750,100.167,0.490
11/4/2021,09:30:05 am,875,100.184,0.470
11/4/2021,09:30:06 am,0,100.189,0.269
11/4/2021,09:30:06 am,125,100.200,0.212
11/4/2021,09:30:06 am,250,100.211,0.039
11/4/2021,09:30:06 am,375,100.228,-0.239
11/4/2021,09:30:06 am,500,100.244,-0.355
11/4/2021,09:30:06 am,625,100.243,-0.494
11/4/2021,09:30:06 am,750,100.247,-0.366
11/4/2021,09:30:06 am,875,100.248,-0.392
11/4/2021,09:30:07 am,0,100.246,-0.434
11/4/2021,09:30:07 am,125,100.251,-0.547
11/4/2021,09:30:07 am,250,100.259,-0.713
11/4/2021,09:30:07 am,375,100.263,-0.802
11/4/2021,09:30:07 am,500,100.270,-0.942
11/4/2021,09:30:07 am,625,100.280,-1.072
11/4/2021,09:30:07 am,750,100.276,-1.025
11/4/2021,09:30:07 am,875,100.259,-1.115
11/4/2021,09:30:08 am,0,100.264,-1.194
11/4/2021,09:30:08 am,125,100.268,-1.151
11/4/2021,09:30:08 am,250,100.269,-0.989
11/4/2021,09:30:08 am,375,100.270,-0.854
11/4/2021,09:30:08 am,500,100.268,-0.733
11/4/2021,09:30:08 am,625,100.269,-0.886
11/4/2021,09:30:08 am,750,100.271,-1.034
11/4/2021,09:30:08 am,875,100.262,-1.122
11/4/2021,09:30:09 am,0,100.270,-1.182
11/4/2021,09:30:09 am,125,100.283,-1.149
11/4/2021,09:30:09 am,250,100.297,-1.018
11/4/2021,09:30:09 am,375,100.313,-0.922
11/4/2021,09:30:09 am,500,100.324,-0.846
11/4/2021,09:30:09 am,625,100.329,-0.856
11/4/2021,09:30:09 am,750,100.337,-0.906
11/4/2021,09:30:09 am,875,100.347,-1.050
11/4/2021,09:30:10 am,0,100.367,-1.127
11/4/2021,09:30:10 am,125,100.370,-1.247
11/4/2021,09:30:10 am,250,100.383,-1.304
11/4/2021,09:30:10 am,375,100.394,-1.359
11/4/2021,09:30:10 am,500,100.395,-1.437
11/4/2021,09:30:10 am,625,100.408,-1.409
11/4/2021,09:30:10 am,750,100.410,-1.427
11/4/2021,09:30:10 am,875,100.431,-1.670
11/4/2021,09:30:11 am,0,100.448,-1.650
11/4/2021,09:30:11 am,125,100.474,-1.611
11/4/2021,09:30:11 am,250,100.493,-1.486
11/4/2021,09:30:11 am,375,100.506,-1.208
11/4/2021,09:30:11 am,500,100.523,-0.797
11/4/2021,09:30:11 am,625,100.541,-0.266
11/4/2021,09:30:11 am,750,100.551,0.350
11/4/2021,09:30:11 am,875,100.548,0.976
11/4/2021,09:30:12 am,0,100.550,1.612
11/4/2021,09:30:12 am,125,100.536,2.252
11/4/2021,09:30:12 am,250,100.528,3.042
11/4/2021,09:30:12 am,375,100.512,3.964
11/4/2021,09:30:12 am,500,100.505,4.878
11/4/2021,09:30:12 am,625,100.473,6.975
11/4/2021,09:30:12 am,750,100.447,9.911
11/4/2021,09:30:12 am,875,100.440,11.162
11/4/2021,09:30:13 am,0,100.432,11.313
11/4/2021,09:30:13 am,125,100.406,12.250
11/4/2021,09:30:13 am,250,100.370,14.018
11/4/2021,09:30:13 am,375,100.349,15.701
11/4/2021,09:30:13 am,500,100.339,15.807
11/4/2021,09:30:13 am,625,100.307,16.230
11/4/2021,09:30:13 am,750,100.256,17.348
11/4/2021,09:30:13 am,875,100.220,18.097
11/4/2021,09:30:14 am,0,100.183,18.689
11/4/2021,09:30:14 am,125,100.168,18.894
11/4/2021,09:30:14 am,250,100.138,17.758
11/4/2021,09:30:14 am,375,100.097,16.016
11/4/2021,09:30:14 am,500,100.064,15.701
11/4/2021,09:30:14 am,625,100.039,15.319
11/4/2021,09:30:14 am,750,100.020,15.060
11/4/2021,09:30:14 am,875,100.013,14.591
11/4/2021,09:30:15 am,0,100.014,13.642
11/4/2021,09:30:15 am,125,100.001,12.050
11/4/2021,09:30:15 am,250,99.995,11.583
11/4/2021,09:30:15 am,375,100.010,10.400
11/4/2021,09:30:15 am,500,100.008,9.149
11/4/2021,09:30:15 am,625,100.008,8.273
11/4/2021,09:30:15 am,750,100.005,7.624
11/4/2021,09:30:15 am,875,100.010,6.815
11/4/2021,09:30:16 am,0,100.018,6.065
11/4/2021,09:30:16 am,125,100.011,5.391
11/4/2021,09:30:16 am,250,100.012,4.700
11/4/2021,09:30:16 am,375,100.024,4.134
11/4/2021,09:30:16 am,500,100.014,3.744
11/4/2021,09:30:16 am,625,100.032,3.353
11/4/2021,09:30:16 am,750,100.058,3.131
11/4/2021,09:30:16 am,875,100.062,2.850
11/4/2021,09:30:17 am,0,100.067,2.424
11/4/2021,09:30:17 am,125,100.057,2.059
11/4/2021,09:30:17 am,250,100.041,1.920
11/4/2021,09:30:17 am,375,100.035,1.700
11/4/2021,09:30:17 am,500,100.019,1.574
11/4/2021,09:30:17 am,625,100.024,1.524
11/4/2021,09:30:17 am,750,100.000,1.487
11/4/2021,09:30:17 am,875,100.004,1.471
11/4/2021,09:30:18 am,0,100.018,1.430
11/4/2021,09:30:18 am,125,100.032,1.409
11/4/2021,09:30:18 am,250,100.045,1.334
11/4/2021,09:30:18 am,375,100.046,1.143
11/4/2021,09:30:18 am,500,100.070,0.813
11/4/2021,09:30:18 am,625,100.062,0.645
11/4/2021,09:30:18 am,750,100.071,0.531
11/4/2021,09:30:18 am,875,100.077,0.407
11/4/2021,09:30:19 am,0,100.077,0.312
11/4/2021,09:30:19 am,125,100.091,0.251
11/4/2021,09:30:19 am,250,100.079,0.157
11/4/2021,09:30:19 am,375,100.089,0.087
11/4/2021,09:30:19 am,500,100.078,0.118
11/4/2021,09:30:19 am,625,100.086,-0.014
11/4/2021,09:30:19 am,750,100.071,-0.051
11/4/2021,09:30:19 am,875,100.063,-0.069
11/4/2021,09:30:20 am,0,100.067,-0.123
11/4/2021,09:30:20 am,125,100.075,-0.251
11/4/2021,09:30:20 am,250,100.091,-0.327
11/4/2021,09:30:20 am,375,100.090,-0.313
11/4/2021,09:30:20 am,500,100.098,-0.351
11/4/2021,09:30:20 am,625,100.107,-0.511
11/4/2021,09:30:20 am,750,100.106,-0.546
11/4/2021,09:30:20 am,875,100.111,-0.817
11/4/2021,09:30:21 am,0,100.100,-0.972
11/4/2021,09:30:21 am,125,100.102,-0.955
11/4/2021,09:30:21 am,250,100.092,-0.978
11/4/2021,09:30:21 am,375,100.100,-1.097
11/4/2021,09:30:21 am,500,100.115,-1.157
11/4/2021,09:30:21 am,625,100.110,-1.160
11/4/2021,09:30:21 am,750,100.127,-1.133
11/4/2021,09:30:21 am,875,100.132,-1.061
11/4/2021,09:30:22 am,0,100.110,-1.213
11/4/2021,09:30:22 am,125,100.111,-1.339
11/4/2021,09:30:22 am,250,100.107,-1.464
11/4/2021,09:30:22 am,375,100.107,-1.536
11/4/2021,09:30:22 am,500,100.111,-1.598
11/4/2021,09:30:22 am,625,100.105,-1.516
11/4/2021,09:30:22 am,750,100.107,-1.539
11/4/2021,09:30:22 am,875,100.112,-1.421
11/4/2021,09:30:23 am,0,100.112,-1.202
11/4/2021,09:30:23 am,125,100.113,-0.972
11/4/2021,09:30:23 am,250,100.114,-0.657
11/4/2021,09:30:23 am,375,100.120,-0.381
11/4/2021,09:30:23 am,500,100.127,-0.153
11/4/2021,09:30:23 am,625,100.133,-0.005
11/4/2021,09:30:23 am,750,100.130,0.287
11/4/2021,09:30:23 am,875,100.110,0.890
11/4/2021,09:30:24 am,0,100.106,1.525
11/4/2021,09:30:24 am,125,100.094,2.182
11/4/2021,09:30:24 am,250,100.084,2.892
11/4/2021,09:30:24 am,375,100.057,3.634
11/4/2021,09:30:24 am,500,100.028,4.628
11/4/2021,09:30:24 am,625,99.990,6.217
11/4/2021,09:30:24 am,750,99.957,8.481
11/4/2021,09:30:24 am,875,99.931,9.860
11/4/2021,09:30:25 am,0,99.912,10.616
11/4/2021,09:30:25 am,125,99.870,11.888
11/4/2021,09:30:25 am,250,99.832,13.811
11/4/2021,09:30:25 am,375,99.824,15.434
11/4/2021,09:30:25 am,500,99.816,16.062
11/4/2021,09:30:25 am,625,99.796,16.978
11/4/2021,09:30:25 am,750,99.777,17.925
11/4/2021,09:30:25 am,875,99.753,18.833
11/4/2021,09:30:26 am,0,99.733,19.268
11/4/2021,09:30:26 am,125,99.716,19.617
11/4/2021,09:30:26 am,250,99.708,19.740
11/4/2021,09:30:26 am,375,99.699,19.583
11/4/2021,09:30:26 am,500,99.690,19.079
11/4/2021,09:30:26 am,625,99.683,18.609
11/4/2021,09:30:26 am,750,99.653,18.214
11/4/2021,09:30:26 am,875,99.640,17.516
11/4/2021,09:30:27 am,0,99.640,16.384
11/4/2021,09:30:27 am,125,99.624,14.712
11/4/2021,09:30:27 am,250,99.603,14.103
11/4/2021,09:30:27 am,375,99.606,12.890
11/4/2021,09:30:27 am,500,99.614,11.598
11/4/2021,09:30:27 am,625,99.598,10.538
11/4/2021,09:30:27 am,750,99.596,9.803
11/4/2021,09:30:27 am,875,99.594,8.984
11/4/2021,09:30:28 am,0,99.615,8.141
11/4/2021,09:30:28 am,125,99.614,7.396
11/4/2021,09:30:28 am,250,99.633,6.720
11/4/2021,09:30:28 am,375,99.652,6.146
11/4/2021,09:30:28 am,500,99.674,5.589
11/4/2021,09:30:28 am,625,99.677,5.120
11/4/2021,09:30:28 am,750,99.694,4.679
11/4/2021,09:30:28 am,875,99.702,4.421
11/4/2021,09:30:29 am,0,99.714,4.227
11/4/2021,09:30:29 am,125,99.692,4.107
11/4/2021,09:30:29 am,250,99.694,3.944
11/4/2021,09:30:29 am,375,99.691,3.866
11/4/2021,09:30:29 am,500,99.686,3.845
11/4/2021,09:30:29 am,625,99.688,3.776
11/4/2021,09:30:29 am,750,99.697,3.714
11/4/2021,09:30:29 am,875,99.691,3.683
11/4/2021,09:30:30 am,0,99.690,3.651
11/4/2021,09:30:30 am,125,99.708,3.597
11/4/2021,09:30:30 am,250,99.730,3.586
11/4/2021,09:30:30 am,375,99.740,3.555
11/4/2021,09:30:30 am,500,99.742,3.445
11/4/2021,09:30:30 am,625,99.733,3.269
11/4/2021,09:30:30 am,750,99.732,3.107
11/4/2021,09:30:30 am,875,99.707,2.991
11/4/2021,09:30:31 am,0,99.707,2.830
11/4/2021,09:30:31 am,125,99.681,2.892
11/4/2021,09:30:31 am,250,99.658,3.020
11/4/2021,09:30:31 am,375,99.653,3.260
11/4/2021,09:30:31 am,500,99.632,3.413
11/4/2021,09:30:31 am,625,99.636,3.619
11/4/2021,09:30:31 am,750,99.629,3.724
11/4/2021,09:30:31 am,875,99.623,3.725
11/4/2021,09:30:32 am,0,99.627,3.660
11/4/2021,09:30:32 am,125,99.627,3.519
11/4/2021,09:30:32 am,250,99.643,3.453
11/4/2021,09:30:32 am,375,99.641,3.348
11/4/2021,09:30:32 am,500,99.622,3.314
11/4/2021,09:30:32 am,625,99.628,3.275
11/4/2021,09:30:32 am,750,99.613,3.277
11/4/2021,09:30:32 am,875,99.621,3.296
11/4/2021,09:30:33 am,0,99.613,3.243
11/4/2021,09:30:33 am,125,99.621,3.139
11/4/2021,09:30:33 am,250,99.636,3.061
11/4/2021,09:30:33 am,375,99.639,3.006
11/4/2021,09:30:33 am,500,99.654,2.988
11/4/2021,09:30:33 am,625,99.655,2.936
11/4/2021,09:30:33 am,750,99.655,2.913
11/4/2021,09:30:33 am,875,99.680,2.785
11/4/2021,09:30:34 am,0,99.703,2.784
11/4/2021,09:30:34 am,125,99.712,2.781
11/4/2021,09:30:34 am,250,99.726,2.788
11/4/2021,09:30:34 am,375,99.734,2.827
11/4/2021,09:30:34 am,500,99.739,2.892
11/4/2021,09:30:34 am,625,99.751,2.912
11/4/2021,09:30:34 am,750,99.772,2.891
11/4/2021,09:30:34 am,875,99.757,2.887
11/4/2021,09:30:35 am,0,99.757,2.884
11/4/2021,09:30:35 am,125,99.778,2.996
11/4/2021,09:30:35 am,250,99.770,3.173
11/4/2021,09:30:35 am,375,99.769,3.301
11/4/2021,09:30:35 am,500,99.800,3.558
11/4/2021,09:30:35 am,625,99.809,4.053
11/4/2021,09:30:35 am,750,99.826,4.629
11/4/2021,09:30:35 am,875,99.839,5.239
11/4/2021,09:30:36 am,0,99.849,5.853
11/4/2021,09:30:36 am,125,99.867,6.439
11/4/2021,09:30:36 am,250,99.854,7.007
11/4/2021,09:30:36 am,375,99.852,7.889
11/4/2021,09:30:36 am,500,99.849,8.892
11/4/2021,09:30:36 am,625,99.842,10.367
11/4/2021,09:30:36 am,750,99.825,12.401
11/4/2021,09:30:36 am,875,99.812,13.600
11/4/2021,09:30:37 am,0,99.813,14.349
11/4/2021,09:30:37 am,125,99.814,15.586
11/4/2021,09:30:37 am,250,99.793,17.020
11/4/2021,09:30:37 am,375,99.755,18.413
11/4/2021,09:30:37 am,500,99.728,18.996
11/4/2021,09:30:37 am,625,99.713,19.860
11/4/2021,09:30:37 am,750,99.681,21.427
11/4/2021,09:30:37 am,875,99.661,22.352
11/4/2021,09:30:38 am,0,99.661,22.674
11/4/2021,09:30:38 am,125,99.631,22.683
11/4/2021,09:30:38 am,250,99.600,22.416
11/4/2021,09:30:38 am,375,99.583,22.114
11/4/2021,09:30:38 am,500,99.564,22.008
11/4/2021,09:30:38 am,625,99.543,21.675
11/4/2021,09:30:38 am,750,99.525,21.098
11/4/2021,09:30:38 am,875,99.533,20.133
11/4/2021,09:30:39 am,0,99.528,19.010
11/4/2021,09:30:39 am,125,99.502,18.333
11/4/2021,09:30:39 am,250,99.487,17.528
11/4/2021,09:30:39 am,375,99.502,16.842
11/4/2021,09:30:39 am,500,99.505,15.934
11/4/2021,09:30:39 am,625,99.515,14.877
11/4/2021,09:30:39 am,750,99.521,13.857
11/4/2021,09:30:39 am,875,99.526,12.865
11/4/2021,09:30:40 am,0,99.536,11.826
11/4/2021,09:30:40 am,125,99.538,11.007
