Serial_number:
2141634
Project ID:
ACRE Wetland
Location:
Center Baro
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
1/12/2022,03:15:00 pm,0,99.0057,8.229
1/12/2022,03:30:00 pm,0,98.9591,6.992
1/12/2022,03:45:00 pm,0,98.9652,6.258
1/12/2022,04:00:00 pm,0,99.0032,5.716
1/12/2022,04:15:00 pm,0,99.0537,5.421
1/12/2022,04:30:00 pm,0,99.0606,5.335
1/12/2022,04:45:00 pm,0,99.0513,5.282
1/12/2022,05:00:00 pm,0,99.0697,4.996
1/12/2022,05:15:00 pm,0,99.0697,4.677
1/12/2022,05:30:00 pm,0,99.0665,4.294
1/12/2022,05:45:00 pm,0,99.0634,3.831
1/12/2022,06:00:00 pm,0,99.0643,3.385
1/12/2022,06:15:00 pm,0,99.0600,2.841
1/12/2022,06:30:00 pm,0,99.0567,2.478
1/12/2022,06:45:00 pm,0,99.0391,2.041
1/12/2022,07:00:00 pm,0,99.0439,1.604
1/12/2022,07:15:00 pm,0,99.0704,1.091
1/12/2022,07:30:00 pm,0,99.0927,0.897
1/12/2022,07:45:00 pm,0,99.1091,0.763
1/12/2022,08:00:00 pm,0,99.1275,0.695
1/12/2022,08:15:00 pm,0,99.1579,0.540
1/12/2022,08:30:00 pm,0,99.1628,0.451
1/12/2022,08:45:00 pm,0,99.1698,0.422
1/12/2022,09:00:00 pm,0,99.1651,0.174
1/12/2022,09:15:00 pm,0,99.1650,-0.238
1/12/2022,09:30:00 pm,0,99.1731,-0.693
1/12/2022,09:45:00 pm,0,99.1509,-1.086
1/12/2022,10:00:00 pm,0,99.1218,-1.297
1/12/2022,10:15:00 pm,0,99.1031,-1.526
1/12/2022,10:30:00 pm,0,99.0703,-1.652
1/12/2022,10:45:00 pm,0,99.0568,-1.747
1/12/2022,11:00:00 pm,0,99.0380,-1.743
1/12/2022,11:15:00 pm,0,99.0235,-1.689
1/12/2022,11:30:00 pm,0,99.0044,-1.577
1/12/2022,11:45:00 pm,0,98.9721,-1.551
1/13/2022,12:00:00 am,0,98.9585,-1.565
1/13/2022,12:15:00 am,0,98.9489,-1.504
1/13/2022,12:30:00 am,0,98.9506,-1.496
1/13/2022,12:45:00 am,0,98.9411,-1.590
1/13/2022,01:00:00 am,0,98.9404,-1.781
1/13/2022,01:15:00 am,0,98.9213,-1.974
1/13/2022,01:30:00 am,0,98.8976,-2.158
1/13/2022,01:45:00 am,0,98.8963,-2.222
1/13/2022,02:00:00 am,0,98.8904,-2.283
1/13/2022,02:15:00 am,0,98.8754,-2.341
1/13/2022,02:30:00 am,0,98.8510,-2.311
1/13/2022,02:45:00 am,0,98.8319,-2.112
