Serial_number:
2141634
Project ID:
ACRE Wetland
Location:
Center Baro
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/23/2022,01:15:00 pm,0,97.2291,18.524
3/23/2022,01:30:00 pm,0,97.2568,14.705
3/23/2022,01:45:00 pm,0,97.2589,14.717
3/23/2022,02:00:00 pm,0,97.2486,14.388
3/23/2022,02:15:00 pm,0,97.2571,13.965
3/23/2022,02:30:00 pm,0,97.2090,15.757
3/23/2022,02:45:00 pm,0,97.2341,15.410
3/23/2022,03:00:00 pm,0,97.2485,15.185
3/23/2022,03:15:00 pm,0,97.2451,14.720
3/23/2022,03:30:00 pm,0,97.2382,15.182
3/23/2022,03:45:00 pm,0,97.2711,15.228
3/23/2022,04:00:00 pm,0,97.2913,14.587
3/23/2022,04:15:00 pm,0,97.3178,14.146
3/23/2022,04:30:00 pm,0,97.3486,13.257
3/23/2022,04:45:00 pm,0,97.3871,12.533
3/23/2022,05:00:00 pm,0,97.4253,11.924
3/23/2022,05:15:00 pm,0,97.4545,11.504
3/23/2022,05:30:00 pm,0,97.5239,10.741
3/23/2022,05:45:00 pm,0,97.5379,10.094
3/23/2022,06:00:00 pm,0,97.5532,9.717
3/23/2022,06:15:00 pm,0,97.5714,9.602
3/23/2022,06:30:00 pm,0,97.6073,9.354
3/23/2022,06:45:00 pm,0,97.6352,8.962
3/23/2022,07:00:00 pm,0,97.6562,8.974
3/23/2022,07:15:00 pm,0,97.6802,8.979
3/23/2022,07:30:00 pm,0,97.6964,8.988
3/23/2022,07:45:00 pm,0,97.7129,8.796
3/23/2022,08:00:00 pm,0,97.7315,8.558
3/23/2022,08:15:00 pm,0,97.7501,8.373
3/23/2022,08:30:00 pm,0,97.7753,8.239
3/23/2022,08:45:00 pm,0,97.7832,8.146
3/23/2022,09:00:00 pm,0,97.7996,8.035
3/23/2022,09:15:00 pm,0,97.8084,7.935
3/23/2022,09:30:00 pm,0,97.8037,7.882
3/23/2022,09:45:00 pm,0,97.8130,7.855
3/23/2022,10:00:00 pm,0,97.8241,7.755
3/23/2022,10:15:00 pm,0,97.8439,7.507
3/23/2022,10:30:00 pm,0,97.8592,7.335
3/23/2022,10:45:00 pm,0,97.8650,7.136
3/23/2022,11:00:00 pm,0,97.8748,7.202
3/23/2022,11:15:00 pm,0,97.8768,7.246
3/23/2022,11:30:00 pm,0,97.8785,7.149
3/23/2022,11:45:00 pm,0,97.8764,7.076
3/24/2022,12:00:00 am,0,97.8954,7.052
3/24/2022,12:15:00 am,0,97.9001,7.012
3/24/2022,12:30:00 am,0,97.9014,6.994
3/24/2022,12:45:00 am,0,97.9168,6.917
3/24/2022,01:00:00 am,0,97.9299,6.777
3/24/2022,01:15:00 am,0,97.9440,6.660
3/24/2022,01:30:00 am,0,97.9626,6.588
3/24/2022,01:45:00 am,0,97.9833,6.523
3/24/2022,02:00:00 am,0,97.9986,6.433
3/24/2022,02:15:00 am,0,98.0034,6.275
3/24/2022,02:30:00 am,0,98.0103,6.171
3/24/2022,02:45:00 am,0,98.0237,6.088
3/24/2022,03:00:00 am,0,98.0317,6.062
3/24/2022,03:15:00 am,0,98.0180,6.024
3/24/2022,03:30:00 am,0,98.0219,5.978
3/24/2022,03:45:00 am,0,98.0272,5.927
3/24/2022,04:00:00 am,0,98.0509,5.784
3/24/2022,04:15:00 am,0,98.0655,5.734
3/24/2022,04:30:00 am,0,98.0756,5.389
3/24/2022,04:45:00 am,0,98.0902,5.123
3/24/2022,05:00:00 am,0,98.0998,5.057
3/24/2022,05:15:00 am,0,98.1128,5.132
3/24/2022,05:30:00 am,0,98.1343,5.212
3/24/2022,05:45:00 am,0,98.1393,5.233
3/24/2022,06:00:00 am,0,98.1520,5.191
3/24/2022,06:15:00 am,0,98.1558,4.965
3/24/2022,06:30:00 am,0,98.1739,4.775
3/24/2022,06:45:00 am,0,98.1867,4.653
3/24/2022,07:00:00 am,0,98.2101,4.577
3/24/2022,07:15:00 am,0,98.2278,4.426
3/24/2022,07:30:00 am,0,98.2422,4.240
3/24/2022,07:45:00 am,0,98.2589,4.219
3/24/2022,08:00:00 am,0,98.2725,4.344
3/24/2022,08:15:00 am,0,98.2687,4.596
3/24/2022,08:30:00 am,0,98.2703,4.733
3/24/2022,08:45:00 am,0,98.2631,5.073
3/24/2022,09:00:00 am,0,98.2764,5.527
3/24/2022,09:15:00 am,0,98.2775,5.986
3/24/2022,09:30:00 am,0,98.2770,6.236
3/24/2022,09:45:00 am,0,98.2768,6.429
3/24/2022,10:00:00 am,0,98.2760,6.655
3/24/2022,10:15:00 am,0,98.2745,6.623
3/24/2022,10:30:00 am,0,98.2776,6.349
3/24/2022,10:45:00 am,0,98.2623,6.445
3/24/2022,11:00:00 am,0,98.2422,7.038
3/24/2022,11:15:00 am,0,98.2320,7.983
3/24/2022,11:30:00 am,0,98.2381,7.264
3/24/2022,11:45:00 am,0,98.2369,6.320
3/24/2022,12:00:00 pm,0,98.2312,6.834
3/24/2022,12:15:00 pm,0,98.2464,6.847
3/24/2022,12:30:00 pm,0,98.2464,6.509
3/24/2022,12:45:00 pm,0,98.2628,6.437
3/24/2022,01:00:00 pm,0,98.2516,6.594
3/24/2022,01:15:00 pm,0,98.2506,7.265
3/24/2022,01:30:00 pm,0,98.2481,7.935
3/24/2022,01:45:00 pm,0,98.2524,7.459
3/24/2022,02:00:00 pm,0,98.2481,7.267
3/24/2022,02:15:00 pm,0,98.2433,7.372
3/24/2022,02:30:00 pm,0,98.2448,7.379
3/24/2022,02:45:00 pm,0,98.2563,7.259
3/24/2022,03:00:00 pm,0,98.2571,6.248
3/24/2022,03:15:00 pm,0,98.2635,6.253
3/24/2022,03:30:00 pm,0,98.2721,6.636
3/24/2022,03:45:00 pm,0,98.2822,6.594
3/24/2022,04:00:00 pm,0,98.2824,6.210
3/24/2022,04:15:00 pm,0,98.2830,6.082
3/24/2022,04:30:00 pm,0,98.3022,6.203
3/24/2022,04:45:00 pm,0,98.3084,6.238
3/24/2022,05:00:00 pm,0,98.3136,6.133
3/24/2022,05:15:00 pm,0,98.3258,5.911
3/24/2022,05:30:00 pm,0,98.3346,5.682
3/24/2022,05:45:00 pm,0,98.3460,5.596
3/24/2022,06:00:00 pm,0,98.3630,5.380
3/24/2022,06:15:00 pm,0,98.3823,5.393
3/24/2022,06:30:00 pm,0,98.4024,5.443
3/24/2022,06:45:00 pm,0,98.4006,5.475
3/24/2022,07:00:00 pm,0,98.4044,5.438
3/24/2022,07:15:00 pm,0,98.4034,5.440
3/24/2022,07:30:00 pm,0,98.4192,5.360
3/24/2022,07:45:00 pm,0,98.4292,5.314
3/24/2022,08:00:00 pm,0,98.4444,5.238
3/24/2022,08:15:00 pm,0,98.4645,5.315
3/24/2022,08:30:00 pm,0,98.4797,5.334
3/24/2022,08:45:00 pm,0,98.4883,5.277
3/24/2022,09:00:00 pm,0,98.4839,5.301
3/24/2022,09:15:00 pm,0,98.4830,5.334
3/24/2022,09:30:00 pm,0,98.4816,5.352
3/24/2022,09:45:00 pm,0,98.4802,5.307
3/24/2022,10:00:00 pm,0,98.4654,5.294
3/24/2022,10:15:00 pm,0,98.4508,5.208
3/24/2022,10:30:00 pm,0,98.4358,5.173
3/24/2022,10:45:00 pm,0,98.4244,5.134
3/24/2022,11:00:00 pm,0,98.4326,5.121
3/24/2022,11:15:00 pm,0,98.4275,5.082
3/24/2022,11:30:00 pm,0,98.4289,5.049
3/24/2022,11:45:00 pm,0,98.4375,5.043
3/25/2022,12:00:00 am,0,98.4374,5.013
3/25/2022,12:15:00 am,0,98.4327,4.990
3/25/2022,12:30:00 am,0,98.4326,4.947
3/25/2022,12:45:00 am,0,98.4351,4.891
3/25/2022,01:00:00 am,0,98.4327,4.854
3/25/2022,01:15:00 am,0,98.4244,4.802
3/25/2022,01:30:00 am,0,98.4291,4.750
3/25/2022,01:45:00 am,0,98.4229,4.697
3/25/2022,02:00:00 am,0,98.4150,4.651
3/25/2022,02:15:00 am,0,98.4084,4.617
3/25/2022,02:30:00 am,0,98.3972,4.548
3/25/2022,02:45:00 am,0,98.3892,4.475
3/25/2022,03:00:00 am,0,98.3763,4.407
3/25/2022,03:15:00 am,0,98.3733,4.389
3/25/2022,03:30:00 am,0,98.3743,4.397
3/25/2022,03:45:00 am,0,98.3816,4.452
3/25/2022,04:00:00 am,0,98.3687,4.511
3/25/2022,04:15:00 am,0,98.3760,4.556
3/25/2022,04:30:00 am,0,98.3631,4.601
3/25/2022,04:45:00 am,0,98.3592,4.609
3/25/2022,05:00:00 am,0,98.3626,4.558
3/25/2022,05:15:00 am,0,98.3577,4.518
3/25/2022,05:30:00 am,0,98.3581,4.519
3/25/2022,05:45:00 am,0,98.3621,4.537
3/25/2022,06:00:00 am,0,98.3650,4.558
3/25/2022,06:15:00 am,0,98.3654,4.552
3/25/2022,06:30:00 am,0,98.3675,4.542
3/25/2022,06:45:00 am,0,98.3782,4.554
3/25/2022,07:00:00 am,0,98.3814,4.400
3/25/2022,07:15:00 am,0,98.3893,4.365
3/25/2022,07:30:00 am,0,98.3974,4.423
3/25/2022,07:45:00 am,0,98.4035,4.459
3/25/2022,08:00:00 am,0,98.4108,4.493
3/25/2022,08:15:00 am,0,98.4214,4.531
3/25/2022,08:30:00 am,0,98.4188,4.441
3/25/2022,08:45:00 am,0,98.4105,4.398
3/25/2022,09:00:00 am,0,98.4090,4.554
3/25/2022,09:15:00 am,0,98.4067,4.558
3/25/2022,09:30:00 am,0,98.4168,4.584
