Serial_number:
2141634
Project ID:

Location:

LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/28/2022,01:30:00 pm,0,99.7583,28.670
6/28/2022,01:35:00 pm,0,99.7570,28.508
6/28/2022,01:40:00 pm,0,99.7513,28.423
6/28/2022,01:45:00 pm,0,99.7492,28.393
6/28/2022,01:50:00 pm,0,99.7463,28.259
6/28/2022,01:55:00 pm,0,99.7434,28.388
6/28/2022,02:00:00 pm,0,99.7428,28.539
6/28/2022,02:05:00 pm,0,99.7319,28.684
6/28/2022,02:10:00 pm,0,99.7294,28.902
6/28/2022,02:15:00 pm,0,99.7218,29.125
6/28/2022,02:20:00 pm,0,99.7236,29.348
6/28/2022,02:25:00 pm,0,99.7208,29.440
6/28/2022,02:30:00 pm,0,99.7180,29.581
6/28/2022,02:35:00 pm,0,99.7173,29.628
6/28/2022,02:40:00 pm,0,99.7136,29.723
6/28/2022,02:45:00 pm,0,99.7113,29.870
6/28/2022,02:50:00 pm,0,99.7066,30.118
6/28/2022,02:55:00 pm,0,99.7069,30.186
6/28/2022,03:00:00 pm,0,99.7048,30.228
6/28/2022,03:05:00 pm,0,99.6919,30.324
6/28/2022,03:10:00 pm,0,99.6933,30.463
6/28/2022,03:15:00 pm,0,99.6864,30.484
6/28/2022,03:20:00 pm,0,99.6854,30.522
6/28/2022,03:25:00 pm,0,99.6818,30.809
6/28/2022,03:30:00 pm,0,99.6806,31.176
6/28/2022,03:35:00 pm,0,99.6740,31.488
6/28/2022,03:40:00 pm,0,99.6751,31.703
6/28/2022,03:45:00 pm,0,99.6701,31.927
6/28/2022,03:50:00 pm,0,99.6649,32.070
6/28/2022,03:55:00 pm,0,99.6610,31.993
6/28/2022,04:00:00 pm,0,99.6503,32.013
6/28/2022,04:05:00 pm,0,99.6445,32.246
6/28/2022,04:10:00 pm,0,99.6449,32.359
6/28/2022,04:15:00 pm,0,99.6423,31.484
6/28/2022,04:20:00 pm,0,99.6304,30.296
6/28/2022,04:25:00 pm,0,99.6216,29.320
6/28/2022,04:30:00 pm,0,99.6134,28.612
6/28/2022,04:35:00 pm,0,99.6029,28.086
6/28/2022,04:40:00 pm,0,99.5938,27.653
6/28/2022,04:45:00 pm,0,99.5884,27.304
6/28/2022,04:50:00 pm,0,99.5828,27.039
6/28/2022,04:55:00 pm,0,99.5824,26.816
6/28/2022,05:00:00 pm,0,99.5702,26.704
6/28/2022,05:05:00 pm,0,99.5628,26.604
6/28/2022,05:10:00 pm,0,99.5579,26.413
6/28/2022,05:15:00 pm,0,99.5522,26.213
6/28/2022,05:20:00 pm,0,99.5468,26.041
6/28/2022,05:25:00 pm,0,99.5400,25.917
6/28/2022,05:30:00 pm,0,99.5343,25.783
6/28/2022,05:35:00 pm,0,99.5296,25.613
6/28/2022,05:40:00 pm,0,99.5343,25.473
6/28/2022,05:45:00 pm,0,99.5242,25.351
6/28/2022,05:50:00 pm,0,99.5225,25.245
6/28/2022,05:55:00 pm,0,99.5248,25.163
6/28/2022,06:00:00 pm,0,99.5255,25.135
6/28/2022,06:05:00 pm,0,99.5213,25.105
6/28/2022,06:10:00 pm,0,99.5196,25.006
6/28/2022,06:15:00 pm,0,99.5173,24.899
6/28/2022,06:20:00 pm,0,99.5201,24.758
6/28/2022,06:25:00 pm,0,99.5179,24.600
6/28/2022,06:30:00 pm,0,99.5126,24.443
6/28/2022,06:35:00 pm,0,99.5163,24.291
