Serial_number:
2141634
Project ID:

Location:

LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
5/17/2023,11:30:00 am,0,98.9267,22.024
5/17/2023,11:35:00 am,0,98.9306,21.626
5/17/2023,11:40:00 am,0,98.9262,21.350
5/17/2023,11:45:00 am,0,98.9277,21.053
5/17/2023,11:50:00 am,0,98.9235,20.914
5/17/2023,11:55:00 am,0,98.9172,20.895
5/17/2023,12:00:00 pm,0,98.9176,20.869
5/17/2023,12:05:00 pm,0,98.9074,20.817
5/17/2023,12:10:00 pm,0,98.8980,20.692
5/17/2023,12:15:00 pm,0,98.9008,20.578
5/17/2023,12:20:00 pm,0,98.8973,20.505
5/17/2023,12:25:00 pm,0,98.8925,20.450
5/17/2023,12:30:00 pm,0,98.8900,20.408
5/17/2023,12:35:00 pm,0,98.8897,20.392
5/17/2023,12:40:00 pm,0,98.8904,20.386
5/17/2023,12:45:00 pm,0,98.8891,20.366
5/17/2023,12:50:00 pm,0,98.8882,20.349
5/17/2023,12:55:00 pm,0,98.8879,20.377
5/17/2023,01:00:00 pm,0,98.8801,20.419
5/17/2023,01:05:00 pm,0,98.8848,20.409
5/17/2023,01:10:00 pm,0,98.8885,20.417
5/17/2023,01:15:00 pm,0,98.8868,20.470
5/17/2023,01:20:00 pm,0,98.8857,20.593
5/17/2023,01:25:00 pm,0,98.8869,20.720
5/17/2023,01:30:00 pm,0,98.8857,20.826
5/17/2023,01:35:00 pm,0,98.8851,20.891
5/17/2023,01:40:00 pm,0,98.8784,20.961
5/17/2023,01:45:00 pm,0,98.8755,21.074
5/17/2023,01:50:00 pm,0,98.8788,21.185
5/17/2023,01:55:00 pm,0,98.8769,21.255
5/17/2023,02:00:00 pm,0,98.8801,21.299
5/17/2023,02:05:00 pm,0,98.8779,21.314
5/17/2023,02:10:00 pm,0,98.8753,21.418
5/17/2023,02:15:00 pm,0,98.8760,21.492
5/17/2023,02:20:00 pm,0,98.8763,21.566
5/17/2023,02:25:00 pm,0,98.8831,21.701
5/17/2023,02:30:00 pm,0,98.8865,21.837
5/17/2023,02:35:00 pm,0,98.8889,21.916
5/17/2023,02:40:00 pm,0,98.8826,21.983
5/17/2023,02:45:00 pm,0,98.8836,22.064
5/17/2023,02:50:00 pm,0,98.8873,22.090
5/17/2023,02:55:00 pm,0,98.8860,22.166
5/17/2023,03:00:00 pm,0,98.8806,22.253
5/17/2023,03:05:00 pm,0,98.8785,22.365
5/17/2023,03:10:00 pm,0,98.8737,22.418
5/17/2023,03:15:00 pm,0,98.8754,22.557
5/17/2023,03:20:00 pm,0,98.8742,22.589
5/17/2023,03:25:00 pm,0,98.8766,22.605
5/17/2023,03:30:00 pm,0,98.8800,22.587
5/17/2023,03:35:00 pm,0,98.8740,22.632
5/17/2023,03:40:00 pm,0,98.8701,22.712
5/17/2023,03:45:00 pm,0,98.8761,22.755
5/17/2023,03:50:00 pm,0,98.8722,22.749
5/17/2023,03:55:00 pm,0,98.8658,22.748
5/17/2023,04:00:00 pm,0,98.8675,22.644
5/17/2023,04:05:00 pm,0,98.8639,22.605
5/17/2023,04:10:00 pm,0,98.8542,22.578
5/17/2023,04:15:00 pm,0,98.8585,22.531
5/17/2023,04:20:00 pm,0,98.8601,22.484
5/17/2023,04:25:00 pm,0,98.8592,22.339
5/17/2023,04:30:00 pm,0,98.8546,22.057
5/17/2023,04:35:00 pm,0,98.8528,21.757
5/17/2023,04:40:00 pm,0,98.8477,21.532
5/17/2023,04:45:00 pm,0,98.8427,21.357
5/17/2023,04:50:00 pm,0,98.8421,21.167
5/17/2023,04:55:00 pm,0,98.8438,21.008
5/17/2023,05:00:00 pm,0,98.8405,20.960
5/17/2023,05:05:00 pm,0,98.8447,20.902
5/17/2023,05:10:00 pm,0,98.8481,20.794
5/17/2023,05:15:00 pm,0,98.8440,20.669
5/17/2023,05:20:00 pm,0,98.8408,20.544
5/17/2023,05:25:00 pm,0,98.8418,20.423
5/17/2023,05:30:00 pm,0,98.8392,20.307
5/17/2023,05:35:00 pm,0,98.8390,20.220
5/17/2023,05:40:00 pm,0,98.8388,20.113
5/17/2023,05:45:00 pm,0,98.8378,20.020
5/17/2023,05:50:00 pm,0,98.8371,19.935
5/17/2023,05:55:00 pm,0,98.8379,19.847
5/17/2023,06:00:00 pm,0,98.8387,19.732
5/17/2023,06:05:00 pm,0,98.8364,19.625
5/17/2023,06:10:00 pm,0,98.8317,19.534
5/17/2023,06:15:00 pm,0,98.8331,19.449
5/17/2023,06:20:00 pm,0,98.8305,19.347
5/17/2023,06:25:00 pm,0,98.8305,19.270
5/17/2023,06:30:00 pm,0,98.8329,19.188
5/17/2023,06:35:00 pm,0,98.8359,19.066
5/17/2023,06:40:00 pm,0,98.8357,18.942
5/17/2023,06:45:00 pm,0,98.8360,18.829
5/17/2023,06:50:00 pm,0,98.8364,18.702
5/17/2023,06:55:00 pm,0,98.8429,18.585
5/17/2023,07:00:00 pm,0,98.8468,18.474
5/17/2023,07:05:00 pm,0,98.8497,18.331
5/17/2023,07:10:00 pm,0,98.8548,18.187
5/17/2023,07:15:00 pm,0,98.8589,18.066
5/17/2023,07:20:00 pm,0,98.8690,17.955
5/17/2023,07:25:00 pm,0,98.8776,17.845
5/17/2023,07:30:00 pm,0,98.8813,17.712
5/17/2023,07:35:00 pm,0,98.8873,17.570
5/17/2023,07:40:00 pm,0,98.8896,17.423
5/17/2023,07:45:00 pm,0,98.8924,17.258
5/17/2023,07:50:00 pm,0,98.8992,17.105
5/17/2023,07:55:00 pm,0,98.9045,16.969
5/17/2023,08:00:00 pm,0,98.9090,16.842
5/17/2023,08:05:00 pm,0,98.9113,16.730
5/17/2023,08:10:00 pm,0,98.9138,16.619
5/17/2023,08:15:00 pm,0,98.9178,16.496
5/17/2023,08:20:00 pm,0,98.9247,16.357
5/17/2023,08:25:00 pm,0,98.9338,16.218
5/17/2023,08:30:00 pm,0,98.9340,16.064
5/17/2023,08:35:00 pm,0,98.9425,15.938
5/17/2023,08:40:00 pm,0,98.9541,15.823
5/17/2023,08:45:00 pm,0,98.9666,15.721
5/17/2023,08:50:00 pm,0,98.9735,15.636
5/17/2023,08:55:00 pm,0,98.9764,15.566
5/17/2023,09:00:00 pm,0,98.9838,15.504
5/17/2023,09:05:00 pm,0,98.9918,15.433
5/17/2023,09:10:00 pm,0,99.0007,15.356
5/17/2023,09:15:00 pm,0,99.0136,15.291
5/17/2023,09:20:00 pm,0,99.0169,15.222
5/17/2023,09:25:00 pm,0,99.0233,15.141
5/17/2023,09:30:00 pm,0,99.0254,15.069
5/17/2023,09:35:00 pm,0,99.0338,15.006
5/17/2023,09:40:00 pm,0,99.0409,14.941
5/17/2023,09:45:00 pm,0,99.0448,14.878
5/17/2023,09:50:00 pm,0,99.0508,14.816
5/17/2023,09:55:00 pm,0,99.0547,14.748
5/17/2023,10:00:00 pm,0,99.0603,14.646
5/17/2023,10:05:00 pm,0,99.0651,14.525
5/17/2023,10:10:00 pm,0,99.0753,14.408
5/17/2023,10:15:00 pm,0,99.0820,14.295
5/17/2023,10:20:00 pm,0,99.0868,14.207
5/17/2023,10:25:00 pm,0,99.0900,14.140
5/17/2023,10:30:00 pm,0,99.0943,14.069
5/17/2023,10:35:00 pm,0,99.0956,13.964
5/17/2023,10:40:00 pm,0,99.0965,13.867
5/17/2023,10:45:00 pm,0,99.1015,13.783
5/17/2023,10:50:00 pm,0,99.1061,13.701
5/17/2023,10:55:00 pm,0,99.1105,13.612
5/17/2023,11:00:00 pm,0,99.1076,13.513
5/17/2023,11:05:00 pm,0,99.1109,13.421
5/17/2023,11:10:00 pm,0,99.1231,13.340
