Serial_number:
2056873
Project ID:

Location:

LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/1/2024,10:20:00 am,0,100.021,25.021
7/1/2024,10:25:00 am,0,100.015,26.732
7/1/2024,10:30:00 am,0,100.012,27.718
7/1/2024,10:35:00 am,0,100.007,28.235
7/1/2024,10:40:00 am,0,100.004,28.701
7/1/2024,10:45:00 am,0,99.9938,28.999
7/1/2024,10:50:00 am,0,99.9955,29.096
7/1/2024,10:55:00 am,0,99.9950,29.154
7/1/2024,11:00:00 am,0,99.9757,29.284
7/1/2024,11:05:00 am,0,99.9750,29.439
7/1/2024,11:10:00 am,0,99.9751,29.393
7/1/2024,11:15:00 am,0,99.9775,29.081
7/1/2024,11:20:00 am,0,99.9647,28.945
7/1/2024,11:25:00 am,0,99.9582,28.987
7/1/2024,11:30:00 am,0,99.9668,28.930
7/1/2024,11:35:00 am,0,99.9560,28.894
7/1/2024,11:40:00 am,0,99.9600,28.735
7/1/2024,11:45:00 am,0,99.9600,28.499
7/1/2024,11:50:00 am,0,99.9593,28.267
7/1/2024,11:55:00 am,0,99.9639,27.860
7/1/2024,12:00:00 pm,0,99.9555,27.487
7/1/2024,12:05:00 pm,0,99.9535,27.108
7/1/2024,12:10:00 pm,0,99.9397,26.771
7/1/2024,12:15:00 pm,0,99.9414,26.595
7/1/2024,12:20:00 pm,0,99.9379,26.444
7/1/2024,12:25:00 pm,0,99.9427,26.322
7/1/2024,12:30:00 pm,0,99.9390,26.333
7/1/2024,12:35:00 pm,0,99.9272,26.324
7/1/2024,12:40:00 pm,0,99.9205,26.334
7/1/2024,12:45:00 pm,0,99.9134,26.409
7/1/2024,12:50:00 pm,0,99.9172,26.578
7/1/2024,12:55:00 pm,0,99.9172,26.756
7/1/2024,01:00:00 pm,0,99.9146,26.740
7/1/2024,01:05:00 pm,0,99.9103,26.626
7/1/2024,01:10:00 pm,0,99.9047,26.706
7/1/2024,01:15:00 pm,0,99.9040,26.785
7/1/2024,01:20:00 pm,0,99.9018,26.860
7/1/2024,01:25:00 pm,0,99.8995,26.957
7/1/2024,01:30:00 pm,0,99.8878,27.135
7/1/2024,01:35:00 pm,0,99.8765,27.311
7/1/2024,01:40:00 pm,0,99.8733,27.272
7/1/2024,01:45:00 pm,0,99.8606,27.192
7/1/2024,01:50:00 pm,0,99.8589,27.342
7/1/2024,01:55:00 pm,0,99.8600,27.478
7/1/2024,02:00:00 pm,0,99.8489,27.686
7/1/2024,02:05:00 pm,0,99.8414,27.732
7/1/2024,02:10:00 pm,0,99.8453,27.794
7/1/2024,02:15:00 pm,0,99.8341,27.778
7/1/2024,02:20:00 pm,0,99.8220,27.959
7/1/2024,02:25:00 pm,0,99.8057,28.026
7/1/2024,02:30:00 pm,0,99.8085,28.087
7/1/2024,02:35:00 pm,0,99.8098,28.124
7/1/2024,02:40:00 pm,0,99.8093,28.219
7/1/2024,02:45:00 pm,0,99.8057,28.488
7/1/2024,02:50:00 pm,0,99.7912,28.703
7/1/2024,02:55:00 pm,0,99.7770,28.826
7/1/2024,03:00:00 pm,0,99.7675,28.887
7/1/2024,03:05:00 pm,0,99.7625,28.875
7/1/2024,03:10:00 pm,0,99.7570,28.713
7/1/2024,03:15:00 pm,0,99.7493,28.611
7/1/2024,03:20:00 pm,0,99.7475,28.630
7/1/2024,03:25:00 pm,0,99.7415,28.400
7/1/2024,03:30:00 pm,0,99.7283,27.787
7/1/2024,03:35:00 pm,0,99.7115,27.595
7/1/2024,03:40:00 pm,0,99.7053,27.531
7/1/2024,03:45:00 pm,0,99.6986,27.138
7/1/2024,03:50:00 pm,0,99.6954,26.781
7/1/2024,03:55:00 pm,0,99.6911,27.045
7/1/2024,04:00:00 pm,0,99.6655,27.525
7/1/2024,04:05:00 pm,0,99.6495,27.736
7/1/2024,04:10:00 pm,0,99.6401,27.415
7/1/2024,04:15:00 pm,0,99.6440,26.943
7/1/2024,04:20:00 pm,0,99.6357,26.531
7/1/2024,04:25:00 pm,0,99.6362,26.053
7/1/2024,04:30:00 pm,0,99.6329,25.532
7/1/2024,04:35:00 pm,0,99.6268,25.110
7/1/2024,04:40:00 pm,0,99.6291,24.810
7/1/2024,04:45:00 pm,0,99.6240,24.590
7/1/2024,04:50:00 pm,0,99.6181,24.471
7/1/2024,04:55:00 pm,0,99.6130,24.427
7/1/2024,05:00:00 pm,0,99.6153,24.305
7/1/2024,05:05:00 pm,0,99.6236,24.123
7/1/2024,05:10:00 pm,0,99.6155,23.959
7/1/2024,05:15:00 pm,0,99.6136,23.803
7/1/2024,05:20:00 pm,0,99.6167,23.652
7/1/2024,05:25:00 pm,0,99.6265,23.450
7/1/2024,05:30:00 pm,0,99.6197,23.257
7/1/2024,05:35:00 pm,0,99.5933,23.149
7/1/2024,05:40:00 pm,0,99.5875,23.126
7/1/2024,05:45:00 pm,0,99.6019,23.165
7/1/2024,05:50:00 pm,0,99.5961,23.165
7/1/2024,05:55:00 pm,0,99.5890,23.144
7/1/2024,06:00:00 pm,0,99.5962,23.086
7/1/2024,06:05:00 pm,0,99.5984,22.995
7/1/2024,06:10:00 pm,0,99.5918,22.834
7/1/2024,06:15:00 pm,0,99.6013,22.601
7/1/2024,06:20:00 pm,0,99.5983,22.341
7/1/2024,06:25:00 pm,0,99.5999,22.105
7/1/2024,06:30:00 pm,0,99.5882,21.895
7/1/2024,06:35:00 pm,0,99.5881,21.693
7/1/2024,06:40:00 pm,0,99.5908,21.483
7/1/2024,06:45:00 pm,0,99.5881,21.268
7/1/2024,06:50:00 pm,0,99.5936,21.100
7/1/2024,06:55:00 pm,0,99.5815,20.908
7/1/2024,07:00:00 pm,0,99.5867,20.692
7/1/2024,07:05:00 pm,0,99.5880,20.446
7/1/2024,07:10:00 pm,0,99.5880,20.221
7/1/2024,07:15:00 pm,0,99.5848,20.012
7/1/2024,07:20:00 pm,0,99.5848,19.825
7/1/2024,07:25:00 pm,0,99.5825,19.671
7/1/2024,07:30:00 pm,0,99.5825,19.527
7/1/2024,07:35:00 pm,0,99.5739,19.364
7/1/2024,07:40:00 pm,0,99.5673,19.195
7/1/2024,07:45:00 pm,0,99.5546,19.028
7/1/2024,07:50:00 pm,0,99.5527,18.863
7/1/2024,07:55:00 pm,0,99.5492,18.716
