Serial_number:
2035083
Project ID:
ACRE Wetland
Location:
Center
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: �C
Date,Time,ms,LEVEL,TEMPERATURE
1/12/2022,3:15:00 PM,0,21.2,5.6
1/12/2022,3:30:00 PM,0,21.1,5.6
1/12/2022,3:45:00 PM,0,21,5.6
1/12/2022,4:00:00 PM,0,21.2,5.6
1/12/2022,4:15:00 PM,0,21,5.6
1/12/2022,4:30:00 PM,0,21.3,5.6
1/12/2022,4:45:00 PM,0,21.1,5.6
1/12/2022,5:00:00 PM,0,21.2,5.6
1/12/2022,5:15:00 PM,0,21.2,5.6
1/12/2022,5:30:00 PM,0,21.2,5.7
1/12/2022,5:45:00 PM,0,21.2,5.7
1/12/2022,6:00:00 PM,0,20.9,5.7
1/12/2022,6:15:00 PM,0,21,5.7
1/12/2022,6:30:00 PM,0,21,5.7
1/12/2022,6:45:00 PM,0,20.9,5.7
1/12/2022,7:00:00 PM,0,20.8,5.7
1/12/2022,7:15:00 PM,0,20.6,5.7
1/12/2022,7:30:00 PM,0,20.6,5.7
1/12/2022,7:45:00 PM,0,20.5,5.8
1/12/2022,8:00:00 PM,0,20.6,5.8
1/12/2022,8:15:00 PM,0,20.6,5.8
1/12/2022,8:30:00 PM,0,20.5,5.8
1/12/2022,8:45:00 PM,0,20.4,5.8
1/12/2022,9:00:00 PM,0,20.5,5.8
1/12/2022,9:15:00 PM,0,20.2,5.8
1/12/2022,9:30:00 PM,0,20.1,5.8
1/12/2022,9:45:00 PM,0,20,5.7
1/12/2022,10:00:00 PM,0,19.7,5.7
1/12/2022,10:15:00 PM,0,19.9,5.7
1/12/2022,10:30:00 PM,0,19.7,5.7
1/12/2022,10:45:00 PM,0,19.8,5.7
1/12/2022,11:00:00 PM,0,19.7,5.7
1/12/2022,11:15:00 PM,0,19.5,5.7
1/12/2022,11:30:00 PM,0,19.7,5.7
1/12/2022,11:45:00 PM,0,19.8,5.7
1/13/2022,12:00:00 AM,0,19.6,5.7
1/13/2022,12:15:00 AM,0,19.7,5.7
1/13/2022,12:30:00 AM,0,19.7,5.7
1/13/2022,12:45:00 AM,0,19.8,5.7
1/13/2022,1:00:00 AM,0,19.8,5.7
1/13/2022,1:15:00 AM,0,19.7,5.7
1/13/2022,1:30:00 AM,0,19.6,5.6
1/13/2022,1:45:00 AM,0,19.6,5.6
1/13/2022,2:00:00 AM,0,19.7,5.6
1/13/2022,2:15:00 AM,0,19.6,5.6
1/13/2022,2:30:00 AM,0,19.5,5.6
1/13/2022,2:45:00 AM,0,19.4,5.6
1/13/2022,3:00:00 AM,0,19.6,5.6
1/13/2022,3:15:00 AM,0,19.7,5.6
1/13/2022,3:30:00 AM,0,19.8,5.7
1/13/2022,3:45:00 AM,0,19.8,5.7
1/13/2022,4:00:00 AM,0,19.8,5.7
1/13/2022,4:15:00 AM,0,19.8,5.7
1/13/2022,4:30:00 AM,0,19.8,5.7
1/13/2022,4:45:00 AM,0,19.7,5.7
1/13/2022,5:00:00 AM,0,19.8,5.7
1/13/2022,5:15:00 AM,0,19.8,5.7
1/13/2022,5:30:00 AM,0,19.9,5.7
1/13/2022,5:45:00 AM,0,19.7,5.7
1/13/2022,6:00:00 AM,0,19.8,5.7
1/13/2022,6:15:00 AM,0,19.6,5.7
1/13/2022,6:30:00 AM,0,19.7,5.7
1/13/2022,6:45:00 AM,0,19.7,5.7
1/13/2022,7:00:00 AM,0,19.7,5.7
1/13/2022,7:15:00 AM,0,19.6,5.7
1/13/2022,7:30:00 AM,0,19.7,5.7
1/13/2022,7:45:00 AM,0,19.8,5.7
1/13/2022,8:00:00 AM,0,19.7,5.7
1/13/2022,8:15:00 AM,0,19.6,5.7
1/13/2022,8:30:00 AM,0,19.8,5.7
1/13/2022,8:45:00 AM,0,19.8,5.7
1/13/2022,9:00:00 AM,0,19.7,5.7
1/13/2022,9:15:00 AM,0,19.7,5.7
1/13/2022,9:30:00 AM,0,19.6,5.7
1/13/2022,9:45:00 AM,0,19.7,5.7
1/13/2022,10:00:00 AM,0,19.9,5.8
1/13/2022,10:15:00 AM,0,19.6,5.8
1/13/2022,10:30:00 AM,0,19.8,5.8
1/13/2022,10:45:00 AM,0,19.9,5.8
1/13/2022,11:00:00 AM,0,19.9,5.8
1/13/2022,11:15:00 AM,0,20,5.8
1/13/2022,11:30:00 AM,0,20.1,5.9
1/13/2022,11:45:00 AM,0,20.3,5.9
1/13/2022,12:00:00 PM,0,20.4,5.9
1/13/2022,12:15:00 PM,0,20.3,5.9
1/13/2022,12:30:00 PM,0,20.1,5.9
1/13/2022,12:45:00 PM,0,20.3,6
1/13/2022,1:00:00 PM,0,20.5,6
1/13/2022,1:15:00 PM,0,20.7,6
1/13/2022,1:30:00 PM,0,20.5,6
1/13/2022,1:45:00 PM,0,20.6,6
1/13/2022,2:00:00 PM,0,20.8,6
1/13/2022,2:15:00 PM,0,20.7,6
1/13/2022,2:30:00 PM,0,20.7,6.1
1/13/2022,2:45:00 PM,0,20.8,6.1
1/13/2022,3:00:00 PM,0,20.6,6.1
1/13/2022,3:15:00 PM,0,20.9,6.1
1/13/2022,3:30:00 PM,0,20.7,6.1
1/13/2022,3:45:00 PM,0,20.9,6.1
1/13/2022,4:00:00 PM,0,20.8,6.1
1/13/2022,4:15:00 PM,0,21.2,6.2
1/13/2022,4:30:00 PM,0,21.2,6.2
1/13/2022,4:45:00 PM,0,21,6.2
1/13/2022,5:00:00 PM,0,20.9,6.2
1/13/2022,5:15:00 PM,0,20.9,6.2
1/13/2022,5:30:00 PM,0,20.5,6.2
1/13/2022,5:45:00 PM,0,20.4,6.2
1/13/2022,6:00:00 PM,0,20.3,6.3
1/13/2022,6:15:00 PM,0,20.2,6.3
1/13/2022,6:30:00 PM,0,20,6.3
1/13/2022,6:45:00 PM,0,19.8,6.3
1/13/2022,7:00:00 PM,0,19.7,6.3
1/13/2022,7:15:00 PM,0,19.4,6.3
1/13/2022,7:30:00 PM,0,19.5,6.3
1/13/2022,7:45:00 PM,0,19.3,6.2
