Serial_number:
2035083
Project ID:
ACRE Wetland
Location:
Center
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/28/2023,11:15:00 am,0,0.512,19.90
6/28/2023,11:30:00 am,0,0.508,19.90
6/28/2023,11:45:00 am,0,0.497,19.90
6/28/2023,12:00:00 pm,0,0.487,20.00
6/28/2023,12:15:00 pm,0,0.479,20.00
6/28/2023,12:30:00 pm,0,0.480,20.00
6/28/2023,12:45:00 pm,0,0.488,20.00
6/28/2023,01:00:00 pm,0,0.489,20.10
6/28/2023,01:15:00 pm,0,0.490,20.10
6/28/2023,01:30:00 pm,0,0.486,20.10
6/28/2023,01:45:00 pm,0,0.481,20.10
6/28/2023,02:00:00 pm,0,0.480,20.10
6/28/2023,02:15:00 pm,0,0.478,20.10
6/28/2023,02:30:00 pm,0,0.479,20.10
6/28/2023,02:45:00 pm,0,0.479,20.10
6/28/2023,03:00:00 pm,0,0.478,20.10
6/28/2023,03:15:00 pm,0,0.478,20.10
6/28/2023,03:30:00 pm,0,0.479,20.10
6/28/2023,03:45:00 pm,0,0.479,20.10
6/28/2023,04:00:00 pm,0,0.480,20.10
6/28/2023,04:15:00 pm,0,0.479,20.10
6/28/2023,04:30:00 pm,0,0.479,20.10
6/28/2023,04:45:00 pm,0,0.480,20.10
6/28/2023,05:00:00 pm,0,0.478,20.10
6/28/2023,05:15:00 pm,0,0.478,20.10
6/28/2023,05:30:00 pm,0,0.481,20.20
6/28/2023,05:45:00 pm,0,0.479,20.20
6/28/2023,06:00:00 pm,0,0.480,20.20
6/28/2023,06:15:00 pm,0,0.479,20.20
6/28/2023,06:30:00 pm,0,0.480,20.20
6/28/2023,06:45:00 pm,0,0.478,20.20
6/28/2023,07:00:00 pm,0,0.479,20.20
6/28/2023,07:15:00 pm,0,0.480,20.20
6/28/2023,07:30:00 pm,0,0.480,20.20
6/28/2023,07:45:00 pm,0,0.479,20.20
6/28/2023,08:00:00 pm,0,0.479,20.20
6/28/2023,08:15:00 pm,0,0.479,20.20
6/28/2023,08:30:00 pm,0,0.479,20.20
6/28/2023,08:45:00 pm,0,0.476,20.20
6/28/2023,09:00:00 pm,0,0.479,20.20
6/28/2023,09:15:00 pm,0,0.479,20.20
6/28/2023,09:30:00 pm,0,0.477,20.20
6/28/2023,09:45:00 pm,0,0.479,20.20
6/28/2023,10:00:00 pm,0,0.478,20.30
6/28/2023,10:15:00 pm,0,0.479,20.30
6/28/2023,10:30:00 pm,0,0.477,20.30
6/28/2023,10:45:00 pm,0,0.479,20.30
6/28/2023,11:00:00 pm,0,0.477,20.30
6/28/2023,11:15:00 pm,0,0.477,20.30
6/28/2023,11:30:00 pm,0,0.478,20.30
6/28/2023,11:45:00 pm,0,0.476,20.30
6/29/2023,12:00:00 am,0,0.476,20.30
6/29/2023,12:15:00 am,0,0.476,20.30
6/29/2023,12:30:00 am,0,0.478,20.30
6/29/2023,12:45:00 am,0,0.477,20.30
6/29/2023,01:00:00 am,0,0.476,20.30
6/29/2023,01:15:00 am,0,0.475,20.30
6/29/2023,01:30:00 am,0,0.476,20.30
6/29/2023,01:45:00 am,0,0.476,20.30
6/29/2023,02:00:00 am,0,0.476,20.40
6/29/2023,02:15:00 am,0,0.477,20.40
6/29/2023,02:30:00 am,0,0.477,20.40
6/29/2023,02:45:00 am,0,0.477,20.40
6/29/2023,03:00:00 am,0,0.474,20.40
6/29/2023,03:15:00 am,0,0.475,20.40
6/29/2023,03:30:00 am,0,0.474,20.40
6/29/2023,03:45:00 am,0,0.474,20.40
6/29/2023,04:00:00 am,0,0.477,20.40
6/29/2023,04:15:00 am,0,0.475,20.40
6/29/2023,04:30:00 am,0,0.475,20.40
6/29/2023,04:45:00 am,0,0.475,20.40
6/29/2023,05:00:00 am,0,0.475,20.40
6/29/2023,05:15:00 am,0,0.474,20.40
6/29/2023,05:30:00 am,0,0.473,20.40
6/29/2023,05:45:00 am,0,0.472,20.40
6/29/2023,06:00:00 am,0,0.471,20.40
6/29/2023,06:15:00 am,0,0.470,20.40
6/29/2023,06:30:00 am,0,0.472,20.40
6/29/2023,06:45:00 am,0,0.470,20.40
6/29/2023,07:00:00 am,0,0.471,20.40
6/29/2023,07:15:00 am,0,0.470,20.40
6/29/2023,07:30:00 am,0,0.470,20.40
6/29/2023,07:45:00 am,0,0.469,20.40
6/29/2023,08:00:00 am,0,0.470,20.40
6/29/2023,08:15:00 am,0,0.471,20.40
6/29/2023,08:30:00 am,0,0.470,20.40
6/29/2023,08:45:00 am,0,0.470,20.40
6/29/2023,09:00:00 am,0,0.470,20.40
6/29/2023,09:15:00 am,0,0.468,20.40
6/29/2023,09:30:00 am,0,0.470,20.40
6/29/2023,09:45:00 am,0,0.469,20.40
6/29/2023,10:00:00 am,0,0.469,20.40
6/29/2023,10:15:00 am,0,0.468,20.40
6/29/2023,10:30:00 am,0,0.468,20.40
6/29/2023,10:45:00 am,0,0.470,20.40
6/29/2023,11:00:00 am,0,0.468,20.40
6/29/2023,11:15:00 am,0,0.469,20.40
6/29/2023,11:30:00 am,0,0.467,20.40
6/29/2023,11:45:00 am,0,0.466,20.40
6/29/2023,12:00:00 pm,0,0.468,20.40
6/29/2023,12:15:00 pm,0,0.468,20.40
6/29/2023,12:30:00 pm,0,0.466,20.40
6/29/2023,12:45:00 pm,0,0.467,20.40
6/29/2023,01:00:00 pm,0,0.467,20.40
6/29/2023,01:15:00 pm,0,0.466,20.40
6/29/2023,01:30:00 pm,0,0.467,20.40
6/29/2023,01:45:00 pm,0,0.469,20.40
6/29/2023,02:00:00 pm,0,0.470,20.40
6/29/2023,02:15:00 pm,0,0.471,20.40
6/29/2023,02:30:00 pm,0,0.468,20.40
6/29/2023,02:45:00 pm,0,0.469,20.40
6/29/2023,03:00:00 pm,0,0.470,20.40
6/29/2023,03:15:00 pm,0,0.470,20.40
6/29/2023,03:30:00 pm,0,0.471,20.40
6/29/2023,03:45:00 pm,0,0.470,20.40
6/29/2023,04:00:00 pm,0,0.469,20.40
6/29/2023,04:15:00 pm,0,0.471,20.40
6/29/2023,04:30:00 pm,0,0.471,20.40
6/29/2023,04:45:00 pm,0,0.470,20.40
6/29/2023,05:00:00 pm,0,0.469,20.40
6/29/2023,05:15:00 pm,0,0.471,20.50
6/29/2023,05:30:00 pm,0,0.469,20.50
6/29/2023,05:45:00 pm,0,0.468,20.50
6/29/2023,06:00:00 pm,0,0.470,20.50
6/29/2023,06:15:00 pm,0,0.468,20.50
6/29/2023,06:30:00 pm,0,0.468,20.50
6/29/2023,06:45:00 pm,0,0.468,20.50
6/29/2023,07:00:00 pm,0,0.468,20.50
6/29/2023,07:15:00 pm,0,0.467,20.50
6/29/2023,07:30:00 pm,0,0.469,20.60
6/29/2023,07:45:00 pm,0,0.469,20.60
6/29/2023,08:00:00 pm,0,0.469,20.60
6/29/2023,08:15:00 pm,0,0.470,20.60
6/29/2023,08:30:00 pm,0,0.469,20.60
6/29/2023,08:45:00 pm,0,0.470,20.60
6/29/2023,09:00:00 pm,0,0.471,20.60
6/29/2023,09:15:00 pm,0,0.468,20.60
6/29/2023,09:30:00 pm,0,0.469,20.60
6/29/2023,09:45:00 pm,0,0.470,20.60
6/29/2023,10:00:00 pm,0,0.468,20.60
6/29/2023,10:15:00 pm,0,0.470,20.70
6/29/2023,10:30:00 pm,0,0.470,20.70
6/29/2023,10:45:00 pm,0,0.471,20.70
6/29/2023,11:00:00 pm,0,0.468,20.70
6/29/2023,11:15:00 pm,0,0.469,20.70
6/29/2023,11:30:00 pm,0,0.470,20.70
6/29/2023,11:45:00 pm,0,0.469,20.70
6/30/2023,12:00:00 am,0,0.467,20.70
6/30/2023,12:15:00 am,0,0.468,20.70
6/30/2023,12:30:00 am,0,0.467,20.70
6/30/2023,12:45:00 am,0,0.468,20.70
6/30/2023,01:00:00 am,0,0.467,20.70
6/30/2023,01:15:00 am,0,0.467,20.70
