Serial_number:
2056389
Project ID:
ACRE
Location:
CEN
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2024/07/25,10:30:00,0,-0.178,18.80
2024/07/25,10:45:00,0,-0.171,18.80
2024/07/25,11:00:00,0,-0.169,18.80
2024/07/25,11:15:00,0,-0.168,18.80
2024/07/25,11:30:00,0,-0.167,18.80
2024/07/25,11:45:00,0,-0.168,18.80
2024/07/25,12:00:00,0,-0.169,18.80
2024/07/25,12:15:00,0,-0.169,18.80
2024/07/25,12:30:00,0,-0.168,18.80
2024/07/25,12:45:00,0,-0.166,18.80
2024/07/25,13:00:00,0,-0.165,18.80
2024/07/25,13:15:00,0,-0.164,18.80
2024/07/25,13:30:00,0,-0.164,18.80
2024/07/25,13:45:00,0,-0.162,18.80
2024/07/25,14:00:00,0,-0.163,18.80
2024/07/25,14:15:00,0,-0.159,18.80
2024/07/25,14:30:00,0,-0.156,18.80
2024/07/25,14:45:00,0,-0.157,18.80
2024/07/25,15:00:00,0,-0.155,18.80
2024/07/25,15:15:00,0,-0.154,18.80
2024/07/25,15:30:00,0,-0.156,18.80
2024/07/25,15:45:00,0,-0.155,18.80
2024/07/25,16:00:00,0,-0.154,18.80
2024/07/25,16:15:00,0,-0.154,18.80
2024/07/25,16:30:00,0,-0.155,18.80
2024/07/25,16:45:00,0,-0.157,18.80
2024/07/25,17:00:00,0,-0.156,18.80
2024/07/25,17:15:00,0,-0.155,18.80
2024/07/25,17:30:00,0,-0.154,18.80
2024/07/25,17:45:00,0,-0.154,18.80
2024/07/25,18:00:00,0,-0.155,18.80
2024/07/25,18:15:00,0,-0.154,18.80
2024/07/25,18:30:00,0,-0.152,18.80
2024/07/25,18:45:00,0,-0.152,18.80
2024/07/25,19:00:00,0,-0.152,18.80
2024/07/25,19:15:00,0,-0.152,18.80
2024/07/25,19:30:00,0,-0.153,18.80
2024/07/25,19:45:00,0,-0.153,18.80
2024/07/25,20:00:00,0,-0.155,18.80
2024/07/25,20:15:00,0,-0.155,18.80
2024/07/25,20:30:00,0,-0.156,18.80
2024/07/25,20:45:00,0,-0.158,18.80
2024/07/25,21:00:00,0,-0.159,18.80
2024/07/25,21:15:00,0,-0.163,18.80
2024/07/25,21:30:00,0,-0.164,18.80
2024/07/25,21:45:00,0,-0.167,18.80
2024/07/25,22:00:00,0,-0.169,18.80
2024/07/25,22:15:00,0,-0.170,18.80
2024/07/25,22:30:00,0,-0.170,18.80
2024/07/25,22:45:00,0,-0.173,18.80
2024/07/25,23:00:00,0,-0.174,18.80
2024/07/25,23:15:00,0,-0.174,18.80
2024/07/25,23:30:00,0,-0.175,18.80
2024/07/25,23:45:00,0,-0.176,18.80
2024/07/26,00:00:00,0,-0.179,18.80
2024/07/26,00:15:00,0,-0.179,18.80
2024/07/26,00:30:00,0,-0.178,18.80
2024/07/26,00:45:00,0,-0.179,18.80
2024/07/26,01:00:00,0,-0.178,18.80
2024/07/26,01:15:00,0,-0.182,18.80
2024/07/26,01:30:00,0,-0.182,18.80
2024/07/26,01:45:00,0,-0.178,18.80
2024/07/26,02:00:00,0,-0.181,18.80
2024/07/26,02:15:00,0,-0.179,18.80
2024/07/26,02:30:00,0,-0.178,18.80
2024/07/26,02:45:00,0,-0.178,18.80
2024/07/26,03:00:00,0,-0.177,18.80
2024/07/26,03:15:00,0,-0.177,18.80
2024/07/26,03:30:00,0,-0.176,18.80
2024/07/26,03:45:00,0,-0.174,18.80
2024/07/26,04:00:00,0,-0.172,18.80
2024/07/26,04:15:00,0,-0.172,18.80
2024/07/26,04:30:00,0,-0.171,18.80
2024/07/26,04:45:00,0,-0.171,18.80
2024/07/26,05:00:00,0,-0.169,18.80
2024/07/26,05:15:00,0,-0.170,18.80
2024/07/26,05:30:00,0,-0.172,18.80
2024/07/26,05:45:00,0,-0.170,18.80
2024/07/26,06:00:00,0,-0.170,18.80
2024/07/26,06:15:00,0,-0.170,18.80
2024/07/26,06:30:00,0,-0.169,18.80
2024/07/26,06:45:00,0,-0.170,18.80
2024/07/26,07:00:00,0,-0.172,18.80
2024/07/26,07:15:00,0,-0.175,18.80
2024/07/26,07:30:00,0,-0.176,18.80
2024/07/26,07:45:00,0,-0.176,18.80
2024/07/26,08:00:00,0,-0.173,18.80
2024/07/26,08:15:00,0,-0.173,18.80
2024/07/26,08:30:00,0,-0.170,18.80
2024/07/26,08:45:00,0,-0.168,18.80
2024/07/26,09:00:00,0,-0.167,18.80
2024/07/26,09:15:00,0,-0.170,18.80
2024/07/26,09:30:00,0,-0.165,18.80
2024/07/26,09:45:00,0,-0.166,18.80
2024/07/26,10:00:00,0,-0.163,18.80
2024/07/26,10:15:00,0,-0.161,18.80
2024/07/26,10:30:00,0,-0.154,18.80
2024/07/26,10:45:00,0,-0.154,18.80
2024/07/26,11:00:00,0,-0.153,18.80
2024/07/26,11:15:00,0,-0.152,18.80
2024/07/26,11:30:00,0,-0.149,18.80
2024/07/26,11:45:00,0,-0.149,18.80
2024/07/26,12:00:00,0,-0.150,18.80
2024/07/26,12:15:00,0,-0.150,18.80
2024/07/26,12:30:00,0,-0.149,18.80
2024/07/26,12:45:00,0,-0.146,18.80
2024/07/26,13:00:00,0,-0.144,18.80
2024/07/26,13:15:00,0,-0.142,18.80
2024/07/26,13:30:00,0,-0.144,18.80
2024/07/26,13:45:00,0,-0.140,18.80
2024/07/26,14:00:00,0,-0.140,18.80
2024/07/26,14:15:00,0,-0.140,18.80
2024/07/26,14:30:00,0,-0.139,18.80
2024/07/26,14:45:00,0,-0.135,18.80
2024/07/26,15:00:00,0,-0.132,18.80
2024/07/26,15:15:00,0,-0.131,18.80
2024/07/26,15:30:00,0,-0.129,18.80
2024/07/26,15:45:00,0,-0.131,18.80
2024/07/26,16:00:00,0,-0.131,18.80
2024/07/26,16:15:00,0,-0.131,18.80
2024/07/26,16:30:00,0,-0.130,18.80
2024/07/26,16:45:00,0,-0.130,18.80
2024/07/26,17:00:00,0,-0.131,18.80
2024/07/26,17:15:00,0,-0.130,18.80
2024/07/26,17:30:00,0,-0.131,18.80
2024/07/26,17:45:00,0,-0.129,18.80
2024/07/26,18:00:00,0,-0.131,18.80
2024/07/26,18:15:00,0,-0.131,18.80
2024/07/26,18:30:00,0,-0.131,18.80
2024/07/26,18:45:00,0,-0.130,18.80
2024/07/26,19:00:00,0,-0.126,18.80
2024/07/26,19:15:00,0,-0.126,18.80
2024/07/26,19:30:00,0,-0.126,18.80
2024/07/26,19:45:00,0,-0.126,18.80
2024/07/26,20:00:00,0,-0.123,18.80
2024/07/26,20:15:00,0,-0.124,18.80
2024/07/26,20:30:00,0,-0.124,18.80
2024/07/26,20:45:00,0,-0.125,18.80
2024/07/26,21:00:00,0,-0.127,18.80
2024/07/26,21:15:00,0,-0.125,18.80
2024/07/26,21:30:00,0,-0.126,18.90
2024/07/26,21:45:00,0,-0.128,18.90
2024/07/26,22:00:00,0,-0.128,18.90
2024/07/26,22:15:00,0,-0.127,18.90
2024/07/26,22:30:00,0,-0.125,18.90
2024/07/26,22:45:00,0,-0.125,18.90
2024/07/26,23:00:00,0,-0.126,18.90
