Serial_number:
2056387
Project ID:

Location:
CEN
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
4/7/2025,02:30:00 pm,0,0.244,8.10
4/7/2025,02:45:00 pm,0,0.245,8.10
4/7/2025,03:00:00 pm,0,0.244,8.10
4/7/2025,03:15:00 pm,0,0.244,8.10
4/7/2025,03:30:00 pm,0,0.244,8.20
4/7/2025,03:45:00 pm,0,0.243,8.20
4/7/2025,04:00:00 pm,0,0.244,8.20
4/7/2025,04:15:00 pm,0,0.244,8.20
4/7/2025,04:30:00 pm,0,0.243,8.20
4/7/2025,04:45:00 pm,0,0.243,8.10
4/7/2025,05:00:00 pm,0,0.242,8.10
4/7/2025,05:15:00 pm,0,0.242,8.10
4/7/2025,05:30:00 pm,0,0.241,8.10
4/7/2025,05:45:00 pm,0,0.241,8.00
4/7/2025,06:00:00 pm,0,0.241,8.00
4/7/2025,06:15:00 pm,0,0.243,7.90
4/7/2025,06:30:00 pm,0,0.243,7.80
4/7/2025,06:45:00 pm,0,0.242,7.80
4/7/2025,07:00:00 pm,0,0.240,7.70
4/7/2025,07:15:00 pm,0,0.241,7.60
4/7/2025,07:30:00 pm,0,0.241,7.50
4/7/2025,07:45:00 pm,0,0.241,7.50
4/7/2025,08:00:00 pm,0,0.240,7.40
4/7/2025,08:15:00 pm,0,0.241,7.40
4/7/2025,08:30:00 pm,0,0.240,7.40
4/7/2025,08:45:00 pm,0,0.241,7.30
4/7/2025,09:00:00 pm,0,0.240,7.30
4/7/2025,09:15:00 pm,0,0.241,7.30
4/7/2025,09:30:00 pm,0,0.241,7.20
4/7/2025,09:45:00 pm,0,0.240,7.20
4/7/2025,10:00:00 pm,0,0.239,7.20
4/7/2025,10:15:00 pm,0,0.240,7.10
4/7/2025,10:30:00 pm,0,0.240,7.10
4/7/2025,10:45:00 pm,0,0.240,7.10
4/7/2025,11:00:00 pm,0,0.239,7.10
4/7/2025,11:15:00 pm,0,0.239,7.10
4/7/2025,11:30:00 pm,0,0.239,7.10
4/7/2025,11:45:00 pm,0,0.241,7.10
4/8/2025,12:00:00 am,0,0.239,7.00
