Date,Time,ms,LEVEL (m),TEMPERATURE (degC),Date_P,Time_P,Date_Time
9/23/2021,06:45:00 pm,0,0.008,17.7,2021-09-23,18:45:00,2021-09-23 18:45:00
9/23/2021,07:00:00 pm,0,0.005,17.0,2021-09-23,19:00:00,2021-09-23 19:00:00
9/23/2021,07:15:00 pm,0,0.006,16.5,2021-09-23,19:15:00,2021-09-23 19:15:00
9/23/2021,07:30:00 pm,0,0.005,16.1,2021-09-23,19:30:00,2021-09-23 19:30:00
9/23/2021,07:45:00 pm,0,0.004,15.7,2021-09-23,19:45:00,2021-09-23 19:45:00
9/23/2021,08:00:00 pm,0,0.003,15.5,2021-09-23,20:00:00,2021-09-23 20:00:00
9/23/2021,08:15:00 pm,0,0.001,15.2,2021-09-23,20:15:00,2021-09-23 20:15:00
9/23/2021,08:30:00 pm,0,0.004,15.0,2021-09-23,20:30:00,2021-09-23 20:30:00
9/23/2021,08:45:00 pm,0,0.002,14.7,2021-09-23,20:45:00,2021-09-23 20:45:00
9/23/2021,09:00:00 pm,0,0.001,14.6,2021-09-23,21:00:00,2021-09-23 21:00:00
9/23/2021,09:15:00 pm,0,0.001,14.4,2021-09-23,21:15:00,2021-09-23 21:15:00
9/23/2021,09:30:00 pm,0,0.002,14.3,2021-09-23,21:30:00,2021-09-23 21:30:00
9/23/2021,09:45:00 pm,0,0.0,14.1,2021-09-23,21:45:00,2021-09-23 21:45:00
9/23/2021,10:00:00 pm,0,0.002,14.0,2021-09-23,22:00:00,2021-09-23 22:00:00
9/23/2021,10:15:00 pm,0,0.002,13.9,2021-09-23,22:15:00,2021-09-23 22:15:00
9/23/2021,10:30:00 pm,0,0.002,13.8,2021-09-23,22:30:00,2021-09-23 22:30:00
9/23/2021,10:45:00 pm,0,0.001,13.7,2021-09-23,22:45:00,2021-09-23 22:45:00
9/23/2021,11:00:00 pm,0,0.002,13.6,2021-09-23,23:00:00,2021-09-23 23:00:00
9/23/2021,11:15:00 pm,0,0.002,13.6,2021-09-23,23:15:00,2021-09-23 23:15:00
9/23/2021,11:30:00 pm,0,0.001,13.5,2021-09-23,23:30:00,2021-09-23 23:30:00
9/23/2021,11:45:00 pm,0,0.001,13.4,2021-09-23,23:45:00,2021-09-23 23:45:00
9/24/2021,12:00:00 am,0,0.001,13.3,2021-09-24,00:00:00,2021-09-24 00:00:00
9/24/2021,12:15:00 am,0,0.001,13.2,2021-09-24,00:15:00,2021-09-24 00:15:00
9/24/2021,12:30:00 am,0,-0.002,13.1,2021-09-24,00:30:00,2021-09-24 00:30:00
9/24/2021,12:45:00 am,0,-0.001,13.0,2021-09-24,00:45:00,2021-09-24 00:45:00
9/24/2021,01:00:00 am,0,-0.001,12.9,2021-09-24,01:00:00,2021-09-24 01:00:00
9/24/2021,01:15:00 am,0,0.001,12.9,2021-09-24,01:15:00,2021-09-24 01:15:00
9/24/2021,01:30:00 am,0,-0.0,12.9,2021-09-24,01:30:00,2021-09-24 01:30:00
9/24/2021,01:45:00 am,0,-0.0,12.9,2021-09-24,01:45:00,2021-09-24 01:45:00
9/24/2021,02:00:00 am,0,-0.001,12.9,2021-09-24,02:00:00,2021-09-24 02:00:00
9/24/2021,02:15:00 am,0,-0.002,12.8,2021-09-24,02:15:00,2021-09-24 02:15:00
9/24/2021,02:30:00 am,0,-0.003,12.8,2021-09-24,02:30:00,2021-09-24 02:30:00
9/24/2021,02:45:00 am,0,-0.0,12.8,2021-09-24,02:45:00,2021-09-24 02:45:00
9/24/2021,03:00:00 am,0,-0.0,12.8,2021-09-24,03:00:00,2021-09-24 03:00:00
9/24/2021,03:15:00 am,0,-0.0,12.7,2021-09-24,03:15:00,2021-09-24 03:15:00
9/24/2021,03:30:00 am,0,-0.001,12.7,2021-09-24,03:30:00,2021-09-24 03:30:00
9/24/2021,03:45:00 am,0,-0.002,12.7,2021-09-24,03:45:00,2021-09-24 03:45:00
9/24/2021,04:00:00 am,0,-0.0,12.7,2021-09-24,04:00:00,2021-09-24 04:00:00
9/24/2021,04:15:00 am,0,-0.002,12.6,2021-09-24,04:15:00,2021-09-24 04:15:00
9/24/2021,04:30:00 am,0,-0.004,12.6,2021-09-24,04:30:00,2021-09-24 04:30:00
9/24/2021,04:45:00 am,0,0.001,12.6,2021-09-24,04:45:00,2021-09-24 04:45:00
9/24/2021,05:00:00 am,0,-0.0,12.6,2021-09-24,05:00:00,2021-09-24 05:00:00
9/24/2021,05:15:00 am,0,-0.001,12.6,2021-09-24,05:15:00,2021-09-24 05:15:00
9/24/2021,05:30:00 am,0,-0.0,12.5,2021-09-24,05:30:00,2021-09-24 05:30:00
9/24/2021,05:45:00 am,0,-0.0,12.4,2021-09-24,05:45:00,2021-09-24 05:45:00
9/24/2021,06:00:00 am,0,-0.002,12.4,2021-09-24,06:00:00,2021-09-24 06:00:00
9/24/2021,06:15:00 am,0,-0.001,12.4,2021-09-24,06:15:00,2021-09-24 06:15:00
9/24/2021,06:30:00 am,0,-0.001,12.3,2021-09-24,06:30:00,2021-09-24 06:30:00
9/24/2021,06:45:00 am,0,-0.003,12.3,2021-09-24,06:45:00,2021-09-24 06:45:00
