Serial_number:
2035083
Project ID:
ACRE Wetland
Location:
Center
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/8/2023,10:15:00 am,0,10.683,17.90
6/8/2023,10:30:00 am,0,10.680,17.80
6/8/2023,10:45:00 am,0,10.680,17.80
6/8/2023,11:00:00 am,0,10.680,17.80
6/8/2023,11:15:00 am,0,10.680,17.80
6/8/2023,11:30:00 am,0,10.680,17.80
6/8/2023,11:45:00 am,0,10.677,17.80
6/8/2023,12:00:00 pm,0,10.677,17.80
6/8/2023,12:15:00 pm,0,10.677,17.80
6/8/2023,12:30:00 pm,0,10.677,17.80
6/8/2023,12:45:00 pm,0,10.674,17.80
6/8/2023,01:00:00 pm,0,10.674,17.80
6/8/2023,01:15:00 pm,0,10.674,17.80
6/8/2023,01:30:00 pm,0,10.671,17.80
6/8/2023,01:45:00 pm,0,10.671,17.80
6/8/2023,02:00:00 pm,0,10.671,17.80
6/8/2023,02:15:00 pm,0,10.671,17.80
6/8/2023,02:30:00 pm,0,10.671,17.80
6/8/2023,02:45:00 pm,0,10.668,17.80
6/8/2023,03:00:00 pm,0,10.668,17.80
6/8/2023,03:15:00 pm,0,10.665,17.80
6/8/2023,03:30:00 pm,0,10.665,17.80
6/8/2023,03:45:00 pm,0,10.665,17.90
6/8/2023,04:00:00 pm,0,10.662,17.80
6/8/2023,04:15:00 pm,0,10.662,17.80
6/8/2023,04:30:00 pm,0,10.662,17.80
6/8/2023,04:45:00 pm,0,10.662,17.90
6/8/2023,05:00:00 pm,0,10.662,17.90
6/8/2023,05:15:00 pm,0,10.662,17.90
6/8/2023,05:30:00 pm,0,10.659,17.90
6/8/2023,05:45:00 pm,0,10.659,17.90
6/8/2023,06:00:00 pm,0,10.659,17.90
6/8/2023,06:15:00 pm,0,10.659,17.90
6/8/2023,06:30:00 pm,0,10.662,17.90
6/8/2023,06:45:00 pm,0,10.662,17.90
6/8/2023,07:00:00 pm,0,10.665,18.00
6/8/2023,07:15:00 pm,0,10.665,18.00
6/8/2023,07:30:00 pm,0,10.668,18.00
6/8/2023,07:45:00 pm,0,10.671,18.00
6/8/2023,08:00:00 pm,0,10.671,18.00
6/8/2023,08:15:00 pm,0,10.674,18.00
6/8/2023,08:30:00 pm,0,10.674,18.00
6/8/2023,08:45:00 pm,0,10.677,18.00
6/8/2023,09:00:00 pm,0,10.677,18.00
6/8/2023,09:15:00 pm,0,10.680,18.00
6/8/2023,09:30:00 pm,0,10.680,18.00
6/8/2023,09:45:00 pm,0,10.680,18.00
6/8/2023,10:00:00 pm,0,10.680,18.00
6/8/2023,10:15:00 pm,0,10.683,18.00
6/8/2023,10:30:00 pm,0,10.680,18.00
6/8/2023,10:45:00 pm,0,10.680,18.10
6/8/2023,11:00:00 pm,0,10.680,18.10
6/8/2023,11:15:00 pm,0,10.680,18.10
6/8/2023,11:30:00 pm,0,10.680,18.10
6/8/2023,11:45:00 pm,0,10.680,18.10
6/9/2023,12:00:00 am,0,10.680,18.10
6/9/2023,12:15:00 am,0,10.680,18.10
6/9/2023,12:30:00 am,0,10.680,18.10
6/9/2023,12:45:00 am,0,10.680,18.10
6/9/2023,01:00:00 am,0,10.680,18.10
6/9/2023,01:15:00 am,0,10.680,18.10
6/9/2023,01:30:00 am,0,10.680,18.10
6/9/2023,01:45:00 am,0,10.680,18.10
6/9/2023,02:00:00 am,0,10.680,18.10
6/9/2023,02:15:00 am,0,10.680,18.10
6/9/2023,02:30:00 am,0,10.680,18.10
6/9/2023,02:45:00 am,0,10.680,18.10
6/9/2023,03:00:00 am,0,10.683,18.10
6/9/2023,03:15:00 am,0,10.680,18.00
6/9/2023,03:30:00 am,0,10.683,18.00
6/9/2023,03:45:00 am,0,10.683,18.00
6/9/2023,04:00:00 am,0,10.683,18.00
6/9/2023,04:15:00 am,0,10.683,18.00
6/9/2023,04:30:00 am,0,10.686,18.00
6/9/2023,04:45:00 am,0,10.686,17.90
6/9/2023,05:00:00 am,0,10.686,17.90
6/9/2023,05:15:00 am,0,10.686,17.80
6/9/2023,05:30:00 am,0,10.686,17.80
6/9/2023,05:45:00 am,0,10.686,17.70
6/9/2023,06:00:00 am,0,10.686,17.60
6/9/2023,06:15:00 am,0,10.686,17.60
6/9/2023,06:30:00 am,0,10.689,17.50
6/9/2023,06:45:00 am,0,10.689,17.50
6/9/2023,07:00:00 am,0,10.689,17.40
6/9/2023,07:15:00 am,0,10.689,17.40
6/9/2023,07:30:00 am,0,10.689,17.30
6/9/2023,07:45:00 am,0,10.689,17.30
6/9/2023,08:00:00 am,0,10.689,17.30
6/9/2023,08:15:00 am,0,10.689,17.30
6/9/2023,08:30:00 am,0,10.689,17.30
6/9/2023,08:45:00 am,0,10.689,17.30
6/9/2023,09:00:00 am,0,10.692,17.30
6/9/2023,09:15:00 am,0,10.692,17.30
6/9/2023,09:30:00 am,0,10.692,17.30
6/9/2023,09:45:00 am,0,10.692,17.30
6/9/2023,10:00:00 am,0,10.692,17.40
6/9/2023,10:15:00 am,0,10.692,17.40
6/9/2023,10:30:00 am,0,10.689,17.40
6/9/2023,10:45:00 am,0,10.689,17.40
6/9/2023,11:00:00 am,0,10.689,17.40
6/9/2023,11:15:00 am,0,10.689,17.40
6/9/2023,11:30:00 am,0,10.689,17.40
6/9/2023,11:45:00 am,0,10.689,17.40
6/9/2023,12:00:00 pm,0,10.686,17.40
6/9/2023,12:15:00 pm,0,10.689,17.50
6/9/2023,12:30:00 pm,0,10.686,17.50
6/9/2023,12:45:00 pm,0,10.686,17.50
6/9/2023,01:00:00 pm,0,10.686,17.50
6/9/2023,01:15:00 pm,0,10.683,17.50
6/9/2023,01:30:00 pm,0,10.683,17.50
6/9/2023,01:45:00 pm,0,10.680,17.50
6/9/2023,02:00:00 pm,0,10.680,17.50
6/9/2023,02:15:00 pm,0,10.677,17.50
6/9/2023,02:30:00 pm,0,10.677,17.50
6/9/2023,02:45:00 pm,0,10.677,17.50
6/9/2023,03:00:00 pm,0,10.674,17.50
6/9/2023,03:15:00 pm,0,10.674,17.50
6/9/2023,03:30:00 pm,0,10.671,17.50
6/9/2023,03:45:00 pm,0,10.674,17.60
6/9/2023,04:00:00 pm,0,10.671,17.60
6/9/2023,04:15:00 pm,0,10.671,17.60
6/9/2023,04:30:00 pm,0,10.671,17.60
6/9/2023,04:45:00 pm,0,10.671,17.60
6/9/2023,05:00:00 pm,0,10.668,17.60
6/9/2023,05:15:00 pm,0,10.668,17.60
6/9/2023,05:30:00 pm,0,10.668,17.70
6/9/2023,05:45:00 pm,0,10.665,17.70
6/9/2023,06:00:00 pm,0,10.668,17.70
6/9/2023,06:15:00 pm,0,10.665,17.70
6/9/2023,06:30:00 pm,0,10.665,17.70
6/9/2023,06:45:00 pm,0,10.665,17.70
6/9/2023,07:00:00 pm,0,10.662,17.70
6/9/2023,07:15:00 pm,0,10.665,17.80
6/9/2023,07:30:00 pm,0,10.665,17.80
