Serial_number:
2036204
Project ID:
ACRE Wetland
Location:
Outlet
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
12/7/2023,11:30:00 am,0,10.149,4.30
12/7/2023,11:45:00 am,0,10.146,4.30
12/7/2023,12:00:00 pm,0,10.140,4.30
12/7/2023,12:15:00 pm,0,10.137,4.40
12/7/2023,12:30:00 pm,0,10.134,4.50
12/7/2023,12:45:00 pm,0,10.134,4.60
12/7/2023,01:00:00 pm,0,10.131,4.70
12/7/2023,01:15:00 pm,0,10.128,4.80
12/7/2023,01:30:00 pm,0,10.128,4.90
12/7/2023,01:45:00 pm,0,10.125,5.00
12/7/2023,02:00:00 pm,0,10.125,5.10
12/7/2023,02:15:00 pm,0,10.122,5.20
12/7/2023,02:30:00 pm,0,10.119,5.20
12/7/2023,02:45:00 pm,0,10.119,5.30
12/7/2023,03:00:00 pm,0,10.116,5.40
12/7/2023,03:15:00 pm,0,10.116,5.50
12/7/2023,03:30:00 pm,0,10.116,5.60
12/7/2023,03:45:00 pm,0,10.113,5.70
12/7/2023,04:00:00 pm,0,10.113,5.80
12/7/2023,04:15:00 pm,0,10.116,6.00
12/7/2023,04:30:00 pm,0,10.116,6.10
12/7/2023,04:45:00 pm,0,10.113,6.10
12/7/2023,05:00:00 pm,0,10.113,6.20
12/7/2023,05:15:00 pm,0,10.116,6.30
12/7/2023,05:30:00 pm,0,10.113,6.30
12/7/2023,05:45:00 pm,0,10.113,6.30
12/7/2023,06:00:00 pm,0,10.113,6.30
12/7/2023,06:15:00 pm,0,10.110,6.30
12/7/2023,06:30:00 pm,0,10.107,6.30
12/7/2023,06:45:00 pm,0,10.107,6.30
12/7/2023,07:00:00 pm,0,10.107,6.30
12/7/2023,07:15:00 pm,0,10.104,6.30
12/7/2023,07:30:00 pm,0,10.104,6.30
12/7/2023,07:45:00 pm,0,10.104,6.30
12/7/2023,08:00:00 pm,0,10.101,6.30
12/7/2023,08:15:00 pm,0,10.101,6.30
12/7/2023,08:30:00 pm,0,10.104,6.30
12/7/2023,08:45:00 pm,0,10.101,6.30
12/7/2023,09:00:00 pm,0,10.101,6.30
12/7/2023,09:15:00 pm,0,10.098,6.30
12/7/2023,09:30:00 pm,0,10.095,6.30
12/7/2023,09:45:00 pm,0,10.095,6.30
12/7/2023,10:00:00 pm,0,10.095,6.30
12/7/2023,10:15:00 pm,0,10.092,6.30
12/7/2023,10:30:00 pm,0,10.092,6.30
12/7/2023,10:45:00 pm,0,10.092,6.30
12/7/2023,11:00:00 pm,0,10.092,6.30
12/7/2023,11:15:00 pm,0,10.092,6.30
12/7/2023,11:30:00 pm,0,10.092,6.30
12/7/2023,11:45:00 pm,0,10.092,6.30
