Serial_number:
2036204
Project ID:
ACRE Wetland
Location:
Outlet
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/8/2024,03:30:00 pm,0,10.185,12.50
3/8/2024,03:45:00 pm,0,10.185,12.30
3/8/2024,04:00:00 pm,0,10.185,12.30
3/8/2024,04:15:00 pm,0,10.185,12.30
3/8/2024,04:30:00 pm,0,10.185,12.20
3/8/2024,04:45:00 pm,0,10.185,12.20
3/8/2024,05:00:00 pm,0,10.185,12.10
3/8/2024,05:15:00 pm,0,10.182,12.00
3/8/2024,05:30:00 pm,0,10.182,12.00
3/8/2024,05:45:00 pm,0,10.182,11.90
3/8/2024,06:00:00 pm,0,10.185,11.80
3/8/2024,06:15:00 pm,0,10.185,11.80
3/8/2024,06:30:00 pm,0,10.182,11.70
3/8/2024,06:45:00 pm,0,10.182,11.60
3/8/2024,07:00:00 pm,0,10.185,11.50
3/8/2024,07:15:00 pm,0,10.182,11.40
3/8/2024,07:30:00 pm,0,10.182,11.30
3/8/2024,07:45:00 pm,0,10.179,11.20
3/8/2024,08:00:00 pm,0,10.179,11.20
3/8/2024,08:15:00 pm,0,10.179,11.10
3/8/2024,08:30:00 pm,0,10.176,11.10
3/8/2024,08:45:00 pm,0,10.173,11.00
3/8/2024,09:00:00 pm,0,10.173,11.00
3/8/2024,09:15:00 pm,0,10.173,10.90
3/8/2024,09:30:00 pm,0,10.173,10.90
3/8/2024,09:45:00 pm,0,10.176,10.90
3/8/2024,10:00:00 pm,0,10.179,10.80
3/8/2024,10:15:00 pm,0,10.179,10.80
3/8/2024,10:30:00 pm,0,10.179,10.80
3/8/2024,10:45:00 pm,0,10.185,10.80
3/8/2024,11:00:00 pm,0,10.182,10.70
3/8/2024,11:15:00 pm,0,10.185,10.70
3/8/2024,11:30:00 pm,0,10.185,10.70
3/8/2024,11:45:00 pm,0,10.191,10.60
3/9/2024,12:00:00 am,0,10.197,10.50
3/9/2024,12:15:00 am,0,10.197,10.40
3/9/2024,12:30:00 am,0,10.200,10.20
3/9/2024,12:45:00 am,0,10.200,10.00
3/9/2024,01:00:00 am,0,10.203,9.80
3/9/2024,01:15:00 am,0,10.203,9.60
3/9/2024,01:30:00 am,0,10.203,9.50
3/9/2024,01:45:00 am,0,10.203,9.30
3/9/2024,02:00:00 am,0,10.206,9.10
3/9/2024,02:15:00 am,0,10.209,9.00
3/9/2024,02:30:00 am,0,10.209,8.90
3/9/2024,02:45:00 am,0,10.209,8.70
3/9/2024,03:00:00 am,0,10.212,8.60
3/9/2024,03:15:00 am,0,10.209,8.50
3/9/2024,03:30:00 am,0,10.209,8.40
3/9/2024,03:45:00 am,0,10.212,8.30
3/9/2024,04:00:00 am,0,10.215,8.30
3/9/2024,04:15:00 am,0,10.215,8.20
3/9/2024,04:30:00 am,0,10.215,8.10
3/9/2024,04:45:00 am,0,10.218,8.00
3/9/2024,05:00:00 am,0,10.221,8.00
3/9/2024,05:15:00 am,0,10.221,7.90
3/9/2024,05:30:00 am,0,10.221,7.80
3/9/2024,05:45:00 am,0,10.224,7.70
3/9/2024,06:00:00 am,0,10.227,7.70
3/9/2024,06:15:00 am,0,10.227,7.60
3/9/2024,06:30:00 am,0,10.227,7.50
3/9/2024,06:45:00 am,0,10.227,7.40
3/9/2024,07:00:00 am,0,10.227,7.40
3/9/2024,07:15:00 am,0,10.227,7.30
3/9/2024,07:30:00 am,0,10.227,7.30
3/9/2024,07:45:00 am,0,10.227,7.20
3/9/2024,08:00:00 am,0,10.227,7.20
3/9/2024,08:15:00 am,0,10.230,7.20
3/9/2024,08:30:00 am,0,10.230,7.10
3/9/2024,08:45:00 am,0,10.230,7.10
3/9/2024,09:00:00 am,0,10.233,7.20
3/9/2024,09:15:00 am,0,10.230,7.20
3/9/2024,09:30:00 am,0,10.233,7.30
3/9/2024,09:45:00 am,0,10.233,7.40
