Date,Time,ms,LEVEL (m),TEMPERATURE (degC),Date_P,Time_P,Date_Time
2021/08/16,16:00:00,0.0,10.221,19.4,2021-08-16,16:00:00,2021-08-16 16:00:00
2021/08/16,16:15:00,0.0,10.221,19.4,2021-08-16,16:15:00,2021-08-16 16:15:00
2021/08/16,16:30:00,0.0,10.218,19.4,2021-08-16,16:30:00,2021-08-16 16:30:00
2021/08/16,16:45:00,0.0,10.215,19.4,2021-08-16,16:45:00,2021-08-16 16:45:00
2021/08/16,17:00:00,0.0,10.215,19.4,2021-08-16,17:00:00,2021-08-16 17:00:00
2021/08/16,17:15:00,0.0,10.212,19.4,2021-08-16,17:15:00,2021-08-16 17:15:00
2021/08/16,17:30:00,0.0,10.212,19.4,2021-08-16,17:30:00,2021-08-16 17:30:00
2021/08/16,17:45:00,0.0,10.209,19.4,2021-08-16,17:45:00,2021-08-16 17:45:00
2021/08/16,18:00:00,0.0,10.209,19.4,2021-08-16,18:00:00,2021-08-16 18:00:00
2021/08/16,18:15:00,0.0,10.209,19.4,2021-08-16,18:15:00,2021-08-16 18:15:00
2021/08/16,18:30:00,0.0,10.209,19.4,2021-08-16,18:30:00,2021-08-16 18:30:00
2021/08/16,18:45:00,0.0,10.209,19.5,2021-08-16,18:45:00,2021-08-16 18:45:00
2021/08/16,19:00:00,0.0,10.206,19.5,2021-08-16,19:00:00,2021-08-16 19:00:00
2021/08/16,19:15:00,0.0,10.206,19.5,2021-08-16,19:15:00,2021-08-16 19:15:00
2021/08/16,19:30:00,0.0,10.206,19.5,2021-08-16,19:30:00,2021-08-16 19:30:00
2021/08/16,19:45:00,0.0,10.206,19.5,2021-08-16,19:45:00,2021-08-16 19:45:00
2021/08/16,20:00:00,0.0,10.206,19.5,2021-08-16,20:00:00,2021-08-16 20:00:00
2021/08/16,20:15:00,0.0,10.206,19.5,2021-08-16,20:15:00,2021-08-16 20:15:00
2021/08/16,20:30:00,0.0,10.206,19.5,2021-08-16,20:30:00,2021-08-16 20:30:00
2021/08/16,20:45:00,0.0,10.206,19.5,2021-08-16,20:45:00,2021-08-16 20:45:00
2021/08/16,21:00:00,0.0,10.209,19.6,2021-08-16,21:00:00,2021-08-16 21:00:00
2021/08/16,21:15:00,0.0,10.209,19.6,2021-08-16,21:15:00,2021-08-16 21:15:00
2021/08/16,21:30:00,0.0,10.209,19.6,2021-08-16,21:30:00,2021-08-16 21:30:00
2021/08/16,21:45:00,0.0,10.209,19.6,2021-08-16,21:45:00,2021-08-16 21:45:00
2021/08/16,22:00:00,0.0,10.209,19.6,2021-08-16,22:00:00,2021-08-16 22:00:00
2021/08/16,22:15:00,0.0,10.212,19.6,2021-08-16,22:15:00,2021-08-16 22:15:00
2021/08/16,22:30:00,0.0,10.212,19.6,2021-08-16,22:30:00,2021-08-16 22:30:00
2021/08/16,22:45:00,0.0,10.212,19.6,2021-08-16,22:45:00,2021-08-16 22:45:00
2021/08/16,23:00:00,0.0,10.212,19.6,2021-08-16,23:00:00,2021-08-16 23:00:00
2021/08/16,23:15:00,0.0,10.215,19.6,2021-08-16,23:15:00,2021-08-16 23:15:00
2021/08/16,23:30:00,0.0,10.215,19.6,2021-08-16,23:30:00,2021-08-16 23:30:00
2021/08/16,23:45:00,0.0,10.215,19.6,2021-08-16,23:45:00,2021-08-16 23:45:00
2021/08/17,00:00:00,0.0,10.215,19.6,2021-08-17,00:00:00,2021-08-17 00:00:00
2021/08/17,00:15:00,0.0,10.215,19.6,2021-08-17,00:15:00,2021-08-17 00:15:00
2021/08/17,00:30:00,0.0,10.212,19.6,2021-08-17,00:30:00,2021-08-17 00:30:00
2021/08/17,00:45:00,0.0,10.215,19.6,2021-08-17,00:45:00,2021-08-17 00:45:00
2021/08/17,01:00:00,0.0,10.212,19.6,2021-08-17,01:00:00,2021-08-17 01:00:00
2021/08/17,01:15:00,0.0,10.212,19.6,2021-08-17,01:15:00,2021-08-17 01:15:00
2021/08/17,01:30:00,0.0,10.212,19.6,2021-08-17,01:30:00,2021-08-17 01:30:00
2021/08/17,01:45:00,0.0,10.212,19.6,2021-08-17,01:45:00,2021-08-17 01:45:00
2021/08/17,02:00:00,0.0,10.212,19.6,2021-08-17,02:00:00,2021-08-17 02:00:00
2021/08/17,02:15:00,0.0,10.209,19.6,2021-08-17,02:15:00,2021-08-17 02:15:00
2021/08/17,02:30:00,0.0,10.209,19.5,2021-08-17,02:30:00,2021-08-17 02:30:00
2021/08/17,02:45:00,0.0,10.209,19.5,2021-08-17,02:45:00,2021-08-17 02:45:00
2021/08/17,03:00:00,0.0,10.206,19.5,2021-08-17,03:00:00,2021-08-17 03:00:00
2021/08/17,03:15:00,0.0,10.206,19.5,2021-08-17,03:15:00,2021-08-17 03:15:00
2021/08/17,03:30:00,0.0,10.206,19.5,2021-08-17,03:30:00,2021-08-17 03:30:00
2021/08/17,03:45:00,0.0,10.206,19.5,2021-08-17,03:45:00,2021-08-17 03:45:00
2021/08/17,04:00:00,0.0,10.206,19.5,2021-08-17,04:00:00,2021-08-17 04:00:00
2021/08/17,04:15:00,0.0,10.206,19.5,2021-08-17,04:15:00,2021-08-17 04:15:00
2021/08/17,04:30:00,0.0,10.206,19.4,2021-08-17,04:30:00,2021-08-17 04:30:00
2021/08/17,04:45:00,0.0,10.203,19.4,2021-08-17,04:45:00,2021-08-17 04:45:00
2021/08/17,05:00:00,0.0,10.203,19.4,2021-08-17,05:00:00,2021-08-17 05:00:00
2021/08/17,05:15:00,0.0,10.203,19.4,2021-08-17,05:15:00,2021-08-17 05:15:00
2021/08/17,05:30:00,0.0,10.206,19.4,2021-08-17,05:30:00,2021-08-17 05:30:00
2021/08/17,05:45:00,0.0,10.206,19.4,2021-08-17,05:45:00,2021-08-17 05:45:00
2021/08/17,06:00:00,0.0,10.206,19.3,2021-08-17,06:00:00,2021-08-17 06:00:00
2021/08/17,06:15:00,0.0,10.206,19.3,2021-08-17,06:15:00,2021-08-17 06:15:00
2021/08/17,06:30:00,0.0,10.209,19.3,2021-08-17,06:30:00,2021-08-17 06:30:00
2021/08/17,06:45:00,0.0,10.209,19.3,2021-08-17,06:45:00,2021-08-17 06:45:00
2021/08/17,07:00:00,0.0,10.209,19.3,2021-08-17,07:00:00,2021-08-17 07:00:00
2021/08/17,07:15:00,0.0,10.209,19.3,2021-08-17,07:15:00,2021-08-17 07:15:00
2021/08/17,07:30:00,0.0,10.212,19.3,2021-08-17,07:30:00,2021-08-17 07:30:00
2021/08/17,07:45:00,0.0,10.212,19.3,2021-08-17,07:45:00,2021-08-17 07:45:00
2021/08/17,08:00:00,0.0,10.212,19.3,2021-08-17,08:00:00,2021-08-17 08:00:00
2021/08/17,08:15:00,0.0,10.212,19.3,2021-08-17,08:15:00,2021-08-17 08:15:00
2021/08/17,08:30:00,0.0,10.215,19.3,2021-08-17,08:30:00,2021-08-17 08:30:00
2021/08/17,08:45:00,0.0,10.215,19.3,2021-08-17,08:45:00,2021-08-17 08:45:00
