Serial_number:
2074981
Project ID:
Field 63
Location:
ACRE
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2/9/2022,02:15:00 pm,0,-2.9,3.80
2/9/2022,03:15:00 pm,0,-3.5,3.80
2/9/2022,04:15:00 pm,0,-3.6,3.80
2/9/2022,05:15:00 pm,0,-4.0,4.00
2/9/2022,06:15:00 pm,0,-4.2,3.80
2/9/2022,07:15:00 pm,0,-4.2,3.80
2/9/2022,08:15:00 pm,0,-4.2,3.80
2/9/2022,09:15:00 pm,0,-4.2,3.80
2/9/2022,10:15:00 pm,0,-4.3,3.80
2/9/2022,11:15:00 pm,0,-4.6,3.80
2/10/2022,12:15:00 am,0,-4.6,3.80
2/10/2022,01:15:00 am,0,-4.8,3.80
2/10/2022,02:15:00 am,0,-4.9,3.80
2/10/2022,03:15:00 am,0,-4.8,3.80
2/10/2022,04:15:00 am,0,-5.0,3.80
2/10/2022,05:15:00 am,0,-4.8,3.80
2/10/2022,06:15:00 am,0,-4.8,3.80
2/10/2022,07:15:00 am,0,-4.9,3.80
2/10/2022,08:15:00 am,0,-5.0,3.80
2/10/2022,09:15:00 am,0,-5.0,3.80
2/10/2022,10:15:00 am,0,-5.0,3.80
2/10/2022,11:15:00 am,0,-5.0,3.80
2/10/2022,12:15:00 pm,0,-4.9,3.80
2/10/2022,01:15:00 pm,0,-4.8,3.80
2/10/2022,02:15:00 pm,0,-4.7,3.80
2/10/2022,03:15:00 pm,0,-4.7,3.80
2/10/2022,04:15:00 pm,0,-4.7,3.80
2/10/2022,05:15:00 pm,0,-4.8,3.80
2/10/2022,06:15:00 pm,0,-4.8,3.80
2/10/2022,07:15:00 pm,0,-5.1,3.80
2/10/2022,08:15:00 pm,0,-5.8,3.80
2/10/2022,09:15:00 pm,0,-5.7,3.80
2/10/2022,10:15:00 pm,0,-5.7,3.80
2/10/2022,11:15:00 pm,0,-5.8,3.80
2/11/2022,12:15:00 am,0,-5.6,3.80
2/11/2022,01:15:00 am,0,-5.4,3.80
2/11/2022,02:15:00 am,0,-5.5,3.80
2/11/2022,03:15:00 am,0,-5.3,3.80
2/11/2022,04:15:00 am,0,-5.0,3.80
2/11/2022,05:15:00 am,0,-4.8,3.80
2/11/2022,06:15:00 am,0,-4.7,3.80
2/11/2022,07:15:00 am,0,-4.6,3.80
2/11/2022,08:15:00 am,0,-4.5,3.80
2/11/2022,09:15:00 am,0,-4.6,3.80
2/11/2022,10:15:00 am,0,-4.7,3.80
2/11/2022,11:15:00 am,0,-4.6,3.80
2/11/2022,12:15:00 pm,0,-4.6,3.80
2/11/2022,01:15:00 pm,0,-2.7,3.90
2/11/2022,02:15:00 pm,0,3.9,4.00
2/11/2022,03:15:00 pm,0,9.3,4.00
2/11/2022,04:15:00 pm,0,13.7,3.90
2/11/2022,05:15:00 pm,0,17.3,3.90
2/11/2022,06:15:00 pm,0,21.0,3.90
2/11/2022,07:15:00 pm,0,24.9,3.90
2/11/2022,08:15:00 pm,0,29.7,3.90
2/11/2022,09:15:00 pm,0,34.8,3.90
2/11/2022,10:15:00 pm,0,37.9,3.80
2/11/2022,11:15:00 pm,0,39.8,3.70
2/12/2022,12:15:00 am,0,41.0,3.70
2/12/2022,01:15:00 am,0,41.3,3.60
2/12/2022,02:15:00 am,0,41.5,3.60
2/12/2022,03:15:00 am,0,40.6,3.60
2/12/2022,04:15:00 am,0,39.7,3.50
2/12/2022,05:15:00 am,0,38.3,3.50
2/12/2022,06:15:00 am,0,36.0,3.50
2/12/2022,07:15:00 am,0,33.5,3.50
2/12/2022,08:15:00 am,0,30.4,3.40
2/12/2022,09:15:00 am,0,28.2,3.50
2/12/2022,10:15:00 am,0,25.4,3.50
2/12/2022,11:15:00 am,0,23.1,3.60
2/12/2022,12:15:00 pm,0,20.9,3.60
2/12/2022,01:15:00 pm,0,19.5,3.60
2/12/2022,02:15:00 pm,0,18.4,3.60
2/12/2022,03:15:00 pm,0,17.7,3.70
2/12/2022,04:15:00 pm,0,16.9,3.70
2/12/2022,05:15:00 pm,0,15.4,3.70
2/12/2022,06:15:00 pm,0,14.4,3.70
2/12/2022,07:15:00 pm,0,13.6,3.70
2/12/2022,08:15:00 pm,0,12.9,3.70
2/12/2022,09:15:00 pm,0,12.5,3.70
2/12/2022,10:15:00 pm,0,12.0,3.70
2/12/2022,11:15:00 pm,0,11.4,3.70
2/13/2022,12:15:00 am,0,10.8,3.70
2/13/2022,01:15:00 am,0,10.4,3.70
2/13/2022,02:15:00 am,0,10.2,3.70
2/13/2022,03:15:00 am,0,9.8,3.70
2/13/2022,04:15:00 am,0,9.1,3.70
2/13/2022,05:15:00 am,0,7.9,3.70
2/13/2022,06:15:00 am,0,7.2,3.70
2/13/2022,07:15:00 am,0,6.5,3.70
2/13/2022,08:15:00 am,0,6.1,3.70
2/13/2022,09:15:00 am,0,6.3,3.70
2/13/2022,10:15:00 am,0,6.7,3.70
2/13/2022,11:15:00 am,0,6.7,3.70
2/13/2022,12:15:00 pm,0,6.7,3.70
2/13/2022,01:15:00 pm,0,6.3,3.70
2/13/2022,02:15:00 pm,0,5.9,3.70
