Serial_number:
2056389
Project ID:
ACRE
Location:
F63-Backup
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/9/2022,05:45:00 pm,0,-0.012,7.10
3/9/2022,06:00:00 pm,0,-0.012,6.40
3/9/2022,06:15:00 pm,0,-0.013,6.10
3/9/2022,06:30:00 pm,0,-0.014,6.00
3/9/2022,06:45:00 pm,0,-0.018,5.90
3/9/2022,07:00:00 pm,0,-0.019,5.80
3/9/2022,07:15:00 pm,0,-0.020,5.70
3/9/2022,07:30:00 pm,0,-0.021,5.60
3/9/2022,07:45:00 pm,0,-0.021,5.50
3/9/2022,08:00:00 pm,0,-0.022,5.40
3/9/2022,08:15:00 pm,0,-0.023,5.30
3/9/2022,08:30:00 pm,0,-0.023,5.20
3/9/2022,08:45:00 pm,0,-0.023,5.10
3/9/2022,09:00:00 pm,0,-0.023,5.00
3/9/2022,09:15:00 pm,0,-0.025,4.90
3/9/2022,09:30:00 pm,0,-0.026,4.80
3/9/2022,09:45:00 pm,0,-0.028,4.80
3/9/2022,10:00:00 pm,0,-0.028,4.70
3/9/2022,10:15:00 pm,0,-0.030,4.70
3/9/2022,10:30:00 pm,0,-0.030,4.60
3/9/2022,10:45:00 pm,0,-0.028,4.60
3/9/2022,11:00:00 pm,0,-0.028,4.50
3/9/2022,11:15:00 pm,0,-0.029,4.40
3/9/2022,11:30:00 pm,0,-0.028,4.40
3/9/2022,11:45:00 pm,0,-0.030,4.30
3/10/2022,12:00:00 am,0,-0.030,4.20
3/10/2022,12:15:00 am,0,-0.029,4.10
3/10/2022,12:30:00 am,0,-0.030,4.00
3/10/2022,12:45:00 am,0,-0.033,4.00
3/10/2022,01:00:00 am,0,-0.031,3.90
3/10/2022,01:15:00 am,0,-0.032,3.80
3/10/2022,01:30:00 am,0,-0.032,3.80
3/10/2022,01:45:00 am,0,-0.033,3.70
3/10/2022,02:00:00 am,0,-0.031,3.70
3/10/2022,02:15:00 am,0,-0.031,3.60
3/10/2022,02:30:00 am,0,-0.033,3.50
3/10/2022,02:45:00 am,0,-0.032,3.50
3/10/2022,03:00:00 am,0,-0.031,3.40
3/10/2022,03:15:00 am,0,-0.030,3.40
3/10/2022,03:30:00 am,0,-0.032,3.30
3/10/2022,03:45:00 am,0,-0.032,3.30
3/10/2022,04:00:00 am,0,-0.033,3.20
3/10/2022,04:15:00 am,0,-0.034,3.10
3/10/2022,04:30:00 am,0,-0.034,3.00
3/10/2022,04:45:00 am,0,-0.033,3.00
3/10/2022,05:00:00 am,0,-0.035,3.00
3/10/2022,05:15:00 am,0,-0.035,2.90
3/10/2022,05:30:00 am,0,-0.035,2.90
3/10/2022,05:45:00 am,0,-0.034,2.80
3/10/2022,06:00:00 am,0,-0.032,2.80
3/10/2022,06:15:00 am,0,-0.036,2.70
3/10/2022,06:30:00 am,0,-0.033,2.70
3/10/2022,06:45:00 am,0,-0.033,2.70
3/10/2022,07:00:00 am,0,-0.035,2.60
3/10/2022,07:15:00 am,0,-0.034,2.60
3/10/2022,07:30:00 am,0,-0.034,2.60
3/10/2022,07:45:00 am,0,-0.034,2.60
3/10/2022,08:00:00 am,0,-0.033,2.60
3/10/2022,08:15:00 am,0,-0.033,2.60
3/10/2022,08:30:00 am,0,-0.033,2.60
3/10/2022,08:45:00 am,0,-0.030,2.60
3/10/2022,09:00:00 am,0,-0.032,2.60
3/10/2022,09:15:00 am,0,-0.030,2.60
3/10/2022,09:30:00 am,0,-0.027,2.60
3/10/2022,09:45:00 am,0,-0.027,2.60
3/10/2022,10:00:00 am,0,-0.028,2.60
3/10/2022,10:15:00 am,0,-0.027,2.60
3/10/2022,10:30:00 am,0,-0.025,2.60
3/10/2022,10:45:00 am,0,-0.025,2.60
3/10/2022,11:00:00 am,0,-0.022,2.70
3/10/2022,11:15:00 am,0,-0.024,2.70
3/10/2022,11:30:00 am,0,-0.020,2.80
3/10/2022,11:45:00 am,0,-0.018,2.90
3/10/2022,12:00:00 pm,0,-0.016,3.00
3/10/2022,12:15:00 pm,0,-0.016,3.10
3/10/2022,12:30:00 pm,0,-0.017,3.20
3/10/2022,12:45:00 pm,0,-0.013,3.40
3/10/2022,01:00:00 pm,0,-0.014,3.50
3/10/2022,01:15:00 pm,0,-0.013,3.60
3/10/2022,01:30:00 pm,0,-0.013,3.80
3/10/2022,01:45:00 pm,0,-0.011,3.90
3/10/2022,02:00:00 pm,0,-0.011,4.10
3/10/2022,02:15:00 pm,0,-0.013,4.20
3/10/2022,02:30:00 pm,0,-0.012,4.40
3/10/2022,02:45:00 pm,0,-0.011,4.50
3/10/2022,03:00:00 pm,0,-0.012,4.70
3/10/2022,03:15:00 pm,0,-0.011,4.80
3/10/2022,03:30:00 pm,0,-0.011,5.00
3/10/2022,03:45:00 pm,0,-0.008,5.10
3/10/2022,04:00:00 pm,0,-0.011,5.20
3/10/2022,04:15:00 pm,0,-0.012,5.30
3/10/2022,04:30:00 pm,0,-0.012,5.30
3/10/2022,04:45:00 pm,0,-0.011,5.40
3/10/2022,05:00:00 pm,0,-0.011,5.50
3/10/2022,05:15:00 pm,0,-0.013,5.50
3/10/2022,05:30:00 pm,0,-0.013,5.50
3/10/2022,05:45:00 pm,0,-0.013,5.60
3/10/2022,06:00:00 pm,0,-0.015,5.60
3/10/2022,06:15:00 pm,0,-0.017,5.50
3/10/2022,06:30:00 pm,0,-0.018,5.50
3/10/2022,06:45:00 pm,0,-0.018,5.50
