Serial_number:
2056389
Project ID:
ACRE
Location:
F63-Backup
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/23/2022,02:00:00 pm,0,-0.019,13.90
3/23/2022,02:15:00 pm,0,-0.014,11.90
3/23/2022,02:30:00 pm,0,-0.015,11.30
3/23/2022,02:45:00 pm,0,-0.015,11.10
3/23/2022,03:00:00 pm,0,-0.016,11.00
3/23/2022,03:15:00 pm,0,-0.016,11.00
3/23/2022,03:30:00 pm,0,-0.015,11.00
3/23/2022,03:45:00 pm,0,-0.016,11.10
3/23/2022,04:00:00 pm,0,-0.015,11.10
3/23/2022,04:15:00 pm,0,-0.015,11.10
3/23/2022,04:30:00 pm,0,-0.015,11.10
3/23/2022,04:45:00 pm,0,-0.013,11.10
3/23/2022,05:00:00 pm,0,-0.016,11.00
3/23/2022,05:15:00 pm,0,-0.013,11.00
3/23/2022,05:30:00 pm,0,-0.018,11.00
3/23/2022,05:45:00 pm,0,-0.016,10.90
3/23/2022,06:00:00 pm,0,-0.015,10.90
3/23/2022,06:15:00 pm,0,-0.016,10.80
3/23/2022,06:30:00 pm,0,-0.017,10.80
3/23/2022,06:45:00 pm,0,-0.017,10.70
3/23/2022,07:00:00 pm,0,-0.016,10.60
3/23/2022,07:15:00 pm,0,-0.019,10.60
3/23/2022,07:30:00 pm,0,-0.017,10.50
3/23/2022,07:45:00 pm,0,-0.016,10.50
3/23/2022,08:00:00 pm,0,-0.018,10.40
3/23/2022,08:15:00 pm,0,-0.017,10.30
3/23/2022,08:30:00 pm,0,-0.016,10.30
3/23/2022,08:45:00 pm,0,-0.017,10.20
3/23/2022,09:00:00 pm,0,-0.019,10.20
3/23/2022,09:15:00 pm,0,-0.020,10.10
3/23/2022,09:30:00 pm,0,-0.016,10.10
3/23/2022,09:45:00 pm,0,-0.017,10.00
3/23/2022,10:00:00 pm,0,-0.018,10.00
3/23/2022,10:15:00 pm,0,-0.017,9.90
3/23/2022,10:30:00 pm,0,-0.019,9.80
3/23/2022,10:45:00 pm,0,-0.019,9.80
3/23/2022,11:00:00 pm,0,-0.020,9.70
3/23/2022,11:15:00 pm,0,-0.018,9.70
3/23/2022,11:30:00 pm,0,-0.021,9.60
3/23/2022,11:45:00 pm,0,-0.018,9.60
3/24/2022,12:00:00 am,0,-0.019,9.50
3/24/2022,12:15:00 am,0,-0.017,9.50
3/24/2022,12:30:00 am,0,-0.017,9.40
3/24/2022,12:45:00 am,0,-0.019,9.40
3/24/2022,01:00:00 am,0,-0.020,9.30
3/24/2022,01:15:00 am,0,-0.018,9.30
3/24/2022,01:30:00 am,0,-0.017,9.20
3/24/2022,01:45:00 am,0,-0.019,9.10
3/24/2022,02:00:00 am,0,-0.018,9.10
3/24/2022,02:15:00 am,0,-0.019,9.00
3/24/2022,02:30:00 am,0,-0.019,9.00
3/24/2022,02:45:00 am,0,-0.021,8.90
3/24/2022,03:00:00 am,0,-0.018,8.90
3/24/2022,03:15:00 am,0,-0.020,8.80
3/24/2022,03:30:00 am,0,-0.020,8.80
3/24/2022,03:45:00 am,0,-0.021,8.70
3/24/2022,04:00:00 am,0,-0.020,8.70
3/24/2022,04:15:00 am,0,-0.019,8.60
3/24/2022,04:30:00 am,0,-0.020,8.60
3/24/2022,04:45:00 am,0,-0.021,8.50
3/24/2022,05:00:00 am,0,-0.019,8.40
3/24/2022,05:15:00 am,0,-0.021,8.40
3/24/2022,05:30:00 am,0,-0.020,8.40
3/24/2022,05:45:00 am,0,-0.020,8.30
3/24/2022,06:00:00 am,0,-0.019,8.30
3/24/2022,06:15:00 am,0,-0.019,8.20
3/24/2022,06:30:00 am,0,-0.021,8.20
3/24/2022,06:45:00 am,0,-0.022,8.10
3/24/2022,07:00:00 am,0,-0.022,8.10
3/24/2022,07:15:00 am,0,-0.020,8.00
3/24/2022,07:30:00 am,0,-0.022,8.00
3/24/2022,07:45:00 am,0,-0.021,8.00
3/24/2022,08:00:00 am,0,-0.022,7.90
3/24/2022,08:15:00 am,0,-0.022,7.90
3/24/2022,08:30:00 am,0,-0.022,7.90
3/24/2022,08:45:00 am,0,-0.021,7.80
3/24/2022,09:00:00 am,0,-0.022,7.80
3/24/2022,09:15:00 am,0,-0.022,7.80
3/24/2022,09:30:00 am,0,-0.022,7.80
3/24/2022,09:45:00 am,0,-0.022,7.80
3/24/2022,10:00:00 am,0,-0.022,7.80
3/24/2022,10:15:00 am,0,-0.022,7.80
3/24/2022,10:30:00 am,0,-0.023,7.80
3/24/2022,10:45:00 am,0,-0.021,7.80
3/24/2022,11:00:00 am,0,-0.022,7.80
3/24/2022,11:15:00 am,0,-0.021,7.80
3/24/2022,11:30:00 am,0,-0.021,7.80
3/24/2022,11:45:00 am,0,-0.021,7.80
3/24/2022,12:00:00 pm,0,-0.021,7.90
3/24/2022,12:15:00 pm,0,-0.019,7.90
3/24/2022,12:30:00 pm,0,-0.019,7.90
3/24/2022,12:45:00 pm,0,-0.021,7.90
3/24/2022,01:00:00 pm,0,-0.020,8.00
3/24/2022,01:15:00 pm,0,-0.020,8.00
3/24/2022,01:30:00 pm,0,-0.022,8.00
3/24/2022,01:45:00 pm,0,-0.020,8.10
3/24/2022,02:00:00 pm,0,-0.019,8.10
3/24/2022,02:15:00 pm,0,-0.022,8.10
3/24/2022,02:30:00 pm,0,-0.022,8.10
3/24/2022,02:45:00 pm,0,-0.020,8.20
3/24/2022,03:00:00 pm,0,-0.020,8.20
3/24/2022,03:15:00 pm,0,-0.018,8.20
3/24/2022,03:30:00 pm,0,-0.019,8.20
3/24/2022,03:45:00 pm,0,-0.020,8.20
3/24/2022,04:00:00 pm,0,-0.020,8.20
3/24/2022,04:15:00 pm,0,-0.020,8.20
3/24/2022,04:30:00 pm,0,-0.019,8.20
3/24/2022,04:45:00 pm,0,-0.020,8.20
3/24/2022,05:00:00 pm,0,-0.020,8.20
3/24/2022,05:15:00 pm,0,-0.018,8.20
3/24/2022,05:30:00 pm,0,-0.019,8.20
3/24/2022,05:45:00 pm,0,-0.020,8.20
3/24/2022,06:00:00 pm,0,-0.019,8.10
3/24/2022,06:15:00 pm,0,-0.021,8.10
3/24/2022,06:30:00 pm,0,-0.020,8.10
3/24/2022,06:45:00 pm,0,-0.020,8.10
3/24/2022,07:00:00 pm,0,-0.020,8.10
3/24/2022,07:15:00 pm,0,-0.020,8.10
3/24/2022,07:30:00 pm,0,-0.022,8.00
3/24/2022,07:45:00 pm,0,-0.020,8.00
3/24/2022,08:00:00 pm,0,-0.019,8.00
3/24/2022,08:15:00 pm,0,-0.021,7.90
3/24/2022,08:30:00 pm,0,-0.019,7.90
3/24/2022,08:45:00 pm,0,-0.020,7.90
3/24/2022,09:00:00 pm,0,-0.020,7.90
3/24/2022,09:15:00 pm,0,-0.022,7.80
3/24/2022,09:30:00 pm,0,-0.019,7.80
3/24/2022,09:45:00 pm,0,-0.019,7.80
3/24/2022,10:00:00 pm,0,-0.021,7.80
3/24/2022,10:15:00 pm,0,-0.019,7.70
3/24/2022,10:30:00 pm,0,-0.021,7.70
3/24/2022,10:45:00 pm,0,-0.019,7.70
3/24/2022,11:00:00 pm,0,-0.020,7.60
3/24/2022,11:15:00 pm,0,-0.020,7.60
3/24/2022,11:30:00 pm,0,-0.020,7.60
3/24/2022,11:45:00 pm,0,-0.018,7.60
3/25/2022,12:00:00 am,0,-0.021,7.50
3/25/2022,12:15:00 am,0,-0.020,7.50
3/25/2022,12:30:00 am,0,-0.020,7.50
3/25/2022,12:45:00 am,0,-0.021,7.40
3/25/2022,01:00:00 am,0,-0.020,7.40
3/25/2022,01:15:00 am,0,-0.019,7.40
3/25/2022,01:30:00 am,0,-0.020,7.30
3/25/2022,01:45:00 am,0,-0.019,7.30
3/25/2022,02:00:00 am,0,-0.019,7.30
3/25/2022,02:15:00 am,0,-0.018,7.30
3/25/2022,02:30:00 am,0,-0.020,7.20
3/25/2022,02:45:00 am,0,-0.019,7.20
3/25/2022,03:00:00 am,0,-0.021,7.20
3/25/2022,03:15:00 am,0,-0.020,7.10
3/25/2022,03:30:00 am,0,-0.020,7.10
3/25/2022,03:45:00 am,0,-0.021,7.10
3/25/2022,04:00:00 am,0,-0.020,7.10
3/25/2022,04:15:00 am,0,-0.021,7.00
3/25/2022,04:30:00 am,0,-0.019,7.00
3/25/2022,04:45:00 am,0,-0.022,7.00
3/25/2022,05:00:00 am,0,-0.019,7.00
3/25/2022,05:15:00 am,0,-0.019,6.90
3/25/2022,05:30:00 am,0,-0.022,6.90
3/25/2022,05:45:00 am,0,-0.019,6.90
3/25/2022,06:00:00 am,0,-0.019,6.90
3/25/2022,06:15:00 am,0,-0.019,6.90
3/25/2022,06:30:00 am,0,-0.020,6.80
3/25/2022,06:45:00 am,0,-0.021,6.80
3/25/2022,07:00:00 am,0,-0.021,6.80
3/25/2022,07:15:00 am,0,-0.019,6.80
3/25/2022,07:30:00 am,0,-0.020,6.80
3/25/2022,07:45:00 am,0,-0.020,6.70
3/25/2022,08:00:00 am,0,-0.021,6.70
3/25/2022,08:15:00 am,0,-0.022,6.70
3/25/2022,08:30:00 am,0,-0.019,6.70
3/25/2022,08:45:00 am,0,-0.018,6.70
3/25/2022,09:00:00 am,0,-0.021,6.70
3/25/2022,09:15:00 am,0,-0.021,6.60
3/25/2022,09:30:00 am,0,-0.019,6.60
3/25/2022,09:45:00 am,0,-0.019,6.60
3/25/2022,10:00:00 am,0,-0.022,6.60
3/25/2022,10:15:00 am,0,-0.021,6.60
3/25/2022,10:30:00 am,0,-0.021,6.60
3/25/2022,10:45:00 am,0,-0.020,6.60
3/25/2022,11:00:00 am,0,-0.021,6.60
3/25/2022,11:15:00 am,0,-0.022,6.60
3/25/2022,11:30:00 am,0,-0.022,6.60
3/25/2022,11:45:00 am,0,-0.021,6.60
3/25/2022,12:00:00 pm,0,-0.019,6.60
3/25/2022,12:15:00 pm,0,-0.022,6.60
3/25/2022,12:30:00 pm,0,-0.022,6.70
3/25/2022,12:45:00 pm,0,-0.020,6.70
3/25/2022,01:00:00 pm,0,-0.019,6.70
3/25/2022,01:15:00 pm,0,-0.021,6.80
3/25/2022,01:30:00 pm,0,-0.019,6.80
3/25/2022,01:45:00 pm,0,-0.021,6.80
3/25/2022,02:00:00 pm,0,-0.021,6.80
3/25/2022,02:15:00 pm,0,-0.018,6.80
3/25/2022,02:30:00 pm,0,-0.019,6.90
3/25/2022,02:45:00 pm,0,-0.018,6.90
3/25/2022,03:00:00 pm,0,-0.018,6.90
3/25/2022,03:15:00 pm,0,-0.021,6.90
3/25/2022,03:30:00 pm,0,-0.020,6.90
