Serial_number:
2074981
Project ID:
Field 63
Location:
ACRE
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/15/2022,09:30:29 am,0,-2.3,22.10
6/15/2022,10:30:29 am,0,-2.6,17.30
6/15/2022,11:30:29 am,0,-2.6,17.10
6/15/2022,12:30:29 pm,0,-2.7,17.10
6/15/2022,01:30:29 pm,0,-2.7,17.10
6/15/2022,02:30:29 pm,0,-2.7,17.10
6/15/2022,03:30:29 pm,0,-2.5,17.20
6/15/2022,04:30:29 pm,0,-2.3,17.20
6/15/2022,05:30:29 pm,0,-2.1,17.20
6/15/2022,06:30:29 pm,0,-2.1,17.20
6/15/2022,07:30:29 pm,0,-2.1,17.20
6/15/2022,08:30:29 pm,0,-2.0,17.20
6/15/2022,09:30:29 pm,0,-2.0,17.20
6/15/2022,10:30:29 pm,0,-2.0,17.20
6/15/2022,11:30:29 pm,0,-1.9,17.20
6/16/2022,12:30:29 am,0,-2.0,17.20
6/16/2022,01:30:29 am,0,-2.2,17.20
6/16/2022,02:30:29 am,0,-2.0,17.20
6/16/2022,03:30:29 am,0,-2.1,17.30
6/16/2022,04:30:29 am,0,-2.1,17.30
6/16/2022,05:30:29 am,0,-2.1,17.30
6/16/2022,06:30:29 am,0,-2.1,17.30
6/16/2022,07:30:29 am,0,-2.2,17.30
6/16/2022,08:30:29 am,0,-2.3,17.40
6/16/2022,09:30:29 am,0,-2.4,17.40
6/16/2022,10:30:29 am,0,-2.5,17.40
6/16/2022,11:30:29 am,0,-2.7,17.40
6/16/2022,12:30:29 pm,0,-2.7,17.50
6/16/2022,01:30:29 pm,0,-2.7,17.50
6/16/2022,02:30:29 pm,0,-2.6,17.50
6/16/2022,03:30:29 pm,0,-2.7,17.50
6/16/2022,04:30:29 pm,0,-2.3,17.50
6/16/2022,05:30:29 pm,0,-2.1,17.60
6/16/2022,06:30:29 pm,0,-2.0,17.60
6/16/2022,07:30:29 pm,0,-2.1,17.60
6/16/2022,08:30:29 pm,0,-2.0,17.60
6/16/2022,09:30:29 pm,0,-2.0,17.60
6/16/2022,10:30:29 pm,0,-2.0,17.60
6/16/2022,11:30:29 pm,0,-2.0,17.60
6/17/2022,12:30:29 am,0,-2.0,17.60
6/17/2022,01:30:29 am,0,-2.0,17.60
6/17/2022,02:30:29 am,0,-2.0,17.60
6/17/2022,03:30:29 am,0,-2.0,17.70
6/17/2022,04:30:29 am,0,-1.9,17.70
6/17/2022,05:30:29 am,0,-1.8,17.70
6/17/2022,06:30:29 am,0,-2.0,17.70
6/17/2022,07:30:29 am,0,-1.9,17.70
6/17/2022,08:30:29 am,0,-2.0,17.70
6/17/2022,09:30:29 am,0,-2.3,17.80
6/17/2022,10:30:29 am,0,-2.4,17.80
6/17/2022,11:30:29 am,0,-2.6,17.80
6/17/2022,12:30:29 pm,0,-2.5,17.90
6/17/2022,01:30:29 pm,0,-2.6,17.90
6/17/2022,02:30:29 pm,0,-2.6,17.90
6/17/2022,03:30:29 pm,0,-2.6,17.90
6/17/2022,04:30:29 pm,0,-2.2,17.90
6/17/2022,05:30:29 pm,0,-2.1,18.00
6/17/2022,06:30:29 pm,0,-1.9,18.00
6/17/2022,07:30:29 pm,0,-2.0,18.00
6/17/2022,08:30:29 pm,0,-2.0,18.00
6/17/2022,09:30:29 pm,0,-1.9,18.00
6/17/2022,10:30:29 pm,0,-1.9,18.00
6/17/2022,11:30:29 pm,0,-2.0,18.00
6/18/2022,12:30:29 am,0,-2.0,18.00
6/18/2022,01:30:29 am,0,-2.0,18.00
6/18/2022,02:30:29 am,0,-2.1,18.00
6/18/2022,03:30:29 am,0,-1.8,18.10
6/18/2022,04:30:29 am,0,-2.0,18.10
6/18/2022,05:30:29 am,0,-1.9,18.10
6/18/2022,06:30:29 am,0,-2.1,18.10
6/18/2022,07:30:29 am,0,-2.2,18.10
6/18/2022,08:30:29 am,0,-2.4,18.20
6/18/2022,09:30:29 am,0,-2.4,18.20
6/18/2022,10:30:29 am,0,-2.4,18.20
