Serial_number:
2036204
Project ID:
ACRE Wetland
Location:
Outlet
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/8/2023,09:30:00 am,0,1.021,17.70
6/8/2023,09:45:00 am,0,1.023,17.50
6/8/2023,10:00:00 am,0,1.025,17.50
6/8/2023,10:15:00 am,0,1.027,17.40
6/8/2023,10:30:00 am,0,1.025,17.40
6/8/2023,10:45:00 am,0,1.025,17.40
6/8/2023,11:00:00 am,0,1.026,17.40
6/8/2023,11:15:00 am,0,1.026,17.40
6/8/2023,11:30:00 am,0,1.027,17.40
6/8/2023,11:45:00 am,0,1.025,17.40
6/8/2023,12:00:00 pm,0,1.027,17.40
6/8/2023,12:15:00 pm,0,1.028,17.40
6/8/2023,12:30:00 pm,0,1.025,17.40
6/8/2023,12:45:00 pm,0,1.026,17.50
6/8/2023,01:00:00 pm,0,1.026,17.50
6/8/2023,01:15:00 pm,0,1.027,17.50
6/8/2023,01:30:00 pm,0,1.026,17.50
6/8/2023,01:45:00 pm,0,1.025,17.50
6/8/2023,02:00:00 pm,0,1.023,17.50
6/8/2023,02:15:00 pm,0,1.026,17.60
6/8/2023,02:30:00 pm,0,1.023,17.60
6/8/2023,02:45:00 pm,0,1.024,17.60
6/8/2023,03:00:00 pm,0,1.022,17.60
6/8/2023,03:15:00 pm,0,1.023,17.60
6/8/2023,03:30:00 pm,0,1.021,17.60
6/8/2023,03:45:00 pm,0,1.024,17.70
6/8/2023,04:00:00 pm,0,1.022,17.70
6/8/2023,04:15:00 pm,0,1.023,17.70
6/8/2023,04:30:00 pm,0,1.025,17.70
6/8/2023,04:45:00 pm,0,1.024,17.70
6/8/2023,05:00:00 pm,0,1.023,17.70
6/8/2023,05:15:00 pm,0,1.024,17.70
6/8/2023,05:30:00 pm,0,1.025,17.70
6/8/2023,05:45:00 pm,0,1.023,17.70
6/8/2023,06:00:00 pm,0,1.023,17.70
6/8/2023,06:15:00 pm,0,1.026,17.70
6/8/2023,06:30:00 pm,0,1.024,17.70
6/8/2023,06:45:00 pm,0,1.022,17.70
6/8/2023,07:00:00 pm,0,1.025,17.70
6/8/2023,07:15:00 pm,0,1.023,17.70
6/8/2023,07:30:00 pm,0,1.024,17.70
6/8/2023,07:45:00 pm,0,1.022,17.70
6/8/2023,08:00:00 pm,0,1.024,17.70
6/8/2023,08:15:00 pm,0,1.022,17.70
6/8/2023,08:30:00 pm,0,1.023,17.70
6/8/2023,08:45:00 pm,0,1.022,17.70
6/8/2023,09:00:00 pm,0,1.024,17.70
6/8/2023,09:15:00 pm,0,1.024,17.70
6/8/2023,09:30:00 pm,0,1.024,17.70
6/8/2023,09:45:00 pm,0,1.023,17.70
6/8/2023,10:00:00 pm,0,1.023,17.70
6/8/2023,10:15:00 pm,0,1.024,17.70
6/8/2023,10:30:00 pm,0,1.022,17.70
6/8/2023,10:45:00 pm,0,1.024,17.70
6/8/2023,11:00:00 pm,0,1.024,17.70
6/8/2023,11:15:00 pm,0,1.023,17.70
6/8/2023,11:30:00 pm,0,1.023,17.70
6/8/2023,11:45:00 pm,0,1.022,17.70
6/9/2023,12:00:00 am,0,1.020,17.60
6/9/2023,12:15:00 am,0,1.021,17.60
6/9/2023,12:30:00 am,0,1.020,17.60
6/9/2023,12:45:00 am,0,1.020,17.60
6/9/2023,01:00:00 am,0,1.021,17.60
6/9/2023,01:15:00 am,0,1.022,17.60
6/9/2023,01:30:00 am,0,1.022,17.60
6/9/2023,01:45:00 am,0,1.020,17.60
6/9/2023,02:00:00 am,0,1.020,17.60
6/9/2023,02:15:00 am,0,1.020,17.60
6/9/2023,02:30:00 am,0,1.021,17.60
6/9/2023,02:45:00 am,0,1.020,17.60
6/9/2023,03:00:00 am,0,1.019,17.60
6/9/2023,03:15:00 am,0,1.020,17.60
6/9/2023,03:30:00 am,0,1.020,17.60
6/9/2023,03:45:00 am,0,1.020,17.60
6/9/2023,04:00:00 am,0,1.019,17.60
6/9/2023,04:15:00 am,0,1.019,17.60
6/9/2023,04:30:00 am,0,1.019,17.50
6/9/2023,04:45:00 am,0,1.018,17.50
6/9/2023,05:00:00 am,0,1.018,17.50
6/9/2023,05:15:00 am,0,1.020,17.50
6/9/2023,05:30:00 am,0,1.018,17.40
6/9/2023,05:45:00 am,0,1.018,17.40
6/9/2023,06:00:00 am,0,1.017,17.30
6/9/2023,06:15:00 am,0,1.018,17.30
6/9/2023,06:30:00 am,0,1.016,17.20
6/9/2023,06:45:00 am,0,1.016,17.20
6/9/2023,07:00:00 am,0,1.014,17.10
6/9/2023,07:15:00 am,0,1.017,17.10
6/9/2023,07:30:00 am,0,1.017,17.10
6/9/2023,07:45:00 am,0,1.016,17.00
6/9/2023,08:00:00 am,0,1.019,17.00
6/9/2023,08:15:00 am,0,1.018,17.00
6/9/2023,08:30:00 am,0,1.016,16.90
6/9/2023,08:45:00 am,0,1.018,16.90
6/9/2023,09:00:00 am,0,1.019,16.90
6/9/2023,09:15:00 am,0,1.018,16.90
6/9/2023,09:30:00 am,0,1.016,16.80
6/9/2023,09:45:00 am,0,1.015,16.80
6/9/2023,10:00:00 am,0,1.018,16.80
6/9/2023,10:15:00 am,0,1.016,16.80
6/9/2023,10:30:00 am,0,1.017,16.80
6/9/2023,10:45:00 am,0,1.017,16.80
6/9/2023,11:00:00 am,0,1.016,16.80
6/9/2023,11:15:00 am,0,1.015,16.80
6/9/2023,11:30:00 am,0,1.014,16.80
6/9/2023,11:45:00 am,0,1.013,16.80
6/9/2023,12:00:00 pm,0,1.015,16.80
6/9/2023,12:15:00 pm,0,1.016,16.80
6/9/2023,12:30:00 pm,0,1.015,16.80
6/9/2023,12:45:00 pm,0,1.016,16.90
6/9/2023,01:00:00 pm,0,1.017,16.90
6/9/2023,01:15:00 pm,0,1.014,16.90
6/9/2023,01:30:00 pm,0,1.014,16.90
6/9/2023,01:45:00 pm,0,1.013,16.90
6/9/2023,02:00:00 pm,0,1.013,17.00
6/9/2023,02:15:00 pm,0,1.015,17.00
6/9/2023,02:30:00 pm,0,1.013,17.00
6/9/2023,02:45:00 pm,0,1.013,17.00
6/9/2023,03:00:00 pm,0,1.011,17.00
6/9/2023,03:15:00 pm,0,1.012,17.10
6/9/2023,03:30:00 pm,0,1.014,17.10
6/9/2023,03:45:00 pm,0,1.011,17.10
6/9/2023,04:00:00 pm,0,1.010,17.10
6/9/2023,04:15:00 pm,0,1.011,17.10
6/9/2023,04:30:00 pm,0,1.013,17.10
6/9/2023,04:45:00 pm,0,1.014,17.10
6/9/2023,05:00:00 pm,0,1.014,17.20
6/9/2023,05:15:00 pm,0,1.015,17.20
6/9/2023,05:30:00 pm,0,1.016,17.20
6/9/2023,05:45:00 pm,0,1.016,17.20
6/9/2023,06:00:00 pm,0,1.015,17.20
6/9/2023,06:15:00 pm,0,1.016,17.20
6/9/2023,06:30:00 pm,0,1.014,17.20
6/9/2023,06:45:00 pm,0,1.015,17.20
6/9/2023,07:00:00 pm,0,1.016,17.20
6/9/2023,07:15:00 pm,0,1.014,17.20
6/9/2023,07:30:00 pm,0,1.013,17.20
6/9/2023,07:45:00 pm,0,1.014,17.20
6/9/2023,08:00:00 pm,0,1.015,17.20
6/9/2023,08:15:00 pm,0,1.014,17.20
6/9/2023,08:30:00 pm,0,1.014,17.20
6/9/2023,08:45:00 pm,0,1.015,17.20
6/9/2023,09:00:00 pm,0,1.013,17.20
6/9/2023,09:15:00 pm,0,1.014,17.20
6/9/2023,09:30:00 pm,0,1.014,17.20
6/9/2023,09:45:00 pm,0,1.014,17.20
6/9/2023,10:00:00 pm,0,1.013,17.20
6/9/2023,10:15:00 pm,0,1.013,17.20
6/9/2023,10:30:00 pm,0,1.013,17.20
6/9/2023,10:45:00 pm,0,1.013,17.20
6/9/2023,11:00:00 pm,0,1.014,17.20
6/9/2023,11:15:00 pm,0,1.013,17.20
6/9/2023,11:30:00 pm,0,1.015,17.20
6/9/2023,11:45:00 pm,0,1.015,17.20
6/10/2023,12:00:00 am,0,1.015,17.20
6/10/2023,12:15:00 am,0,1.015,17.20
6/10/2023,12:30:00 am,0,1.015,17.20
6/10/2023,12:45:00 am,0,1.013,17.20
6/10/2023,01:00:00 am,0,1.014,17.20
6/10/2023,01:15:00 am,0,1.014,17.20
6/10/2023,01:30:00 am,0,1.015,17.20
6/10/2023,01:45:00 am,0,1.015,17.20
6/10/2023,02:00:00 am,0,1.015,17.20
6/10/2023,02:15:00 am,0,1.015,17.20
6/10/2023,02:30:00 am,0,1.013,17.20
6/10/2023,02:45:00 am,0,1.014,17.20
6/10/2023,03:00:00 am,0,1.013,17.10
6/10/2023,03:15:00 am,0,1.012,17.10
6/10/2023,03:30:00 am,0,1.013,17.10
6/10/2023,03:45:00 am,0,1.013,17.10
6/10/2023,04:00:00 am,0,1.012,17.10
