Serial_number:
2074981
Project ID:
Field 63
Location:
ACRE
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2/6/2024,03:20:00 pm,0,0.106,4.90
2/6/2024,03:25:00 pm,0,0.105,4.90
2/6/2024,03:30:00 pm,0,0.106,4.90
2/6/2024,03:35:00 pm,0,0.102,4.90
2/6/2024,03:40:00 pm,0,0.101,4.90
2/6/2024,03:45:00 pm,0,0.097,4.90
2/6/2024,03:50:00 pm,0,0.093,4.90
2/6/2024,03:55:00 pm,0,0.091,4.90
2/6/2024,04:00:00 pm,0,0.090,4.90
2/6/2024,04:05:00 pm,0,0.090,4.90
2/6/2024,04:10:00 pm,0,0.089,4.90
2/6/2024,04:15:00 pm,0,0.088,4.90
2/6/2024,04:20:00 pm,0,0.087,4.90
2/6/2024,04:25:00 pm,0,0.086,4.90
2/6/2024,04:30:00 pm,0,0.087,4.90
2/6/2024,04:35:00 pm,0,0.086,4.90
2/6/2024,04:40:00 pm,0,0.086,4.90
2/6/2024,04:45:00 pm,0,0.085,4.90
2/6/2024,04:50:00 pm,0,0.083,4.90
2/6/2024,04:55:00 pm,0,0.080,4.90
2/6/2024,05:00:00 pm,0,0.078,4.90
2/6/2024,05:05:00 pm,0,0.078,4.90
2/6/2024,05:10:00 pm,0,0.079,4.90
2/6/2024,05:15:00 pm,0,0.079,4.90
2/6/2024,05:20:00 pm,0,0.078,4.90
2/6/2024,05:25:00 pm,0,0.077,4.90
2/6/2024,05:30:00 pm,0,0.078,4.90
2/6/2024,05:35:00 pm,0,0.075,4.90
2/6/2024,05:40:00 pm,0,0.070,4.90
2/6/2024,05:45:00 pm,0,0.067,4.90
2/6/2024,05:50:00 pm,0,0.069,4.90
2/6/2024,05:55:00 pm,0,0.068,4.90
2/6/2024,06:00:00 pm,0,0.067,4.90
2/6/2024,06:05:00 pm,0,0.068,4.90
2/6/2024,06:10:00 pm,0,-0.011,4.70
2/6/2024,06:15:00 pm,0,0.063,5.30
2/6/2024,06:20:00 pm,0,0.064,5.10
2/6/2024,06:25:00 pm,0,0.063,5.00
2/6/2024,06:30:00 pm,0,0.064,5.00
2/6/2024,06:35:00 pm,0,0.065,5.00
2/6/2024,06:40:00 pm,0,0.065,5.00
2/6/2024,06:45:00 pm,0,0.066,5.00
2/6/2024,06:50:00 pm,0,0.065,5.00
2/6/2024,06:55:00 pm,0,0.063,4.90
2/6/2024,07:00:00 pm,0,0.065,4.90
2/6/2024,07:05:00 pm,0,0.067,4.90
2/6/2024,07:10:00 pm,0,0.066,4.90
2/6/2024,07:15:00 pm,0,0.066,4.90
2/6/2024,07:20:00 pm,0,0.067,4.90
2/6/2024,07:25:00 pm,0,0.067,4.90
2/6/2024,07:30:00 pm,0,0.067,4.90
2/6/2024,07:35:00 pm,0,0.065,4.90
2/6/2024,07:40:00 pm,0,0.068,4.90
2/6/2024,07:45:00 pm,0,0.069,4.90
2/6/2024,07:50:00 pm,0,0.068,4.90
2/6/2024,07:55:00 pm,0,0.066,4.90
2/6/2024,08:00:00 pm,0,0.069,4.90
2/6/2024,08:05:00 pm,0,0.066,4.90
2/6/2024,08:10:00 pm,0,0.067,4.90
2/6/2024,08:15:00 pm,0,0.068,4.90
2/6/2024,08:20:00 pm,0,0.068,4.90
2/6/2024,08:25:00 pm,0,0.067,4.90
