Serial_number:
2056389
Project ID:
ACRE
Location:
F63-Backup
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2/23/2022,06:00:00 pm,0,10.254,1.70
2/23/2022,06:15:00 pm,0,10.254,1.60
2/23/2022,06:30:00 pm,0,10.248,1.60
2/23/2022,06:45:00 pm,0,10.254,1.50
2/23/2022,07:00:00 pm,0,10.257,1.50
2/23/2022,07:15:00 pm,0,10.260,1.50
2/23/2022,07:30:00 pm,0,10.263,1.50
2/23/2022,07:45:00 pm,0,10.260,1.40
2/23/2022,08:00:00 pm,0,10.260,1.40
2/23/2022,08:15:00 pm,0,10.257,1.40
2/23/2022,08:30:00 pm,0,10.251,1.40
2/23/2022,08:45:00 pm,0,10.251,1.40
2/23/2022,09:00:00 pm,0,10.251,1.40
2/23/2022,09:15:00 pm,0,10.248,1.30
2/23/2022,09:30:00 pm,0,10.248,1.30
2/23/2022,09:45:00 pm,0,10.248,1.30
2/23/2022,10:00:00 pm,0,10.245,1.30
2/23/2022,10:15:00 pm,0,10.242,1.30
2/23/2022,10:30:00 pm,0,10.242,1.30
2/23/2022,10:45:00 pm,0,10.239,1.30
2/23/2022,11:00:00 pm,0,10.236,1.30
2/23/2022,11:15:00 pm,0,10.233,1.30
2/23/2022,11:30:00 pm,0,10.230,1.30
2/23/2022,11:45:00 pm,0,10.230,1.30
2/24/2022,12:00:00 am,0,10.230,1.30
2/24/2022,12:15:00 am,0,10.230,1.30
2/24/2022,12:30:00 am,0,10.230,1.20
2/24/2022,12:45:00 am,0,10.230,1.20
2/24/2022,01:00:00 am,0,10.233,1.20
2/24/2022,01:15:00 am,0,10.230,1.20
2/24/2022,01:30:00 am,0,10.233,1.20
2/24/2022,01:45:00 am,0,10.236,1.20
2/24/2022,02:00:00 am,0,10.233,1.20
2/24/2022,02:15:00 am,0,10.233,1.20
2/24/2022,02:30:00 am,0,10.230,1.20
2/24/2022,02:45:00 am,0,10.227,1.20
2/24/2022,03:00:00 am,0,10.230,1.20
2/24/2022,03:15:00 am,0,10.224,1.20
2/24/2022,03:30:00 am,0,10.224,1.20
2/24/2022,03:45:00 am,0,10.224,1.20
2/24/2022,04:00:00 am,0,10.224,1.20
2/24/2022,04:15:00 am,0,10.224,1.10
2/24/2022,04:30:00 am,0,10.221,1.10
2/24/2022,04:45:00 am,0,10.224,1.10
2/24/2022,05:00:00 am,0,10.224,1.10
2/24/2022,05:15:00 am,0,10.224,1.10
2/24/2022,05:30:00 am,0,10.224,1.10
2/24/2022,05:45:00 am,0,10.221,1.10
2/24/2022,06:00:00 am,0,10.224,1.10
2/24/2022,06:15:00 am,0,10.221,1.10
2/24/2022,06:30:00 am,0,10.224,1.10
2/24/2022,06:45:00 am,0,10.224,1.10
2/24/2022,07:00:00 am,0,10.221,1.10
2/24/2022,07:15:00 am,0,10.218,1.10
2/24/2022,07:30:00 am,0,10.218,1.10
2/24/2022,07:45:00 am,0,10.218,1.00
2/24/2022,08:00:00 am,0,10.218,1.00
2/24/2022,08:15:00 am,0,10.215,1.00
2/24/2022,08:30:00 am,0,10.212,1.00
