Serial_number:
2056389
Project ID:
ACRE
Location:
F63-Backup
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/23/2022,02:00:00 pm,0,9.897,13.90
3/23/2022,02:15:00 pm,0,9.903,11.90
3/23/2022,02:30:00 pm,0,9.897,11.30
3/23/2022,02:45:00 pm,0,9.900,11.10
3/23/2022,03:00:00 pm,0,9.900,11.00
3/23/2022,03:15:00 pm,0,9.900,11.00
3/23/2022,03:30:00 pm,0,9.900,11.00
3/23/2022,03:45:00 pm,0,9.903,11.10
3/23/2022,04:00:00 pm,0,9.906,11.10
3/23/2022,04:15:00 pm,0,9.909,11.10
3/23/2022,04:30:00 pm,0,9.912,11.10
3/23/2022,04:45:00 pm,0,9.918,11.10
3/23/2022,05:00:00 pm,0,9.918,11.00
3/23/2022,05:15:00 pm,0,9.924,11.00
3/23/2022,05:30:00 pm,0,9.927,11.00
3/23/2022,05:45:00 pm,0,9.930,10.90
3/23/2022,06:00:00 pm,0,9.933,10.90
3/23/2022,06:15:00 pm,0,9.933,10.80
3/23/2022,06:30:00 pm,0,9.936,10.80
3/23/2022,06:45:00 pm,0,9.939,10.70
3/23/2022,07:00:00 pm,0,9.942,10.60
3/23/2022,07:15:00 pm,0,9.942,10.60
3/23/2022,07:30:00 pm,0,9.945,10.50
3/23/2022,07:45:00 pm,0,9.948,10.50
3/23/2022,08:00:00 pm,0,9.948,10.40
3/23/2022,08:15:00 pm,0,9.951,10.30
3/23/2022,08:30:00 pm,0,9.954,10.30
3/23/2022,08:45:00 pm,0,9.954,10.20
3/23/2022,09:00:00 pm,0,9.954,10.20
3/23/2022,09:15:00 pm,0,9.954,10.10
3/23/2022,09:30:00 pm,0,9.957,10.10
3/23/2022,09:45:00 pm,0,9.957,10.00
3/23/2022,10:00:00 pm,0,9.957,10.00
3/23/2022,10:15:00 pm,0,9.960,9.90
3/23/2022,10:30:00 pm,0,9.960,9.80
3/23/2022,10:45:00 pm,0,9.960,9.80
3/23/2022,11:00:00 pm,0,9.960,9.70
3/23/2022,11:15:00 pm,0,9.963,9.70
3/23/2022,11:30:00 pm,0,9.960,9.60
3/23/2022,11:45:00 pm,0,9.963,9.60
3/24/2022,12:00:00 am,0,9.963,9.50
3/24/2022,12:15:00 am,0,9.966,9.50
3/24/2022,12:30:00 am,0,9.966,9.40
3/24/2022,12:45:00 am,0,9.966,9.40
3/24/2022,01:00:00 am,0,9.966,9.30
3/24/2022,01:15:00 am,0,9.969,9.30
3/24/2022,01:30:00 am,0,9.972,9.20
3/24/2022,01:45:00 am,0,9.972,9.10
3/24/2022,02:00:00 am,0,9.975,9.10
3/24/2022,02:15:00 am,0,9.975,9.00
3/24/2022,02:30:00 am,0,9.975,9.00
3/24/2022,02:45:00 am,0,9.975,8.90
3/24/2022,03:00:00 am,0,9.978,8.90
3/24/2022,03:15:00 am,0,9.975,8.80
3/24/2022,03:30:00 am,0,9.975,8.80
3/24/2022,03:45:00 am,0,9.975,8.70
3/24/2022,04:00:00 am,0,9.978,8.70
3/24/2022,04:15:00 am,0,9.981,8.60
3/24/2022,04:30:00 am,0,9.981,8.60
3/24/2022,04:45:00 am,0,9.981,8.50
3/24/2022,05:00:00 am,0,9.984,8.40
3/24/2022,05:15:00 am,0,9.984,8.40
3/24/2022,05:30:00 am,0,9.987,8.40
3/24/2022,05:45:00 am,0,9.987,8.30
3/24/2022,06:00:00 am,0,9.990,8.30
3/24/2022,06:15:00 am,0,9.990,8.20
3/24/2022,06:30:00 am,0,9.990,8.20
3/24/2022,06:45:00 am,0,9.990,8.10
3/24/2022,07:00:00 am,0,9.993,8.10
3/24/2022,07:15:00 am,0,9.996,8.00
3/24/2022,07:30:00 am,0,9.996,8.00
3/24/2022,07:45:00 am,0,9.999,8.00
3/24/2022,08:00:00 am,0,9.999,7.90
3/24/2022,08:15:00 am,0,9.999,7.90
3/24/2022,08:30:00 am,0,9.999,7.90
3/24/2022,08:45:00 am,0,9.999,7.80
3/24/2022,09:00:00 am,0,9.999,7.80
3/24/2022,09:15:00 am,0,9.999,7.80
3/24/2022,09:30:00 am,0,9.999,7.80
3/24/2022,09:45:00 am,0,9.999,7.80
3/24/2022,10:00:00 am,0,9.999,7.80
3/24/2022,10:15:00 am,0,9.999,7.80
3/24/2022,10:30:00 am,0,9.999,7.80
3/24/2022,10:45:00 am,0,9.999,7.80
3/24/2022,11:00:00 am,0,9.996,7.80
3/24/2022,11:15:00 am,0,9.996,7.80
3/24/2022,11:30:00 am,0,9.996,7.80
3/24/2022,11:45:00 am,0,9.996,7.80
3/24/2022,12:00:00 pm,0,9.996,7.90
3/24/2022,12:15:00 pm,0,9.999,7.90
3/24/2022,12:30:00 pm,0,9.999,7.90
3/24/2022,12:45:00 pm,0,9.999,7.90
3/24/2022,01:00:00 pm,0,9.999,8.00
3/24/2022,01:15:00 pm,0,9.999,8.00
3/24/2022,01:30:00 pm,0,9.996,8.00
3/24/2022,01:45:00 pm,0,9.999,8.10
3/24/2022,02:00:00 pm,0,9.999,8.10
3/24/2022,02:15:00 pm,0,9.996,8.10
3/24/2022,02:30:00 pm,0,9.996,8.10
3/24/2022,02:45:00 pm,0,9.999,8.20
3/24/2022,03:00:00 pm,0,9.999,8.20
3/24/2022,03:15:00 pm,0,10.002,8.20
3/24/2022,03:30:00 pm,0,10.002,8.20
3/24/2022,03:45:00 pm,0,10.002,8.20
3/24/2022,04:00:00 pm,0,10.002,8.20
3/24/2022,04:15:00 pm,0,10.002,8.20
3/24/2022,04:30:00 pm,0,10.005,8.20
3/24/2022,04:45:00 pm,0,10.005,8.20
3/24/2022,05:00:00 pm,0,10.005,8.20
3/24/2022,05:15:00 pm,0,10.008,8.20
3/24/2022,05:30:00 pm,0,10.008,8.20
3/24/2022,05:45:00 pm,0,10.008,8.20
3/24/2022,06:00:00 pm,0,10.011,8.10
3/24/2022,06:15:00 pm,0,10.011,8.10
3/24/2022,06:30:00 pm,0,10.014,8.10
3/24/2022,06:45:00 pm,0,10.014,8.10
3/24/2022,07:00:00 pm,0,10.014,8.10
3/24/2022,07:15:00 pm,0,10.014,8.10
3/24/2022,07:30:00 pm,0,10.014,8.00
3/24/2022,07:45:00 pm,0,10.017,8.00
3/24/2022,08:00:00 pm,0,10.020,8.00
3/24/2022,08:15:00 pm,0,10.020,7.90
3/24/2022,08:30:00 pm,0,10.023,7.90
3/24/2022,08:45:00 pm,0,10.023,7.90
3/24/2022,09:00:00 pm,0,10.023,7.90
3/24/2022,09:15:00 pm,0,10.020,7.80
3/24/2022,09:30:00 pm,0,10.023,7.80
3/24/2022,09:45:00 pm,0,10.023,7.80
3/24/2022,10:00:00 pm,0,10.020,7.80
3/24/2022,10:15:00 pm,0,10.020,7.70
3/24/2022,10:30:00 pm,0,10.017,7.70
3/24/2022,10:45:00 pm,0,10.017,7.70
