Serial_number:
2074981
Project ID:
Field 63
Location:
ACRE
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
5/4/2022,12:50:04 pm,0,1012.4,16.40
5/4/2022,01:50:04 pm,0,1012.2,12.80
5/4/2022,02:50:04 pm,0,1012.2,13.00
5/4/2022,03:50:04 pm,0,1012.4,13.50
5/4/2022,04:50:04 pm,0,1012.7,14.00
5/4/2022,05:50:04 pm,0,1012.2,14.10
5/4/2022,06:50:04 pm,0,1012.8,14.00
5/4/2022,07:50:04 pm,0,1012.8,13.90
5/4/2022,08:50:04 pm,0,1012.7,13.80
5/4/2022,09:50:04 pm,0,1013.1,13.60
5/4/2022,10:50:04 pm,0,1012.5,13.50
5/4/2022,11:50:04 pm,0,1011.0,13.30
5/5/2022,12:50:04 am,0,1011.2,13.20
5/5/2022,01:50:04 am,0,1011.0,13.00
5/5/2022,02:50:04 am,0,1010.9,12.90
5/5/2022,03:50:04 am,0,1010.9,12.70
5/5/2022,04:50:04 am,0,1010.3,12.60
5/5/2022,05:50:04 am,0,1010.1,12.50
5/5/2022,06:50:04 am,0,1009.8,12.40
5/5/2022,07:50:04 am,0,1010.9,12.40
5/5/2022,08:50:04 am,0,1010.6,12.40
5/5/2022,09:50:04 am,0,1010.0,12.40
5/5/2022,10:50:04 am,0,1009.1,12.40
5/5/2022,11:50:04 am,0,1008.6,12.50
5/5/2022,12:50:04 pm,0,1008.0,12.50
5/5/2022,01:50:04 pm,0,1006.7,12.60
5/5/2022,02:50:04 pm,0,1005.0,12.70
5/5/2022,03:50:04 pm,0,1004.0,12.60
5/5/2022,04:50:04 pm,0,1004.1,12.50
5/5/2022,05:50:04 pm,0,1004.0,12.50
5/5/2022,06:50:04 pm,0,1003.1,12.40
5/5/2022,07:50:04 pm,0,1002.6,12.30
5/5/2022,08:50:04 pm,0,1001.9,12.30
5/5/2022,09:50:04 pm,0,1001.9,12.20
5/5/2022,10:50:04 pm,0,1000.8,12.10
5/5/2022,11:50:04 pm,0,999.5,12.10
5/6/2022,12:50:04 am,0,998.9,12.10
5/6/2022,01:50:04 am,0,998.1,12.10
5/6/2022,02:50:04 am,0,997.5,12.10
5/6/2022,03:50:04 am,0,996.8,12.00
5/6/2022,04:50:04 am,0,996.0,12.00
5/6/2022,05:50:04 am,0,996.0,12.00
5/6/2022,06:50:04 am,0,996.0,12.00
5/6/2022,07:50:04 am,0,995.7,12.00
5/6/2022,08:50:04 am,0,995.4,12.00
5/6/2022,09:50:04 am,0,995.1,12.00
5/6/2022,10:50:04 am,0,994.8,12.10
5/6/2022,11:50:04 am,0,995.0,12.30
5/6/2022,12:50:04 pm,0,994.2,12.40
5/6/2022,01:50:04 pm,0,994.4,12.50
5/6/2022,02:50:04 pm,0,993.8,13.00
5/6/2022,03:50:04 pm,0,994.1,12.90
5/6/2022,04:50:04 pm,0,994.5,12.80
5/6/2022,05:50:04 pm,0,995.1,12.80
5/6/2022,06:50:04 pm,0,996.2,12.70
5/6/2022,07:50:04 pm,0,997.2,12.60
5/6/2022,08:50:04 pm,0,998.0,12.40
5/6/2022,09:50:04 pm,0,998.6,12.30
5/6/2022,10:50:04 pm,0,998.4,12.20
5/6/2022,11:50:04 pm,0,998.9,12.10
5/7/2022,12:50:04 am,0,999.0,11.90
5/7/2022,01:50:04 am,0,999.2,11.80
5/7/2022,02:50:04 am,0,999.3,11.70
5/7/2022,03:50:04 am,0,999.9,11.50
5/7/2022,04:50:04 am,0,1000.2,11.30
5/7/2022,05:50:04 am,0,1001.3,11.10
5/7/2022,06:50:04 am,0,1002.2,10.90
5/7/2022,07:50:04 am,0,1002.6,10.70
5/7/2022,08:50:04 am,0,1003.2,10.70
5/7/2022,09:50:04 am,0,1003.4,10.70
5/7/2022,10:50:04 am,0,1003.7,10.90
5/7/2022,11:50:04 am,0,1003.8,11.50
5/7/2022,12:50:04 pm,0,1003.5,12.30
5/7/2022,01:50:04 pm,0,1004.3,13.30
5/7/2022,02:50:04 pm,0,1004.4,14.10
5/7/2022,03:50:04 pm,0,1003.8,14.80
5/7/2022,04:50:04 pm,0,1003.8,15.20
5/7/2022,05:50:04 pm,0,1004.0,15.40
5/7/2022,06:50:04 pm,0,1004.0,15.10
5/7/2022,07:50:04 pm,0,1004.9,14.70
5/7/2022,08:50:04 pm,0,1005.2,14.30
5/7/2022,09:50:04 pm,0,1006.1,13.90
5/7/2022,10:50:04 pm,0,1006.1,13.50
5/7/2022,11:50:04 pm,0,1005.6,13.10
5/8/2022,12:50:04 am,0,1006.1,12.60
5/8/2022,01:50:04 am,0,1005.9,12.20
5/8/2022,02:50:04 am,0,1005.9,11.90
5/8/2022,03:50:04 am,0,1005.9,11.60
5/8/2022,04:50:04 am,0,1006.4,11.30
5/8/2022,05:50:04 am,0,1007.1,10.90
5/8/2022,06:50:04 am,0,1007.6,10.80
5/8/2022,07:50:04 am,0,1008.2,10.70
5/8/2022,08:50:04 am,0,1007.6,10.60
5/8/2022,09:50:04 am,0,1006.5,10.70
5/8/2022,10:50:04 am,0,1006.2,10.90
5/8/2022,11:50:04 am,0,1006.5,11.50
5/8/2022,12:50:04 pm,0,1006.7,12.20
5/8/2022,01:50:04 pm,0,1007.1,12.60
5/8/2022,02:50:04 pm,0,1006.1,13.00
5/8/2022,03:50:04 pm,0,1004.1,13.30
5/8/2022,04:50:04 pm,0,1004.0,13.50
5/8/2022,05:50:04 pm,0,1004.0,13.50
5/8/2022,06:50:04 pm,0,1003.7,13.50
5/8/2022,07:50:04 pm,0,1003.8,13.30
5/8/2022,08:50:04 pm,0,1004.4,13.10
5/8/2022,09:50:04 pm,0,1004.7,12.90
5/8/2022,10:50:04 pm,0,1005.0,12.70
5/8/2022,11:50:04 pm,0,1005.2,12.40
5/9/2022,12:50:04 am,0,1005.8,12.20
5/9/2022,01:50:04 am,0,1005.6,12.00
5/9/2022,02:50:04 am,0,1005.9,11.90
5/9/2022,03:50:04 am,0,1005.9,11.70
5/9/2022,04:50:04 am,0,1005.9,11.50
5/9/2022,05:50:04 am,0,1005.8,11.40
5/9/2022,06:50:04 am,0,1006.2,11.30
5/9/2022,07:50:04 am,0,1006.1,11.30
5/9/2022,08:50:04 am,0,1006.4,11.50
5/9/2022,09:50:04 am,0,1006.7,11.80
5/9/2022,10:50:04 am,0,1006.5,12.30
5/9/2022,11:50:04 am,0,1006.4,13.00
5/9/2022,12:50:04 pm,0,1005.3,13.90
5/9/2022,01:50:04 pm,0,1005.2,14.90
5/9/2022,02:50:04 pm,0,1004.3,15.70
5/9/2022,03:50:04 pm,0,1003.8,16.30
5/9/2022,04:50:04 pm,0,1004.0,16.60
5/9/2022,05:50:04 pm,0,1003.8,16.90
5/9/2022,06:50:04 pm,0,1004.1,16.90
5/9/2022,07:50:04 pm,0,1004.6,16.60
5/9/2022,08:50:04 pm,0,1005.3,16.30
5/9/2022,09:50:04 pm,0,1005.9,16.10
5/9/2022,10:50:04 pm,0,1005.6,15.80
5/9/2022,11:50:04 pm,0,1006.4,15.60
5/10/2022,12:50:04 am,0,1006.7,15.50
5/10/2022,01:50:04 am,0,1007.9,15.30
5/10/2022,02:50:04 am,0,1008.5,15.20
5/10/2022,03:50:04 am,0,1008.6,15.20
5/10/2022,04:50:04 am,0,1008.8,15.10
5/10/2022,05:50:04 am,0,1008.9,15.10
5/10/2022,06:50:04 am,0,1009.4,15.10
5/10/2022,07:50:04 am,0,1009.8,15.20
5/10/2022,08:50:04 am,0,1010.4,15.40
5/10/2022,09:50:04 am,0,1010.4,15.80
5/10/2022,10:50:04 am,0,1010.4,16.30
5/10/2022,11:50:04 am,0,1010.4,17.00
5/10/2022,12:50:04 pm,0,1010.0,17.90
5/10/2022,01:50:04 pm,0,1009.7,19.00
5/10/2022,02:50:04 pm,0,1008.9,19.90
5/10/2022,03:50:04 pm,0,1008.6,20.50
5/10/2022,04:50:04 pm,0,1008.9,20.70
5/10/2022,05:50:04 pm,0,1008.8,20.90
5/10/2022,06:50:04 pm,0,1008.8,20.80
5/10/2022,07:50:04 pm,0,1009.2,20.50
5/10/2022,08:50:04 pm,0,1009.7,20.10
5/10/2022,09:50:04 pm,0,1010.4,19.80
5/10/2022,10:50:04 pm,0,1010.4,19.50
5/10/2022,11:50:04 pm,0,1010.6,19.30
5/11/2022,12:50:04 am,0,1010.6,19.10
5/11/2022,01:50:04 am,0,1010.6,19.00
5/11/2022,02:50:04 am,0,1010.7,18.90
5/11/2022,03:50:04 am,0,1011.0,18.80
5/11/2022,04:50:04 am,0,1011.3,18.70
5/11/2022,05:50:04 am,0,1011.9,18.60
5/11/2022,06:50:04 am,0,1012.4,18.50
5/11/2022,07:50:04 am,0,1012.5,18.50
5/11/2022,08:50:04 am,0,1012.2,18.80
5/11/2022,09:50:04 am,0,1012.2,19.10
5/11/2022,10:50:04 am,0,1012.5,19.60
5/11/2022,11:50:04 am,0,1012.2,20.50
5/11/2022,12:50:04 pm,0,1012.1,21.50
5/11/2022,01:50:04 pm,0,1011.5,22.20
5/11/2022,02:50:04 pm,0,1011.0,22.80
5/11/2022,03:50:04 pm,0,1010.6,23.20
5/11/2022,04:50:04 pm,0,1010.3,23.50
5/11/2022,05:50:04 pm,0,1010.1,23.40
5/11/2022,06:50:04 pm,0,1010.1,23.10
5/11/2022,07:50:04 pm,0,1010.6,22.70
5/11/2022,08:50:04 pm,0,1010.4,22.20
5/11/2022,09:50:04 pm,0,1010.3,21.80
5/11/2022,10:50:04 pm,0,1010.6,21.40
5/11/2022,11:50:04 pm,0,1010.7,21.00
5/12/2022,12:50:04 am,0,1011.3,20.70
5/12/2022,01:50:04 am,0,1011.3,20.40
5/12/2022,02:50:04 am,0,1011.5,20.10
5/12/2022,03:50:04 am,0,1011.3,19.80
5/12/2022,04:50:04 am,0,1011.2,19.50
5/12/2022,05:50:04 am,0,1010.7,19.30
5/12/2022,06:50:04 am,0,1011.5,19.00
5/12/2022,07:50:04 am,0,1011.9,18.80
5/12/2022,08:50:04 am,0,1011.9,18.70
5/12/2022,09:50:04 am,0,1011.9,18.80
5/12/2022,10:50:04 am,0,1011.8,19.10
5/12/2022,11:50:04 am,0,1011.3,19.80
5/12/2022,12:50:04 pm,0,1010.6,20.70
5/12/2022,01:50:04 pm,0,1010.1,21.50
5/12/2022,02:50:04 pm,0,1009.5,22.20
5/12/2022,03:50:04 pm,0,1008.8,22.60
5/12/2022,04:50:04 pm,0,1008.2,22.80
5/12/2022,05:50:04 pm,0,1007.6,22.80
5/12/2022,06:50:04 pm,0,1007.1,22.40
5/12/2022,07:50:04 pm,0,1007.4,21.90
5/12/2022,08:50:04 pm,0,1007.4,21.20
5/12/2022,09:50:04 pm,0,1007.6,20.70
5/12/2022,10:50:04 pm,0,1007.4,20.20
5/12/2022,11:50:04 pm,0,1007.6,19.80
5/13/2022,12:50:04 am,0,1007.7,19.40
5/13/2022,01:50:04 am,0,1007.7,19.00
5/13/2022,02:50:04 am,0,1007.4,18.60
5/13/2022,03:50:04 am,0,1007.1,18.30
5/13/2022,04:50:04 am,0,1007.1,18.00
5/13/2022,05:50:04 am,0,1007.4,17.70
5/13/2022,06:50:04 am,0,1007.6,17.50
5/13/2022,07:50:04 am,0,1007.7,17.40
5/13/2022,08:50:04 am,0,1007.6,17.60
5/13/2022,09:50:04 am,0,1007.0,17.80
5/13/2022,10:50:04 am,0,1007.6,18.30
5/13/2022,11:50:04 am,0,1007.9,19.40
5/13/2022,12:50:04 pm,0,1007.3,20.80
5/13/2022,01:50:04 pm,0,1006.5,21.90
5/13/2022,02:50:04 pm,0,1005.3,22.90
5/13/2022,03:50:04 pm,0,1004.9,23.60
5/13/2022,04:50:04 pm,0,1004.4,24.00
5/13/2022,05:50:04 pm,0,1003.5,23.90
5/13/2022,06:50:04 pm,0,1002.8,23.60
5/13/2022,07:50:04 pm,0,1002.3,23.10
5/13/2022,08:50:04 pm,0,1003.7,22.60
5/13/2022,09:50:04 pm,0,1005.0,22.00
5/13/2022,10:50:04 pm,0,1005.3,21.60
5/13/2022,11:50:04 pm,0,1005.2,21.20
5/14/2022,12:50:04 am,0,1004.7,20.80
5/14/2022,01:50:04 am,0,1004.1,20.50
5/14/2022,02:50:04 am,0,1004.4,20.20
5/14/2022,03:50:04 am,0,1004.3,19.90
5/14/2022,04:50:04 am,0,1004.1,19.60
5/14/2022,05:50:04 am,0,1004.0,19.30
5/14/2022,06:50:04 am,0,1004.1,19.10
5/14/2022,07:50:04 am,0,1004.4,19.00
5/14/2022,08:50:04 am,0,1004.6,19.20
5/14/2022,09:50:04 am,0,1004.4,19.40
5/14/2022,10:50:04 am,0,1004.3,19.90
5/14/2022,11:50:04 am,0,1003.8,20.90
5/14/2022,12:50:04 pm,0,1003.1,21.40
5/14/2022,01:50:04 pm,0,1004.1,19.10
5/14/2022,02:50:04 pm,0,1003.4,19.00
5/14/2022,03:50:04 pm,0,1003.2,19.10
5/14/2022,04:50:04 pm,0,1003.1,19.20
5/14/2022,05:50:04 pm,0,1003.2,19.20
