Serial_number:
2074981
Project ID:
Field 63
Location:
ACRE
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
5/25/2022,11:00:00 am,0,1005.2,20.30
5/25/2022,12:00:00 pm,0,1004.6,18.00
5/25/2022,01:00:00 pm,0,1004.1,18.70
5/25/2022,02:00:00 pm,0,1003.5,19.30
5/25/2022,03:00:00 pm,0,1002.6,20.00
5/25/2022,04:00:00 pm,0,1001.1,20.50
5/25/2022,05:00:00 pm,0,1001.7,20.70
5/25/2022,06:00:00 pm,0,1001.3,20.50
5/25/2022,07:00:00 pm,0,1001.3,20.30
5/25/2022,08:00:00 pm,0,1001.0,20.10
5/25/2022,09:00:00 pm,0,1001.1,19.80
5/25/2022,10:00:00 pm,0,1001.0,19.60
5/25/2022,11:00:00 pm,0,1001.1,19.40
5/26/2022,12:00:00 am,0,1001.3,19.20
5/26/2022,01:00:00 am,0,1001.3,19.10
5/26/2022,02:00:00 am,0,1001.4,18.90
5/26/2022,03:00:00 am,0,1001.4,18.80
5/26/2022,04:00:00 am,0,1001.6,18.60
5/26/2022,05:00:00 am,0,1001.4,18.50
5/26/2022,06:00:00 am,0,1001.6,18.30
5/26/2022,07:00:00 am,0,1002.0,18.20
5/26/2022,08:00:00 am,0,1001.6,18.20
5/26/2022,09:00:00 am,0,1001.9,18.30
5/26/2022,10:00:00 am,0,1001.1,18.30
5/26/2022,11:00:00 am,0,1001.3,18.40
5/26/2022,12:00:00 pm,0,1002.2,18.50
5/26/2022,01:00:00 pm,0,1000.4,18.50
5/26/2022,02:00:00 pm,0,1000.1,18.70
5/26/2022,03:00:00 pm,0,999.9,19.20
5/26/2022,04:00:00 pm,0,998.9,19.90
5/26/2022,05:00:00 pm,0,997.7,20.00
5/26/2022,06:00:00 pm,0,997.4,19.80
5/26/2022,07:00:00 pm,0,996.9,19.60
5/26/2022,08:00:00 pm,0,997.8,19.20
5/26/2022,09:00:00 pm,0,997.8,18.80
5/26/2022,10:00:00 pm,0,998.7,18.60
5/26/2022,11:00:00 pm,0,998.4,18.50
5/27/2022,12:00:00 am,0,998.1,18.30
5/27/2022,01:00:00 am,0,997.8,18.00
5/27/2022,02:00:00 am,0,997.5,17.80
5/27/2022,03:00:00 am,0,997.7,17.60
5/27/2022,04:00:00 am,0,997.5,17.50
5/27/2022,05:00:00 am,0,997.7,17.30
5/27/2022,06:00:00 am,0,998.4,17.10
5/27/2022,07:00:00 am,0,998.4,16.90
5/27/2022,08:00:00 am,0,998.6,16.90
5/27/2022,09:00:00 am,0,998.6,16.90
5/27/2022,10:00:00 am,0,998.6,17.10
5/27/2022,11:00:00 am,0,998.7,17.30
5/27/2022,12:00:00 pm,0,998.7,17.40
5/27/2022,01:00:00 pm,0,998.7,17.60
5/27/2022,02:00:00 pm,0,998.9,17.70
5/27/2022,03:00:00 pm,0,999.8,17.70
5/27/2022,04:00:00 pm,0,1000.4,17.50
5/27/2022,05:00:00 pm,0,1001.1,17.40
5/27/2022,06:00:00 pm,0,1001.7,17.20
5/27/2022,07:00:00 pm,0,1002.0,17.00
5/27/2022,08:00:00 pm,0,1002.3,16.70
5/27/2022,09:00:00 pm,0,1003.2,16.50
5/27/2022,10:00:00 pm,0,1003.8,16.10
5/27/2022,11:00:00 pm,0,1004.0,15.70
5/28/2022,12:00:00 am,0,1003.7,15.50
5/28/2022,01:00:00 am,0,1003.7,15.30
5/28/2022,02:00:00 am,0,1003.5,15.10
5/28/2022,03:00:00 am,0,1004.0,14.90
5/28/2022,04:00:00 am,0,1004.4,14.70
5/28/2022,05:00:00 am,0,1004.6,14.50
5/28/2022,06:00:00 am,0,1005.5,14.30
5/28/2022,07:00:00 am,0,1005.8,14.20
5/28/2022,08:00:00 am,0,1005.9,14.20
5/28/2022,09:00:00 am,0,1005.8,14.40
5/28/2022,10:00:00 am,0,1005.5,14.70
5/28/2022,11:00:00 am,0,1005.6,14.90
5/28/2022,12:00:00 pm,0,1005.6,15.60
5/28/2022,01:00:00 pm,0,1005.5,16.60
5/28/2022,02:00:00 pm,0,1005.5,17.60
5/28/2022,03:00:00 pm,0,1004.7,18.60
5/28/2022,04:00:00 pm,0,1003.8,19.50
5/28/2022,05:00:00 pm,0,1003.5,20.10
5/28/2022,06:00:00 pm,0,1002.6,20.20
