Serial_number:
2074981
Project ID:
Field 63
Location:
ACRE
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/28/2022,02:45:00 pm,0,1014.2,23.00
6/28/2022,03:45:00 pm,0,1013.6,20.40
6/28/2022,04:45:00 pm,0,1013.1,20.30
6/28/2022,05:45:00 pm,0,1012.5,20.30
6/28/2022,06:45:00 pm,0,1012.5,20.30
6/28/2022,07:45:00 pm,0,1012.4,20.30
6/28/2022,08:45:00 pm,0,1011.8,20.20
6/28/2022,09:45:00 pm,0,1012.4,20.20
6/28/2022,10:45:00 pm,0,1012.5,20.20
6/28/2022,11:45:00 pm,0,1013.0,20.20
6/29/2022,12:45:00 am,0,1013.1,20.20
6/29/2022,01:45:00 am,0,1013.1,20.20
6/29/2022,02:45:00 am,0,1013.3,20.20
6/29/2022,03:45:00 am,0,1013.1,20.20
6/29/2022,04:45:00 am,0,1013.1,20.20
6/29/2022,05:45:00 am,0,1013.4,20.20
6/29/2022,06:45:00 am,0,1013.9,20.20
6/29/2022,07:45:00 am,0,1014.0,20.20
6/29/2022,08:45:00 am,0,1014.3,20.20
6/29/2022,09:45:00 am,0,1014.3,20.20
6/29/2022,10:45:00 am,0,1014.5,20.20
6/29/2022,11:45:00 am,0,1014.3,20.30
6/29/2022,12:45:00 pm,0,1014.0,20.30
6/29/2022,01:45:00 pm,0,1013.6,20.30
6/29/2022,02:45:00 pm,0,1013.3,20.30
6/29/2022,03:45:00 pm,0,1013.0,20.30
6/29/2022,04:45:00 pm,0,1012.5,20.30
6/29/2022,05:45:00 pm,0,1012.2,20.30
6/29/2022,06:45:00 pm,0,1012.1,20.30
6/29/2022,07:45:00 pm,0,1012.1,20.30
6/29/2022,08:45:00 pm,0,1012.4,20.30
6/29/2022,09:45:00 pm,0,1013.1,20.30
6/29/2022,10:45:00 pm,0,1013.3,20.30
6/29/2022,11:45:00 pm,0,1013.3,20.20
6/30/2022,12:45:00 am,0,1013.1,20.20
6/30/2022,01:45:00 am,0,1013.0,20.20
6/30/2022,02:45:00 am,0,1012.5,20.20
6/30/2022,03:45:00 am,0,1012.4,20.20
6/30/2022,04:45:00 am,0,1012.4,20.20
6/30/2022,05:45:00 am,0,1012.7,20.20
6/30/2022,06:45:00 am,0,1012.5,20.30
6/30/2022,07:45:00 am,0,1012.1,20.30
6/30/2022,08:45:00 am,0,1011.3,20.30
6/30/2022,09:45:00 am,0,1011.6,20.30
6/30/2022,10:45:00 am,0,1011.2,20.30
6/30/2022,11:45:00 am,0,1010.6,20.30
6/30/2022,12:45:00 pm,0,1010.0,20.40
6/30/2022,01:45:00 pm,0,1008.8,20.40
6/30/2022,02:45:00 pm,0,1008.0,20.40
6/30/2022,03:45:00 pm,0,1007.6,20.40
6/30/2022,04:45:00 pm,0,1007.1,20.40
6/30/2022,05:45:00 pm,0,1007.0,20.40
6/30/2022,06:45:00 pm,0,1006.7,20.40
6/30/2022,07:45:00 pm,0,1006.5,20.40
6/30/2022,08:45:00 pm,0,1006.5,20.40
6/30/2022,09:45:00 pm,0,1007.1,20.40
6/30/2022,10:45:00 pm,0,1007.1,20.40
6/30/2022,11:45:00 pm,0,1007.3,20.40
7/1/2022,12:45:00 am,0,1007.0,20.40
7/1/2022,01:45:00 am,0,1006.7,20.40
7/1/2022,02:45:00 am,0,1006.2,20.40
7/1/2022,03:45:00 am,0,1006.1,20.40
7/1/2022,04:45:00 am,0,1006.2,20.40
7/1/2022,05:45:00 am,0,1006.2,20.40
7/1/2022,06:45:00 am,0,1006.4,20.40
7/1/2022,07:45:00 am,0,1006.2,20.40
7/1/2022,08:45:00 am,0,1006.1,20.40
7/1/2022,09:45:00 am,0,1005.9,20.40
7/1/2022,10:45:00 am,0,1005.9,20.50
7/1/2022,11:45:00 am,0,1005.9,20.50
7/1/2022,12:45:00 pm,0,1005.6,20.50
7/1/2022,01:45:00 pm,0,1005.9,20.50
7/1/2022,02:45:00 pm,0,1006.2,20.50
7/1/2022,03:45:00 pm,0,1006.1,20.50
7/1/2022,04:45:00 pm,0,1006.2,20.50
7/1/2022,05:45:00 pm,0,1006.1,20.50
7/1/2022,06:45:00 pm,0,1006.4,20.50
7/1/2022,07:45:00 pm,0,1005.0,20.50
7/1/2022,08:45:00 pm,0,1005.6,20.50
7/1/2022,09:45:00 pm,0,1006.5,20.50
7/1/2022,10:45:00 pm,0,1006.8,20.50
7/1/2022,11:45:00 pm,0,1006.5,20.50
7/2/2022,12:45:00 am,0,1007.3,20.50
7/2/2022,01:45:00 am,0,1007.3,20.60
7/2/2022,02:45:00 am,0,1007.3,20.60
7/2/2022,03:45:00 am,0,1007.3,20.60
7/2/2022,04:45:00 am,0,1007.3,20.60
7/2/2022,05:45:00 am,0,1007.4,20.60
7/2/2022,06:45:00 am,0,1007.7,20.60
7/2/2022,07:45:00 am,0,1008.2,20.60
7/2/2022,08:45:00 am,0,1008.5,20.60
7/2/2022,09:45:00 am,0,1008.6,20.60
7/2/2022,10:45:00 am,0,1009.1,20.70
7/2/2022,11:45:00 am,0,1009.2,20.70
7/2/2022,12:45:00 pm,0,1008.9,20.70
7/2/2022,01:45:00 pm,0,1008.5,20.70
7/2/2022,02:45:00 pm,0,1008.2,20.70
7/2/2022,03:45:00 pm,0,1008.0,20.70
7/2/2022,04:45:00 pm,0,1008.0,20.70
7/2/2022,05:45:00 pm,0,1007.6,20.70
7/2/2022,06:45:00 pm,0,1007.9,20.70
