Serial_number:
2074981
Project ID:
Field 63
Location:
ACRE
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/2/2022,11:00:00 am,0,1008.5,24.80
8/2/2022,12:00:00 pm,0,1007.9,20.60
8/2/2022,01:00:00 pm,0,1006.5,20.50
8/2/2022,02:00:00 pm,0,1006.4,20.50
8/2/2022,03:00:00 pm,0,1006.1,20.50
8/2/2022,04:00:00 pm,0,1005.3,20.50
8/2/2022,05:00:00 pm,0,1005.0,20.50
8/2/2022,06:00:00 pm,0,1004.6,20.50
8/2/2022,07:00:00 pm,0,1004.6,20.50
8/2/2022,08:00:00 pm,0,1005.2,20.50
8/2/2022,09:00:00 pm,0,1005.8,20.50
8/2/2022,10:00:00 pm,0,1005.8,20.50
8/2/2022,11:00:00 pm,0,1005.5,20.50
8/3/2022,12:00:00 am,0,1004.6,20.50
8/3/2022,01:00:00 am,0,1004.6,20.50
8/3/2022,02:00:00 am,0,1004.7,20.50
8/3/2022,03:00:00 am,0,1004.7,20.50
8/3/2022,04:00:00 am,0,1004.1,20.50
8/3/2022,05:00:00 am,0,1003.4,20.50
8/3/2022,06:00:00 am,0,1003.1,20.40
8/3/2022,07:00:00 am,0,1003.8,20.40
8/3/2022,08:00:00 am,0,1004.0,20.50
8/3/2022,09:00:00 am,0,1003.4,20.50
8/3/2022,10:00:00 am,0,1003.1,20.50
8/3/2022,11:00:00 am,0,1003.1,20.50
8/3/2022,12:00:00 pm,0,1002.8,20.50
8/3/2022,01:00:00 pm,0,1002.6,20.50
8/3/2022,02:00:00 pm,0,1002.8,20.50
8/3/2022,03:00:00 pm,0,1001.0,20.50
8/3/2022,04:00:00 pm,0,1001.7,20.50
8/3/2022,05:00:00 pm,0,1003.8,20.50
8/3/2022,06:00:00 pm,0,1004.6,20.40
8/3/2022,07:00:00 pm,0,1004.1,20.40
8/3/2022,08:00:00 pm,0,1004.3,20.40
8/3/2022,09:00:00 pm,0,1005.5,20.40
8/3/2022,10:00:00 pm,0,1005.8,20.40
8/3/2022,11:00:00 pm,0,1004.9,20.40
8/4/2022,12:00:00 am,0,1004.9,20.40
8/4/2022,01:00:00 am,0,1005.3,20.40
8/4/2022,02:00:00 am,0,1005.2,20.40
8/4/2022,03:00:00 am,0,1005.5,20.40
8/4/2022,04:00:00 am,0,1005.8,20.40
8/4/2022,05:00:00 am,0,1005.8,20.40
8/4/2022,06:00:00 am,0,1006.1,20.40
8/4/2022,07:00:00 am,0,1006.4,20.40
8/4/2022,08:00:00 am,0,1006.4,20.40
8/4/2022,09:00:00 am,0,1007.7,20.50
8/4/2022,10:00:00 am,0,1007.4,20.50
8/4/2022,11:00:00 am,0,1007.4,20.50
8/4/2022,12:00:00 pm,0,1007.9,20.50
8/4/2022,01:00:00 pm,0,1007.6,20.50
8/4/2022,02:00:00 pm,0,1007.1,20.50
8/4/2022,03:00:00 pm,0,1007.0,20.50
8/4/2022,04:00:00 pm,0,1006.8,20.50
8/4/2022,05:00:00 pm,0,1007.0,20.50
8/4/2022,06:00:00 pm,0,1006.5,20.50
8/4/2022,07:00:00 pm,0,1006.7,20.50
8/4/2022,08:00:00 pm,0,1006.8,20.50
8/4/2022,09:00:00 pm,0,1007.4,20.50
8/4/2022,10:00:00 pm,0,1008.0,20.50
8/4/2022,11:00:00 pm,0,1008.5,20.50
8/5/2022,12:00:00 am,0,1008.8,20.50
8/5/2022,01:00:00 am,0,1008.8,20.50
8/5/2022,02:00:00 am,0,1008.6,20.50
8/5/2022,03:00:00 am,0,1008.9,20.50
8/5/2022,04:00:00 am,0,1009.4,20.50
8/5/2022,05:00:00 am,0,1009.5,20.50
8/5/2022,06:00:00 am,0,1009.8,20.50
8/5/2022,07:00:00 am,0,1009.8,20.50
8/5/2022,08:00:00 am,0,1010.3,20.50
8/5/2022,09:00:00 am,0,1010.3,20.50
8/5/2022,10:00:00 am,0,1010.6,20.50
8/5/2022,11:00:00 am,0,1010.7,20.50
8/5/2022,12:00:00 pm,0,1010.6,20.50
8/5/2022,01:00:00 pm,0,1010.1,20.50
8/5/2022,02:00:00 pm,0,1009.7,20.50
8/5/2022,03:00:00 pm,0,1009.2,20.50
8/5/2022,04:00:00 pm,0,1008.8,20.50
8/5/2022,05:00:00 pm,0,1008.8,20.50
8/5/2022,06:00:00 pm,0,1008.3,20.50
8/5/2022,07:00:00 pm,0,1008.3,20.50
8/5/2022,08:00:00 pm,0,1008.3,20.50
8/5/2022,09:00:00 pm,0,1008.9,20.50
8/5/2022,10:00:00 pm,0,1009.5,20.50
8/5/2022,11:00:00 pm,0,1009.7,20.50
8/6/2022,12:00:00 am,0,1009.8,20.50
8/6/2022,01:00:00 am,0,1009.5,20.50
8/6/2022,02:00:00 am,0,1009.4,20.50
8/6/2022,03:00:00 am,0,1009.5,20.50
8/6/2022,04:00:00 am,0,1010.0,20.50
8/6/2022,05:00:00 am,0,1010.4,20.50
8/6/2022,06:00:00 am,0,1010.7,20.50
8/6/2022,07:00:00 am,0,1010.9,20.50
8/6/2022,08:00:00 am,0,1011.0,20.50
8/6/2022,09:00:00 am,0,1010.9,20.50
8/6/2022,10:00:00 am,0,1011.2,20.60
8/6/2022,11:00:00 am,0,1011.5,20.60
8/6/2022,12:00:00 pm,0,1011.6,20.60
8/6/2022,01:00:00 pm,0,1011.2,20.60
8/6/2022,02:00:00 pm,0,1010.4,20.60
8/6/2022,03:00:00 pm,0,1009.7,20.60
8/6/2022,04:00:00 pm,0,1009.2,20.60
8/6/2022,05:00:00 pm,0,1009.2,20.60
8/6/2022,06:00:00 pm,0,1009.4,20.60
8/6/2022,07:00:00 pm,0,1009.1,20.60
8/6/2022,08:00:00 pm,0,1009.2,20.60
8/6/2022,09:00:00 pm,0,1009.5,20.60
8/6/2022,10:00:00 pm,0,1010.1,20.60
8/6/2022,11:00:00 pm,0,1010.4,20.60
8/7/2022,12:00:00 am,0,1010.3,20.60
8/7/2022,01:00:00 am,0,1010.1,20.60
8/7/2022,02:00:00 am,0,1010.0,20.60
8/7/2022,03:00:00 am,0,1010.0,20.60
8/7/2022,04:00:00 am,0,1009.7,20.60
8/7/2022,05:00:00 am,0,1009.8,20.60
8/7/2022,06:00:00 am,0,1010.4,20.60
8/7/2022,07:00:00 am,0,1010.6,20.60
8/7/2022,08:00:00 am,0,1010.9,20.60
8/7/2022,09:00:00 am,0,1010.7,20.60
8/7/2022,10:00:00 am,0,1010.1,20.60
8/7/2022,11:00:00 am,0,1010.4,20.60
8/7/2022,12:00:00 pm,0,1010.3,20.60
8/7/2022,01:00:00 pm,0,1009.7,20.60
8/7/2022,02:00:00 pm,0,1010.0,20.60
8/7/2022,03:00:00 pm,0,1009.4,20.60
8/7/2022,04:00:00 pm,0,1008.8,20.60
8/7/2022,05:00:00 pm,0,1008.6,20.60
8/7/2022,06:00:00 pm,0,1008.0,20.60
8/7/2022,07:00:00 pm,0,1008.2,20.60
8/7/2022,08:00:00 pm,0,1008.0,20.60
8/7/2022,09:00:00 pm,0,1008.3,20.60
