Serial_number:
2074981
Project ID:
Field 63
Location:
ACRE
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/10/2023,11:15:00 am,0,10.094,23.50
7/10/2023,11:20:00 am,0,10.094,22.00
7/10/2023,11:25:00 am,0,10.092,21.20
7/10/2023,11:30:00 am,0,10.091,20.70
7/10/2023,11:35:00 am,0,10.089,20.30
7/10/2023,11:40:00 am,0,10.089,20.10
7/10/2023,11:45:00 am,0,10.088,19.90
7/10/2023,11:50:00 am,0,10.088,19.80
7/10/2023,11:55:00 am,0,10.088,19.80
7/10/2023,12:00:00 pm,0,10.086,19.70
7/10/2023,12:05:00 pm,0,10.086,19.70
7/10/2023,12:10:00 pm,0,10.085,19.60
7/10/2023,12:15:00 pm,0,10.085,19.60
7/10/2023,12:20:00 pm,0,10.083,19.60
7/10/2023,12:25:00 pm,0,10.083,19.60
7/10/2023,12:30:00 pm,0,10.082,19.60
7/10/2023,12:35:00 pm,0,10.082,19.60
7/10/2023,12:40:00 pm,0,10.082,19.60
7/10/2023,12:45:00 pm,0,10.080,19.50
7/10/2023,12:50:00 pm,0,10.080,19.50
7/10/2023,12:55:00 pm,0,10.080,19.50
7/10/2023,01:00:00 pm,0,10.080,19.50
7/10/2023,01:05:00 pm,0,10.079,19.50
7/10/2023,01:10:00 pm,0,10.079,19.50
7/10/2023,01:15:00 pm,0,10.079,19.50
7/10/2023,01:20:00 pm,0,10.079,19.50
7/10/2023,01:25:00 pm,0,10.077,19.50
7/10/2023,01:30:00 pm,0,10.079,19.50
7/10/2023,01:35:00 pm,0,10.077,19.50
7/10/2023,01:40:00 pm,0,10.076,19.50
7/10/2023,01:45:00 pm,0,10.076,19.50
7/10/2023,01:50:00 pm,0,10.076,19.50
7/10/2023,01:55:00 pm,0,10.076,19.50
7/10/2023,02:00:00 pm,0,10.074,19.50
7/10/2023,02:05:00 pm,0,10.074,19.50
7/10/2023,02:10:00 pm,0,10.076,19.50
7/10/2023,02:15:00 pm,0,10.074,19.50
7/10/2023,02:20:00 pm,0,10.074,19.50
7/10/2023,02:25:00 pm,0,10.073,19.50
7/10/2023,02:30:00 pm,0,10.073,19.50
7/10/2023,02:35:00 pm,0,10.071,19.50
7/10/2023,02:40:00 pm,0,10.071,19.50
7/10/2023,02:45:00 pm,0,10.071,19.50
7/10/2023,02:50:00 pm,0,10.071,19.50
7/10/2023,02:55:00 pm,0,10.070,19.50
7/10/2023,03:00:00 pm,0,10.070,19.50
7/10/2023,03:05:00 pm,0,10.070,19.50
7/10/2023,03:10:00 pm,0,10.070,19.50
7/10/2023,03:15:00 pm,0,10.068,19.50
7/10/2023,03:20:00 pm,0,10.074,19.50
7/10/2023,03:25:00 pm,0,10.074,19.50
7/10/2023,03:30:00 pm,0,10.074,19.50
7/10/2023,03:35:00 pm,0,10.074,19.50
7/10/2023,03:40:00 pm,0,10.073,19.50
7/10/2023,03:45:00 pm,0,10.073,19.50
7/10/2023,03:50:00 pm,0,10.073,19.50
7/10/2023,03:55:00 pm,0,10.073,19.50
7/10/2023,04:00:00 pm,0,10.073,19.50
7/10/2023,04:05:00 pm,0,10.071,19.50
7/10/2023,04:10:00 pm,0,10.071,19.50
7/10/2023,04:15:00 pm,0,10.071,19.50
7/10/2023,04:20:00 pm,0,10.071,19.50
7/10/2023,04:25:00 pm,0,10.071,19.50
7/10/2023,04:30:00 pm,0,10.071,19.50
7/10/2023,04:35:00 pm,0,10.071,19.50
7/10/2023,04:40:00 pm,0,10.071,19.50
7/10/2023,04:45:00 pm,0,10.070,19.50
7/10/2023,04:50:00 pm,0,10.070,19.50
7/10/2023,04:55:00 pm,0,10.070,19.50
7/10/2023,05:00:00 pm,0,10.070,19.50
7/10/2023,05:05:00 pm,0,10.070,19.50
7/10/2023,05:10:00 pm,0,10.068,19.50
7/10/2023,05:15:00 pm,0,10.068,19.50
7/10/2023,05:20:00 pm,0,10.068,19.50
7/10/2023,05:25:00 pm,0,10.068,19.50
7/10/2023,05:30:00 pm,0,10.068,19.50
7/10/2023,05:35:00 pm,0,10.068,19.50
7/10/2023,05:40:00 pm,0,10.067,19.50
7/10/2023,05:45:00 pm,0,10.067,19.50
