Serial_number:
2036213
Project ID:
ACRE Wetland
Location:
Inlet A
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
12/9/2021,10:00:00 am,0,0.179,5.60
12/9/2021,10:15:00 am,0,0.178,5.60
12/9/2021,10:30:00 am,0,0.179,5.60
12/9/2021,10:45:00 am,0,0.179,5.60
12/9/2021,11:00:00 am,0,0.179,5.70
12/9/2021,11:15:00 am,0,0.179,5.70
12/9/2021,11:30:00 am,0,0.178,5.70
12/9/2021,11:45:00 am,0,0.177,5.80
12/9/2021,12:00:00 pm,0,0.177,5.80
12/9/2021,12:15:00 pm,0,0.176,5.80
12/9/2021,12:30:00 pm,0,0.178,5.90
12/9/2021,12:45:00 pm,0,0.178,5.90
12/9/2021,01:00:00 pm,0,0.180,6.00
12/9/2021,01:15:00 pm,0,0.183,6.00
12/9/2021,01:30:00 pm,0,0.182,6.10
12/9/2021,01:45:00 pm,0,0.183,6.20
12/9/2021,02:00:00 pm,0,0.183,6.20
12/9/2021,02:15:00 pm,0,0.182,6.30
12/9/2021,02:30:00 pm,0,0.181,6.30
12/9/2021,02:45:00 pm,0,0.182,6.40
12/9/2021,03:00:00 pm,0,0.182,6.50
12/9/2021,03:15:00 pm,0,0.182,6.50
12/9/2021,03:30:00 pm,0,0.182,6.60
12/9/2021,03:45:00 pm,0,0.183,6.70
12/9/2021,04:00:00 pm,0,0.182,6.70
12/9/2021,04:15:00 pm,0,0.183,6.80
12/9/2021,04:30:00 pm,0,0.184,6.80
12/9/2021,04:45:00 pm,0,0.184,6.90
12/9/2021,05:00:00 pm,0,0.185,7.00
12/9/2021,05:15:00 pm,0,0.184,7.00
12/9/2021,05:30:00 pm,0,0.183,7.10
12/9/2021,05:45:00 pm,0,0.184,7.10
12/9/2021,06:00:00 pm,0,0.183,7.20
12/9/2021,06:15:00 pm,0,0.181,7.20
12/9/2021,06:30:00 pm,0,0.183,7.20
12/9/2021,06:45:00 pm,0,0.181,7.30
12/9/2021,07:00:00 pm,0,0.180,7.30
12/9/2021,07:15:00 pm,0,0.182,7.40
12/9/2021,07:30:00 pm,0,0.181,7.40
12/9/2021,07:45:00 pm,0,0.178,7.40
12/9/2021,08:00:00 pm,0,0.178,7.50
12/9/2021,08:15:00 pm,0,0.179,7.50
12/9/2021,08:30:00 pm,0,0.178,7.50
12/9/2021,08:45:00 pm,0,0.177,7.50
12/9/2021,09:00:00 pm,0,0.176,7.60
12/9/2021,09:15:00 pm,0,0.176,7.60
12/9/2021,09:30:00 pm,0,0.175,7.60
12/9/2021,09:45:00 pm,0,0.176,7.60
12/9/2021,10:00:00 pm,0,0.175,7.60
12/9/2021,10:15:00 pm,0,0.174,7.60
12/9/2021,10:30:00 pm,0,0.174,7.60
12/9/2021,10:45:00 pm,0,0.176,7.60
12/9/2021,11:00:00 pm,0,0.174,7.60
12/9/2021,11:15:00 pm,0,0.173,7.60
12/9/2021,11:30:00 pm,0,0.172,7.50
12/9/2021,11:45:00 pm,0,0.172,7.50
12/10/2021,12:00:00 am,0,0.173,7.50
12/10/2021,12:15:00 am,0,0.171,7.50
12/10/2021,12:30:00 am,0,0.171,7.50
12/10/2021,12:45:00 am,0,0.170,7.50
12/10/2021,01:00:00 am,0,0.171,7.50
12/10/2021,01:15:00 am,0,0.173,7.50
12/10/2021,01:30:00 am,0,0.172,7.50
12/10/2021,01:45:00 am,0,0.173,7.50
12/10/2021,02:00:00 am,0,0.173,7.40
12/10/2021,02:15:00 am,0,0.172,7.40
12/10/2021,02:30:00 am,0,0.171,7.40
12/10/2021,02:45:00 am,0,0.172,7.40
12/10/2021,03:00:00 am,0,0.172,7.40
12/10/2021,03:15:00 am,0,0.170,7.40
12/10/2021,03:30:00 am,0,0.170,7.40
12/10/2021,03:45:00 am,0,0.171,7.40
12/10/2021,04:00:00 am,0,0.170,7.40
12/10/2021,04:15:00 am,0,0.169,7.40
12/10/2021,04:30:00 am,0,0.169,7.40
12/10/2021,04:45:00 am,0,0.169,7.40
12/10/2021,05:00:00 am,0,0.168,7.40
12/10/2021,05:15:00 am,0,0.170,7.50
12/10/2021,05:30:00 am,0,0.169,7.50
12/10/2021,05:45:00 am,0,0.170,7.50
12/10/2021,06:00:00 am,0,0.170,7.50
12/10/2021,06:15:00 am,0,0.168,7.50
12/10/2021,06:30:00 am,0,0.168,7.50
12/10/2021,06:45:00 am,0,0.168,7.50
12/10/2021,07:00:00 am,0,0.167,7.50
12/10/2021,07:15:00 am,0,0.166,7.50
12/10/2021,07:30:00 am,0,0.168,7.60
12/10/2021,07:45:00 am,0,0.168,7.60
12/10/2021,08:00:00 am,0,0.169,7.60
12/10/2021,08:15:00 am,0,0.167,7.60
12/10/2021,08:30:00 am,0,0.166,7.60
12/10/2021,08:45:00 am,0,0.167,7.60
12/10/2021,09:00:00 am,0,0.170,7.60
12/10/2021,09:15:00 am,0,0.170,7.70
12/10/2021,09:30:00 am,0,0.170,7.70
12/10/2021,09:45:00 am,0,0.169,7.70
12/10/2021,10:00:00 am,0,0.169,7.70
12/10/2021,10:15:00 am,0,0.168,7.70
12/10/2021,10:30:00 am,0,0.170,7.70
12/10/2021,10:45:00 am,0,0.170,7.80
12/10/2021,11:00:00 am,0,0.169,7.80
12/10/2021,11:15:00 am,0,0.170,7.80
12/10/2021,11:30:00 am,0,0.169,7.80
12/10/2021,11:45:00 am,0,0.170,7.90
12/10/2021,12:00:00 pm,0,0.168,7.90
12/10/2021,12:15:00 pm,0,0.170,7.90
12/10/2021,12:30:00 pm,0,0.167,7.90
12/10/2021,12:45:00 pm,0,0.167,7.90
12/10/2021,01:00:00 pm,0,0.170,8.00
12/10/2021,01:15:00 pm,0,0.169,8.00
12/10/2021,01:30:00 pm,0,0.175,8.00
12/10/2021,01:45:00 pm,0,0.172,8.00
12/10/2021,02:00:00 pm,0,0.171,8.10
12/10/2021,02:15:00 pm,0,0.169,8.10
12/10/2021,02:30:00 pm,0,0.172,8.10
12/10/2021,02:45:00 pm,0,0.174,8.20
12/10/2021,03:00:00 pm,0,0.172,8.20
12/10/2021,03:15:00 pm,0,0.175,8.20
12/10/2021,03:30:00 pm,0,0.175,8.30
12/10/2021,03:45:00 pm,0,0.178,8.30
12/10/2021,04:00:00 pm,0,0.176,8.30
12/10/2021,04:15:00 pm,0,0.183,8.40
12/10/2021,04:30:00 pm,0,0.179,8.40
12/10/2021,04:45:00 pm,0,0.176,8.40
12/10/2021,05:00:00 pm,0,0.177,8.50
12/10/2021,05:15:00 pm,0,0.179,8.50
12/10/2021,05:30:00 pm,0,0.179,8.50
12/10/2021,05:45:00 pm,0,0.176,8.50
12/10/2021,06:00:00 pm,0,0.180,8.60
12/10/2021,06:15:00 pm,0,0.177,8.60
12/10/2021,06:30:00 pm,0,0.178,8.60
12/10/2021,06:45:00 pm,0,0.177,8.60
12/10/2021,07:00:00 pm,0,0.180,8.70
12/10/2021,07:15:00 pm,0,0.179,8.70
12/10/2021,07:30:00 pm,0,0.179,8.70
12/10/2021,07:45:00 pm,0,0.181,8.70
12/10/2021,08:00:00 pm,0,0.179,8.80
12/10/2021,08:15:00 pm,0,0.180,8.80
12/10/2021,08:30:00 pm,0,0.179,8.80
12/10/2021,08:45:00 pm,0,0.180,8.80
12/10/2021,09:00:00 pm,0,0.182,8.90
12/10/2021,09:15:00 pm,0,0.182,8.90
12/10/2021,09:30:00 pm,0,0.182,8.90
12/10/2021,09:45:00 pm,0,0.182,8.90
12/10/2021,10:00:00 pm,0,0.186,9.00
12/10/2021,10:15:00 pm,0,0.185,9.00
12/10/2021,10:30:00 pm,0,0.186,9.00
12/10/2021,10:45:00 pm,0,0.189,9.10
12/10/2021,11:00:00 pm,0,0.188,9.10
12/10/2021,11:15:00 pm,0,0.189,9.10
12/10/2021,11:30:00 pm,0,0.191,9.20
12/10/2021,11:45:00 pm,0,0.190,9.20
12/11/2021,12:00:00 am,0,0.193,9.20
12/11/2021,12:15:00 am,0,0.197,9.30
12/11/2021,12:30:00 am,0,0.206,9.40
12/11/2021,12:45:00 am,0,0.238,9.50
12/11/2021,01:00:00 am,0,0.293,10.10
12/11/2021,01:15:00 am,0,0.312,10.10
12/11/2021,01:30:00 am,0,0.315,10.10
12/11/2021,01:45:00 am,0,0.317,10.00
12/11/2021,02:00:00 am,0,0.316,10.00
12/11/2021,02:15:00 am,0,0.318,9.90
12/11/2021,02:30:00 am,0,0.318,9.90
12/11/2021,02:45:00 am,0,0.317,9.80
12/11/2021,03:00:00 am,0,0.319,9.80
12/11/2021,03:15:00 am,0,0.318,9.80
12/11/2021,03:30:00 am,0,0.315,9.70
12/11/2021,03:45:00 am,0,0.317,9.70
12/11/2021,04:00:00 am,0,0.315,9.70
12/11/2021,04:15:00 am,0,0.315,9.60
12/11/2021,04:30:00 am,0,0.313,9.60
12/11/2021,04:45:00 am,0,0.315,9.60
12/11/2021,05:00:00 am,0,0.312,9.50
12/11/2021,05:15:00 am,0,0.311,9.50
12/11/2021,05:30:00 am,0,0.310,9.50
12/11/2021,05:45:00 am,0,0.311,9.50
12/11/2021,06:00:00 am,0,0.309,9.50
12/11/2021,06:15:00 am,0,0.309,9.50
12/11/2021,06:30:00 am,0,0.308,9.40
12/11/2021,06:45:00 am,0,0.305,9.40
12/11/2021,07:00:00 am,0,0.305,9.40
12/11/2021,07:15:00 am,0,0.302,9.40
12/11/2021,07:30:00 am,0,0.304,9.40
12/11/2021,07:45:00 am,0,0.301,9.40
12/11/2021,08:00:00 am,0,0.300,9.40
12/11/2021,08:15:00 am,0,0.296,9.40
12/11/2021,08:30:00 am,0,0.297,9.40
12/11/2021,08:45:00 am,0,0.293,9.40
12/11/2021,09:00:00 am,0,0.286,9.30
12/11/2021,09:15:00 am,0,0.284,9.30
12/11/2021,09:30:00 am,0,0.283,9.30
12/11/2021,09:45:00 am,0,0.277,9.30
12/11/2021,10:00:00 am,0,0.275,9.30
12/11/2021,10:15:00 am,0,0.274,9.30
12/11/2021,10:30:00 am,0,0.274,9.30
12/11/2021,10:45:00 am,0,0.269,9.30
12/11/2021,11:00:00 am,0,0.270,9.30
12/11/2021,11:15:00 am,0,0.269,9.30
12/11/2021,11:30:00 am,0,0.266,9.30
12/11/2021,11:45:00 am,0,0.265,9.30
12/11/2021,12:00:00 pm,0,0.265,9.30
12/11/2021,12:15:00 pm,0,0.264,9.30
12/11/2021,12:30:00 pm,0,0.261,9.30
12/11/2021,12:45:00 pm,0,0.263,9.30
12/11/2021,01:00:00 pm,0,0.259,9.30
12/11/2021,01:15:00 pm,0,0.259,9.30
12/11/2021,01:30:00 pm,0,0.257,9.30
12/11/2021,01:45:00 pm,0,0.257,9.30
12/11/2021,02:00:00 pm,0,0.257,9.30
12/11/2021,02:15:00 pm,0,0.256,9.30
12/11/2021,02:30:00 pm,0,0.254,9.30
12/11/2021,02:45:00 pm,0,0.253,9.30
12/11/2021,03:00:00 pm,0,0.252,9.30
12/11/2021,03:15:00 pm,0,0.250,9.30
12/11/2021,03:30:00 pm,0,0.249,9.30
12/11/2021,03:45:00 pm,0,0.245,9.30
12/11/2021,04:00:00 pm,0,0.245,9.30
12/11/2021,04:15:00 pm,0,0.245,9.30
12/11/2021,04:30:00 pm,0,0.246,9.30
12/11/2021,04:45:00 pm,0,0.244,9.30
12/11/2021,05:00:00 pm,0,0.245,9.30
12/11/2021,05:15:00 pm,0,0.242,9.30
12/11/2021,05:30:00 pm,0,0.242,9.30
12/11/2021,05:45:00 pm,0,0.240,9.30
12/11/2021,06:00:00 pm,0,0.238,9.30
12/11/2021,06:15:00 pm,0,0.237,9.30
12/11/2021,06:30:00 pm,0,0.236,9.30
12/11/2021,06:45:00 pm,0,0.233,9.20
12/11/2021,07:00:00 pm,0,0.232,9.20
12/11/2021,07:15:00 pm,0,0.233,9.20
12/11/2021,07:30:00 pm,0,0.231,9.20
12/11/2021,07:45:00 pm,0,0.230,9.20
12/11/2021,08:00:00 pm,0,0.230,9.20
12/11/2021,08:15:00 pm,0,0.230,9.20
12/11/2021,08:30:00 pm,0,0.229,9.20
12/11/2021,08:45:00 pm,0,0.228,9.10
12/11/2021,09:00:00 pm,0,0.226,9.10
12/11/2021,09:15:00 pm,0,0.225,9.10
12/11/2021,09:30:00 pm,0,0.225,9.10
12/11/2021,09:45:00 pm,0,0.227,9.10
12/11/2021,10:00:00 pm,0,0.226,9.10
12/11/2021,10:15:00 pm,0,0.224,9.10
12/11/2021,10:30:00 pm,0,0.224,9.10
12/11/2021,10:45:00 pm,0,0.225,9.10
12/11/2021,11:00:00 pm,0,0.226,9.10
12/11/2021,11:15:00 pm,0,0.226,9.10
12/11/2021,11:30:00 pm,0,0.224,9.10
12/11/2021,11:45:00 pm,0,0.222,9.10
12/12/2021,12:00:00 am,0,0.221,9.10
