Serial_number:,,,,
2036213,,,,
Project ID:,,,,
ACRE Wetland,,,,
Location:,,,,
Inlet A,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
1/12/2022,3:00:00 PM,0,0.186,5.5
1/12/2022,3:15:00 PM,0,0.179,5.5
1/12/2022,3:30:00 PM,0,0.181,5.5
1/12/2022,3:45:00 PM,0,0.18,5.6
1/12/2022,4:00:00 PM,0,0.179,5.6
1/12/2022,4:15:00 PM,0,0.18,5.6
1/12/2022,4:30:00 PM,0,0.18,5.6
1/12/2022,4:45:00 PM,0,0.181,5.6
1/12/2022,5:00:00 PM,0,0.182,5.7
1/12/2022,5:15:00 PM,0,0.182,5.7
1/12/2022,5:30:00 PM,0,0.179,5.7
1/12/2022,5:45:00 PM,0,0.179,5.7
1/12/2022,6:00:00 PM,0,0.176,5.7
1/12/2022,6:15:00 PM,0,0.177,5.7
1/12/2022,6:30:00 PM,0,0.174,5.7
1/12/2022,6:45:00 PM,0,0.173,5.7
1/12/2022,7:00:00 PM,0,0.172,5.7
1/12/2022,7:15:00 PM,0,0.173,5.7
1/12/2022,7:30:00 PM,0,0.17,5.7
1/12/2022,7:45:00 PM,0,0.172,5.7
1/12/2022,8:00:00 PM,0,0.17,5.7
1/12/2022,8:15:00 PM,0,0.176,5.7
1/12/2022,8:30:00 PM,0,0.172,5.7
1/12/2022,8:45:00 PM,0,0.171,5.7
1/12/2022,9:00:00 PM,0,0.172,5.7
1/12/2022,9:15:00 PM,0,0.172,5.7
1/12/2022,9:30:00 PM,0,0.171,5.7
1/12/2022,9:45:00 PM,0,0.167,5.7
1/12/2022,10:00:00 PM,0,0.167,5.7
1/12/2022,10:15:00 PM,0,0.166,5.7
1/12/2022,10:30:00 PM,0,0.167,5.6
1/12/2022,10:45:00 PM,0,0.165,5.6
1/12/2022,11:00:00 PM,0,0.167,5.6
1/12/2022,11:15:00 PM,0,0.165,5.6
1/12/2022,11:30:00 PM,0,0.164,5.6
1/12/2022,11:45:00 PM,0,0.165,5.6
1/13/2022,12:00:00 AM,0,0.166,5.6
1/13/2022,12:15:00 AM,0,0.167,5.6
1/13/2022,12:30:00 AM,0,0.167,5.6
1/13/2022,12:45:00 AM,0,0.168,5.6
1/13/2022,1:00:00 AM,0,0.168,5.6
1/13/2022,1:15:00 AM,0,0.167,5.6
1/13/2022,1:30:00 AM,0,0.169,5.6
1/13/2022,1:45:00 AM,0,0.166,5.6
1/13/2022,2:00:00 AM,0,0.167,5.6
1/13/2022,2:15:00 AM,0,0.166,5.6
1/13/2022,2:30:00 AM,0,0.168,5.6
1/13/2022,2:45:00 AM,0,0.167,5.6
1/13/2022,3:00:00 AM,0,0.166,5.6
1/13/2022,3:15:00 AM,0,0.167,5.6
1/13/2022,3:30:00 AM,0,0.165,5.6
1/13/2022,3:45:00 AM,0,0.165,5.6
1/13/2022,4:00:00 AM,0,0.165,5.6
1/13/2022,4:15:00 AM,0,0.165,5.6
1/13/2022,4:30:00 AM,0,0.165,5.6
1/13/2022,4:45:00 AM,0,0.164,5.6
1/13/2022,5:00:00 AM,0,0.165,5.6
1/13/2022,5:15:00 AM,0,0.168,5.6
1/13/2022,5:30:00 AM,0,0.169,5.6
1/13/2022,5:45:00 AM,0,0.167,5.6
1/13/2022,6:00:00 AM,0,0.171,5.7
1/13/2022,6:15:00 AM,0,0.166,5.6
1/13/2022,6:30:00 AM,0,0.17,5.7
1/13/2022,6:45:00 AM,0,0.167,5.7
1/13/2022,7:00:00 AM,0,0.167,5.7
1/13/2022,7:15:00 AM,0,0.166,5.7
1/13/2022,7:30:00 AM,0,0.167,5.7
1/13/2022,7:45:00 AM,0,0.165,5.7
1/13/2022,8:00:00 AM,0,0.164,5.7
1/13/2022,8:15:00 AM,0,0.166,5.7
1/13/2022,8:30:00 AM,0,0.165,5.7
1/13/2022,8:45:00 AM,0,0.165,5.7
1/13/2022,9:00:00 AM,0,0.167,5.7
1/13/2022,9:15:00 AM,0,0.167,5.7
1/13/2022,9:30:00 AM,0,0.166,5.7
1/13/2022,9:45:00 AM,0,0.164,5.7
1/13/2022,10:00:00 AM,0,0.166,5.7
1/13/2022,10:15:00 AM,0,0.169,5.7
1/13/2022,10:30:00 AM,0,0.165,5.8
1/13/2022,10:45:00 AM,0,0.163,5.8
1/13/2022,11:00:00 AM,0,0.163,5.8
1/13/2022,11:15:00 AM,0,0.164,5.8
1/13/2022,11:30:00 AM,0,0.165,5.8
1/13/2022,11:45:00 AM,0,0.167,5.8
1/13/2022,12:00:00 PM,0,0.168,5.8
1/13/2022,12:15:00 PM,0,0.167,5.8
1/13/2022,12:30:00 PM,0,0.165,5.8
1/13/2022,12:45:00 PM,0,0.167,5.8
1/13/2022,1:00:00 PM,0,0.169,5.8
1/13/2022,1:15:00 PM,0,0.171,5.8
1/13/2022,1:30:00 PM,0,0.172,5.9
1/13/2022,1:45:00 PM,0,0.173,5.9
1/13/2022,2:00:00 PM,0,0.172,5.9
1/13/2022,2:15:00 PM,0,0.171,5.9
1/13/2022,2:30:00 PM,0,0.174,5.9
1/13/2022,2:45:00 PM,0,0.172,5.9
1/13/2022,3:00:00 PM,0,0.173,5.9
1/13/2022,3:15:00 PM,0,0.173,6
1/13/2022,3:30:00 PM,0,0.174,6
1/13/2022,3:45:00 PM,0,0.173,6
1/13/2022,4:00:00 PM,0,0.175,6
1/13/2022,4:15:00 PM,0,0.173,6
1/13/2022,4:30:00 PM,0,0.173,6
1/13/2022,4:45:00 PM,0,0.171,6
1/13/2022,5:00:00 PM,0,0.17,6.1
1/13/2022,5:15:00 PM,0,0.17,6.1
1/13/2022,5:30:00 PM,0,0.169,6.1
1/13/2022,5:45:00 PM,0,0.168,6.1
1/13/2022,6:00:00 PM,0,0.164,6.1
1/13/2022,6:15:00 PM,0,0.163,6.1
1/13/2022,6:30:00 PM,0,0.161,6.1
1/13/2022,6:45:00 PM,0,0.159,6.1
1/13/2022,7:00:00 PM,0,0.155,6
1/13/2022,7:15:00 PM,0,0.155,6
1/13/2022,7:30:00 PM,0,0.156,6
1/13/2022,7:45:00 PM,0,0.154,6
1/13/2022,8:00:00 PM,0,0.151,5.9
1/13/2022,8:15:00 PM,0,0.152,5.9
1/13/2022,8:30:00 PM,0,0.15,5.9
1/13/2022,8:45:00 PM,0,0.148,5.8
1/13/2022,9:00:00 PM,0,0.148,5.8
1/13/2022,9:15:00 PM,0,0.15,5.8
1/13/2022,9:30:00 PM,0,0.149,5.8
1/13/2022,9:45:00 PM,0,0.148,5.7
1/13/2022,10:00:00 PM,0,0.146,5.7
1/13/2022,10:15:00 PM,0,0.148,5.7
1/13/2022,10:30:00 PM,0,0.145,5.6
1/13/2022,10:45:00 PM,0,0.147,5.6
1/13/2022,11:00:00 PM,0,0.147,5.6
1/13/2022,11:15:00 PM,0,0.149,5.6
1/13/2022,11:30:00 PM,0,0.145,5.5
1/13/2022,11:45:00 PM,0,0.146,5.5
1/14/2022,12:00:00 AM,0,0.146,5.5
1/14/2022,12:15:00 AM,0,0.146,5.5
1/14/2022,12:30:00 AM,0,0.147,5.5
1/14/2022,12:45:00 AM,0,0.145,5.4
1/14/2022,1:00:00 AM,0,0.144,5.4
1/14/2022,1:15:00 AM,0,0.145,5.4
1/14/2022,1:30:00 AM,0,0.145,5.4
1/14/2022,1:45:00 AM,0,0.146,5.4
1/14/2022,2:00:00 AM,0,0.145,5.4
1/14/2022,2:15:00 AM,0,0.146,5.4
1/14/2022,2:30:00 AM,0,0.146,5.4
1/14/2022,2:45:00 AM,0,0.146,5.3
1/14/2022,3:00:00 AM,0,0.144,5.3
1/14/2022,3:15:00 AM,0,0.144,5.3
1/14/2022,3:30:00 AM,0,0.144,5.3
1/14/2022,3:45:00 AM,0,0.146,5.3
1/14/2022,4:00:00 AM,0,0.144,5.3
1/14/2022,4:15:00 AM,0,0.144,5.3
1/14/2022,4:30:00 AM,0,0.143,5.3
1/14/2022,4:45:00 AM,0,0.143,5.3
1/14/2022,5:00:00 AM,0,0.146,5.3
1/14/2022,5:15:00 AM,0,0.146,5.3
1/14/2022,5:30:00 AM,0,0.145,5.3
1/14/2022,5:45:00 AM,0,0.145,5.3
1/14/2022,6:00:00 AM,0,0.143,5.3
1/14/2022,6:15:00 AM,0,0.145,5.3
1/14/2022,6:30:00 AM,0,0.145,5.3
1/14/2022,6:45:00 AM,0,0.144,5.3
1/14/2022,7:00:00 AM,0,0.146,5.3
1/14/2022,7:15:00 AM,0,0.147,5.4
1/14/2022,7:30:00 AM,0,0.147,5.3
1/14/2022,7:45:00 AM,0,0.144,5.3
1/14/2022,8:00:00 AM,0,0.147,5.4
1/14/2022,8:15:00 AM,0,0.146,5.4
1/14/2022,8:30:00 AM,0,0.147,5.4
1/14/2022,8:45:00 AM,0,0.147,5.4
1/14/2022,9:00:00 AM,0,0.146,5.4
1/14/2022,9:15:00 AM,0,0.145,5.4
1/14/2022,9:30:00 AM,0,0.146,5.4
1/14/2022,9:45:00 AM,0,0.148,5.4
1/14/2022,10:00:00 AM,0,0.149,5.4
1/14/2022,10:15:00 AM,0,0.148,5.4
1/14/2022,10:30:00 AM,0,0.147,5.4
1/14/2022,10:45:00 AM,0,0.149,5.4
1/14/2022,11:00:00 AM,0,0.147,5.4
1/14/2022,11:15:00 AM,0,0.145,5.4
1/14/2022,11:30:00 AM,0,0.148,5.4
1/14/2022,11:45:00 AM,0,0.15,5.4
1/14/2022,12:00:00 PM,0,0.148,5.4
1/14/2022,12:15:00 PM,0,0.149,5.4
1/14/2022,12:30:00 PM,0,0.149,5.4
1/14/2022,12:45:00 PM,0,0.148,5.5
1/14/2022,1:00:00 PM,0,0.15,5.5
1/14/2022,1:15:00 PM,0,0.15,5.5
1/14/2022,1:30:00 PM,0,0.153,5.5
1/14/2022,1:45:00 PM,0,0.15,5.5
1/14/2022,2:00:00 PM,0,0.148,5.5
1/14/2022,2:15:00 PM,0,0.151,5.5
1/14/2022,2:30:00 PM,0,0.153,5.6
1/14/2022,2:45:00 PM,0,0.153,5.6
1/14/2022,3:00:00 PM,0,0.153,5.6
1/14/2022,3:15:00 PM,0,0.153,5.6
1/14/2022,3:30:00 PM,0,0.153,5.6
1/14/2022,3:45:00 PM,0,0.15,5.6
1/14/2022,4:00:00 PM,0,0.154,5.6
1/14/2022,4:15:00 PM,0,0.154,5.7
1/14/2022,4:30:00 PM,0,0.154,5.7
1/14/2022,4:45:00 PM,0,0.155,5.7
1/14/2022,5:00:00 PM,0,0.155,5.7
1/14/2022,5:15:00 PM,0,0.153,5.7
1/14/2022,5:30:00 PM,0,0.153,5.7
1/14/2022,5:45:00 PM,0,0.153,5.7
1/14/2022,6:00:00 PM,0,0.152,5.7
1/14/2022,6:15:00 PM,0,0.152,5.7
1/14/2022,6:30:00 PM,0,0.153,5.7
1/14/2022,6:45:00 PM,0,0.155,5.7
1/14/2022,7:00:00 PM,0,0.154,5.7
1/14/2022,7:15:00 PM,0,0.152,5.7
1/14/2022,7:30:00 PM,0,0.154,5.7
1/14/2022,7:45:00 PM,0,0.154,5.7
1/14/2022,8:00:00 PM,0,0.153,5.7
1/14/2022,8:15:00 PM,0,0.152,5.7
1/14/2022,8:30:00 PM,0,0.151,5.6
1/14/2022,8:45:00 PM,0,0.15,5.6
1/14/2022,9:00:00 PM,0,0.15,5.6
1/14/2022,9:15:00 PM,0,0.153,5.6
1/14/2022,9:30:00 PM,0,0.15,5.6
1/14/2022,9:45:00 PM,0,0.152,5.6
1/14/2022,10:00:00 PM,0,0.151,5.6
1/14/2022,10:15:00 PM,0,0.15,5.6
1/14/2022,10:30:00 PM,0,0.151,5.6
1/14/2022,10:45:00 PM,0,0.15,5.6
1/14/2022,11:00:00 PM,0,0.15,5.6
1/14/2022,11:15:00 PM,0,0.152,5.6
1/14/2022,11:30:00 PM,0,0.15,5.5
1/14/2022,11:45:00 PM,0,0.148,5.5
1/15/2022,12:00:00 AM,0,0.148,5.5
1/15/2022,12:15:00 AM,0,0.149,5.5
1/15/2022,12:30:00 AM,0,0.149,5.5
1/15/2022,12:45:00 AM,0,0.148,5.5
1/15/2022,1:00:00 AM,0,0.148,5.5
1/15/2022,1:15:00 AM,0,0.148,5.5
1/15/2022,1:30:00 AM,0,0.148,5.5
1/15/2022,1:45:00 AM,0,0.145,5.4
1/15/2022,2:00:00 AM,0,0.146,5.4
1/15/2022,2:15:00 AM,0,0.144,5.4
1/15/2022,2:30:00 AM,0,0.144,5.4
1/15/2022,2:45:00 AM,0,0.142,5.4
1/15/2022,3:00:00 AM,0,0.144,5.4
1/15/2022,3:15:00 AM,0,0.142,5.4
1/15/2022,3:30:00 AM,0,0.143,5.4
1/15/2022,3:45:00 AM,0,0.141,5.3
1/15/2022,4:00:00 AM,0,0.139,5.3
1/15/2022,4:15:00 AM,0,0.14,5.3
1/15/2022,4:30:00 AM,0,0.139,5.3
1/15/2022,4:45:00 AM,0,0.137,5.3
1/15/2022,5:00:00 AM,0,0.129,5.3
1/15/2022,5:15:00 AM,0,0.13,5.3
1/15/2022,5:30:00 AM,0,0.131,5.2
1/15/2022,5:45:00 AM,0,0.133,5.2
1/15/2022,6:00:00 AM,0,0.134,5.2
1/15/2022,6:15:00 AM,0,0.136,5.2
1/15/2022,6:30:00 AM,0,0.134,5.2
1/15/2022,6:45:00 AM,0,0.134,5.2
1/15/2022,7:00:00 AM,0,0.137,5.2
1/15/2022,7:15:00 AM,0,0.137,5.2
1/15/2022,7:30:00 AM,0,0.134,5.1
1/15/2022,7:45:00 AM,0,0.138,5.1
1/15/2022,8:00:00 AM,0,0.139,5.1
1/15/2022,8:15:00 AM,0,0.138,5.1
1/15/2022,8:30:00 AM,0,0.138,5.1
1/15/2022,8:45:00 AM,0,0.14,5.1
1/15/2022,9:00:00 AM,0,0.138,5.1
1/15/2022,9:15:00 AM,0,0.139,5.1
1/15/2022,9:30:00 AM,0,0.135,5
1/15/2022,9:45:00 AM,0,0.131,5
1/15/2022,10:00:00 AM,0,0.131,5
1/15/2022,10:15:00 AM,0,0.129,5
1/15/2022,10:30:00 AM,0,0.128,5
1/15/2022,10:45:00 AM,0,0.125,5
1/15/2022,11:00:00 AM,0,0.127,5
1/15/2022,11:15:00 AM,0,0.128,5
1/15/2022,11:30:00 AM,0,0.127,5
1/15/2022,11:45:00 AM,0,0.123,5
1/15/2022,12:00:00 PM,0,0.125,5
1/15/2022,12:15:00 PM,0,0.125,5
1/15/2022,12:30:00 PM,0,0.125,5
1/15/2022,12:45:00 PM,0,0.124,5
1/15/2022,1:00:00 PM,0,0.124,5
1/15/2022,1:15:00 PM,0,0.123,5
1/15/2022,1:30:00 PM,0,0.122,5
1/15/2022,1:45:00 PM,0,0.121,5
1/15/2022,2:00:00 PM,0,0.118,5
1/15/2022,2:15:00 PM,0,0.119,5
1/15/2022,2:30:00 PM,0,0.128,5
1/15/2022,2:45:00 PM,0,0.138,5
1/15/2022,3:00:00 PM,0,0.122,5
1/15/2022,3:15:00 PM,0,0.122,5
1/15/2022,3:30:00 PM,0,0.121,5
1/15/2022,3:45:00 PM,0,0.122,5
1/15/2022,4:00:00 PM,0,0.122,5
1/15/2022,4:15:00 PM,0,0.124,5
1/15/2022,4:30:00 PM,0,0.126,5
1/15/2022,4:45:00 PM,0,0.128,5
1/15/2022,5:00:00 PM,0,0.131,5
1/15/2022,5:15:00 PM,0,0.131,5
1/15/2022,5:30:00 PM,0,0.132,5
1/15/2022,5:45:00 PM,0,0.134,5
1/15/2022,6:00:00 PM,0,0.134,5
1/15/2022,6:15:00 PM,0,0.136,5
1/15/2022,6:30:00 PM,0,0.136,5
1/15/2022,6:45:00 PM,0,0.14,5
1/15/2022,7:00:00 PM,0,0.139,5
1/15/2022,7:15:00 PM,0,0.138,5
1/15/2022,7:30:00 PM,0,0.14,5
1/15/2022,7:45:00 PM,0,0.142,5
1/15/2022,8:00:00 PM,0,0.139,5
1/15/2022,8:15:00 PM,0,0.14,4.9
1/15/2022,8:30:00 PM,0,0.141,4.9
1/15/2022,8:45:00 PM,0,0.141,4.9
1/15/2022,9:00:00 PM,0,0.141,4.9
1/15/2022,9:15:00 PM,0,0.142,4.9
1/15/2022,9:30:00 PM,0,0.142,4.9
1/15/2022,9:45:00 PM,0,0.143,4.9
1/15/2022,10:00:00 PM,0,0.146,4.9
1/15/2022,10:15:00 PM,0,0.147,4.9
1/15/2022,10:30:00 PM,0,0.147,4.9
1/15/2022,10:45:00 PM,0,0.147,4.8
1/15/2022,11:00:00 PM,0,0.146,4.8
1/15/2022,11:15:00 PM,0,0.148,4.8
1/15/2022,11:30:00 PM,0,0.149,4.8
1/15/2022,11:45:00 PM,0,0.15,4.8
1/16/2022,12:00:00 AM,0,0.149,4.8
1/16/2022,12:15:00 AM,0,0.151,4.8
1/16/2022,12:30:00 AM,0,0.151,4.7
1/16/2022,12:45:00 AM,0,0.15,4.7
1/16/2022,1:00:00 AM,0,0.151,4.7
1/16/2022,1:15:00 AM,0,0.152,4.7
1/16/2022,1:30:00 AM,0,0.153,4.7
1/16/2022,1:45:00 AM,0,0.152,4.7
1/16/2022,2:00:00 AM,0,0.155,4.7
1/16/2022,2:15:00 AM,0,0.155,4.7
1/16/2022,2:30:00 AM,0,0.155,4.7
1/16/2022,2:45:00 AM,0,0.157,4.7
1/16/2022,3:00:00 AM,0,0.156,4.7
