Serial_number:
2036213
Project ID:
ACRE Wetland
Location:
Inlet A
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/7/2022,10:00:00 am,0,0.332,16.70
7/7/2022,10:15:00 am,0,0.333,16.70
7/7/2022,10:30:00 am,0,0.335,16.70
7/7/2022,10:45:00 am,0,0.339,16.70
7/7/2022,11:00:00 am,0,0.340,16.70
7/7/2022,11:15:00 am,0,0.339,16.70
7/7/2022,11:30:00 am,0,0.340,16.70
7/7/2022,11:45:00 am,0,0.342,16.70
7/7/2022,12:00:00 pm,0,0.343,16.70
7/7/2022,12:15:00 pm,0,0.344,16.70
7/7/2022,12:30:00 pm,0,0.346,16.70
7/7/2022,12:45:00 pm,0,0.347,16.70
7/7/2022,01:00:00 pm,0,0.345,16.70
7/7/2022,01:15:00 pm,0,0.347,16.70
7/7/2022,01:30:00 pm,0,0.346,16.70
7/7/2022,01:45:00 pm,0,0.345,16.70
7/7/2022,02:00:00 pm,0,0.346,16.70
7/7/2022,02:15:00 pm,0,0.346,16.70
7/7/2022,02:30:00 pm,0,0.344,16.70
7/7/2022,02:45:00 pm,0,0.345,16.80
7/7/2022,03:00:00 pm,0,0.345,16.80
7/7/2022,03:15:00 pm,0,0.345,16.80
7/7/2022,03:30:00 pm,0,0.341,16.80
7/7/2022,03:45:00 pm,0,0.338,16.80
7/7/2022,04:00:00 pm,0,0.349,16.80
7/7/2022,04:15:00 pm,0,0.345,16.80
7/7/2022,04:30:00 pm,0,0.343,16.80
7/7/2022,04:45:00 pm,0,0.348,16.80
7/7/2022,05:00:00 pm,0,0.346,16.80
7/7/2022,05:15:00 pm,0,0.345,16.80
7/7/2022,05:30:00 pm,0,0.346,16.80
7/7/2022,05:45:00 pm,0,0.345,16.80
7/7/2022,06:00:00 pm,0,0.344,16.80
7/7/2022,06:15:00 pm,0,0.346,16.80
7/7/2022,06:30:00 pm,0,0.344,16.80
7/7/2022,06:45:00 pm,0,0.343,16.80
7/7/2022,07:00:00 pm,0,0.344,16.80
7/7/2022,07:15:00 pm,0,0.345,16.80
7/7/2022,07:30:00 pm,0,0.346,16.80
7/7/2022,07:45:00 pm,0,0.346,16.80
7/7/2022,08:00:00 pm,0,0.346,16.80
7/7/2022,08:15:00 pm,0,0.344,16.80
7/7/2022,08:30:00 pm,0,0.345,16.80
7/7/2022,08:45:00 pm,0,0.345,16.80
7/7/2022,09:00:00 pm,0,0.344,16.80
7/7/2022,09:15:00 pm,0,0.348,16.80
7/7/2022,09:30:00 pm,0,0.344,16.80
7/7/2022,09:45:00 pm,0,0.348,16.80
7/7/2022,10:00:00 pm,0,0.346,16.80
7/7/2022,10:15:00 pm,0,0.347,16.80
7/7/2022,10:30:00 pm,0,0.346,16.80
7/7/2022,10:45:00 pm,0,0.344,16.80
7/7/2022,11:00:00 pm,0,0.344,16.80
7/7/2022,11:15:00 pm,0,0.345,16.80
7/7/2022,11:30:00 pm,0,0.343,16.80
7/7/2022,11:45:00 pm,0,0.344,16.80
7/8/2022,12:00:00 am,0,0.344,16.80
7/8/2022,12:15:00 am,0,0.342,16.80
7/8/2022,12:30:00 am,0,0.345,16.80
7/8/2022,12:45:00 am,0,0.345,16.80
7/8/2022,01:00:00 am,0,0.344,16.80
7/8/2022,01:15:00 am,0,0.342,16.80
7/8/2022,01:30:00 am,0,0.344,16.80
7/8/2022,01:45:00 am,0,0.344,16.80
7/8/2022,02:00:00 am,0,0.345,16.80
7/8/2022,02:15:00 am,0,0.347,16.80
7/8/2022,02:30:00 am,0,0.347,16.80
7/8/2022,02:45:00 am,0,0.348,16.80
7/8/2022,03:00:00 am,0,0.346,16.80
7/8/2022,03:15:00 am,0,0.346,16.80
7/8/2022,03:30:00 am,0,0.350,16.80
7/8/2022,03:45:00 am,0,0.351,16.80
7/8/2022,04:00:00 am,0,0.350,16.80
7/8/2022,04:15:00 am,0,0.349,16.80
7/8/2022,04:30:00 am,0,0.351,16.80
7/8/2022,04:45:00 am,0,0.350,16.80
7/8/2022,05:00:00 am,0,0.350,16.80
7/8/2022,05:15:00 am,0,0.352,16.80
7/8/2022,05:30:00 am,0,0.352,16.80
7/8/2022,05:45:00 am,0,0.349,16.80
7/8/2022,06:00:00 am,0,0.353,16.80
7/8/2022,06:15:00 am,0,0.353,16.80
7/8/2022,06:30:00 am,0,0.350,16.80
7/8/2022,06:45:00 am,0,0.348,16.80
7/8/2022,07:00:00 am,0,0.346,16.70
7/8/2022,07:15:00 am,0,0.346,16.70
7/8/2022,07:30:00 am,0,0.349,16.70
7/8/2022,07:45:00 am,0,0.345,16.70
7/8/2022,08:00:00 am,0,0.345,16.70
7/8/2022,08:15:00 am,0,0.347,16.70
7/8/2022,08:30:00 am,0,0.347,16.70
7/8/2022,08:45:00 am,0,0.345,16.70
7/8/2022,09:00:00 am,0,0.344,16.70
7/8/2022,09:15:00 am,0,0.350,16.70
7/8/2022,09:30:00 am,0,0.348,16.70
7/8/2022,09:45:00 am,0,0.348,16.70
7/8/2022,10:00:00 am,0,0.348,16.60
7/8/2022,10:15:00 am,0,0.345,16.60
7/8/2022,10:30:00 am,0,0.346,16.60
7/8/2022,10:45:00 am,0,0.346,16.60
7/8/2022,11:00:00 am,0,0.348,16.60
7/8/2022,11:15:00 am,0,0.346,16.60
7/8/2022,11:30:00 am,0,0.351,16.60
7/8/2022,11:45:00 am,0,0.350,16.60
7/8/2022,12:00:00 pm,0,0.348,16.60
7/8/2022,12:15:00 pm,0,0.344,16.60
7/8/2022,12:30:00 pm,0,0.346,16.60
7/8/2022,12:45:00 pm,0,0.351,16.60
7/8/2022,01:00:00 pm,0,0.344,16.60
7/8/2022,01:15:00 pm,0,0.350,16.60
7/8/2022,01:30:00 pm,0,0.349,16.60
7/8/2022,01:45:00 pm,0,0.346,16.60
7/8/2022,02:00:00 pm,0,0.347,16.60
7/8/2022,02:15:00 pm,0,0.347,16.60
7/8/2022,02:30:00 pm,0,0.347,16.60
7/8/2022,02:45:00 pm,0,0.351,16.60
7/8/2022,03:00:00 pm,0,0.347,16.60
7/8/2022,03:15:00 pm,0,0.344,16.60
7/8/2022,03:30:00 pm,0,0.344,16.60
7/8/2022,03:45:00 pm,0,0.347,16.60
7/8/2022,04:00:00 pm,0,0.347,16.60
7/8/2022,04:15:00 pm,0,0.344,16.60
7/8/2022,04:30:00 pm,0,0.349,16.60
7/8/2022,04:45:00 pm,0,0.349,16.60
7/8/2022,05:00:00 pm,0,0.348,16.60
7/8/2022,05:15:00 pm,0,0.348,16.60
7/8/2022,05:30:00 pm,0,0.349,16.60
7/8/2022,05:45:00 pm,0,0.350,16.60
7/8/2022,06:00:00 pm,0,0.349,16.60
7/8/2022,06:15:00 pm,0,0.351,16.60
7/8/2022,06:30:00 pm,0,0.351,16.60
7/8/2022,06:45:00 pm,0,0.353,16.60
7/8/2022,07:00:00 pm,0,0.352,16.60
7/8/2022,07:15:00 pm,0,0.350,16.60
7/8/2022,07:30:00 pm,0,0.356,16.60
7/8/2022,07:45:00 pm,0,0.350,16.60
7/8/2022,08:00:00 pm,0,0.355,16.60
7/8/2022,08:15:00 pm,0,0.350,16.60
7/8/2022,08:30:00 pm,0,0.355,16.60
7/8/2022,08:45:00 pm,0,0.357,16.60
7/8/2022,09:00:00 pm,0,0.356,16.60
7/8/2022,09:15:00 pm,0,0.358,16.60
7/8/2022,09:30:00 pm,0,0.357,16.60
7/8/2022,09:45:00 pm,0,0.350,16.60
7/8/2022,10:00:00 pm,0,0.355,16.60
7/8/2022,10:15:00 pm,0,0.356,16.60
7/8/2022,10:30:00 pm,0,0.352,16.60
7/8/2022,10:45:00 pm,0,0.350,16.60
7/8/2022,11:00:00 pm,0,0.357,16.60
7/8/2022,11:15:00 pm,0,0.353,16.60
7/8/2022,11:30:00 pm,0,0.357,16.60
7/8/2022,11:45:00 pm,0,0.355,16.60
7/9/2022,12:00:00 am,0,0.358,16.60
7/9/2022,12:15:00 am,0,0.355,16.60
7/9/2022,12:30:00 am,0,0.355,16.60
7/9/2022,12:45:00 am,0,0.356,16.60
7/9/2022,01:00:00 am,0,0.357,16.60
7/9/2022,01:15:00 am,0,0.354,16.60
7/9/2022,01:30:00 am,0,0.356,16.60
7/9/2022,01:45:00 am,0,0.356,16.60
7/9/2022,02:00:00 am,0,0.354,16.60
7/9/2022,02:15:00 am,0,0.354,16.60
7/9/2022,02:30:00 am,0,0.355,16.60
7/9/2022,02:45:00 am,0,0.352,16.60
7/9/2022,03:00:00 am,0,0.355,16.60
7/9/2022,03:15:00 am,0,0.355,16.60
7/9/2022,03:30:00 am,0,0.357,16.60
7/9/2022,03:45:00 am,0,0.355,16.60
7/9/2022,04:00:00 am,0,0.356,16.60
7/9/2022,04:15:00 am,0,0.355,16.60
7/9/2022,04:30:00 am,0,0.358,16.60
7/9/2022,04:45:00 am,0,0.355,16.60
7/9/2022,05:00:00 am,0,0.359,16.60
7/9/2022,05:15:00 am,0,0.356,16.60
7/9/2022,05:30:00 am,0,0.355,16.60
7/9/2022,05:45:00 am,0,0.355,16.60
7/9/2022,06:00:00 am,0,0.352,16.60
7/9/2022,06:15:00 am,0,0.356,16.60
7/9/2022,06:30:00 am,0,0.358,16.60
7/9/2022,06:45:00 am,0,0.353,16.60
7/9/2022,07:00:00 am,0,0.354,16.60
7/9/2022,07:15:00 am,0,0.356,16.60
7/9/2022,07:30:00 am,0,0.351,16.60
7/9/2022,07:45:00 am,0,0.355,16.60
7/9/2022,08:00:00 am,0,0.350,16.60
7/9/2022,08:15:00 am,0,0.352,16.60
7/9/2022,08:30:00 am,0,0.348,16.60
7/9/2022,08:45:00 am,0,0.350,16.60
7/9/2022,09:00:00 am,0,0.351,16.60
7/9/2022,09:15:00 am,0,0.353,16.60
7/9/2022,09:30:00 am,0,0.352,16.60
7/9/2022,09:45:00 am,0,0.352,16.60
7/9/2022,10:00:00 am,0,0.348,16.60
7/9/2022,10:15:00 am,0,0.349,16.60
7/9/2022,10:30:00 am,0,0.350,16.60
7/9/2022,10:45:00 am,0,0.351,16.60
7/9/2022,11:00:00 am,0,0.347,16.50
7/9/2022,11:15:00 am,0,0.349,16.50
7/9/2022,11:30:00 am,0,0.349,16.50
7/9/2022,11:45:00 am,0,0.346,16.50
7/9/2022,12:00:00 pm,0,0.345,16.50
7/9/2022,12:15:00 pm,0,0.347,16.50
7/9/2022,12:30:00 pm,0,0.347,16.50
7/9/2022,12:45:00 pm,0,0.344,16.50
7/9/2022,01:00:00 pm,0,0.344,16.50
7/9/2022,01:15:00 pm,0,0.343,16.50
7/9/2022,01:30:00 pm,0,0.341,16.50
7/9/2022,01:45:00 pm,0,0.345,16.50
7/9/2022,02:00:00 pm,0,0.346,16.50
7/9/2022,02:15:00 pm,0,0.345,16.50
7/9/2022,02:30:00 pm,0,0.349,16.60
7/9/2022,02:45:00 pm,0,0.348,16.60
7/9/2022,03:00:00 pm,0,0.344,16.60
7/9/2022,03:15:00 pm,0,0.343,16.60
7/9/2022,03:30:00 pm,0,0.344,16.60
7/9/2022,03:45:00 pm,0,0.342,16.60
7/9/2022,04:00:00 pm,0,0.342,16.60
7/9/2022,04:15:00 pm,0,0.343,16.60
7/9/2022,04:30:00 pm,0,0.345,16.70
7/9/2022,04:45:00 pm,0,0.346,16.70
7/9/2022,05:00:00 pm,0,0.348,16.70
7/9/2022,05:15:00 pm,0,0.345,16.70
7/9/2022,05:30:00 pm,0,0.346,16.70
7/9/2022,05:45:00 pm,0,0.346,16.80
7/9/2022,06:00:00 pm,0,0.348,16.80
7/9/2022,06:15:00 pm,0,0.346,16.80
7/9/2022,06:30:00 pm,0,0.350,16.80
7/9/2022,06:45:00 pm,0,0.348,16.80
7/9/2022,07:00:00 pm,0,0.348,16.90
7/9/2022,07:15:00 pm,0,0.349,16.90
7/9/2022,07:30:00 pm,0,0.345,16.90
7/9/2022,07:45:00 pm,0,0.343,16.90
7/9/2022,08:00:00 pm,0,0.347,16.90
7/9/2022,08:15:00 pm,0,0.348,17.00
7/9/2022,08:30:00 pm,0,0.348,17.00
7/9/2022,08:45:00 pm,0,0.348,17.00
7/9/2022,09:00:00 pm,0,0.344,17.00
7/9/2022,09:15:00 pm,0,0.347,17.00
7/9/2022,09:30:00 pm,0,0.348,17.00
7/9/2022,09:45:00 pm,0,0.346,17.10
7/9/2022,10:00:00 pm,0,0.348,17.10
7/9/2022,10:15:00 pm,0,0.347,17.10
7/9/2022,10:30:00 pm,0,0.347,17.10
7/9/2022,10:45:00 pm,0,0.345,17.10
7/9/2022,11:00:00 pm,0,0.346,17.10
7/9/2022,11:15:00 pm,0,0.347,17.10
7/9/2022,11:30:00 pm,0,0.346,17.10
7/9/2022,11:45:00 pm,0,0.344,17.10
7/10/2022,12:00:00 am,0,0.345,17.10
7/10/2022,12:15:00 am,0,0.347,17.10
7/10/2022,12:30:00 am,0,0.344,17.10
7/10/2022,12:45:00 am,0,0.344,17.10
7/10/2022,01:00:00 am,0,0.344,17.10
7/10/2022,01:15:00 am,0,0.346,17.10
7/10/2022,01:30:00 am,0,0.346,17.10
7/10/2022,01:45:00 am,0,0.345,17.10
7/10/2022,02:00:00 am,0,0.347,17.10
7/10/2022,02:15:00 am,0,0.343,17.10
7/10/2022,02:30:00 am,0,0.345,17.10
7/10/2022,02:45:00 am,0,0.344,17.10
7/10/2022,03:00:00 am,0,0.348,17.10
7/10/2022,03:15:00 am,0,0.342,17.10
7/10/2022,03:30:00 am,0,0.345,17.10
7/10/2022,03:45:00 am,0,0.343,17.10
7/10/2022,04:00:00 am,0,0.345,17.10
7/10/2022,04:15:00 am,0,0.346,17.10
7/10/2022,04:30:00 am,0,0.342,17.00
7/10/2022,04:45:00 am,0,0.346,17.00
7/10/2022,05:00:00 am,0,0.342,17.00
7/10/2022,05:15:00 am,0,0.346,17.00
7/10/2022,05:30:00 am,0,0.345,17.00
7/10/2022,05:45:00 am,0,0.344,17.00
7/10/2022,06:00:00 am,0,0.343,16.90
7/10/2022,06:15:00 am,0,0.344,16.90
7/10/2022,06:30:00 am,0,0.342,16.90
7/10/2022,06:45:00 am,0,0.345,16.90
7/10/2022,07:00:00 am,0,0.342,16.90
7/10/2022,07:15:00 am,0,0.343,16.80
7/10/2022,07:30:00 am,0,0.340,16.80
7/10/2022,07:45:00 am,0,0.342,16.80
7/10/2022,08:00:00 am,0,0.340,16.80
7/10/2022,08:15:00 am,0,0.337,16.70
7/10/2022,08:30:00 am,0,0.338,16.70
7/10/2022,08:45:00 am,0,0.338,16.70
7/10/2022,09:00:00 am,0,0.339,16.70
7/10/2022,09:15:00 am,0,0.336,16.60
7/10/2022,09:30:00 am,0,0.337,16.60
7/10/2022,09:45:00 am,0,0.333,16.60
7/10/2022,10:00:00 am,0,0.335,16.60
7/10/2022,10:15:00 am,0,0.338,16.60
7/10/2022,10:30:00 am,0,0.333,16.50
7/10/2022,10:45:00 am,0,0.336,16.50
7/10/2022,11:00:00 am,0,0.331,16.50
7/10/2022,11:15:00 am,0,0.331,16.50
7/10/2022,11:30:00 am,0,0.331,16.50
7/10/2022,11:45:00 am,0,0.332,16.50
7/10/2022,12:00:00 pm,0,0.334,16.50
7/10/2022,12:15:00 pm,0,0.337,16.50
7/10/2022,12:30:00 pm,0,0.332,16.50
7/10/2022,12:45:00 pm,0,0.332,16.50
7/10/2022,01:00:00 pm,0,0.331,16.50
7/10/2022,01:15:00 pm,0,0.333,16.50
7/10/2022,01:30:00 pm,0,0.328,16.50
7/10/2022,01:45:00 pm,0,0.329,16.50
7/10/2022,02:00:00 pm,0,0.332,16.50
7/10/2022,02:15:00 pm,0,0.329,16.50
7/10/2022,02:30:00 pm,0,0.329,16.60
7/10/2022,02:45:00 pm,0,0.332,16.60
7/10/2022,03:00:00 pm,0,0.328,16.60
7/10/2022,03:15:00 pm,0,0.332,16.60
7/10/2022,03:30:00 pm,0,0.328,16.60
7/10/2022,03:45:00 pm,0,0.331,16.60
7/10/2022,04:00:00 pm,0,0.327,16.60
7/10/2022,04:15:00 pm,0,0.332,16.70
7/10/2022,04:30:00 pm,0,0.333,16.70
7/10/2022,04:45:00 pm,0,0.333,16.70
7/10/2022,05:00:00 pm,0,0.332,16.70
7/10/2022,05:15:00 pm,0,0.334,16.70
7/10/2022,05:30:00 pm,0,0.336,16.80
7/10/2022,05:45:00 pm,0,0.330,16.80
7/10/2022,06:00:00 pm,0,0.334,16.80
7/10/2022,06:15:00 pm,0,0.333,16.80
7/10/2022,06:30:00 pm,0,0.338,16.90
7/10/2022,06:45:00 pm,0,0.334,16.90
7/10/2022,07:00:00 pm,0,0.334,16.90
7/10/2022,07:15:00 pm,0,0.330,16.90
7/10/2022,07:30:00 pm,0,0.334,16.90
7/10/2022,07:45:00 pm,0,0.337,17.00
7/10/2022,08:00:00 pm,0,0.331,17.00
7/10/2022,08:15:00 pm,0,0.334,17.00
7/10/2022,08:30:00 pm,0,0.333,17.00
7/10/2022,08:45:00 pm,0,0.336,17.10
7/10/2022,09:00:00 pm,0,0.335,17.10
7/10/2022,09:15:00 pm,0,0.331,17.10
7/10/2022,09:30:00 pm,0,0.336,17.10
7/10/2022,09:45:00 pm,0,0.331,17.10
7/10/2022,10:00:00 pm,0,0.328,17.10
7/10/2022,10:15:00 pm,0,0.333,17.10
7/10/2022,10:30:00 pm,0,0.328,17.10
7/10/2022,10:45:00 pm,0,0.331,17.10
7/10/2022,11:00:00 pm,0,0.339,17.10
7/10/2022,11:15:00 pm,0,0.335,17.10
7/10/2022,11:30:00 pm,0,0.331,17.10
7/10/2022,11:45:00 pm,0,0.332,17.10
7/11/2022,12:00:00 am,0,0.330,17.10
7/11/2022,12:15:00 am,0,0.333,17.10
7/11/2022,12:30:00 am,0,0.329,17.10
7/11/2022,12:45:00 am,0,0.327,17.10
7/11/2022,01:00:00 am,0,0.332,17.10
7/11/2022,01:15:00 am,0,0.330,17.10
7/11/2022,01:30:00 am,0,0.330,17.10
7/11/2022,01:45:00 am,0,0.332,17.10
7/11/2022,02:00:00 am,0,0.329,17.10
7/11/2022,02:15:00 am,0,0.333,17.10
7/11/2022,02:30:00 am,0,0.333,17.10
7/11/2022,02:45:00 am,0,0.333,17.10
7/11/2022,03:00:00 am,0,0.331,17.10
7/11/2022,03:15:00 am,0,0.331,17.10
7/11/2022,03:30:00 am,0,0.331,17.00
7/11/2022,03:45:00 am,0,0.332,17.00
7/11/2022,04:00:00 am,0,0.332,17.00
7/11/2022,04:15:00 am,0,0.330,17.00
7/11/2022,04:30:00 am,0,0.329,17.00
7/11/2022,04:45:00 am,0,0.329,16.90
7/11/2022,05:00:00 am,0,0.331,16.90
7/11/2022,05:15:00 am,0,0.329,16.90
7/11/2022,05:30:00 am,0,0.332,16.90
7/11/2022,05:45:00 am,0,0.328,16.80
7/11/2022,06:00:00 am,0,0.327,16.80
7/11/2022,06:15:00 am,0,0.328,16.80
7/11/2022,06:30:00 am,0,0.329,16.80
7/11/2022,06:45:00 am,0,0.330,16.80
7/11/2022,07:00:00 am,0,0.326,16.70
7/11/2022,07:15:00 am,0,0.329,16.70
7/11/2022,07:30:00 am,0,0.330,16.70
7/11/2022,07:45:00 am,0,0.329,16.70
7/11/2022,08:00:00 am,0,0.328,16.70
7/11/2022,08:15:00 am,0,0.329,16.60
7/11/2022,08:30:00 am,0,0.324,16.60
