Serial_number:
2036213
Project ID:
ACRE Wetland
Location:
Inlet A
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2/25/2023,01:45:00 pm,0,0.236,6.60
2/25/2023,02:00:00 pm,0,0.239,6.40
2/25/2023,02:15:00 pm,0,0.239,6.30
2/25/2023,02:30:00 pm,0,0.239,6.30
2/25/2023,02:45:00 pm,0,0.239,6.30
2/25/2023,03:00:00 pm,0,0.238,6.30
2/25/2023,03:15:00 pm,0,0.237,6.30
2/25/2023,03:30:00 pm,0,0.238,6.30
2/25/2023,03:45:00 pm,0,0.236,6.30
2/25/2023,04:00:00 pm,0,0.236,6.30
2/25/2023,04:15:00 pm,0,0.235,6.30
2/25/2023,04:30:00 pm,0,0.237,6.30
2/25/2023,04:45:00 pm,0,0.236,6.30
2/25/2023,05:00:00 pm,0,0.235,6.30
2/25/2023,05:15:00 pm,0,0.235,6.30
2/25/2023,05:30:00 pm,0,0.234,6.30
2/25/2023,05:45:00 pm,0,0.233,6.30
2/25/2023,06:00:00 pm,0,0.233,6.30
2/25/2023,06:15:00 pm,0,0.234,6.30
2/25/2023,06:30:00 pm,0,0.231,6.30
2/25/2023,06:45:00 pm,0,0.231,6.30
2/25/2023,07:00:00 pm,0,0.229,6.30
2/25/2023,07:15:00 pm,0,0.231,6.30
2/25/2023,07:30:00 pm,0,0.228,6.30
2/25/2023,07:45:00 pm,0,0.228,6.20
2/25/2023,08:00:00 pm,0,0.226,6.20
2/25/2023,08:15:00 pm,0,0.225,6.20
2/25/2023,08:30:00 pm,0,0.225,6.20
2/25/2023,08:45:00 pm,0,0.222,6.10
2/25/2023,09:00:00 pm,0,0.222,6.10
2/25/2023,09:15:00 pm,0,0.223,6.10
2/25/2023,09:30:00 pm,0,0.223,6.10
2/25/2023,09:45:00 pm,0,0.222,6.10
2/25/2023,10:00:00 pm,0,0.220,6.00
2/25/2023,10:15:00 pm,0,0.221,6.00
2/25/2023,10:30:00 pm,0,0.220,6.00
2/25/2023,10:45:00 pm,0,0.221,6.00
2/25/2023,11:00:00 pm,0,0.220,6.00
2/25/2023,11:15:00 pm,0,0.220,6.00
2/25/2023,11:30:00 pm,0,0.221,6.00
2/25/2023,11:45:00 pm,0,0.221,6.00
2/26/2023,12:00:00 am,0,0.220,6.00
2/26/2023,12:15:00 am,0,0.219,6.00
2/26/2023,12:30:00 am,0,0.220,6.00
2/26/2023,12:45:00 am,0,0.220,6.00
2/26/2023,01:00:00 am,0,0.220,6.00
2/26/2023,01:15:00 am,0,0.219,6.00
2/26/2023,01:30:00 am,0,0.218,5.90
2/26/2023,01:45:00 am,0,0.215,5.90
2/26/2023,02:00:00 am,0,0.216,5.90
2/26/2023,02:15:00 am,0,0.216,5.90
2/26/2023,02:30:00 am,0,0.213,5.90
2/26/2023,02:45:00 am,0,0.212,5.90
2/26/2023,03:00:00 am,0,0.213,5.90
2/26/2023,03:15:00 am,0,0.214,5.90
2/26/2023,03:30:00 am,0,0.212,5.90
2/26/2023,03:45:00 am,0,0.212,5.90
2/26/2023,04:00:00 am,0,0.214,5.90
2/26/2023,04:15:00 am,0,0.213,5.90
2/26/2023,04:30:00 am,0,0.211,5.90
2/26/2023,04:45:00 am,0,0.212,5.90
