Serial_number:
2124117
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2/20/2024,05:40:43 pm,0,0.135,5.80
2/20/2024,05:55:43 pm,0,0.133,5.80
2/20/2024,06:10:43 pm,0,0.136,5.90
2/20/2024,06:25:43 pm,0,0.136,5.90
2/20/2024,06:40:43 pm,0,0.138,5.90
2/20/2024,06:55:43 pm,0,0.136,5.90
2/20/2024,07:10:43 pm,0,0.137,5.90
2/20/2024,07:25:43 pm,0,0.139,6.00
2/20/2024,07:40:43 pm,0,0.139,6.00
2/20/2024,07:55:43 pm,0,0.139,6.00
2/20/2024,08:10:43 pm,0,0.140,6.00
2/20/2024,08:25:43 pm,0,0.139,5.90
2/20/2024,08:40:43 pm,0,0.139,5.90
2/20/2024,08:55:43 pm,0,0.139,5.90
2/20/2024,09:10:43 pm,0,0.141,5.90
2/20/2024,09:25:43 pm,0,0.138,5.80
2/20/2024,09:40:43 pm,0,0.140,5.80
2/20/2024,09:55:43 pm,0,0.138,5.80
2/20/2024,10:10:43 pm,0,0.139,5.70
2/20/2024,10:25:43 pm,0,0.140,5.70
2/20/2024,10:40:43 pm,0,0.140,5.70
2/20/2024,10:55:43 pm,0,0.140,5.60
2/20/2024,11:10:43 pm,0,0.139,5.60
2/20/2024,11:25:43 pm,0,0.140,5.60
2/20/2024,11:40:43 pm,0,0.140,5.50
2/20/2024,11:55:43 pm,0,0.140,5.50
2/21/2024,12:10:43 am,0,0.140,5.50
2/21/2024,12:25:43 am,0,0.140,5.40
2/21/2024,12:40:43 am,0,0.142,5.40
2/21/2024,12:55:43 am,0,0.140,5.30
2/21/2024,01:10:43 am,0,0.141,5.30
2/21/2024,01:25:43 am,0,0.141,5.30
2/21/2024,01:40:43 am,0,0.142,5.20
2/21/2024,01:55:43 am,0,0.142,5.20
2/21/2024,02:10:43 am,0,0.142,5.20
2/21/2024,02:25:43 am,0,0.138,5.10
2/21/2024,02:40:43 am,0,0.139,5.10
2/21/2024,02:55:43 am,0,0.140,5.10
2/21/2024,03:10:43 am,0,0.139,5.10
2/21/2024,03:25:43 am,0,0.137,5.00
2/21/2024,03:40:43 am,0,0.136,5.00
2/21/2024,03:55:43 am,0,0.138,5.00
2/21/2024,04:10:43 am,0,0.137,5.00
2/21/2024,04:25:43 am,0,0.139,5.00
2/21/2024,04:40:43 am,0,0.140,5.00
2/21/2024,04:55:43 am,0,0.141,5.00
2/21/2024,05:10:43 am,0,0.141,5.00
2/21/2024,05:25:43 am,0,0.140,5.00
2/21/2024,05:40:43 am,0,0.142,5.00
2/21/2024,05:55:43 am,0,0.140,5.00
2/21/2024,06:10:43 am,0,0.139,4.90
2/21/2024,06:25:43 am,0,0.137,4.90
2/21/2024,06:40:43 am,0,0.138,4.90
2/21/2024,06:55:43 am,0,0.137,4.90
2/21/2024,07:10:43 am,0,0.136,4.90
2/21/2024,07:25:43 am,0,0.138,4.90
2/21/2024,07:40:43 am,0,0.137,4.90
2/21/2024,07:55:43 am,0,0.137,4.90
2/21/2024,08:10:43 am,0,0.138,4.90
2/21/2024,08:25:43 am,0,0.138,4.90
2/21/2024,08:40:43 am,0,0.138,4.90
2/21/2024,08:55:43 am,0,0.137,4.90
2/21/2024,09:10:43 am,0,0.139,4.90
2/21/2024,09:25:43 am,0,0.138,4.90
2/21/2024,09:40:43 am,0,0.138,4.90
2/21/2024,09:55:43 am,0,0.137,4.90
2/21/2024,10:10:43 am,0,0.138,4.90
2/21/2024,10:25:43 am,0,0.136,4.90
2/21/2024,10:40:43 am,0,0.138,5.00
2/21/2024,10:55:43 am,0,0.139,5.00
2/21/2024,11:10:43 am,0,0.137,5.00
2/21/2024,11:25:43 am,0,0.138,5.10
2/21/2024,11:40:43 am,0,0.140,5.20
2/21/2024,11:55:43 am,0,0.137,5.20
2/21/2024,12:10:43 pm,0,0.139,5.30
2/21/2024,12:25:43 pm,0,0.138,5.40
2/21/2024,12:40:43 pm,0,0.138,5.50
2/21/2024,12:55:43 pm,0,0.138,5.60
2/21/2024,01:10:43 pm,0,0.139,5.70
2/21/2024,01:25:43 pm,0,0.139,5.80
2/21/2024,01:40:43 pm,0,0.139,5.90
2/21/2024,01:55:43 pm,0,0.139,6.00
2/21/2024,02:10:43 pm,0,0.140,6.10
2/21/2024,02:25:43 pm,0,0.140,6.20
