Serial_number:
2124117
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2025/10/10,12:30:00,0,-0.001,15.70
2025/10/10,12:45:00,0,-0.009,14.00
2025/10/10,13:00:00,0,-0.009,13.60
2025/10/10,13:15:00,0,-0.010,13.50
2025/10/10,13:30:00,0,-0.011,13.50
2025/10/10,13:45:00,0,-0.011,13.50
2025/10/10,14:00:00,0,-0.011,13.50
2025/10/10,14:15:00,0,-0.010,13.60
2025/10/10,14:30:00,0,-0.011,13.60
2025/10/10,14:45:00,0,-0.010,13.70
2025/10/10,15:00:00,0,-0.011,13.70
2025/10/10,15:15:00,0,-0.010,13.80
2025/10/10,15:30:00,0,-0.010,13.80
2025/10/10,15:45:00,0,-0.011,13.90
2025/10/10,16:00:00,0,-0.011,13.90
2025/10/10,16:15:00,0,-0.009,14.00
2025/10/10,16:30:00,0,-0.009,14.00
2025/10/10,16:45:00,0,-0.009,14.10
2025/10/10,17:00:00,0,-0.010,14.10
2025/10/10,17:15:00,0,-0.011,14.10
2025/10/10,17:30:00,0,-0.009,14.20
2025/10/10,17:45:00,0,-0.009,14.20
2025/10/10,18:00:00,0,-0.010,14.20
2025/10/10,18:15:00,0,-0.010,14.20
2025/10/10,18:30:00,0,-0.010,14.20
2025/10/10,18:45:00,0,-0.010,14.20
2025/10/10,19:00:00,0,-0.009,14.20
2025/10/10,19:15:00,0,-0.008,14.20
2025/10/10,19:30:00,0,-0.009,14.20
2025/10/10,19:45:00,0,-0.009,14.20
2025/10/10,20:00:00,0,-0.009,14.10
2025/10/10,20:15:00,0,-0.009,14.10
2025/10/10,20:30:00,0,-0.009,14.10
2025/10/10,20:45:00,0,-0.010,14.10
2025/10/10,21:00:00,0,-0.010,14.10
2025/10/10,21:15:00,0,-0.011,14.00
2025/10/10,21:30:00,0,-0.011,14.00
2025/10/10,21:45:00,0,-0.012,14.00
2025/10/10,22:00:00,0,-0.012,14.00
2025/10/10,22:15:00,0,-0.012,14.00
2025/10/10,22:30:00,0,-0.011,14.00
2025/10/10,22:45:00,0,-0.013,14.00
2025/10/10,23:00:00,0,-0.010,14.00
2025/10/10,23:15:00,0,-0.010,14.00
2025/10/10,23:30:00,0,-0.012,14.00
2025/10/10,23:45:00,0,-0.012,14.00
2025/10/11,00:00:00,0,-0.011,14.00
2025/10/11,00:15:00,0,-0.011,14.00
2025/10/11,00:30:00,0,-0.012,14.00
2025/10/11,00:45:00,0,-0.010,14.00
2025/10/11,01:00:00,0,-0.010,13.90
2025/10/11,01:15:00,0,-0.010,13.90
2025/10/11,01:30:00,0,-0.009,13.90
2025/10/11,01:45:00,0,-0.010,13.80
2025/10/11,02:00:00,0,-0.009,13.80
2025/10/11,02:15:00,0,-0.011,13.70
2025/10/11,02:30:00,0,-0.011,13.70
2025/10/11,02:45:00,0,-0.011,13.70
2025/10/11,03:00:00,0,-0.010,13.70
2025/10/11,03:15:00,0,-0.011,13.60
2025/10/11,03:30:00,0,-0.010,13.60
2025/10/11,03:45:00,0,-0.009,13.60
2025/10/11,04:00:00,0,-0.011,13.50
2025/10/11,04:15:00,0,-0.010,13.50
2025/10/11,04:30:00,0,-0.010,13.40
2025/10/11,04:45:00,0,-0.010,13.30
2025/10/11,05:00:00,0,-0.010,13.30
2025/10/11,05:15:00,0,-0.011,13.20
2025/10/11,05:30:00,0,-0.010,13.20
2025/10/11,05:45:00,0,-0.010,13.20
2025/10/11,06:00:00,0,-0.011,13.10
2025/10/11,06:15:00,0,-0.009,13.10
2025/10/11,06:30:00,0,-0.009,13.10
2025/10/11,06:45:00,0,-0.009,13.00
2025/10/11,07:00:00,0,-0.010,13.00
2025/10/11,07:15:00,0,-0.012,12.90
2025/10/11,07:30:00,0,-0.012,12.90
2025/10/11,07:45:00,0,-0.012,12.90
2025/10/11,08:00:00,0,-0.013,12.90
