Date,Time,ms,LEVEL (m),TEMPERATURE (degC),Date_P,Time_P,Date_Time
9/23/2021,06:48:55 pm,0,0.14,14.7,2021-09-23,18:48:55,2021-09-23 18:48:55
9/23/2021,07:03:55 pm,0,0.14,14.8,2021-09-23,19:03:55,2021-09-23 19:03:55
9/23/2021,07:18:55 pm,0,0.141,14.8,2021-09-23,19:18:55,2021-09-23 19:18:55
9/23/2021,07:33:55 pm,0,0.14,14.8,2021-09-23,19:33:55,2021-09-23 19:33:55
9/23/2021,07:48:55 pm,0,0.139,14.8,2021-09-23,19:48:55,2021-09-23 19:48:55
9/23/2021,08:03:55 pm,0,0.139,14.8,2021-09-23,20:03:55,2021-09-23 20:03:55
9/23/2021,08:18:55 pm,0,0.137,14.8,2021-09-23,20:18:55,2021-09-23 20:18:55
9/23/2021,08:33:55 pm,0,0.14,14.8,2021-09-23,20:33:55,2021-09-23 20:33:55
9/23/2021,08:48:55 pm,0,0.14,14.8,2021-09-23,20:48:55,2021-09-23 20:48:55
9/23/2021,09:03:55 pm,0,0.139,14.8,2021-09-23,21:03:55,2021-09-23 21:03:55
9/23/2021,09:18:55 pm,0,0.136,14.7,2021-09-23,21:18:55,2021-09-23 21:18:55
9/23/2021,09:33:55 pm,0,0.138,14.7,2021-09-23,21:33:55,2021-09-23 21:33:55
9/23/2021,09:48:55 pm,0,0.136,14.7,2021-09-23,21:48:55,2021-09-23 21:48:55
9/23/2021,10:03:55 pm,0,0.137,14.7,2021-09-23,22:03:55,2021-09-23 22:03:55
9/23/2021,10:18:55 pm,0,0.137,14.6,2021-09-23,22:18:55,2021-09-23 22:18:55
9/23/2021,10:33:55 pm,0,0.137,14.6,2021-09-23,22:33:55,2021-09-23 22:33:55
9/23/2021,10:48:55 pm,0,0.136,14.6,2021-09-23,22:48:55,2021-09-23 22:48:55
9/23/2021,11:03:55 pm,0,0.137,14.5,2021-09-23,23:03:55,2021-09-23 23:03:55
9/23/2021,11:18:55 pm,0,0.137,14.5,2021-09-23,23:18:55,2021-09-23 23:18:55
9/23/2021,11:33:55 pm,0,0.136,14.5,2021-09-23,23:33:55,2021-09-23 23:33:55
9/23/2021,11:48:55 pm,0,0.136,14.4,2021-09-23,23:48:55,2021-09-23 23:48:55
9/24/2021,12:03:55 am,0,0.136,14.4,2021-09-24,00:03:55,2021-09-24 00:03:55
9/24/2021,12:18:55 am,0,0.137,14.4,2021-09-24,00:18:55,2021-09-24 00:18:55
9/24/2021,12:33:55 am,0,0.136,14.3,2021-09-24,00:33:55,2021-09-24 00:33:55
9/24/2021,12:48:55 am,0,0.137,14.3,2021-09-24,00:48:55,2021-09-24 00:48:55
9/24/2021,01:03:55 am,0,0.134,14.2,2021-09-24,01:03:55,2021-09-24 01:03:55
9/24/2021,01:18:55 am,0,0.133,14.2,2021-09-24,01:18:55,2021-09-24 01:18:55
