Serial_number:
2036213
Project ID:
ACRE Wetland
Location:
Inlet A
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2021/08/31,19:49:57,0,10.020,22.10
2021/08/31,20:04:57,0,10.152,19.90
2021/08/31,20:19:57,0,10.155,19.90
2021/08/31,20:34:57,0,10.158,19.90
2021/08/31,20:49:57,0,10.158,19.90
2021/08/31,21:04:57,0,10.158,19.80
2021/08/31,21:19:57,0,10.161,19.80
2021/08/31,21:34:57,0,10.161,19.80
2021/08/31,21:49:57,0,10.161,19.80
2021/08/31,22:04:57,0,10.161,19.80
2021/08/31,22:19:57,0,10.161,19.80
2021/08/31,22:34:57,0,10.164,19.80
2021/08/31,22:49:57,0,10.167,19.80
2021/08/31,23:04:57,0,10.164,19.70
2021/08/31,23:19:57,0,10.164,19.70
2021/08/31,23:34:57,0,10.167,19.70
2021/08/31,23:49:57,0,10.167,19.70
2021/09/01,00:04:57,0,10.167,19.60
2021/09/01,00:19:57,0,10.167,19.60
2021/09/01,00:34:57,0,10.164,19.60
2021/09/01,00:49:57,0,10.164,19.50
2021/09/01,01:04:57,0,10.164,19.50
2021/09/01,01:19:57,0,10.164,19.50
2021/09/01,01:34:57,0,10.167,19.50
2021/09/01,01:49:57,0,10.164,19.40
2021/09/01,02:04:57,0,10.164,19.40
2021/09/01,02:19:57,0,10.164,19.40
2021/09/01,02:34:57,0,10.164,19.40
2021/09/01,02:49:57,0,10.164,19.30
2021/09/01,03:04:57,0,10.164,19.30
2021/09/01,03:19:57,0,10.164,19.30
2021/09/01,03:34:57,0,10.167,19.30
2021/09/01,03:49:57,0,10.164,19.20
2021/09/01,04:04:57,0,10.167,19.20
2021/09/01,04:19:57,0,10.170,19.20
2021/09/01,04:34:57,0,10.170,19.20
2021/09/01,04:49:57,0,10.173,19.20
2021/09/01,05:04:57,0,10.170,19.10
2021/09/01,05:19:57,0,10.173,19.10
2021/09/01,05:34:57,0,10.173,19.10
2021/09/01,05:49:57,0,10.176,19.10
2021/09/01,06:04:57,0,10.176,19.10
2021/09/01,06:19:57,0,10.179,19.00
2021/09/01,06:34:57,0,10.179,19.00
2021/09/01,06:49:57,0,10.182,19.00
2021/09/01,07:04:57,0,10.182,19.00
2021/09/01,07:19:57,0,10.185,18.90
2021/09/01,07:34:57,0,10.188,18.90
2021/09/01,07:49:57,0,10.191,18.90
2021/09/01,08:04:57,0,10.191,18.80
2021/09/01,08:19:57,0,10.194,18.80
2021/09/01,08:34:57,0,10.194,18.80
2021/09/01,08:49:57,0,10.197,18.80
2021/09/01,09:04:57,0,10.197,18.70
2021/09/01,09:19:57,0,10.200,18.70
