Serial_number:
2036213
Project ID:
ACRE Wetland
Location:
Inlet A
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
12/2/2021,10:00:00 am,0,10.221,9.50
12/2/2021,10:15:00 am,0,10.224,9.40
12/2/2021,10:30:00 am,0,10.224,9.40
12/2/2021,10:45:00 am,0,10.233,9.40
12/2/2021,11:00:00 am,0,10.230,9.50
12/2/2021,11:15:00 am,0,10.227,9.50
12/2/2021,11:30:00 am,0,10.227,9.50
12/2/2021,11:45:00 am,0,10.227,9.50
12/2/2021,12:00:00 pm,0,10.227,9.50
12/2/2021,12:15:00 pm,0,10.227,9.50
12/2/2021,12:30:00 pm,0,10.224,9.60
12/2/2021,12:45:00 pm,0,10.224,9.60
12/2/2021,01:00:00 pm,0,10.221,9.60
12/2/2021,01:15:00 pm,0,10.224,9.70
12/2/2021,01:30:00 pm,0,10.221,9.70
12/2/2021,01:45:00 pm,0,10.221,9.70
12/2/2021,02:00:00 pm,0,10.221,9.80
12/2/2021,02:15:00 pm,0,10.224,9.80
12/2/2021,02:30:00 pm,0,10.227,9.80
12/2/2021,02:45:00 pm,0,10.227,9.90
12/2/2021,03:00:00 pm,0,10.230,9.90
12/2/2021,03:15:00 pm,0,10.233,9.90
12/2/2021,03:30:00 pm,0,10.236,10.00
12/2/2021,03:45:00 pm,0,10.233,10.00
12/2/2021,04:00:00 pm,0,10.236,10.00
12/2/2021,04:15:00 pm,0,10.242,10.10
12/2/2021,04:30:00 pm,0,10.245,10.10
12/2/2021,04:45:00 pm,0,10.245,10.10
12/2/2021,05:00:00 pm,0,10.248,10.10
12/2/2021,05:15:00 pm,0,10.251,10.20
12/2/2021,05:30:00 pm,0,10.254,10.20
12/2/2021,05:45:00 pm,0,10.260,10.20
12/2/2021,06:00:00 pm,0,10.263,10.20
12/2/2021,06:15:00 pm,0,10.263,10.20
12/2/2021,06:30:00 pm,0,10.263,10.20
12/2/2021,06:45:00 pm,0,10.263,10.10
12/2/2021,07:00:00 pm,0,10.266,10.10
12/2/2021,07:15:00 pm,0,10.269,10.00
12/2/2021,07:30:00 pm,0,10.272,9.90
12/2/2021,07:45:00 pm,0,10.275,9.90
12/2/2021,08:00:00 pm,0,10.278,9.80
12/2/2021,08:15:00 pm,0,10.278,9.70
12/2/2021,08:30:00 pm,0,10.281,9.70
12/2/2021,08:45:00 pm,0,10.278,9.60
12/2/2021,09:00:00 pm,0,10.281,9.50
12/2/2021,09:15:00 pm,0,10.284,9.50
12/2/2021,09:30:00 pm,0,10.284,9.40
12/2/2021,09:45:00 pm,0,10.281,9.30
12/2/2021,10:00:00 pm,0,10.284,9.30
12/2/2021,10:15:00 pm,0,10.281,9.20
12/2/2021,10:30:00 pm,0,10.275,9.10
12/2/2021,10:45:00 pm,0,10.278,9.10
12/2/2021,11:00:00 pm,0,10.281,9.00
12/2/2021,11:15:00 pm,0,10.281,9.00
12/2/2021,11:30:00 pm,0,10.284,8.90
12/2/2021,11:45:00 pm,0,10.287,8.90
12/3/2021,12:00:00 am,0,10.287,8.80
12/3/2021,12:15:00 am,0,10.287,8.80
12/3/2021,12:30:00 am,0,10.287,8.80
12/3/2021,12:45:00 am,0,10.290,8.80
12/3/2021,01:00:00 am,0,10.293,8.70
12/3/2021,01:15:00 am,0,10.290,8.70
12/3/2021,01:30:00 am,0,10.290,8.70
12/3/2021,01:45:00 am,0,10.287,8.70
12/3/2021,02:00:00 am,0,10.287,8.60
12/3/2021,02:15:00 am,0,10.290,8.60
12/3/2021,02:30:00 am,0,10.287,8.50
12/3/2021,02:45:00 am,0,10.287,8.50
12/3/2021,03:00:00 am,0,10.290,8.50
12/3/2021,03:15:00 am,0,10.296,8.50
12/3/2021,03:30:00 am,0,10.290,8.40
12/3/2021,03:45:00 am,0,10.290,8.40
12/3/2021,04:00:00 am,0,10.290,8.40
12/3/2021,04:15:00 am,0,10.290,8.40
12/3/2021,04:30:00 am,0,10.287,8.30
12/3/2021,04:45:00 am,0,10.281,8.30
12/3/2021,05:00:00 am,0,10.284,8.30
12/3/2021,05:15:00 am,0,10.284,8.30
12/3/2021,05:30:00 am,0,10.281,8.20
12/3/2021,05:45:00 am,0,10.281,8.20
12/3/2021,06:00:00 am,0,10.281,8.20
12/3/2021,06:15:00 am,0,10.281,8.20
12/3/2021,06:30:00 am,0,10.281,8.10
12/3/2021,06:45:00 am,0,10.284,8.10
12/3/2021,07:00:00 am,0,10.284,8.10
12/3/2021,07:15:00 am,0,10.284,8.10
12/3/2021,07:30:00 am,0,10.284,8.00
12/3/2021,07:45:00 am,0,10.284,8.00
12/3/2021,08:00:00 am,0,10.284,8.00
12/3/2021,08:15:00 am,0,10.284,8.00
12/3/2021,08:30:00 am,0,10.281,7.90
12/3/2021,08:45:00 am,0,10.284,7.90
12/3/2021,09:00:00 am,0,10.281,7.90
12/3/2021,09:15:00 am,0,10.284,7.90
12/3/2021,09:30:00 am,0,10.284,7.90
12/3/2021,09:45:00 am,0,10.284,8.00
12/3/2021,10:00:00 am,0,10.281,8.00
12/3/2021,10:15:00 am,0,10.281,8.00
12/3/2021,10:30:00 am,0,10.281,8.10
12/3/2021,10:45:00 am,0,10.284,8.10
12/3/2021,11:00:00 am,0,10.284,8.20
12/3/2021,11:15:00 am,0,10.281,8.20
12/3/2021,11:30:00 am,0,10.278,8.30
12/3/2021,11:45:00 am,0,10.275,8.30
12/3/2021,12:00:00 pm,0,10.272,8.40
12/3/2021,12:15:00 pm,0,10.266,8.40
12/3/2021,12:30:00 pm,0,10.266,8.50
12/3/2021,12:45:00 pm,0,10.266,8.50
12/3/2021,01:00:00 pm,0,10.260,8.60
12/3/2021,01:15:00 pm,0,10.257,8.60
12/3/2021,01:30:00 pm,0,10.257,8.70
12/3/2021,01:45:00 pm,0,10.254,8.70
12/3/2021,02:00:00 pm,0,10.251,8.80
12/3/2021,02:15:00 pm,0,10.251,8.80
12/3/2021,02:30:00 pm,0,10.248,8.90
12/3/2021,02:45:00 pm,0,10.242,8.90
12/3/2021,03:00:00 pm,0,10.248,9.00
12/3/2021,03:15:00 pm,0,10.245,9.10
12/3/2021,03:30:00 pm,0,10.245,9.10
12/3/2021,03:45:00 pm,0,10.257,9.20
12/3/2021,04:00:00 pm,0,10.251,9.20
12/3/2021,04:15:00 pm,0,10.257,9.30
12/3/2021,04:30:00 pm,0,10.257,9.30
12/3/2021,04:45:00 pm,0,10.260,9.30
12/3/2021,05:00:00 pm,0,10.263,9.40
12/3/2021,05:15:00 pm,0,10.269,9.40
12/3/2021,05:30:00 pm,0,10.269,9.40
12/3/2021,05:45:00 pm,0,10.272,9.50
12/3/2021,06:00:00 pm,0,10.275,9.50
12/3/2021,06:15:00 pm,0,10.275,9.50
12/3/2021,06:30:00 pm,0,10.275,9.50
12/3/2021,06:45:00 pm,0,10.275,9.50
12/3/2021,07:00:00 pm,0,10.278,9.50
12/3/2021,07:15:00 pm,0,10.278,9.40
12/3/2021,07:30:00 pm,0,10.281,9.40
12/3/2021,07:45:00 pm,0,10.281,9.30
12/3/2021,08:00:00 pm,0,10.281,9.30
12/3/2021,08:15:00 pm,0,10.281,9.20
12/3/2021,08:30:00 pm,0,10.284,9.20
12/3/2021,08:45:00 pm,0,10.281,9.10
12/3/2021,09:00:00 pm,0,10.284,9.10
12/3/2021,09:15:00 pm,0,10.284,9.00
12/3/2021,09:30:00 pm,0,10.287,9.00
12/3/2021,09:45:00 pm,0,10.290,8.90
12/3/2021,10:00:00 pm,0,10.293,8.80
12/3/2021,10:15:00 pm,0,10.293,8.80
12/3/2021,10:30:00 pm,0,10.293,8.70
12/3/2021,10:45:00 pm,0,10.296,8.70
12/3/2021,11:00:00 pm,0,10.296,8.60
12/3/2021,11:15:00 pm,0,10.299,8.60
12/3/2021,11:30:00 pm,0,10.299,8.50
12/3/2021,11:45:00 pm,0,10.302,8.50
12/4/2021,12:00:00 am,0,10.302,8.40
12/4/2021,12:15:00 am,0,10.302,8.40
12/4/2021,12:30:00 am,0,10.305,8.30
12/4/2021,12:45:00 am,0,10.305,8.30
12/4/2021,01:00:00 am,0,10.308,8.20
12/4/2021,01:15:00 am,0,10.308,8.20
12/4/2021,01:30:00 am,0,10.311,8.10
12/4/2021,01:45:00 am,0,10.311,8.10
12/4/2021,02:00:00 am,0,10.311,8.00
12/4/2021,02:15:00 am,0,10.314,8.00
12/4/2021,02:30:00 am,0,10.314,7.90
12/4/2021,02:45:00 am,0,10.317,7.90
12/4/2021,03:00:00 am,0,10.320,7.80
12/4/2021,03:15:00 am,0,10.320,7.70
12/4/2021,03:30:00 am,0,10.323,7.70
12/4/2021,03:45:00 am,0,10.323,7.60
12/4/2021,04:00:00 am,0,10.326,7.60
12/4/2021,04:15:00 am,0,10.326,7.50
12/4/2021,04:30:00 am,0,10.326,7.50
12/4/2021,04:45:00 am,0,10.329,7.40
12/4/2021,05:00:00 am,0,10.329,7.40
12/4/2021,05:15:00 am,0,10.332,7.40
12/4/2021,05:30:00 am,0,10.335,7.30
12/4/2021,05:45:00 am,0,10.338,7.30
12/4/2021,06:00:00 am,0,10.341,7.20
12/4/2021,06:15:00 am,0,10.344,7.20
12/4/2021,06:30:00 am,0,10.344,7.10
12/4/2021,06:45:00 am,0,10.344,7.10
12/4/2021,07:00:00 am,0,10.347,7.00
12/4/2021,07:15:00 am,0,10.350,7.00
12/4/2021,07:30:00 am,0,10.347,6.90
12/4/2021,07:45:00 am,0,10.347,6.90
12/4/2021,08:00:00 am,0,10.347,6.80
12/4/2021,08:15:00 am,0,10.344,6.80
12/4/2021,08:30:00 am,0,10.350,6.80
12/4/2021,08:45:00 am,0,10.350,6.70
12/4/2021,09:00:00 am,0,10.356,6.70
12/4/2021,09:15:00 am,0,10.359,6.70
12/4/2021,09:30:00 am,0,10.362,6.70
12/4/2021,09:45:00 am,0,10.365,6.70
12/4/2021,10:00:00 am,0,10.365,6.70
12/4/2021,10:15:00 am,0,10.362,6.70
12/4/2021,10:30:00 am,0,10.368,6.70
12/4/2021,10:45:00 am,0,10.371,6.80
12/4/2021,11:00:00 am,0,10.374,6.80
12/4/2021,11:15:00 am,0,10.374,6.80
12/4/2021,11:30:00 am,0,10.371,6.90
12/4/2021,11:45:00 am,0,10.371,7.00
12/4/2021,12:00:00 pm,0,10.371,7.00
12/4/2021,12:15:00 pm,0,10.371,7.10
12/4/2021,12:30:00 pm,0,10.368,7.10
12/4/2021,12:45:00 pm,0,10.365,7.20
12/4/2021,01:00:00 pm,0,10.362,7.20
12/4/2021,01:15:00 pm,0,10.362,7.30
12/4/2021,01:30:00 pm,0,10.365,7.40
12/4/2021,01:45:00 pm,0,10.362,7.40
12/4/2021,02:00:00 pm,0,10.362,7.50
12/4/2021,02:15:00 pm,0,10.362,7.50
12/4/2021,02:30:00 pm,0,10.362,7.60
12/4/2021,02:45:00 pm,0,10.362,7.60
12/4/2021,03:00:00 pm,0,10.362,7.60
12/4/2021,03:15:00 pm,0,10.362,7.70
12/4/2021,03:30:00 pm,0,10.365,7.70
12/4/2021,03:45:00 pm,0,10.365,7.70
12/4/2021,04:00:00 pm,0,10.365,7.70
12/4/2021,04:15:00 pm,0,10.368,7.70
12/4/2021,04:30:00 pm,0,10.371,7.70
12/4/2021,04:45:00 pm,0,10.371,7.70
12/4/2021,05:00:00 pm,0,10.371,7.60
12/4/2021,05:15:00 pm,0,10.371,7.60
12/4/2021,05:30:00 pm,0,10.368,7.60
12/4/2021,05:45:00 pm,0,10.368,7.50
12/4/2021,06:00:00 pm,0,10.368,7.50
12/4/2021,06:15:00 pm,0,10.368,7.40
12/4/2021,06:30:00 pm,0,10.371,7.40
12/4/2021,06:45:00 pm,0,10.371,7.30
12/4/2021,07:00:00 pm,0,10.368,7.30
12/4/2021,07:15:00 pm,0,10.368,7.20
12/4/2021,07:30:00 pm,0,10.371,7.20
12/4/2021,07:45:00 pm,0,10.371,7.10
12/4/2021,08:00:00 pm,0,10.371,7.10
12/4/2021,08:15:00 pm,0,10.371,7.00
12/4/2021,08:30:00 pm,0,10.374,7.00
12/4/2021,08:45:00 pm,0,10.374,6.90
12/4/2021,09:00:00 pm,0,10.374,6.90
12/4/2021,09:15:00 pm,0,10.374,6.80
12/4/2021,09:30:00 pm,0,10.374,6.80
12/4/2021,09:45:00 pm,0,10.371,6.70
12/4/2021,10:00:00 pm,0,10.371,6.70
12/4/2021,10:15:00 pm,0,10.365,6.60
12/4/2021,10:30:00 pm,0,10.365,6.60
12/4/2021,10:45:00 pm,0,10.365,6.60
12/4/2021,11:00:00 pm,0,10.362,6.60
12/4/2021,11:15:00 pm,0,10.362,6.50
12/4/2021,11:30:00 pm,0,10.362,6.50
12/4/2021,11:45:00 pm,0,10.362,6.40
12/5/2021,12:00:00 am,0,10.362,6.40
12/5/2021,12:15:00 am,0,10.356,6.40
12/5/2021,12:30:00 am,0,10.353,6.30
12/5/2021,12:45:00 am,0,10.350,6.30
12/5/2021,01:00:00 am,0,10.350,6.30
12/5/2021,01:15:00 am,0,10.347,6.30
12/5/2021,01:30:00 am,0,10.344,6.20
12/5/2021,01:45:00 am,0,10.344,6.20
12/5/2021,02:00:00 am,0,10.341,6.20
12/5/2021,02:15:00 am,0,10.341,6.20
12/5/2021,02:30:00 am,0,10.341,6.20
12/5/2021,02:45:00 am,0,10.341,6.10
12/5/2021,03:00:00 am,0,10.341,6.10
12/5/2021,03:15:00 am,0,10.341,6.10
12/5/2021,03:30:00 am,0,10.338,6.10
12/5/2021,03:45:00 am,0,10.338,6.10
12/5/2021,04:00:00 am,0,10.338,6.10
12/5/2021,04:15:00 am,0,10.335,6.10
12/5/2021,04:30:00 am,0,10.332,6.10
12/5/2021,04:45:00 am,0,10.329,6.10
12/5/2021,05:00:00 am,0,10.329,6.10
12/5/2021,05:15:00 am,0,10.326,6.10
12/5/2021,05:30:00 am,0,10.326,6.20
12/5/2021,05:45:00 am,0,10.323,6.20
12/5/2021,06:00:00 am,0,10.317,6.20
12/5/2021,06:15:00 am,0,10.317,6.20
12/5/2021,06:30:00 am,0,10.314,6.20
12/5/2021,06:45:00 am,0,10.311,6.20
12/5/2021,07:00:00 am,0,10.311,6.20
12/5/2021,07:15:00 am,0,10.308,6.20
12/5/2021,07:30:00 am,0,10.305,6.20
12/5/2021,07:45:00 am,0,10.299,6.20
12/5/2021,08:00:00 am,0,10.293,6.20
12/5/2021,08:15:00 am,0,10.293,6.20
12/5/2021,08:30:00 am,0,10.290,6.30
12/5/2021,08:45:00 am,0,10.284,6.30
12/5/2021,09:00:00 am,0,10.281,6.30
12/5/2021,09:15:00 am,0,10.281,6.30
12/5/2021,09:30:00 am,0,10.275,6.30
12/5/2021,09:45:00 am,0,10.272,6.40
12/5/2021,10:00:00 am,0,10.269,6.40
12/5/2021,10:15:00 am,0,10.269,6.40
12/5/2021,10:30:00 am,0,10.263,6.40
12/5/2021,10:45:00 am,0,10.260,6.50
12/5/2021,11:00:00 am,0,10.254,6.50
12/5/2021,11:15:00 am,0,10.251,6.60
12/5/2021,11:30:00 am,0,10.245,6.60
12/5/2021,11:45:00 am,0,10.245,6.70
12/5/2021,12:00:00 pm,0,10.242,6.70
12/5/2021,12:15:00 pm,0,10.233,6.80
12/5/2021,12:30:00 pm,0,10.227,6.80
12/5/2021,12:45:00 pm,0,10.218,6.90
12/5/2021,01:00:00 pm,0,10.215,6.90
12/5/2021,01:15:00 pm,0,10.212,6.90
12/5/2021,01:30:00 pm,0,10.209,7.00
12/5/2021,01:45:00 pm,0,10.203,7.00
12/5/2021,02:00:00 pm,0,10.200,7.00
12/5/2021,02:15:00 pm,0,10.197,7.10
12/5/2021,02:30:00 pm,0,10.194,7.10
12/5/2021,02:45:00 pm,0,10.191,7.20
12/5/2021,03:00:00 pm,0,10.188,7.20
12/5/2021,03:15:00 pm,0,10.185,7.30
12/5/2021,03:30:00 pm,0,10.182,7.30
12/5/2021,03:45:00 pm,0,10.182,7.40
12/5/2021,04:00:00 pm,0,10.182,7.40
12/5/2021,04:15:00 pm,0,10.179,7.50
12/5/2021,04:30:00 pm,0,10.179,7.50
12/5/2021,04:45:00 pm,0,10.176,7.50
12/5/2021,05:00:00 pm,0,10.176,7.60
12/5/2021,05:15:00 pm,0,10.173,7.60
12/5/2021,05:30:00 pm,0,10.170,7.70
12/5/2021,05:45:00 pm,0,10.170,7.70
12/5/2021,06:00:00 pm,0,10.170,7.80
12/5/2021,06:15:00 pm,0,10.170,7.80
12/5/2021,06:30:00 pm,0,10.170,7.90
12/5/2021,06:45:00 pm,0,10.167,7.90
