Serial_number:
2036213
Project ID:
ACRE Wetland
Location:
Inlet A
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
4/26/2022,11:00:00 am,0,10.206,15.10
4/26/2022,11:15:00 am,0,10.203,17.50
4/26/2022,11:30:00 am,0,10.206,18.10
4/26/2022,11:45:00 am,0,10.206,19.20
4/26/2022,12:00:00 pm,0,10.206,19.90
4/26/2022,12:15:00 pm,0,10.206,20.70
4/26/2022,12:30:00 pm,0,10.203,20.50
4/26/2022,12:45:00 pm,0,10.200,24.70
4/26/2022,01:00:00 pm,0,10.200,26.10
4/26/2022,01:15:00 pm,0,10.203,21.70
4/26/2022,01:30:00 pm,0,10.200,20.10
4/26/2022,01:45:00 pm,0,10.200,20.50
4/26/2022,02:00:00 pm,0,10.200,21.70
4/26/2022,02:15:00 pm,0,10.200,19.60
4/26/2022,02:30:00 pm,0,10.197,20.80
4/26/2022,02:45:00 pm,0,10.197,18.90
4/26/2022,03:00:00 pm,0,10.197,18.80
4/26/2022,03:15:00 pm,0,10.191,21.50
4/26/2022,03:30:00 pm,0,10.188,22.90
4/26/2022,03:45:00 pm,0,10.191,22.90
4/26/2022,04:00:00 pm,0,10.191,24.00
4/26/2022,04:15:00 pm,0,10.191,20.90
4/26/2022,04:30:00 pm,0,10.191,18.80
4/26/2022,04:45:00 pm,0,10.191,18.00
4/26/2022,05:00:00 pm,0,10.188,16.30
4/26/2022,05:15:00 pm,0,10.185,14.60
4/26/2022,05:30:00 pm,0,10.188,13.40
4/26/2022,05:45:00 pm,0,10.188,12.50
4/26/2022,06:00:00 pm,0,10.185,11.80
4/26/2022,06:15:00 pm,0,10.185,11.20
4/26/2022,06:30:00 pm,0,10.185,10.70
4/26/2022,06:45:00 pm,0,10.185,10.10
4/26/2022,07:00:00 pm,0,10.185,9.60
4/26/2022,07:15:00 pm,0,10.185,9.00
4/26/2022,07:30:00 pm,0,10.185,8.40
4/26/2022,07:45:00 pm,0,10.188,7.80
4/26/2022,08:00:00 pm,0,10.188,7.40
4/26/2022,08:15:00 pm,0,10.188,7.00
4/26/2022,08:30:00 pm,0,10.191,6.70
4/26/2022,08:45:00 pm,0,10.191,6.40
4/26/2022,09:00:00 pm,0,10.191,6.20
4/26/2022,09:15:00 pm,0,10.191,6.00
4/26/2022,09:30:00 pm,0,10.194,5.80
4/26/2022,09:45:00 pm,0,10.194,5.60
4/26/2022,10:00:00 pm,0,10.197,5.40
4/26/2022,10:15:00 pm,0,10.197,5.20
4/26/2022,10:30:00 pm,0,10.194,5.10
4/26/2022,10:45:00 pm,0,10.197,5.10
4/26/2022,11:00:00 pm,0,10.197,5.00
4/26/2022,11:15:00 pm,0,10.197,4.90
4/26/2022,11:30:00 pm,0,10.200,4.70
4/26/2022,11:45:00 pm,0,10.203,4.40
4/27/2022,12:00:00 am,0,10.206,4.20
4/27/2022,12:15:00 am,0,10.206,3.90
4/27/2022,12:30:00 am,0,10.206,3.70
4/27/2022,12:45:00 am,0,10.206,3.50
4/27/2022,01:00:00 am,0,10.209,3.30
4/27/2022,01:15:00 am,0,10.209,3.10
4/27/2022,01:30:00 am,0,10.209,2.90
4/27/2022,01:45:00 am,0,10.209,2.80
4/27/2022,02:00:00 am,0,10.209,2.70
4/27/2022,02:15:00 am,0,10.209,2.60
4/27/2022,02:30:00 am,0,10.209,2.40
4/27/2022,02:45:00 am,0,10.209,2.30
4/27/2022,03:00:00 am,0,10.212,2.20
4/27/2022,03:15:00 am,0,10.212,2.10
4/27/2022,03:30:00 am,0,10.212,2.10
4/27/2022,03:45:00 am,0,10.212,2.10
4/27/2022,04:00:00 am,0,10.212,1.90
4/27/2022,04:15:00 am,0,10.215,1.90
4/27/2022,04:30:00 am,0,10.212,1.80
4/27/2022,04:45:00 am,0,10.215,1.80
4/27/2022,05:00:00 am,0,10.215,1.70
4/27/2022,05:15:00 am,0,10.215,1.60
4/27/2022,05:30:00 am,0,10.215,1.50
4/27/2022,05:45:00 am,0,10.215,1.40
4/27/2022,06:00:00 am,0,10.215,1.50
4/27/2022,06:15:00 am,0,10.218,1.70
4/27/2022,06:30:00 am,0,10.218,2.20
4/27/2022,06:45:00 am,0,10.221,3.20
4/27/2022,07:00:00 am,0,10.218,5.20
4/27/2022,07:15:00 am,0,10.215,6.70
4/27/2022,07:30:00 am,0,10.218,7.30
4/27/2022,07:45:00 am,0,10.218,10.00
4/27/2022,08:00:00 am,0,10.218,10.70
4/27/2022,08:15:00 am,0,10.215,10.70
4/27/2022,08:30:00 am,0,10.215,10.70
4/27/2022,08:45:00 am,0,10.218,13.60
4/27/2022,09:00:00 am,0,10.218,14.90
4/27/2022,09:15:00 am,0,10.221,15.50
4/27/2022,09:30:00 am,0,10.218,21.40
4/27/2022,09:45:00 am,0,10.221,23.30
4/27/2022,10:00:00 am,0,10.218,25.40
4/27/2022,10:15:00 am,0,10.221,23.60
4/27/2022,10:30:00 am,0,10.215,29.40
4/27/2022,10:45:00 am,0,10.212,34.60
4/27/2022,11:00:00 am,0,10.212,36.60
4/27/2022,11:15:00 am,0,10.209,33.20
4/27/2022,11:30:00 am,0,10.209,29.50
4/27/2022,11:45:00 am,0,10.203,28.10
4/27/2022,12:00:00 pm,0,10.203,25.80
4/27/2022,12:15:00 pm,0,10.203,24.60
4/27/2022,12:30:00 pm,0,10.200,26.00
4/27/2022,12:45:00 pm,0,10.200,27.20
4/27/2022,01:00:00 pm,0,10.197,28.70
4/27/2022,01:15:00 pm,0,10.197,24.40
4/27/2022,01:30:00 pm,0,10.200,22.20
4/27/2022,01:45:00 pm,0,10.197,23.60
4/27/2022,02:00:00 pm,0,10.191,23.30
4/27/2022,02:15:00 pm,0,10.191,21.80
4/27/2022,02:30:00 pm,0,10.191,22.50
4/27/2022,02:45:00 pm,0,10.188,23.10
4/27/2022,03:00:00 pm,0,10.188,22.50
4/27/2022,03:15:00 pm,0,10.185,23.80
4/27/2022,03:30:00 pm,0,10.185,24.20
4/27/2022,03:45:00 pm,0,10.185,22.80
4/27/2022,04:00:00 pm,0,10.182,22.40
4/27/2022,04:15:00 pm,0,10.182,20.90
4/27/2022,04:30:00 pm,0,10.182,19.90
4/27/2022,04:45:00 pm,0,10.182,18.80
4/27/2022,05:00:00 pm,0,10.182,18.20
4/27/2022,05:15:00 pm,0,10.179,17.50
4/27/2022,05:30:00 pm,0,10.176,16.10
4/27/2022,05:45:00 pm,0,10.176,15.40
4/27/2022,06:00:00 pm,0,10.173,14.50
4/27/2022,06:15:00 pm,0,10.170,13.70
4/27/2022,06:30:00 pm,0,10.170,12.70
4/27/2022,06:45:00 pm,0,10.170,12.00
4/27/2022,07:00:00 pm,0,10.167,11.60
4/27/2022,07:15:00 pm,0,10.167,11.10
4/27/2022,07:30:00 pm,0,10.164,10.50
4/27/2022,07:45:00 pm,0,10.164,9.70
