Serial_number:
2036213
Project ID:
ACRE Wetland
Location:
Inlet A
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/10/2023,05:15:00 pm,0,0.171,6.30
3/10/2023,05:30:00 pm,0,0.175,6.40
3/10/2023,05:45:00 pm,0,0.177,6.50
3/10/2023,06:00:00 pm,0,0.178,6.50
3/10/2023,06:15:00 pm,0,0.178,6.50
3/10/2023,06:30:00 pm,0,0.176,6.40
3/10/2023,06:45:00 pm,0,0.176,6.40
3/10/2023,07:00:00 pm,0,0.174,6.40
3/10/2023,07:15:00 pm,0,0.176,6.40
3/10/2023,07:30:00 pm,0,0.175,6.40
3/10/2023,07:45:00 pm,0,0.177,6.40
3/10/2023,08:00:00 pm,0,0.175,6.40
3/10/2023,08:15:00 pm,0,0.176,6.40
3/10/2023,08:30:00 pm,0,0.177,6.40
3/10/2023,08:45:00 pm,0,0.175,6.40
3/10/2023,09:00:00 pm,0,0.174,6.40
3/10/2023,09:15:00 pm,0,0.175,6.40
3/10/2023,09:30:00 pm,0,0.176,6.40
3/10/2023,09:45:00 pm,0,0.173,6.30
3/10/2023,10:00:00 pm,0,0.174,6.30
3/10/2023,10:15:00 pm,0,0.175,6.30
3/10/2023,10:30:00 pm,0,0.175,6.30
3/10/2023,10:45:00 pm,0,0.176,6.40
3/10/2023,11:00:00 pm,0,0.172,6.30
3/10/2023,11:15:00 pm,0,0.174,6.40
3/10/2023,11:30:00 pm,0,0.176,6.40
3/10/2023,11:45:00 pm,0,0.173,6.30
3/11/2023,12:00:00 am,0,0.174,6.40
3/11/2023,12:15:00 am,0,0.173,6.30
3/11/2023,12:30:00 am,0,0.174,6.30
3/11/2023,12:45:00 am,0,0.174,6.30
3/11/2023,01:00:00 am,0,0.175,6.30
3/11/2023,01:15:00 am,0,0.172,6.30
3/11/2023,01:30:00 am,0,0.171,6.30
3/11/2023,01:45:00 am,0,0.172,6.30
3/11/2023,02:00:00 am,0,0.170,6.30
