Serial_number:
2036213
Project ID:
ACRE Wetland
Location:
Inlet A
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/4/2023,05:45:00 pm,0,10.383,6.50
3/4/2023,06:00:00 pm,0,10.383,6.40
3/4/2023,06:15:00 pm,0,10.386,6.40
3/4/2023,06:30:00 pm,0,10.386,6.40
3/4/2023,06:45:00 pm,0,10.389,6.40
3/4/2023,07:00:00 pm,0,10.389,6.40
3/4/2023,07:15:00 pm,0,10.389,6.40
3/4/2023,07:30:00 pm,0,10.389,6.40
3/4/2023,07:45:00 pm,0,10.389,6.40
3/4/2023,08:00:00 pm,0,10.389,6.40
3/4/2023,08:15:00 pm,0,10.389,6.50
3/4/2023,08:30:00 pm,0,10.389,6.50
3/4/2023,08:45:00 pm,0,10.392,6.50
3/4/2023,09:00:00 pm,0,10.392,6.50
3/4/2023,09:15:00 pm,0,10.392,6.50
3/4/2023,09:30:00 pm,0,10.395,6.50
3/4/2023,09:45:00 pm,0,10.395,6.50
3/4/2023,10:00:00 pm,0,10.398,6.50
3/4/2023,10:15:00 pm,0,10.404,6.50
3/4/2023,10:30:00 pm,0,10.404,6.50
3/4/2023,10:45:00 pm,0,10.407,6.50
3/4/2023,11:00:00 pm,0,10.407,6.50
3/4/2023,11:15:00 pm,0,10.407,6.50
3/4/2023,11:30:00 pm,0,10.410,6.50
3/4/2023,11:45:00 pm,0,10.410,6.50
3/5/2023,12:00:00 am,0,10.413,6.50
3/5/2023,12:15:00 am,0,10.413,6.50
3/5/2023,12:30:00 am,0,10.413,6.50
3/5/2023,12:45:00 am,0,10.413,6.50
3/5/2023,01:00:00 am,0,10.416,6.50
3/5/2023,01:15:00 am,0,10.419,6.50
3/5/2023,01:30:00 am,0,10.419,6.50
3/5/2023,01:45:00 am,0,10.422,6.50
3/5/2023,02:00:00 am,0,10.422,6.50
3/5/2023,02:15:00 am,0,10.422,6.50
3/5/2023,02:30:00 am,0,10.425,6.50
3/5/2023,02:45:00 am,0,10.428,6.50
3/5/2023,03:00:00 am,0,10.428,6.50
3/5/2023,03:15:00 am,0,10.428,6.50
