Date,Time,ms,LEVEL (m),TEMPERATURE (degC),Date_P,Time_P,Date_Time
2021/08/16,16:00:00,0.0,10.266,18.0,2021-08-16,16:00:00,2021-08-16 16:00:00
2021/08/16,16:15:00,0.0,10.266,18.1,2021-08-16,16:15:00,2021-08-16 16:15:00
2021/08/16,16:30:00,0.0,10.263,18.1,2021-08-16,16:30:00,2021-08-16 16:30:00
2021/08/16,16:45:00,0.0,10.263,18.1,2021-08-16,16:45:00,2021-08-16 16:45:00
2021/08/16,17:00:00,0.0,10.26,18.1,2021-08-16,17:00:00,2021-08-16 17:00:00
2021/08/16,17:15:00,0.0,10.257,18.1,2021-08-16,17:15:00,2021-08-16 17:15:00
2021/08/16,17:30:00,0.0,10.257,18.1,2021-08-16,17:30:00,2021-08-16 17:30:00
2021/08/16,17:45:00,0.0,10.257,18.2,2021-08-16,17:45:00,2021-08-16 17:45:00
2021/08/16,18:00:00,0.0,10.257,18.2,2021-08-16,18:00:00,2021-08-16 18:00:00
2021/08/16,18:15:00,0.0,10.254,18.2,2021-08-16,18:15:00,2021-08-16 18:15:00
2021/08/16,18:30:00,0.0,10.254,18.2,2021-08-16,18:30:00,2021-08-16 18:30:00
2021/08/16,18:45:00,0.0,10.251,18.2,2021-08-16,18:45:00,2021-08-16 18:45:00
2021/08/16,19:00:00,0.0,10.254,18.3,2021-08-16,19:00:00,2021-08-16 19:00:00
2021/08/16,19:15:00,0.0,10.251,18.3,2021-08-16,19:15:00,2021-08-16 19:15:00
2021/08/16,19:30:00,0.0,10.251,18.3,2021-08-16,19:30:00,2021-08-16 19:30:00
2021/08/16,19:45:00,0.0,10.251,18.3,2021-08-16,19:45:00,2021-08-16 19:45:00
2021/08/16,20:00:00,0.0,10.251,18.3,2021-08-16,20:00:00,2021-08-16 20:00:00
2021/08/16,20:15:00,0.0,10.251,18.3,2021-08-16,20:15:00,2021-08-16 20:15:00
2021/08/16,20:30:00,0.0,10.251,18.3,2021-08-16,20:30:00,2021-08-16 20:30:00
2021/08/16,20:45:00,0.0,10.254,18.4,2021-08-16,20:45:00,2021-08-16 20:45:00
2021/08/16,21:00:00,0.0,10.254,18.4,2021-08-16,21:00:00,2021-08-16 21:00:00
2021/08/16,21:15:00,0.0,10.254,18.4,2021-08-16,21:15:00,2021-08-16 21:15:00
2021/08/16,21:30:00,0.0,10.254,18.4,2021-08-16,21:30:00,2021-08-16 21:30:00
2021/08/16,21:45:00,0.0,10.254,18.4,2021-08-16,21:45:00,2021-08-16 21:45:00
2021/08/16,22:00:00,0.0,10.257,18.4,2021-08-16,22:00:00,2021-08-16 22:00:00
2021/08/16,22:15:00,0.0,10.257,18.4,2021-08-16,22:15:00,2021-08-16 22:15:00
2021/08/16,22:30:00,0.0,10.257,18.4,2021-08-16,22:30:00,2021-08-16 22:30:00
2021/08/16,22:45:00,0.0,10.26,18.4,2021-08-16,22:45:00,2021-08-16 22:45:00
2021/08/16,23:00:00,0.0,10.26,18.4,2021-08-16,23:00:00,2021-08-16 23:00:00
2021/08/16,23:15:00,0.0,10.26,18.4,2021-08-16,23:15:00,2021-08-16 23:15:00
2021/08/16,23:30:00,0.0,10.26,18.4,2021-08-16,23:30:00,2021-08-16 23:30:00
2021/08/16,23:45:00,0.0,10.26,18.4,2021-08-16,23:45:00,2021-08-16 23:45:00
2021/08/17,00:00:00,0.0,10.26,18.4,2021-08-17,00:00:00,2021-08-17 00:00:00
2021/08/17,00:15:00,0.0,10.26,18.3,2021-08-17,00:15:00,2021-08-17 00:15:00
2021/08/17,00:30:00,0.0,10.257,18.3,2021-08-17,00:30:00,2021-08-17 00:30:00
