Serial_number:
2036199
Project ID:
ACRE Wetland
Location:
Inlet B
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/14/2024,02:15:00 pm,0,0.348,20.40
8/14/2024,02:30:00 pm,0,0.328,17.70
8/14/2024,02:45:00 pm,0,0.325,17.70
8/14/2024,03:00:00 pm,0,0.321,17.70
8/14/2024,03:15:00 pm,0,0.323,17.60
8/14/2024,03:30:00 pm,0,0.323,17.60
8/14/2024,03:45:00 pm,0,0.326,17.60
8/14/2024,04:00:00 pm,0,0.325,17.60
8/14/2024,04:15:00 pm,0,0.327,17.60
8/14/2024,04:30:00 pm,0,0.323,17.60
8/14/2024,04:45:00 pm,0,0.318,17.60
8/14/2024,05:00:00 pm,0,0.317,17.60
8/14/2024,05:15:00 pm,0,0.317,17.60
8/14/2024,05:30:00 pm,0,0.318,17.60
8/14/2024,05:45:00 pm,0,0.315,17.60
8/14/2024,06:00:00 pm,0,0.314,17.60
8/14/2024,06:15:00 pm,0,0.316,17.60
8/14/2024,06:30:00 pm,0,0.313,17.60
8/14/2024,06:45:00 pm,0,0.315,17.60
8/14/2024,07:00:00 pm,0,0.314,17.60
8/14/2024,07:15:00 pm,0,0.315,17.70
8/14/2024,07:30:00 pm,0,0.316,17.70
8/14/2024,07:45:00 pm,0,0.315,17.70
8/14/2024,08:00:00 pm,0,0.315,17.70
8/14/2024,08:15:00 pm,0,0.314,17.70
8/14/2024,08:30:00 pm,0,0.315,17.70
8/14/2024,08:45:00 pm,0,0.315,17.70
8/14/2024,09:00:00 pm,0,0.314,17.70
8/14/2024,09:15:00 pm,0,0.312,17.70
8/14/2024,09:30:00 pm,0,0.315,17.80
8/14/2024,09:45:00 pm,0,0.316,17.80
8/14/2024,10:00:00 pm,0,0.315,17.80
8/14/2024,10:15:00 pm,0,0.316,17.80
8/14/2024,10:30:00 pm,0,0.315,17.80
8/14/2024,10:45:00 pm,0,0.314,17.80
8/14/2024,11:00:00 pm,0,0.316,17.80
8/14/2024,11:15:00 pm,0,0.313,17.80
8/14/2024,11:30:00 pm,0,0.315,17.90
8/14/2024,11:45:00 pm,0,0.315,17.90
8/15/2024,12:00:00 am,0,0.316,17.90
8/15/2024,12:15:00 am,0,0.315,17.90
8/15/2024,12:30:00 am,0,0.314,17.90
8/15/2024,12:45:00 am,0,0.314,17.90
8/15/2024,01:00:00 am,0,0.314,17.90
8/15/2024,01:15:00 am,0,0.314,17.90
8/15/2024,01:30:00 am,0,0.315,17.90
8/15/2024,01:45:00 am,0,0.314,18.00
8/15/2024,02:00:00 am,0,0.314,18.00
8/15/2024,02:15:00 am,0,0.314,18.00
8/15/2024,02:30:00 am,0,0.315,18.00
8/15/2024,02:45:00 am,0,0.313,18.00
8/15/2024,03:00:00 am,0,0.313,18.00
8/15/2024,03:15:00 am,0,0.313,18.00
8/15/2024,03:30:00 am,0,0.315,18.00
8/15/2024,03:45:00 am,0,0.312,18.00
8/15/2024,04:00:00 am,0,0.312,18.00
8/15/2024,04:15:00 am,0,0.314,18.00
8/15/2024,04:30:00 am,0,0.314,18.00
8/15/2024,04:45:00 am,0,0.314,18.00
8/15/2024,05:00:00 am,0,0.312,18.00
8/15/2024,05:15:00 am,0,0.311,18.00
8/15/2024,05:30:00 am,0,0.314,18.10
8/15/2024,05:45:00 am,0,0.314,18.10
8/15/2024,06:00:00 am,0,0.314,18.10
8/15/2024,06:15:00 am,0,0.313,18.10
8/15/2024,06:30:00 am,0,0.314,18.10
8/15/2024,06:45:00 am,0,0.314,18.10
8/15/2024,07:00:00 am,0,0.314,18.10
8/15/2024,07:15:00 am,0,0.315,18.10
8/15/2024,07:30:00 am,0,0.315,18.10
8/15/2024,07:45:00 am,0,0.312,18.10
8/15/2024,08:00:00 am,0,0.313,18.10
8/15/2024,08:15:00 am,0,0.311,18.10
8/15/2024,08:30:00 am,0,0.311,18.10
8/15/2024,08:45:00 am,0,0.311,18.10
8/15/2024,09:00:00 am,0,0.311,18.10
8/15/2024,09:15:00 am,0,0.311,18.10
8/15/2024,09:30:00 am,0,0.311,18.10
8/15/2024,09:45:00 am,0,0.314,18.10
8/15/2024,10:00:00 am,0,0.311,18.10
8/15/2024,10:15:00 am,0,0.313,18.10
8/15/2024,10:30:00 am,0,0.312,18.10
8/15/2024,10:45:00 am,0,0.311,18.10
8/15/2024,11:00:00 am,0,0.310,18.10
8/15/2024,11:15:00 am,0,0.313,18.10
8/15/2024,11:30:00 am,0,0.311,18.10
8/15/2024,11:45:00 am,0,0.312,18.10
8/15/2024,12:00:00 pm,0,0.313,18.10
8/15/2024,12:15:00 pm,0,0.311,18.10
8/15/2024,12:30:00 pm,0,0.311,18.10
8/15/2024,12:45:00 pm,0,0.312,18.10
8/15/2024,01:00:00 pm,0,0.310,18.10
8/15/2024,01:15:00 pm,0,0.312,18.10
8/15/2024,01:30:00 pm,0,0.311,18.10
8/15/2024,01:45:00 pm,0,0.312,18.10
8/15/2024,02:00:00 pm,0,0.310,18.10
8/15/2024,02:15:00 pm,0,0.311,18.10
8/15/2024,02:30:00 pm,0,0.311,18.10
8/15/2024,02:45:00 pm,0,0.310,18.10
8/15/2024,03:00:00 pm,0,0.311,18.10
8/15/2024,03:15:00 pm,0,0.311,18.10
8/15/2024,03:30:00 pm,0,0.312,18.10
8/15/2024,03:45:00 pm,0,0.346,18.00
8/15/2024,04:00:00 pm,0,0.348,18.00
8/15/2024,04:15:00 pm,0,0.343,18.00
8/15/2024,04:30:00 pm,0,0.341,18.10
8/15/2024,04:45:00 pm,0,0.341,18.10
8/15/2024,05:00:00 pm,0,0.342,18.10
8/15/2024,05:15:00 pm,0,0.338,18.10
8/15/2024,05:30:00 pm,0,0.337,18.10
8/15/2024,05:45:00 pm,0,0.335,18.10
8/15/2024,06:00:00 pm,0,0.331,18.10
8/15/2024,06:15:00 pm,0,0.330,18.10
8/15/2024,06:30:00 pm,0,0.331,18.20
8/15/2024,06:45:00 pm,0,0.330,18.20
8/15/2024,07:00:00 pm,0,0.331,18.20
8/15/2024,07:15:00 pm,0,0.332,18.20
8/15/2024,07:30:00 pm,0,0.331,18.20
8/15/2024,07:45:00 pm,0,0.331,18.20
