Serial_number:
2036204
Project ID:
ACRE Wetland
Location:
Outlet
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/4/2025,04:30:00 pm,0,0.149,5.10
3/4/2025,04:45:00 pm,0,0.158,5.10
3/4/2025,05:00:00 pm,0,0.160,5.10
3/4/2025,05:15:00 pm,0,0.154,5.00
3/4/2025,05:30:00 pm,0,0.158,5.00
3/4/2025,05:45:00 pm,0,0.161,5.00
3/4/2025,06:00:00 pm,0,0.163,5.00
3/4/2025,06:15:00 pm,0,0.161,5.00
3/4/2025,06:30:00 pm,0,0.162,5.00
3/4/2025,06:45:00 pm,0,0.163,5.00
3/4/2025,07:00:00 pm,0,0.163,5.00
3/4/2025,07:15:00 pm,0,0.155,5.00
3/4/2025,07:30:00 pm,0,0.156,5.00
3/4/2025,07:45:00 pm,0,0.156,5.00
3/4/2025,08:00:00 pm,0,0.154,5.00
3/4/2025,08:15:00 pm,0,0.158,5.00
3/4/2025,08:30:00 pm,0,0.159,5.00
3/4/2025,08:45:00 pm,0,0.158,5.00
3/4/2025,09:00:00 pm,0,0.159,5.00
3/4/2025,09:15:00 pm,0,0.157,5.00
3/4/2025,09:30:00 pm,0,0.162,5.00
3/4/2025,09:45:00 pm,0,0.161,5.00
3/4/2025,10:00:00 pm,0,0.160,5.00
3/4/2025,10:15:00 pm,0,0.163,5.00
3/4/2025,10:30:00 pm,0,0.162,5.00
3/4/2025,10:45:00 pm,0,0.159,5.00
3/4/2025,11:00:00 pm,0,0.164,5.00
3/4/2025,11:15:00 pm,0,0.161,5.00
3/4/2025,11:30:00 pm,0,0.160,5.00
3/4/2025,11:45:00 pm,0,0.163,5.00
3/5/2025,12:00:00 am,0,0.161,5.00
3/5/2025,12:15:00 am,0,0.164,5.00
3/5/2025,12:30:00 am,0,0.164,5.00
3/5/2025,12:45:00 am,0,0.170,5.00
3/5/2025,01:00:00 am,0,0.162,5.00
3/5/2025,01:15:00 am,0,0.164,5.00
3/5/2025,01:30:00 am,0,0.167,5.00
3/5/2025,01:45:00 am,0,0.164,5.00
3/5/2025,02:00:00 am,0,0.161,5.00
3/5/2025,02:15:00 am,0,0.164,5.00
3/5/2025,02:30:00 am,0,0.161,5.00
3/5/2025,02:45:00 am,0,0.164,5.00
3/5/2025,03:00:00 am,0,0.161,5.00
3/5/2025,03:15:00 am,0,0.163,5.00
3/5/2025,03:30:00 am,0,0.162,5.00
3/5/2025,03:45:00 am,0,0.163,5.00
3/5/2025,04:00:00 am,0,0.166,5.00
3/5/2025,04:15:00 am,0,0.166,5.00
3/5/2025,04:30:00 am,0,0.168,5.00
3/5/2025,04:45:00 am,0,0.167,5.00
3/5/2025,05:00:00 am,0,0.167,5.00
3/5/2025,05:15:00 am,0,0.167,5.00
3/5/2025,05:30:00 am,0,0.168,5.00
3/5/2025,05:45:00 am,0,0.167,5.00
3/5/2025,06:00:00 am,0,0.168,5.00
3/5/2025,06:15:00 am,0,0.168,5.00
3/5/2025,06:30:00 am,0,0.166,5.00
3/5/2025,06:45:00 am,0,0.167,5.00
3/5/2025,07:00:00 am,0,0.168,5.00
3/5/2025,07:15:00 am,0,0.168,5.00
3/5/2025,07:30:00 am,0,0.170,5.00
3/5/2025,07:45:00 am,0,0.168,5.00
3/5/2025,08:00:00 am,0,0.169,5.00
3/5/2025,08:15:00 am,0,0.170,5.00
3/5/2025,08:30:00 am,0,0.167,4.90
3/5/2025,08:45:00 am,0,0.166,4.90
3/5/2025,09:00:00 am,0,0.165,4.90
3/5/2025,09:15:00 am,0,0.169,4.90
3/5/2025,09:30:00 am,0,0.169,4.90
3/5/2025,09:45:00 am,0,0.168,4.90
3/5/2025,10:00:00 am,0,0.169,4.90
3/5/2025,10:15:00 am,0,0.166,4.90
3/5/2025,10:30:00 am,0,0.167,4.90
3/5/2025,10:45:00 am,0,0.164,4.90
3/5/2025,11:00:00 am,0,0.165,4.90
