Serial_number:
2036199
Project ID:
ACRE Wetland
Location:
Inlet B
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
12/9/2021,10:30:00 am,0,21.5,7.40
12/9/2021,10:45:00 am,0,21.5,7.60
12/9/2021,11:00:00 am,0,21.5,7.60
12/9/2021,11:15:00 am,0,21.2,7.60
12/9/2021,11:30:00 am,0,21.4,7.60
12/9/2021,11:45:00 am,0,21.3,7.60
12/9/2021,12:00:00 pm,0,21.3,7.60
12/9/2021,12:15:00 pm,0,21.2,7.60
12/9/2021,12:30:00 pm,0,21.4,7.60
12/9/2021,12:45:00 pm,0,21.4,7.70
12/9/2021,01:00:00 pm,0,21.3,7.70
12/9/2021,01:15:00 pm,0,21.6,7.70
12/9/2021,01:30:00 pm,0,21.5,7.70
12/9/2021,01:45:00 pm,0,21.6,7.70
12/9/2021,02:00:00 pm,0,21.6,7.70
12/9/2021,02:15:00 pm,0,21.5,7.70
12/9/2021,02:30:00 pm,0,21.7,7.80
12/9/2021,02:45:00 pm,0,21.5,7.80
12/9/2021,03:00:00 pm,0,21.5,7.80
12/9/2021,03:15:00 pm,0,21.6,7.80
12/9/2021,03:30:00 pm,0,21.5,7.80
12/9/2021,03:45:00 pm,0,21.6,7.90
12/9/2021,04:00:00 pm,0,21.5,7.90
12/9/2021,04:15:00 pm,0,21.6,7.90
12/9/2021,04:30:00 pm,0,21.7,7.90
12/9/2021,04:45:00 pm,0,21.7,8.00
12/9/2021,05:00:00 pm,0,21.8,8.00
12/9/2021,05:15:00 pm,0,21.7,8.00
12/9/2021,05:30:00 pm,0,21.9,8.00
12/9/2021,05:45:00 pm,0,21.7,8.00
12/9/2021,06:00:00 pm,0,21.9,8.10
12/9/2021,06:15:00 pm,0,21.7,8.10
12/9/2021,06:30:00 pm,0,21.9,8.10
12/9/2021,06:45:00 pm,0,21.7,8.10
12/9/2021,07:00:00 pm,0,21.7,8.20
12/9/2021,07:15:00 pm,0,21.8,8.20
12/9/2021,07:30:00 pm,0,21.7,8.20
12/9/2021,07:45:00 pm,0,21.7,8.20
12/9/2021,08:00:00 pm,0,21.4,8.20
12/9/2021,08:15:00 pm,0,21.5,8.20
12/9/2021,08:30:00 pm,0,21.4,8.20
12/9/2021,08:45:00 pm,0,21.6,8.30
12/9/2021,09:00:00 pm,0,21.5,8.30
12/9/2021,09:15:00 pm,0,21.2,8.30
12/9/2021,09:30:00 pm,0,21.4,8.30
12/9/2021,09:45:00 pm,0,21.2,8.30
12/9/2021,10:00:00 pm,0,21.1,8.20
12/9/2021,10:15:00 pm,0,21.3,8.20
12/9/2021,10:30:00 pm,0,21.3,8.20
12/9/2021,10:45:00 pm,0,21.2,8.20
12/9/2021,11:00:00 pm,0,21.3,8.20
12/9/2021,11:15:00 pm,0,21.2,8.20
12/9/2021,11:30:00 pm,0,21.1,8.20
12/9/2021,11:45:00 pm,0,21.1,8.20
12/10/2021,12:00:00 am,0,20.9,8.20
12/10/2021,12:15:00 am,0,21.0,8.20
12/10/2021,12:30:00 am,0,21.0,8.20
12/10/2021,12:45:00 am,0,20.9,8.20
12/10/2021,01:00:00 am,0,21.0,8.20
12/10/2021,01:15:00 am,0,20.9,8.20
12/10/2021,01:30:00 am,0,21.1,8.20
12/10/2021,01:45:00 am,0,21.2,8.20
12/10/2021,02:00:00 am,0,21.2,8.20
12/10/2021,02:15:00 am,0,21.1,8.20
12/10/2021,02:30:00 am,0,21.0,8.20
12/10/2021,02:45:00 am,0,21.1,8.20
12/10/2021,03:00:00 am,0,20.8,8.20
12/10/2021,03:15:00 am,0,20.9,8.20
12/10/2021,03:30:00 am,0,20.9,8.20
12/10/2021,03:45:00 am,0,21.0,8.20
12/10/2021,04:00:00 am,0,20.9,8.20
12/10/2021,04:15:00 am,0,20.8,8.20
12/10/2021,04:30:00 am,0,21.1,8.30
12/10/2021,04:45:00 am,0,20.8,8.30
12/10/2021,05:00:00 am,0,21.0,8.30
12/10/2021,05:15:00 am,0,20.9,8.30
12/10/2021,05:30:00 am,0,20.8,8.30
12/10/2021,05:45:00 am,0,20.9,8.30
12/10/2021,06:00:00 am,0,20.9,8.30
12/10/2021,06:15:00 am,0,20.7,8.30
12/10/2021,06:30:00 am,0,20.7,8.30
12/10/2021,06:45:00 am,0,20.7,8.30
12/10/2021,07:00:00 am,0,20.9,8.30
12/10/2021,07:15:00 am,0,20.8,8.30
12/10/2021,07:30:00 am,0,20.7,8.30
