Serial_number:
2036199
Project ID:
ACRE Wetland
Location:
Inlet B
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2024/09/17,13:00:00,0,0.009,17.70
2024/09/17,13:15:00,0,0.008,17.70
2024/09/17,13:30:00,0,0.010,17.70
2024/09/17,13:45:00,0,0.009,17.70
2024/09/17,14:00:00,0,0.007,17.70
2024/09/17,14:15:00,0,0.006,17.70
2024/09/17,14:30:00,0,0.005,17.80
2024/09/17,14:45:00,0,0.006,17.80
2024/09/17,15:00:00,0,0.005,17.80
2024/09/17,15:15:00,0,0.007,17.80
2024/09/17,15:30:00,0,0.006,17.80
2024/09/17,15:45:00,0,0.007,17.90
2024/09/17,16:00:00,0,0.002,17.90
2024/09/17,16:15:00,0,-0.005,17.90
2024/09/17,16:30:00,0,-0.004,17.90
2024/09/17,16:45:00,0,-0.005,18.00
2024/09/17,17:00:00,0,-0.008,18.00
2024/09/17,17:15:00,0,-0.006,18.00
2024/09/17,17:30:00,0,-0.006,18.00
2024/09/17,17:45:00,0,-0.008,18.00
2024/09/17,18:00:00,0,-0.008,18.10
2024/09/17,18:15:00,0,-0.008,18.10
2024/09/17,18:30:00,0,-0.011,18.10
2024/09/17,18:45:00,0,-0.011,18.10
2024/09/17,19:00:00,0,-0.012,18.10
2024/09/17,19:15:00,0,-0.013,18.10
2024/09/17,19:30:00,0,-0.010,18.20
2024/09/17,19:45:00,0,-0.013,18.20
2024/09/17,20:00:00,0,-0.013,18.20
2024/09/17,20:15:00,0,-0.011,18.20
2024/09/17,20:30:00,0,-0.008,18.10
2024/09/17,20:45:00,0,-0.006,18.10
2024/09/17,21:00:00,0,-0.006,18.10
2024/09/17,21:15:00,0,-0.006,18.10
2024/09/17,21:30:00,0,-0.007,18.20
2024/09/17,21:45:00,0,-0.007,18.20
2024/09/17,22:00:00,0,-0.007,18.20
2024/09/17,22:15:00,0,-0.008,18.10
2024/09/17,22:30:00,0,-0.009,18.10
2024/09/17,22:45:00,0,-0.005,18.10
2024/09/17,23:00:00,0,-0.008,18.00
2024/09/17,23:15:00,0,-0.010,18.00
2024/09/17,23:30:00,0,-0.008,18.00
2024/09/17,23:45:00,0,-0.006,17.90
2024/09/18,00:00:00,0,-0.003,17.90
2024/09/18,00:15:00,0,-0.005,17.90
2024/09/18,00:30:00,0,-0.008,17.80
2024/09/18,00:45:00,0,-0.008,17.80
2024/09/18,01:00:00,0,-0.008,17.80
2024/09/18,01:15:00,0,-0.008,17.70
2024/09/18,01:30:00,0,-0.008,17.70
2024/09/18,01:45:00,0,-0.009,17.70
2024/09/18,02:00:00,0,-0.008,17.60
2024/09/18,02:15:00,0,-0.010,17.60
2024/09/18,02:30:00,0,-0.009,17.60
2024/09/18,02:45:00,0,-0.009,17.60
2024/09/18,03:00:00,0,-0.010,17.60
2024/09/18,03:15:00,0,-0.013,17.50
