Serial_number:
2036204
Project ID:
ACRE Wetland
Location:
Outlet
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/25/2025,01:45:00 pm,0,0.152,6.90
3/25/2025,02:00:00 pm,0,0.151,6.80
3/25/2025,02:15:00 pm,0,0.155,6.80
3/25/2025,02:30:00 pm,0,0.153,6.80
3/25/2025,02:45:00 pm,0,0.156,6.80
3/25/2025,03:00:00 pm,0,0.155,6.80
3/25/2025,03:15:00 pm,0,0.152,6.80
3/25/2025,03:30:00 pm,0,0.154,6.80
3/25/2025,03:45:00 pm,0,0.152,6.80
3/25/2025,04:00:00 pm,0,0.149,6.80
3/25/2025,04:15:00 pm,0,0.148,6.80
3/25/2025,04:30:00 pm,0,0.148,6.80
3/25/2025,04:45:00 pm,0,0.151,6.90
3/25/2025,05:00:00 pm,0,0.150,6.90
3/25/2025,05:15:00 pm,0,0.153,6.90
3/25/2025,05:30:00 pm,0,0.151,6.90
3/25/2025,05:45:00 pm,0,0.151,6.90
3/25/2025,06:00:00 pm,0,0.152,6.90
3/25/2025,06:15:00 pm,0,0.151,6.90
3/25/2025,06:30:00 pm,0,0.153,7.00
3/25/2025,06:45:00 pm,0,0.154,7.00
3/25/2025,07:00:00 pm,0,0.153,7.00
3/25/2025,07:15:00 pm,0,0.155,7.00
3/25/2025,07:30:00 pm,0,0.154,7.00
3/25/2025,07:45:00 pm,0,0.155,7.00
3/25/2025,08:00:00 pm,0,0.153,6.90
3/25/2025,08:15:00 pm,0,0.154,6.90
3/25/2025,08:30:00 pm,0,0.153,6.80
3/25/2025,08:45:00 pm,0,0.154,6.80
3/25/2025,09:00:00 pm,0,0.152,6.70
3/25/2025,09:15:00 pm,0,0.154,6.70
3/25/2025,09:30:00 pm,0,0.154,6.60
3/25/2025,09:45:00 pm,0,0.154,6.50
3/25/2025,10:00:00 pm,0,0.155,6.50
3/25/2025,10:15:00 pm,0,0.155,6.40
3/25/2025,10:30:00 pm,0,0.156,6.30
3/25/2025,10:45:00 pm,0,0.155,6.20
3/25/2025,11:00:00 pm,0,0.154,6.20
3/25/2025,11:15:00 pm,0,0.153,6.10
3/25/2025,11:30:00 pm,0,0.157,6.10
3/25/2025,11:45:00 pm,0,0.155,6.00
3/26/2025,12:00:00 am,0,0.154,5.90
3/26/2025,12:15:00 am,0,0.157,5.90
3/26/2025,12:30:00 am,0,0.155,5.80
3/26/2025,12:45:00 am,0,0.156,5.80
3/26/2025,01:00:00 am,0,0.155,5.70
3/26/2025,01:15:00 am,0,0.156,5.70
