Serial_number:
2036204
Project ID:
ACRE Wetland
Location:
Outlet
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2025/05/13,07:15:00,0,0.173,12.60
2025/05/13,07:30:00,0,0.173,12.60
2025/05/13,07:45:00,0,0.172,12.50
2025/05/13,08:00:00,0,0.172,12.50
2025/05/13,08:15:00,0,0.171,12.50
2025/05/13,08:30:00,0,0.171,12.50
2025/05/13,08:45:00,0,0.170,12.50
2025/05/13,09:00:00,0,0.170,12.60
2025/05/13,09:15:00,0,0.169,12.60
2025/05/13,09:30:00,0,0.169,12.60
2025/05/13,09:45:00,0,0.168,12.60
2025/05/13,10:00:00,0,0.168,12.60
2025/05/13,10:15:00,0,0.165,12.60
2025/05/13,10:30:00,0,0.165,12.60
2025/05/13,10:45:00,0,0.166,12.60
2025/05/13,11:00:00,0,0.163,12.60
2025/05/13,11:15:00,0,0.167,12.70
2025/05/13,11:30:00,0,0.164,12.70
2025/05/13,11:45:00,0,0.165,12.70
2025/05/13,12:00:00,0,0.164,12.70
2025/05/13,12:15:00,0,0.164,12.70
2025/05/13,12:30:00,0,0.166,12.70
2025/05/13,12:45:00,0,0.165,12.70
2025/05/13,13:00:00,0,0.166,12.70
2025/05/13,13:15:00,0,0.165,12.80
2025/05/13,13:30:00,0,0.166,12.80
2025/05/13,13:45:00,0,0.167,12.80
2025/05/13,14:00:00,0,0.170,12.80
2025/05/13,14:15:00,0,0.170,12.80
2025/05/13,14:30:00,0,0.170,12.80
2025/05/13,14:45:00,0,0.171,12.90
2025/05/13,15:00:00,0,0.168,12.90
2025/05/13,15:15:00,0,0.168,12.90
2025/05/13,15:30:00,0,0.167,12.90
2025/05/13,15:45:00,0,0.166,12.90
2025/05/13,16:00:00,0,0.168,13.00
2025/05/13,16:15:00,0,0.166,13.00
2025/05/13,16:30:00,0,0.167,13.00
2025/05/13,16:45:00,0,0.168,13.00
2025/05/13,17:00:00,0,0.165,13.00
2025/05/13,17:15:00,0,0.166,13.00
2025/05/13,17:30:00,0,0.166,13.10
2025/05/13,17:45:00,0,0.168,13.10
2025/05/13,18:00:00,0,0.168,13.10
2025/05/13,18:15:00,0,0.166,13.10
2025/05/13,18:30:00,0,0.167,13.10
2025/05/13,18:45:00,0,0.167,13.10
2025/05/13,19:00:00,0,0.166,13.10
2025/05/13,19:15:00,0,0.165,13.10
2025/05/13,19:30:00,0,0.165,13.10
2025/05/13,19:45:00,0,0.164,13.10
2025/05/13,20:00:00,0,0.165,13.10
2025/05/13,20:15:00,0,0.166,13.10
2025/05/13,20:30:00,0,0.165,13.10
2025/05/13,20:45:00,0,0.164,13.10
2025/05/13,21:00:00,0,0.164,13.10
2025/05/13,21:15:00,0,0.166,13.10
2025/05/13,21:30:00,0,0.166,13.10
2025/05/13,21:45:00,0,0.163,13.10
2025/05/13,22:00:00,0,0.164,13.10
2025/05/13,22:15:00,0,0.166,13.10
2025/05/13,22:30:00,0,0.163,13.10
2025/05/13,22:45:00,0,0.163,13.10
2025/05/13,23:00:00,0,0.163,13.10
2025/05/13,23:15:00,0,0.164,13.10
2025/05/13,23:30:00,0,0.164,13.10
2025/05/13,23:45:00,0,0.164,13.10
2025/05/14,00:00:00,0,0.164,13.10
2025/05/14,00:15:00,0,0.164,13.10
2025/05/14,00:30:00,0,0.165,13.10
2025/05/14,00:45:00,0,0.163,13.10
2025/05/14,01:00:00,0,0.166,13.10
2025/05/14,01:15:00,0,0.164,13.10
2025/05/14,01:30:00,0,0.164,13.00
2025/05/14,01:45:00,0,0.163,13.00
2025/05/14,02:00:00,0,0.164,13.00
2025/05/14,02:15:00,0,0.162,13.00
2025/05/14,02:30:00,0,0.164,13.00
2025/05/14,02:45:00,0,0.164,13.00
2025/05/14,03:00:00,0,0.165,13.00
2025/05/14,03:15:00,0,0.163,13.00
2025/05/14,03:30:00,0,0.163,13.00
2025/05/14,03:45:00,0,0.164,13.00
2025/05/14,04:00:00,0,0.166,13.00
2025/05/14,04:15:00,0,0.165,13.00
2025/05/14,04:30:00,0,0.162,12.90
2025/05/14,04:45:00,0,0.164,12.90
2025/05/14,05:00:00,0,0.162,12.90
2025/05/14,05:15:00,0,0.162,12.90
2025/05/14,05:30:00,0,0.164,12.90
2025/05/14,05:45:00,0,0.162,12.90
2025/05/14,06:00:00,0,0.162,12.90
2025/05/14,06:15:00,0,0.163,12.90
2025/05/14,06:30:00,0,0.162,12.90
2025/05/14,06:45:00,0,0.165,12.90
2025/05/14,07:00:00,0,0.163,12.90
2025/05/14,07:15:00,0,0.165,12.90
2025/05/14,07:30:00,0,0.161,12.80
2025/05/14,07:45:00,0,0.161,12.80
2025/05/14,08:00:00,0,0.163,12.80
2025/05/14,08:15:00,0,0.162,12.80
2025/05/14,08:30:00,0,0.162,12.80
2025/05/14,08:45:00,0,0.161,12.80
2025/05/14,09:00:00,0,0.164,12.80
2025/05/14,09:15:00,0,0.163,12.80
2025/05/14,09:30:00,0,0.163,12.80
2025/05/14,09:45:00,0,0.164,12.80
2025/05/14,10:00:00,0,0.161,12.80
2025/05/14,10:15:00,0,0.163,12.80
2025/05/14,10:30:00,0,0.162,12.80
2025/05/14,10:45:00,0,0.163,12.80
2025/05/14,11:00:00,0,0.165,12.80
2025/05/14,11:15:00,0,0.164,12.80
2025/05/14,11:30:00,0,0.166,12.80
2025/05/14,11:45:00,0,0.167,12.90
2025/05/14,12:00:00,0,0.168,12.90
2025/05/14,12:15:00,0,0.167,12.90
2025/05/14,12:30:00,0,0.168,12.90
2025/05/14,12:45:00,0,0.168,12.90
2025/05/14,13:00:00,0,0.167,12.90
2025/05/14,13:15:00,0,0.168,12.90
2025/05/14,13:30:00,0,0.166,12.90
2025/05/14,13:45:00,0,0.168,13.00
2025/05/14,14:00:00,0,0.170,13.00
2025/05/14,14:15:00,0,0.169,13.00
2025/05/14,14:30:00,0,0.169,13.00
2025/05/14,14:45:00,0,0.171,13.10
2025/05/14,15:00:00,0,0.170,13.10
2025/05/14,15:15:00,0,0.172,13.10
2025/05/14,15:30:00,0,0.167,13.10
2025/05/14,15:45:00,0,0.168,13.10
2025/05/14,16:00:00,0,0.170,13.20
2025/05/14,16:15:00,0,0.167,13.20
2025/05/14,16:30:00,0,0.168,13.20
2025/05/14,16:45:00,0,0.166,13.20
2025/05/14,17:00:00,0,0.166,13.20
2025/05/14,17:15:00,0,0.169,13.30
2025/05/14,17:30:00,0,0.166,13.30
2025/05/14,17:45:00,0,0.167,13.30
2025/05/14,18:00:00,0,0.165,13.30
2025/05/14,18:15:00,0,0.165,13.30
2025/05/14,18:30:00,0,0.166,13.30
2025/05/14,18:45:00,0,0.166,13.30
2025/05/14,19:00:00,0,0.165,13.30
2025/05/14,19:15:00,0,0.167,13.30
2025/05/14,19:30:00,0,0.164,13.30
2025/05/14,19:45:00,0,0.166,13.40
2025/05/14,20:00:00,0,0.165,13.40
2025/05/14,20:15:00,0,0.165,13.40
2025/05/14,20:30:00,0,0.165,13.40
2025/05/14,20:45:00,0,0.167,13.40
2025/05/14,21:00:00,0,0.166,13.40
2025/05/14,21:15:00,0,0.165,13.40
2025/05/14,21:30:00,0,0.164,13.40
2025/05/14,21:45:00,0,0.164,13.40
2025/05/14,22:00:00,0,0.163,13.40
2025/05/14,22:15:00,0,0.163,13.40
2025/05/14,22:30:00,0,0.165,13.40
2025/05/14,22:45:00,0,0.165,13.40
2025/05/14,23:00:00,0,0.165,13.40
2025/05/14,23:15:00,0,0.166,13.40
2025/05/14,23:30:00,0,0.166,13.40
2025/05/14,23:45:00,0,0.166,13.40
2025/05/15,00:00:00,0,0.166,13.40
