Date,Time,ms,LEVEL (m),TEMPERATURE (degC),Date_P,Time_P,Date_Time
9/23/2021,07:00:00 pm,0,0.05,15.8,2021-09-23,19:00:00,2021-09-23 19:00:00
9/23/2021,07:15:00 pm,0,0.045,15.7,2021-09-23,19:15:00,2021-09-23 19:15:00
9/23/2021,07:30:00 pm,0,0.044000000000000004,15.7,2021-09-23,19:30:00,2021-09-23 19:30:00
9/23/2021,07:45:00 pm,0,0.043,15.7,2021-09-23,19:45:00,2021-09-23 19:45:00
9/23/2021,08:00:00 pm,0,0.042,15.7,2021-09-23,20:00:00,2021-09-23 20:00:00
9/23/2021,08:15:00 pm,0,0.04,15.6,2021-09-23,20:15:00,2021-09-23 20:15:00
9/23/2021,08:30:00 pm,0,0.04,15.6,2021-09-23,20:30:00,2021-09-23 20:30:00
9/23/2021,08:45:00 pm,0,0.038,15.6,2021-09-23,20:45:00,2021-09-23 20:45:00
9/23/2021,09:00:00 pm,0,0.034,15.5,2021-09-23,21:00:00,2021-09-23 21:00:00
9/23/2021,09:15:00 pm,0,0.034,15.5,2021-09-23,21:15:00,2021-09-23 21:15:00
9/23/2021,09:30:00 pm,0,0.028999999999999998,15.4,2021-09-23,21:30:00,2021-09-23 21:30:00
9/23/2021,09:45:00 pm,0,0.027000000000000003,15.3,2021-09-23,21:45:00,2021-09-23 21:45:00
9/23/2021,10:00:00 pm,0,0.026000000000000002,15.2,2021-09-23,22:00:00,2021-09-23 22:00:00
9/23/2021,10:15:00 pm,0,0.026000000000000002,15.1,2021-09-23,22:15:00,2021-09-23 22:15:00
9/23/2021,10:30:00 pm,0,0.023,15.0,2021-09-23,22:30:00,2021-09-23 22:30:00
9/23/2021,10:45:00 pm,0,0.022000000000000002,15.0,2021-09-23,22:45:00,2021-09-23 22:45:00
9/23/2021,11:00:00 pm,0,0.02,14.9,2021-09-23,23:00:00,2021-09-23 23:00:00
9/23/2021,11:15:00 pm,0,0.017,14.8,2021-09-23,23:15:00,2021-09-23 23:15:00
9/23/2021,11:30:00 pm,0,0.016,14.8,2021-09-23,23:30:00,2021-09-23 23:30:00
9/23/2021,11:45:00 pm,0,0.013000000000000001,14.7,2021-09-23,23:45:00,2021-09-23 23:45:00
9/24/2021,12:00:00 am,0,0.013000000000000001,14.6,2021-09-24,00:00:00,2021-09-24 00:00:00
