Serial_number:
2036199
Project ID:
ACRE Wetland
Location:
Inlet B
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2021/08/31,20:02:03,0,1002.0,21.30
2021/08/31,20:17:03,0,1004.7,21.40
2021/08/31,20:32:03,0,1004.4,21.10
2021/08/31,20:47:03,0,1004.4,20.90
2021/08/31,21:02:03,0,1004.7,20.80
2021/08/31,21:17:03,0,1004.7,20.80
2021/08/31,21:32:03,0,1004.7,20.70
2021/08/31,21:47:03,0,1004.7,20.70
2021/08/31,22:02:03,0,1004.7,20.70
2021/08/31,22:17:03,0,1004.4,20.60
2021/08/31,22:32:03,0,1004.7,20.60
2021/08/31,22:47:03,0,1004.7,20.60
2021/08/31,23:02:03,0,1004.7,20.50
2021/08/31,23:17:03,0,1004.7,20.50
2021/08/31,23:32:03,0,1004.7,20.50
2021/08/31,23:47:03,0,1004.7,20.40
2021/09/01,00:02:03,0,1004.7,20.40
2021/09/01,00:17:03,0,1004.4,20.40
2021/09/01,00:32:03,0,1004.4,20.30
2021/09/01,00:47:03,0,1004.4,20.30
2021/09/01,01:02:03,0,1004.1,20.30
2021/09/01,01:17:03,0,1004.1,20.30
2021/09/01,01:32:03,0,1004.1,20.20
2021/09/01,01:47:03,0,1004.1,20.20
2021/09/01,02:02:03,0,1004.1,20.20
2021/09/01,02:17:03,0,1003.8,20.10
2021/09/01,02:32:03,0,1003.8,20.10
2021/09/01,02:47:03,0,1004.1,20.10
2021/09/01,03:02:03,0,1003.8,20.10
2021/09/01,03:17:03,0,1003.8,20.00
2021/09/01,03:32:03,0,1003.8,20.00
2021/09/01,03:47:03,0,1003.8,20.00
2021/09/01,04:02:03,0,1004.1,20.00
2021/09/01,04:17:03,0,1004.1,19.90
2021/09/01,04:32:03,0,1004.1,19.90
2021/09/01,04:47:03,0,1004.4,19.90
2021/09/01,05:02:03,0,1004.4,19.80
2021/09/01,05:17:03,0,1004.4,19.80
2021/09/01,05:32:03,0,1004.4,19.80
2021/09/01,05:47:03,0,1004.4,19.70
2021/09/01,06:02:03,0,1004.7,19.70
2021/09/01,06:17:03,0,1004.7,19.70
2021/09/01,06:32:03,0,1004.7,19.60
2021/09/01,06:47:03,0,1005.0,19.60
2021/09/01,07:02:03,0,1005.0,19.60
2021/09/01,07:17:03,0,1005.3,19.60
2021/09/01,07:32:03,0,1005.6,19.50
2021/09/01,07:47:03,0,1005.6,19.50
2021/09/01,08:02:03,0,1005.9,19.50
2021/09/01,08:17:03,0,1006.2,19.50
2021/09/01,08:32:03,0,1006.2,19.50
2021/09/01,08:47:03,0,1006.5,19.50
2021/09/01,09:02:03,0,1006.5,19.50
2021/09/01,09:17:03,0,1006.5,19.40
2021/09/01,09:32:03,0,1006.5,19.40
2021/09/01,09:47:03,0,1006.8,19.40
2021/09/01,10:02:03,0,1006.8,19.40
2021/09/01,10:17:03,0,1006.8,19.40
2021/09/01,10:32:03,0,1006.8,19.40
2021/09/01,10:47:03,0,1007.1,19.40
2021/09/01,11:02:03,0,1006.8,19.40
2021/09/01,11:17:03,0,1006.8,19.40
2021/09/01,11:32:03,0,1006.8,19.40
2021/09/01,11:47:03,0,1006.5,19.40
2021/09/01,12:02:03,0,1006.8,19.50
2021/09/01,12:17:03,0,1006.5,19.50
2021/09/01,12:32:03,0,1006.2,19.50
2021/09/01,12:47:03,0,1006.2,19.50
2021/09/01,13:02:03,0,1007.4,19.50
2021/09/01,13:17:03,0,1006.8,19.50
2021/09/01,13:32:03,0,1006.2,19.50
2021/09/01,13:47:03,0,1005.9,19.50
2021/09/01,14:02:03,0,1005.6,19.50
2021/09/01,14:17:03,0,1005.3,19.50
2021/09/01,14:32:03,0,1005.3,19.50
2021/09/01,14:47:03,0,1005.3,19.50
2021/09/01,15:02:03,0,1005.3,19.60
2021/09/01,15:17:03,0,1005.0,19.60
2021/09/01,15:32:03,0,1005.0,19.60
2021/09/01,15:47:03,0,1005.0,19.60
2021/09/01,16:02:03,0,1004.7,19.60
2021/09/01,16:17:03,0,1004.4,19.60
2021/09/01,16:32:03,0,1004.4,19.60
2021/09/01,16:47:03,0,1004.4,19.70
2021/09/01,17:02:03,0,1004.1,19.70
2021/09/01,17:17:03,0,1004.4,19.70
2021/09/01,17:32:03,0,1004.4,19.70
2021/09/01,17:47:03,0,1004.1,19.70
2021/09/01,18:02:03,0,1004.1,19.70
2021/09/01,18:17:03,0,1004.1,19.70
2021/09/01,18:32:03,0,1004.1,19.70
2021/09/01,18:47:03,0,1004.4,19.70
2021/09/01,19:02:03,0,1004.7,19.70
2021/09/01,19:17:03,0,1004.4,19.70
2021/09/01,19:32:03,0,1004.1,19.70
2021/09/01,19:47:03,0,1004.1,19.70
2021/09/01,20:02:03,0,1004.1,19.70
2021/09/01,20:17:03,0,1004.4,19.70
2021/09/01,20:32:03,0,1004.1,19.70
2021/09/01,20:47:03,0,1004.4,19.70
2021/09/01,21:02:03,0,1004.7,19.70
2021/09/01,21:17:03,0,1004.7,19.60
2021/09/01,21:32:03,0,1005.0,19.50
2021/09/01,21:47:03,0,1005.0,19.50
2021/09/01,22:02:03,0,1005.0,19.40
2021/09/01,22:17:03,0,1005.0,19.40
2021/09/01,22:32:03,0,1005.3,19.30
2021/09/01,22:47:03,0,1005.3,19.30
2021/09/01,23:02:03,0,1005.6,19.20
2021/09/01,23:17:03,0,1005.6,19.20
2021/09/01,23:32:03,0,1005.6,19.10
2021/09/01,23:47:03,0,1005.3,19.10
2021/09/02,00:02:03,0,1005.3,19.00
2021/09/02,00:17:03,0,1005.6,19.00
2021/09/02,00:32:03,0,1005.9,19.00
2021/09/02,00:47:03,0,1006.5,19.00
2021/09/02,01:02:03,0,1005.9,18.90
2021/09/02,01:17:03,0,1005.9,18.90
2021/09/02,01:32:03,0,1005.9,18.80
2021/09/02,01:47:03,0,1006.2,18.80
2021/09/02,02:02:03,0,1006.2,18.80
2021/09/02,02:17:03,0,1005.9,18.70
2021/09/02,02:32:03,0,1005.9,18.70
2021/09/02,02:47:03,0,1005.9,18.60
2021/09/02,03:02:03,0,1006.2,18.60
2021/09/02,03:17:03,0,1005.9,18.50
2021/09/02,03:32:03,0,1006.2,18.50
2021/09/02,03:47:03,0,1006.5,18.50
2021/09/02,04:02:03,0,1006.5,18.40
2021/09/02,04:17:03,0,1006.5,18.40
2021/09/02,04:32:03,0,1006.5,18.40
2021/09/02,04:47:03,0,1006.5,18.30
2021/09/02,05:02:03,0,1006.5,18.30
2021/09/02,05:17:03,0,1007.1,18.20
2021/09/02,05:32:03,0,1007.7,18.20
2021/09/02,05:47:03,0,1007.4,18.20
2021/09/02,06:02:03,0,1007.4,18.10
2021/09/02,06:17:03,0,1007.4,18.10
2021/09/02,06:32:03,0,1007.1,18.00
2021/09/02,06:47:03,0,1007.1,18.00
2021/09/02,07:02:03,0,1012.8,18.00
2021/09/02,07:17:03,0,1012.8,17.90
2021/09/02,07:32:03,0,1012.8,17.90
2021/09/02,07:47:03,0,1013.1,17.90
2021/09/02,08:02:03,0,1013.4,17.90
2021/09/02,08:17:03,0,1013.7,17.90
2021/09/02,08:32:03,0,1013.7,17.90
2021/09/02,08:47:03,0,1014.0,17.90
2021/09/02,09:02:03,0,1014.0,17.90
2021/09/02,09:17:03,0,1014.0,18.00
2021/09/02,09:32:03,0,1014.0,18.00
2021/09/02,09:47:03,0,1014.0,18.00
2021/09/02,10:02:03,0,1014.0,18.00
2021/09/02,10:17:03,0,1014.6,18.00
2021/09/02,10:32:03,0,1014.3,18.10
2021/09/02,10:47:03,0,1014.3,18.10
2021/09/02,11:02:03,0,1014.6,18.10
2021/09/02,11:17:03,0,1014.3,18.10
2021/09/02,11:32:03,0,1014.6,18.20
2021/09/02,11:47:03,0,1014.6,18.20
2021/09/02,12:02:03,0,1014.3,18.20
2021/09/02,12:17:03,0,1014.6,18.30
2021/09/02,12:32:03,0,1014.3,18.30
2021/09/02,12:47:03,0,1014.3,18.30
2021/09/02,13:02:03,0,1014.0,18.30
2021/09/02,13:17:03,0,1014.3,18.40
2021/09/02,13:32:03,0,1014.0,18.40
2021/09/02,13:47:03,0,1013.7,18.40
2021/09/02,14:02:03,0,1013.4,18.40
2021/09/02,14:17:03,0,1013.7,18.50
2021/09/02,14:32:03,0,1013.7,18.50
2021/09/02,14:47:03,0,1013.7,18.50
2021/09/02,15:02:03,0,1013.7,18.50
2021/09/02,15:17:03,0,1013.7,18.50
2021/09/02,15:32:03,0,1013.4,18.60
2021/09/02,15:47:03,0,1013.4,18.60
2021/09/02,16:02:03,0,1013.1,18.60
2021/09/02,16:17:03,0,1012.8,18.60
2021/09/02,16:32:03,0,1012.8,18.60
2021/09/02,16:47:03,0,1012.8,18.70
2021/09/02,17:02:03,0,1012.8,18.70
2021/09/02,17:17:03,0,1013.1,18.70
2021/09/02,17:32:03,0,1012.8,18.70
2021/09/02,17:47:03,0,1012.8,18.70
2021/09/02,18:02:03,0,1012.8,18.80
2021/09/02,18:17:03,0,1012.8,18.80
2021/09/02,18:32:03,0,1012.8,18.80
2021/09/02,18:47:03,0,1012.8,18.80
2021/09/02,19:02:03,0,1012.8,18.80
2021/09/02,19:17:03,0,1013.1,18.90
2021/09/02,19:32:03,0,1013.1,18.90
2021/09/02,19:47:03,0,1013.1,18.90
2021/09/02,20:02:03,0,1013.1,18.90
2021/09/02,20:17:03,0,1013.1,18.90
2021/09/02,20:32:03,0,1013.1,18.90
2021/09/02,20:47:03,0,1013.4,18.90
2021/09/02,21:02:03,0,1013.4,18.90
2021/09/02,21:17:03,0,1013.4,18.90
2021/09/02,21:32:03,0,1013.7,18.90
2021/09/02,21:47:03,0,1013.4,18.80
2021/09/02,22:02:03,0,1013.4,18.80
2021/09/02,22:17:03,0,1013.7,18.80
2021/09/02,22:32:03,0,1013.7,18.70
2021/09/02,22:47:03,0,1013.4,18.70
2021/09/02,23:02:03,0,1013.4,18.70
2021/09/02,23:17:03,0,1013.4,18.70
2021/09/02,23:32:03,0,1013.1,18.70
2021/09/02,23:47:03,0,1013.1,18.70
2021/09/03,00:02:03,0,1013.4,18.70
