Serial_number:
2036199
Project ID:
ACRE Wetland
Location:
Inlet B
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: �C
Date,Time,ms,LEVEL,TEMPERATURE
1/27/2022,6:00:00 PM,0,1016.4,1.3
1/27/2022,6:15:00 PM,0,1031.1,2.4
1/27/2022,6:30:00 PM,0,1031.7,3
1/27/2022,6:45:00 PM,0,1032,3.1
1/27/2022,7:00:00 PM,0,1032,3.2
1/27/2022,7:15:00 PM,0,1032.3,3.3
1/27/2022,7:30:00 PM,0,1032.3,3.3
1/27/2022,7:45:00 PM,0,1032.3,3.3
1/27/2022,8:00:00 PM,0,1032.6,3.4
1/27/2022,8:15:00 PM,0,1032.6,3.4
1/27/2022,8:30:00 PM,0,1032.6,3.4
1/27/2022,8:45:00 PM,0,1032.6,3.4
1/27/2022,9:00:00 PM,0,1032.9,3.5
1/27/2022,9:15:00 PM,0,1032.6,3.5
1/27/2022,9:30:00 PM,0,1032.9,3.5
1/27/2022,9:45:00 PM,0,1032.6,3.5
1/27/2022,10:00:00 PM,0,1032.6,3.5
1/27/2022,10:15:00 PM,0,1032.6,3.6
1/27/2022,10:30:00 PM,0,1032.3,3.6
1/27/2022,10:45:00 PM,0,1032.6,3.6
1/27/2022,11:00:00 PM,0,1032.6,3.6
1/27/2022,11:15:00 PM,0,1032.6,3.6
1/27/2022,11:30:00 PM,0,1032.6,3.6
1/27/2022,11:45:00 PM,0,1032.6,3.6
1/28/2022,12:00:00 AM,0,1032.9,3.6
1/28/2022,12:15:00 AM,0,1032.9,3.6
1/28/2022,12:30:00 AM,0,1032.9,3.6
1/28/2022,12:45:00 AM,0,1032.9,3.6
1/28/2022,1:00:00 AM,0,1032.6,3.6
1/28/2022,1:15:00 AM,0,1032.9,3.7
1/28/2022,1:30:00 AM,0,1032.6,3.7
1/28/2022,1:45:00 AM,0,1032.3,3.7
1/28/2022,2:00:00 AM,0,1032.3,3.7
1/28/2022,2:15:00 AM,0,1032.3,3.7
1/28/2022,2:30:00 AM,0,1032.3,3.7
1/28/2022,2:45:00 AM,0,1032.3,3.7
1/28/2022,3:00:00 AM,0,1032.3,3.7
1/28/2022,3:15:00 AM,0,1032.3,3.7
1/28/2022,3:30:00 AM,0,1032.3,3.7
1/28/2022,3:45:00 AM,0,1032.3,3.7
1/28/2022,4:00:00 AM,0,1032,3.7
1/28/2022,4:15:00 AM,0,1031.7,3.7
1/28/2022,4:30:00 AM,0,1031.7,3.7
1/28/2022,4:45:00 AM,0,1031.7,3.7
1/28/2022,5:00:00 AM,0,1031.7,3.7
1/28/2022,5:15:00 AM,0,1031.7,3.7
1/28/2022,5:30:00 AM,0,1031.7,3.7
1/28/2022,5:45:00 AM,0,1032,3.7
1/28/2022,6:00:00 AM,0,1032,3.8
1/28/2022,6:15:00 AM,0,1032,3.8
1/28/2022,6:30:00 AM,0,1032.3,3.8
1/28/2022,6:45:00 AM,0,1032.3,3.8
1/28/2022,7:00:00 AM,0,1032.6,3.8
1/28/2022,7:15:00 AM,0,1032.9,3.8
1/28/2022,7:30:00 AM,0,1033.2,3.8
1/28/2022,7:45:00 AM,0,1033.2,3.8
1/28/2022,8:00:00 AM,0,1033.2,3.8
1/28/2022,8:15:00 AM,0,1033.5,3.8
1/28/2022,8:30:00 AM,0,1033.5,3.8
1/28/2022,8:45:00 AM,0,1033.8,3.8
1/28/2022,9:00:00 AM,0,1033.8,3.8
1/28/2022,9:15:00 AM,0,1034.1,3.8
1/28/2022,9:30:00 AM,0,1034.1,3.8
1/28/2022,9:45:00 AM,0,1034.4,3.9
1/28/2022,10:00:00 AM,0,1034.4,3.9
1/28/2022,10:15:00 AM,0,1034.4,3.9
1/28/2022,10:30:00 AM,0,1034.4,3.9
1/28/2022,10:45:00 AM,0,1034.7,3.9
1/28/2022,11:00:00 AM,0,1035,3.9
1/28/2022,11:15:00 AM,0,1035,3.9
1/28/2022,11:30:00 AM,0,1035,3.9
1/28/2022,11:45:00 AM,0,1034.7,3.9
1/28/2022,12:00:00 PM,0,1035,3.9
1/28/2022,12:15:00 PM,0,1035,3.9
1/28/2022,12:30:00 PM,0,1034.7,4
1/28/2022,12:45:00 PM,0,1034.7,4
1/28/2022,1:00:00 PM,0,1034.7,4
1/28/2022,1:15:00 PM,0,1034.7,4
1/28/2022,1:30:00 PM,0,1034.7,4
1/28/2022,1:45:00 PM,0,1034.7,4
1/28/2022,2:00:00 PM,0,1034.7,4
1/28/2022,2:15:00 PM,0,1035,4.1
1/28/2022,2:30:00 PM,0,1034.7,4.1
1/28/2022,2:45:00 PM,0,1035,4.1
1/28/2022,3:00:00 PM,0,1035,4.1
1/28/2022,3:15:00 PM,0,1035,4.1
1/28/2022,3:30:00 PM,0,1035,4.1
1/28/2022,3:45:00 PM,0,1035,4.2
1/28/2022,4:00:00 PM,0,1035.3,4.2
1/28/2022,4:15:00 PM,0,1035.3,4.2
1/28/2022,4:30:00 PM,0,1035.3,4.2
1/28/2022,4:45:00 PM,0,1035.6,4.2
1/28/2022,5:00:00 PM,0,1035.6,4.2
