Serial_number:
2036204
Project ID:
ACRE Wetland
Location:
Outlet
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/25/2025,01:45:00 pm,0,10.272,6.90
3/25/2025,02:00:00 pm,0,10.269,6.80
3/25/2025,02:15:00 pm,0,10.272,6.80
3/25/2025,02:30:00 pm,0,10.269,6.80
3/25/2025,02:45:00 pm,0,10.272,6.80
3/25/2025,03:00:00 pm,0,10.272,6.80
3/25/2025,03:15:00 pm,0,10.269,6.80
3/25/2025,03:30:00 pm,0,10.272,6.80
3/25/2025,03:45:00 pm,0,10.272,6.80
3/25/2025,04:00:00 pm,0,10.269,6.80
3/25/2025,04:15:00 pm,0,10.269,6.80
3/25/2025,04:30:00 pm,0,10.269,6.80
3/25/2025,04:45:00 pm,0,10.272,6.90
3/25/2025,05:00:00 pm,0,10.272,6.90
3/25/2025,05:15:00 pm,0,10.275,6.90
3/25/2025,05:30:00 pm,0,10.275,6.90
3/25/2025,05:45:00 pm,0,10.275,6.90
3/25/2025,06:00:00 pm,0,10.278,6.90
3/25/2025,06:15:00 pm,0,10.278,6.90
3/25/2025,06:30:00 pm,0,10.281,7.00
3/25/2025,06:45:00 pm,0,10.284,7.00
3/25/2025,07:00:00 pm,0,10.284,7.00
3/25/2025,07:15:00 pm,0,10.287,7.00
3/25/2025,07:30:00 pm,0,10.287,7.00
3/25/2025,07:45:00 pm,0,10.290,7.00
3/25/2025,08:00:00 pm,0,10.290,6.90
3/25/2025,08:15:00 pm,0,10.293,6.90
3/25/2025,08:30:00 pm,0,10.296,6.80
3/25/2025,08:45:00 pm,0,10.299,6.80
3/25/2025,09:00:00 pm,0,10.299,6.70
3/25/2025,09:15:00 pm,0,10.302,6.70
3/25/2025,09:30:00 pm,0,10.302,6.60
3/25/2025,09:45:00 pm,0,10.302,6.50
3/25/2025,10:00:00 pm,0,10.302,6.50
3/25/2025,10:15:00 pm,0,10.302,6.40
3/25/2025,10:30:00 pm,0,10.302,6.30
3/25/2025,10:45:00 pm,0,10.302,6.20
3/25/2025,11:00:00 pm,0,10.302,6.20
3/25/2025,11:15:00 pm,0,10.302,6.10
3/25/2025,11:30:00 pm,0,10.305,6.10
3/25/2025,11:45:00 pm,0,10.302,6.00
3/26/2025,12:00:00 am,0,10.302,5.90
3/26/2025,12:15:00 am,0,10.308,5.90
3/26/2025,12:30:00 am,0,10.305,5.80
3/26/2025,12:45:00 am,0,10.305,5.80
3/26/2025,01:00:00 am,0,10.302,5.70
3/26/2025,01:15:00 am,0,10.305,5.70
3/26/2025,01:30:00 am,0,10.302,5.60
3/26/2025,01:45:00 am,0,10.302,5.60
3/26/2025,02:00:00 am,0,10.305,5.60
3/26/2025,02:15:00 am,0,10.305,5.50
3/26/2025,02:30:00 am,0,10.305,5.50
3/26/2025,02:45:00 am,0,10.305,5.50
3/26/2025,03:00:00 am,0,10.302,5.40
3/26/2025,03:15:00 am,0,10.302,5.40
3/26/2025,03:30:00 am,0,10.302,5.40
3/26/2025,03:45:00 am,0,10.305,5.40
3/26/2025,04:00:00 am,0,10.305,5.40
3/26/2025,04:15:00 am,0,10.305,5.30
3/26/2025,04:30:00 am,0,10.305,5.30
3/26/2025,04:45:00 am,0,10.308,5.30
3/26/2025,05:00:00 am,0,10.308,5.30
3/26/2025,05:15:00 am,0,10.308,5.30
3/26/2025,05:30:00 am,0,10.308,5.30
3/26/2025,05:45:00 am,0,10.311,5.30
