Date,Time,ms,LEVEL (m),TEMPERATURE (degC),Date_P,Time_P,Date_Time
2021/08/13,11:30:00,0,10.305,19.6,2021-08-13,11:30:00,2021-08-13 11:30:00
2021/08/13,11:45:00,0,10.302,19.5,2021-08-13,11:45:00,2021-08-13 11:45:00
2021/08/13,12:00:00,0,10.302,19.5,2021-08-13,12:00:00,2021-08-13 12:00:00
2021/08/13,12:15:00,0,10.302,19.5,2021-08-13,12:15:00,2021-08-13 12:15:00
2021/08/13,12:30:00,0,10.302,19.5,2021-08-13,12:30:00,2021-08-13 12:30:00
2021/08/13,12:45:00,0,10.302,19.5,2021-08-13,12:45:00,2021-08-13 12:45:00
2021/08/13,13:00:00,0,10.299000000000001,19.5,2021-08-13,13:00:00,2021-08-13 13:00:00
2021/08/13,13:15:00,0,10.299000000000001,19.5,2021-08-13,13:15:00,2021-08-13 13:15:00
2021/08/13,13:30:00,0,10.299000000000001,19.5,2021-08-13,13:30:00,2021-08-13 13:30:00
2021/08/13,13:45:00,0,10.299000000000001,19.5,2021-08-13,13:45:00,2021-08-13 13:45:00
2021/08/13,14:00:00,0,10.296,19.5,2021-08-13,14:00:00,2021-08-13 14:00:00
2021/08/13,14:15:00,0,10.296,19.5,2021-08-13,14:15:00,2021-08-13 14:15:00
2021/08/13,14:30:00,0,10.293,19.6,2021-08-13,14:30:00,2021-08-13 14:30:00
2021/08/13,14:45:00,0,10.293,19.6,2021-08-13,14:45:00,2021-08-13 14:45:00
2021/08/13,15:00:00,0,10.293,19.6,2021-08-13,15:00:00,2021-08-13 15:00:00
2021/08/13,15:15:00,0,10.29,19.6,2021-08-13,15:15:00,2021-08-13 15:15:00
2021/08/13,15:30:00,0,10.287,19.6,2021-08-13,15:30:00,2021-08-13 15:30:00
2021/08/13,15:45:00,0,10.287,19.7,2021-08-13,15:45:00,2021-08-13 15:45:00
2021/08/13,16:00:00,0,10.284,19.7,2021-08-13,16:00:00,2021-08-13 16:00:00
2021/08/13,16:15:00,0,10.280999999999999,19.7,2021-08-13,16:15:00,2021-08-13 16:15:00
2021/08/13,16:30:00,0,10.277999999999999,19.7,2021-08-13,16:30:00,2021-08-13 16:30:00
