Serial_number:,,,,
2036204,,,,
Project ID:,,,,
ACRE Wetland,,,,
Location:,,,,
Outlet,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
1/27/2022,5:30:30 PM,0,-0.01,2
1/27/2022,5:45:30 PM,0,-0.011,0.7
1/27/2022,6:00:30 PM,0,-0.01,0.1
1/27/2022,6:15:30 PM,0,-0.019,-0.1
1/27/2022,6:30:30 PM,0,-0.027,0
1/27/2022,6:45:30 PM,0,-0.027,0
1/27/2022,7:00:30 PM,0,-0.022,-0.2
1/27/2022,7:15:30 PM,0,-0.023,-0.3
1/27/2022,7:30:30 PM,0,-0.023,-0.4
1/27/2022,7:45:30 PM,0,-0.022,-0.4
1/27/2022,8:00:30 PM,0,-0.022,-0.4
1/27/2022,8:15:30 PM,0,-0.023,-0.4
1/27/2022,8:30:30 PM,0,-0.024,-0.5
1/27/2022,8:45:30 PM,0,-0.021,-0.5
1/27/2022,9:00:30 PM,0,-0.023,-0.5
1/27/2022,9:15:30 PM,0,-0.021,-0.5
1/27/2022,9:30:30 PM,0,-0.022,-0.6
1/27/2022,9:45:30 PM,0,-0.02,-0.6
1/27/2022,10:00:30 PM,0,-0.018,-0.7
1/27/2022,10:15:30 PM,0,-0.02,-0.8
1/27/2022,10:30:30 PM,0,-0.019,-0.9
1/27/2022,10:45:30 PM,0,-0.016,-1
1/27/2022,11:00:30 PM,0,-0.017,-1.1
1/27/2022,11:15:30 PM,0,-0.017,-1.1
1/27/2022,11:30:30 PM,0,-0.017,-1.1
1/27/2022,11:45:30 PM,0,-0.015,-1.2
1/28/2022,12:00:30 AM,0,-0.016,-1.3
1/28/2022,12:15:30 AM,0,-0.016,-1.3
1/28/2022,12:30:30 AM,0,-0.016,-1.3
1/28/2022,12:45:30 AM,0,-0.015,-1.3
1/28/2022,1:00:30 AM,0,-0.018,-1.3
1/28/2022,1:15:30 AM,0,-0.017,-1.3
1/28/2022,1:30:30 AM,0,-0.018,-1.3
1/28/2022,1:45:30 AM,0,-0.016,-1.3
1/28/2022,2:00:30 AM,0,-0.015,-1.4
1/28/2022,2:15:30 AM,0,-0.015,-1.4
1/28/2022,2:30:30 AM,0,-0.014,-1.5
1/28/2022,2:45:30 AM,0,-0.015,-1.6
1/28/2022,3:00:30 AM,0,-0.014,-1.6
1/28/2022,3:15:30 AM,0,-0.015,-1.6
1/28/2022,3:30:30 AM,0,-0.014,-1.6
1/28/2022,3:45:30 AM,0,-0.013,-1.5
1/28/2022,4:00:30 AM,0,-0.014,-1.5
1/28/2022,4:15:30 AM,0,-0.013,-1.5
1/28/2022,4:30:30 AM,0,-0.014,-1.6
1/28/2022,4:45:30 AM,0,-0.013,-1.6
1/28/2022,5:00:30 AM,0,-0.012,-1.6
1/28/2022,5:15:30 AM,0,-0.012,-1.7
1/28/2022,5:30:30 AM,0,-0.013,-1.7
1/28/2022,5:45:30 AM,0,-0.011,-1.7
1/28/2022,6:00:30 AM,0,-0.013,-1.7
1/28/2022,6:15:30 AM,0,-0.012,-1.8
1/28/2022,6:30:30 AM,0,-0.013,-1.8
1/28/2022,6:45:30 AM,0,-0.012,-1.8
1/28/2022,7:00:30 AM,0,-0.01,-2.1
1/28/2022,7:15:30 AM,0,-0.009,-2.4
1/28/2022,7:30:30 AM,0,-0.006,-2.6
1/28/2022,7:45:30 AM,0,-0.005,-2.7
1/28/2022,8:00:30 AM,0,-0.007,-2.9
1/28/2022,8:15:30 AM,0,-0.004,-3
1/28/2022,8:30:30 AM,0,-0.003,-3.1
1/28/2022,8:45:30 AM,0,-0.001,-3.2
1/28/2022,9:00:30 AM,0,-0.002,-3.4
1/28/2022,9:15:30 AM,0,0,-3.4
1/28/2022,9:30:30 AM,0,-0.002,-3.4
1/28/2022,9:45:30 AM,0,-0.002,-3.4
1/28/2022,10:00:30 AM,0,-0.005,-3.4
1/28/2022,10:15:30 AM,0,-0.003,-3.3
1/28/2022,10:30:30 AM,0,-0.005,-3.4
1/28/2022,10:45:30 AM,0,-0.006,-3.4
1/28/2022,11:00:30 AM,0,-0.006,-3.5
1/28/2022,11:15:30 AM,0,-0.007,-3.6
1/28/2022,11:30:30 AM,0,-0.004,-3.6
1/28/2022,11:45:30 AM,0,-0.003,-3.5
1/28/2022,12:00:30 PM,0,-0.007,-3.3
1/28/2022,12:15:30 PM,0,-0.01,-3.3
1/28/2022,12:30:30 PM,0,-0.008,-3.3
1/28/2022,12:45:30 PM,0,-0.007,-3.2
1/28/2022,1:00:30 PM,0,-0.009,-3.3
1/28/2022,1:15:30 PM,0,-0.008,-3.1
1/28/2022,1:30:30 PM,0,-0.011,-3
1/28/2022,1:45:30 PM,0,-0.011,-3
1/28/2022,2:00:30 PM,0,-0.013,-3
1/28/2022,2:15:30 PM,0,-0.015,-3.1
1/28/2022,2:30:30 PM,0,-0.017,-3.1
1/28/2022,2:45:30 PM,0,-0.02,-3.1
1/28/2022,3:00:30 PM,0,-0.022,-3
1/28/2022,3:15:30 PM,0,-0.022,-2.9
1/28/2022,3:30:30 PM,0,-0.021,-2.9
1/28/2022,3:45:30 PM,0,-0.019,-2.9
1/28/2022,4:00:30 PM,0,-0.016,-2.8
1/28/2022,4:15:30 PM,0,-0.013,-2.8
1/28/2022,4:30:30 PM,0,-0.011,-2.8
1/28/2022,4:45:30 PM,0,-0.009,-2.8
1/28/2022,5:00:30 PM,0,-0.007,-2.9
1/28/2022,5:15:30 PM,0,-0.004,-3.3
1/28/2022,5:30:30 PM,0,0.003,-3.8
1/28/2022,5:45:30 PM,0,0.008,-4.7
1/28/2022,6:00:30 PM,0,0.016,-6
1/28/2022,6:15:30 PM,0,0.021,-7.7
1/28/2022,6:30:30 PM,0,0.025,-7.9
1/28/2022,6:45:30 PM,0,0.029,-8.5
1/28/2022,7:00:30 PM,0,0.033,-8.9
1/28/2022,7:15:30 PM,0,0.034,-9.1
1/28/2022,7:30:30 PM,0,0.036,-8.9
