Serial_number:
2036204
Project ID:
ACRE Wetland
Location:
Outlet
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/15/2022,08:30:28 am,0,1.096,17.70
6/15/2022,08:45:28 am,0,1.095,17.70
6/15/2022,09:00:28 am,0,1.096,17.70
6/15/2022,09:15:28 am,0,1.095,17.70
6/15/2022,09:30:28 am,0,1.096,17.70
6/15/2022,09:45:28 am,0,1.094,17.70
6/15/2022,10:00:28 am,0,1.093,17.70
6/15/2022,10:15:28 am,0,1.092,17.70
6/15/2022,10:30:28 am,0,1.091,17.70
6/15/2022,10:45:28 am,0,1.092,17.70
6/15/2022,11:00:28 am,0,1.090,17.70
6/15/2022,11:15:28 am,0,1.090,17.70
6/15/2022,11:30:28 am,0,1.091,17.70
6/15/2022,11:45:28 am,0,1.090,17.80
6/15/2022,12:00:28 pm,0,1.091,17.80
6/15/2022,12:15:28 pm,0,1.090,17.80
6/15/2022,12:30:28 pm,0,1.089,17.80
6/15/2022,12:45:28 pm,0,1.090,17.80
6/15/2022,01:00:28 pm,0,1.092,17.90
6/15/2022,01:15:28 pm,0,1.091,17.90
6/15/2022,01:30:28 pm,0,1.090,17.90
6/15/2022,01:45:28 pm,0,1.092,18.00
6/15/2022,02:00:28 pm,0,1.088,18.00
6/15/2022,02:15:28 pm,0,1.091,18.00
6/15/2022,02:30:28 pm,0,1.090,18.10
6/15/2022,02:45:28 pm,0,1.088,18.10
6/15/2022,03:00:28 pm,0,1.090,18.10
6/15/2022,03:15:28 pm,0,1.087,18.10
6/15/2022,03:30:28 pm,0,1.089,18.20
6/15/2022,03:45:28 pm,0,1.091,18.20
6/15/2022,04:00:28 pm,0,1.090,18.20
6/15/2022,04:15:28 pm,0,1.089,18.20
6/15/2022,04:30:28 pm,0,1.092,18.20
6/15/2022,04:45:28 pm,0,1.094,18.20
6/15/2022,05:00:28 pm,0,1.093,18.20
6/15/2022,05:15:28 pm,0,1.091,18.20
6/15/2022,05:30:28 pm,0,1.093,18.20
6/15/2022,05:45:28 pm,0,1.094,18.20
6/15/2022,06:00:28 pm,0,1.092,18.20
6/15/2022,06:15:28 pm,0,1.093,18.20
6/15/2022,06:30:28 pm,0,1.093,18.20
6/15/2022,06:45:28 pm,0,1.094,18.20
6/15/2022,07:00:28 pm,0,1.093,18.20
6/15/2022,07:15:28 pm,0,1.093,18.20
6/15/2022,07:30:28 pm,0,1.095,18.20
6/15/2022,07:45:28 pm,0,1.094,18.20
6/15/2022,08:00:28 pm,0,1.093,18.20
6/15/2022,08:15:28 pm,0,1.092,18.20
6/15/2022,08:30:28 pm,0,1.096,18.20
6/15/2022,08:45:28 pm,0,1.095,18.20
6/15/2022,09:00:28 pm,0,1.095,18.20
6/15/2022,09:15:28 pm,0,1.096,18.20
6/15/2022,09:30:28 pm,0,1.094,18.20
6/15/2022,09:45:28 pm,0,1.096,18.20
6/15/2022,10:00:28 pm,0,1.096,18.20
6/15/2022,10:15:28 pm,0,1.094,18.20
6/15/2022,10:30:28 pm,0,1.095,18.20
6/15/2022,10:45:28 pm,0,1.096,18.20
6/15/2022,11:00:28 pm,0,1.093,18.10
6/15/2022,11:15:28 pm,0,1.095,18.10
6/15/2022,11:30:28 pm,0,1.094,18.10
6/15/2022,11:45:28 pm,0,1.093,18.10
6/16/2022,12:00:28 am,0,1.094,18.10
6/16/2022,12:15:28 am,0,1.095,18.10
